stat, rank, value, (percentage) 
minecraft.used.diorite: #1, 32404(63%)
minecraft.used.pale_moss_carpet: #1, 10083(72%)
minecraft.used.diorite_wall: #1, 11136(84%)
minecraft.used.short_grass: #1, 18341(51%)
minecraft.crafted.diorite_wall: #1, 6373(94%)
minecraft.picked_up.pale_moss_carpet: #1, 6016(53%)
minecraft.used.polished_diorite: #1, 4622(52%)
minecraft.used.pale_oak_fence: #1, 4495(81%)
minecraft.picked_up.birch_leaves: #1, 57721(46%)
minecraft.picked_up.short_grass: #1, 27904(44%)
minecraft.picked_up.light_gray_bed: #1, 992(68%)
minecraft.dropped.short_grass: #1, 1690(57%)
minecraft.picked_up.green_carpet: #1, 4699(52%)
minecraft.dropped.stripped_spruce_log: #1, 169(54%)
minecraft.picked_up.clay: #1, 12154(41%)
minecraft.used.green_carpet: #1, 5069(47%)
minecraft.used.stripped_spruce_log: #1, 5914(38%)
minecraft.used.pale_oak_button: #1, 1413(85%)
minecraft.used.stone_slab: #1, 27740(37%)
minecraft.used.mossy_cobblestone_wall: #1, 477(55%)
minecraft.used.polished_diorite_stairs: #1, 1870(62%)
minecraft.mined.white_bed: #1, 2228(35%)
minecraft.mined.light_gray_bed: #1, 973(66%)
minecraft.picked_up.white_bed: #1, 2265(35%)
minecraft.dropped.arrow: #1, 13707(34%)
minecraft.used.light_gray_bed: #1, 985(64%)
minecraft.picked_up.stripped_spruce_log: #1, 7400(34%)
minecraft.picked_up.tuff_wall: #1, 578(59%)
minecraft.used.moss_carpet: #1, 13281(34%)
minecraft.picked_up.mossy_cobblestone_wall: #1, 350(78%)
minecraft.dropped.birch_leaves: #1, 1942(45%)
minecraft.used.white_bed: #1, 2244(34%)
minecraft.used.birch_leaves: #1, 28829(44%)
minecraft.picked_up.bamboo_slab: #1, 2789(42%)
minecraft.used.dandelion: #1, 308(36%)
minecraft.dropped.dandelion: #1, 1585(34%)
minecraft.mined.stripped_spruce_log: #1, 6113(31%)
minecraft.mined.infested_stone: #1, 672(43%)
minecraft.dropped.birch_log: #1, 829(36%)
minecraft.used.light_gray_stained_glass_pane: #1, 2828(44%)
minecraft.used.white_stained_glass_pane: #1, 5841(37%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #1, 166(68%)
minecraft.mined.waxed_weathered_cut_copper_slab: #1, 161(68%)
minecraft.mined.large_fern: #1, 2296(32%)
minecraft.used.acacia_leaves: #1, 763(44%)
minecraft.crafted.terracotta: #1, 1298(78%)
minecraft.crafted.pale_moss_carpet: #1, 5490(64%)
minecraft.used.yellow_candle: #1, 328(64%)
minecraft.used.green_wool: #1, 3624(30%)
minecraft.used.diorite_stairs: #1, 373(57%)
minecraft.picked_up.pale_oak_fence: #1, 586(56%)
minecraft.dropped.white_dye: #1, 598(29%)
minecraft.picked_up.bamboo: #1, 111075(22%)
minecraft.mined.birch_leaves: #1, 31209(28%)
minecraft.mined.clay: #1, 12174(26%)
minecraft.crafted.bamboo_mosaic: #1, 1598(50%)
minecraft.used.pale_oak_fence_gate: #1, 479(81%)
minecraft.crafted.birch_button: #1, 172(36%)
minecraft.dropped.flowering_azalea_leaves: #1, 1922(49%)
minecraft.crafted.cooked_beef: #1, 3401(26%)
minecraft.used.tuff_wall: #1, 1575(42%)
minecraft.used.birch_button: #1, 87(31%)
minecraft.used.pale_moss_block: #1, 6013(34%)
minecraft.used.bamboo: #1, 5150(24%)
minecraft.dropped.nether_wart: #1, 216(46%)
minecraft.used.cyan_candle: #1, 225(41%)
minecraft.picked_up.light_gray_wool: #1, 1514(24%)
minecraft.used.gray_stained_glass_pane: #1, 1802(41%)
minecraft.mined.warped_roots: #1, 1861(25%)
minecraft.dropped.sunflower: #2, 608(28%)
minecraft.crafted.bamboo_block: #1, 9140(23%)
minecraft.used.smooth_red_sandstone_slab: #1, 1406(50%)
minecraft.picked_up.potion: #1, 880(19%)
minecraft.used.dark_oak_sign: #1, 268(25%)
minecraft.used.pink_candle: #1, 205(59%)
minecraft.mined.pale_moss_carpet: #1, 497(23%)
minecraft.mined.dandelion: #1, 1482(21%)
minecraft.used.white_candle: #1, 1740(64%)
minecraft.mined.bamboo: #1, 9293(20%)
minecraft.picked_up.blue_stained_glass_pane: #1, 59(72%)
minecraft.mined.pale_oak_button: #1, 66(72%)
minecraft.dropped.cornflower: #2, 277(25%)
minecraft.crafted.polished_diorite: #1, 1568(22%)
minecraft.used.waxed_weathered_copper_grate: #1, 1749(38%)
minecraft.mined.pale_oak_slab: #1, 165(37%)
minecraft.used.mossy_stone_brick_slab: #1, 395(37%)
minecraft.used.light_gray_wool: #1, 2332(25%)
minecraft.crafted.dark_oak_sign: #1, 240(21%)
minecraft.used.tuff_slab: #1, 1258(21%)
minecraft.dropped.pale_moss_carpet: #1, 283(32%)
minecraft.dropped.andesite_slab: #1, 173(32%)
minecraft.dropped.light_gray_stained_glass_pane: #1, 100(37%)
minecraft.used.black_stained_glass_pane: #1, 1699(21%)
minecraft.used.stone_sword: #2, 2771(23%)
minecraft.mined.tall_grass: #1, 4038(16%)
minecraft.picked_up.diorite_wall: #1, 174(31%)
minecraft.crafted.iron_shovel: #2, 118(23%)
minecraft.picked_up.stripped_warped_stem: #2, 978(23%)
minecraft.picked_up.honeycomb: #2, 10556(23%)
minecraft.dropped.orange_stained_glass: #1, 128(69%)
minecraft.picked_up.clock: #1, 23(24%)
minecraft.used.diorite_slab: #2, 2103(30%)
minecraft.dropped.warped_nylium: #1, 28(58%)
minecraft.used.pointed_dripstone: #2, 2686(21%)
minecraft.used.iron_shovel: #2, 16453(23%)
minecraft.used.stone_stairs: #1, 1234(17%)
minecraft.used.green_terracotta: #1, 1359(21%)
minecraft.mined.short_grass: #1, 17624(13%)
minecraft.used.stripped_dark_oak_log: #2, 1696(21%)
minecraft.picked_up.birch_log: #1, 8846(15%)
minecraft.used.light_gray_candle: #1, 104(64%)
minecraft.custom.interact_with_grindstone: #1, 305(16%)
minecraft.used.waxed_weathered_cut_copper_slab: #1, 497(35%)
minecraft.picked_up.chainmail_leggings: #1, 22(18%)
minecraft.used.azalea_leaves: #1, 14556(19%)
minecraft.used.bone_block: #2, 4318(19%)
minecraft.dropped.music_disc_13: #1, 11(27%)
minecraft.picked_up.polished_diorite_stairs: #1, 137(29%)
minecraft.dropped.crimson_stem: #1, 99(53%)
minecraft.picked_up.azalea_leaves: #2, 28456(22%)
minecraft.mined.waxed_weathered_copper_trapdoor: #2, 86(33%)
minecraft.broken.shears: #1, 110(17%)
minecraft.mined.nether_sprouts: #2, 1292(23%)
minecraft.picked_up.polished_andesite_slab: #2, 513(27%)
minecraft.used.fern: #2, 3845(32%)
minecraft.crafted.weathered_cut_copper: #1, 204(88%)
minecraft.picked_up.gray_bundle: #1, 9(50%)
minecraft.used.oak_button: #1, 107(16%)
minecraft.mined.birch_sapling: #1, 47(21%)
minecraft.picked_up.dark_oak_pressure_plate: #1, 53(34%)
minecraft.mined.warped_fungus: #2, 264(19%)
minecraft.mined.white_banner: #1, 21(19%)
minecraft.dropped.gray_stained_glass_pane: #1, 53(84%)
minecraft.used.dark_oak_pressure_plate: #1, 53(30%)
minecraft.used.pale_oak_leaves: #2, 549(27%)
minecraft.used.polished_diorite_slab: #2, 585(33%)
minecraft.picked_up.gray_stained_glass_pane: #1, 99(27%)
minecraft.used.dark_oak_door: #1, 43(23%)
minecraft.dropped.birch_button: #1, 23(32%)
minecraft.dropped.bow: #2, 441(16%)
minecraft.used.mossy_cobblestone_slab: #1, 260(17%)
minecraft.dropped.diorite_wall: #1, 79(51%)
minecraft.crafted.spruce_fence: #2, 3405(17%)
minecraft.picked_up.weathered_copper_trapdoor: #2, 318(22%)
minecraft.picked_up.acacia_leaves: #2, 3906(22%)
minecraft.dropped.dark_oak_pressure_plate: #1, 52(59%)
minecraft.custom.interact_with_blast_furnace: #2, 651(13%)
minecraft.dropped.polished_andesite_slab: #1, 308(58%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #1, 336(32%)
minecraft.dropped.oxeye_daisy: #3, 199(22%)
minecraft.used.weathered_cut_copper_slab: #1, 128(40%)
minecraft.mined.weathered_copper_trapdoor: #2, 318(23%)
minecraft.used.andesite_wall: #2, 1397(21%)
minecraft.mined.orange_stained_glass_pane: #2, 152(27%)
minecraft.used.spruce_leaves: #2, 5086(17%)
minecraft.used.pale_oak_trapdoor: #2, 679(18%)
minecraft.picked_up.waxed_weathered_copper_trapdoor: #2, 86(31%)
minecraft.mined.light_gray_shulker_box: #2, 733(16%)
minecraft.picked_up.light_gray_shulker_box: #2, 734(16%)
minecraft.picked_up.flowering_azalea_leaves: #2, 7397(18%)
minecraft.picked_up.stonecutter: #2, 225(14%)
minecraft.dropped.grass_block: #2, 6724(14%)
minecraft.dropped.azure_bluet: #2, 211(16%)
minecraft.picked_up.waxed_oxidized_copper_bulb: #2, 39(22%)
minecraft.mined.diorite_wall: #2, 93(27%)
minecraft.picked_up.pale_oak_fence_gate: #1, 20(50%)
minecraft.used.waxed_weathered_copper_trapdoor: #2, 359(29%)
minecraft.crafted.white_glazed_terracotta: #1, 71(50%)
minecraft.mined.chorus_flower: #1, 36(22%)
minecraft.picked_up.orange_glazed_terracotta: #1, 56(25%)
minecraft.used.deepslate_brick_wall: #2, 483(19%)
minecraft.mined.stonecutter: #2, 208(14%)
minecraft.used.oak_fence_gate: #2, 142(15%)
minecraft.used.jungle_planks: #2, 2588(14%)
minecraft.killed.skeleton: #2, 8193(13%)
minecraft.crafted.oak_button: #2, 104(15%)
minecraft.mined.polished_diorite_stairs: #2, 98(25%)
minecraft.crafted.bamboo_stairs: #2, 524(17%)
minecraft.used.light_gray_shulker_box: #2, 732(15%)
minecraft.used.stonecutter: #2, 211(12%)
minecraft.mined.pale_oak_stairs: #1, 47(18%)
minecraft.picked_up.lime_shulker_box: #2, 466(12%)
minecraft.crafted.exposed_chiseled_copper: #1, 20(69%)
minecraft.used.lime_shulker_box: #2, 463(12%)
minecraft.dropped.diorite_stairs: #1, 38(51%)
minecraft.mined.dark_oak_door: #2, 22(28%)
minecraft.used.stripped_pale_oak_log: #2, 545(19%)
minecraft.crafted.weathered_cut_copper_slab: #1, 372(67%)
minecraft.picked_up.nether_sprouts: #2, 1173(30%)
minecraft.mined.stripped_dark_oak_log: #3, 1669(15%)
minecraft.used.cooked_rabbit: #1, 10(50%)
minecraft.mined.pale_oak_fence_gate: #1, 20(67%)
minecraft.mined.stripped_pale_oak_log: #2, 552(16%)
minecraft.picked_up.stripped_pale_oak_log: #2, 552(16%)
minecraft.used.chain: #2, 1934(11%)
minecraft.used.warped_planks: #2, 1828(16%)
minecraft.mined.lime_shulker_box: #2, 463(12%)
minecraft.picked_up.dark_oak_button: #2, 119(25%)
minecraft.used.polished_basalt: #2, 1432(16%)
minecraft.mined.oxeye_daisy: #2, 171(12%)
minecraft.crafted.blue_stained_glass_pane: #2, 176(29%)
minecraft.used.cooked_beef: #3, 2577(10%)
minecraft.picked_up.orange_stained_glass_pane: #2, 152(21%)
minecraft.crafted.exposed_cut_copper_slab: #1, 124(64%)
minecraft.custom.sneak_time: #3, 8625114(7%)
minecraft.picked_up.stripped_dark_oak_log: #3, 1744(15%)
minecraft.dropped.lime_glazed_terracotta: #1, 56(95%)
minecraft.crafted.exposed_copper_grate: #1, 72(95%)
minecraft.mined.yellow_candle: #1, 6(32%)
minecraft.used.waxed_exposed_copper_grate: #2, 553(26%)
minecraft.used.mud: #3, 15224(15%)
minecraft.picked_up.pale_oak_trapdoor: #2, 101(13%)
minecraft.crafted.oxidized_copper_door: #1, 9(20%)
minecraft.used.chainmail_leggings: #1, 9(90%)
minecraft.mined.pointed_dripstone: #2, 769(11%)
minecraft.used.glass_pane: #2, 429(12%)
minecraft.crafted.weathered_chiseled_copper: #1, 28(88%)
minecraft.crafted.oak_fence_gate: #2, 132(12%)
minecraft.mined.stripped_warped_stem: #2, 459(13%)
minecraft.used.wildflowers: #2, 262(25%)
minecraft.dropped.polished_diorite_stairs: #1, 58(87%)
minecraft.used.white_tulip: #2, 29(21%)
minecraft.used.tripwire_hook: #2, 79(12%)
minecraft.dropped.smooth_basalt: #2, 96(17%)
minecraft.killed.warden: #1, 18(24%)
minecraft.used.stripped_warped_stem: #2, 378(15%)
minecraft.picked_up.light_gray_candle: #1, 2(33%)
minecraft.crafted.waxed_weathered_copper_trapdoor: #2, 320(30%)
minecraft.picked_up.dark_oak_door: #2, 24(16%)
minecraft.picked_up.green_wool: #2, 3401(11%)
minecraft.mined.scaffolding: #2, 8023(10%)
minecraft.crafted.dark_oak_pressure_plate: #2, 52(22%)
minecraft.crafted.leaf_litter: #1, 188(53%)
minecraft.used.weathered_chiseled_copper: #1, 4(40%)
minecraft.crafted.brown_glazed_terracotta: #1, 28(53%)
minecraft.used.dried_kelp_block: #2, 62(23%)
minecraft.broken.stone_sword: #2, 41(32%)
minecraft.picked_up.light_gray_stained_glass_pane: #2, 156(14%)
minecraft.custom.interact_with_stonecutter: #2, 1095(9%)
minecraft.mined.jungle_fence: #2, 90(15%)
minecraft.used.polished_andesite_stairs: #2, 304(12%)
minecraft.picked_up.prismarine_stairs: #1, 58(50%)
minecraft.crafted.cherry_button: #1, 4(21%)
minecraft.picked_up.spruce_leaves: #2, 4872(10%)
minecraft.used.polished_andesite_slab: #2, 934(15%)
minecraft.crafted.waxed_weathered_cut_copper: #2, 164(22%)
minecraft.crafted.chain: #2, 1908(10%)
minecraft.used.weathered_cut_copper: #2, 35(30%)
minecraft.crafted.black_bundle: #1, 2(67%)
minecraft.crafted.leather_helmet: #2, 29(14%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #2, 108(23%)
minecraft.dropped.basalt: #2, 162(12%)
minecraft.dropped.oak_sapling: #2, 439(10%)
minecraft.used.basalt: #2, 2008(10%)
minecraft.picked_up.diorite_stairs: #2, 66(23%)
minecraft.mined.green_carpet: #3, 125(16%)
minecraft.picked_up.pale_oak_button: #2, 66(28%)
minecraft.used.gray_dye: #2, 8(22%)
minecraft.picked_up.red_glazed_terracotta: #2, 61(18%)
minecraft.crafted.exposed_cut_copper_stairs: #1, 5(38%)
minecraft.mined.waxed_weathered_copper_door: #1, 12(57%)
minecraft.used.nether_sprouts: #2, 461(27%)
minecraft.used.prismarine_stairs: #2, 348(42%)
minecraft.used.oxidized_copper_door: #2, 11(14%)
minecraft.used.seagrass: #3, 232(21%)
minecraft.used.grass_block: #3, 57562(12%)
minecraft.dropped.pale_oak_leaves: #2, 61(26%)
minecraft.picked_up.pale_oak_stairs: #2, 51(16%)
minecraft.mined.gray_stained_glass_pane: #2, 30(17%)
minecraft.used.spruce_door: #2, 40(9%)
minecraft.dropped.stripped_jungle_log: #2, 63(21%)
minecraft.picked_up.dead_brain_coral_fan: #2, 11(26%)
minecraft.picked_up.waxed_weathered_copper_door: #1, 12(52%)
minecraft.dropped.iron_hoe: #2, 5(19%)
minecraft.used.brain_coral: #2, 24(20%)
minecraft.mined.birch_button: #2, 8(18%)
minecraft.used.bamboo_hanging_sign: #2, 20(13%)
minecraft.crafted.birch_chest_boat: #1, 1(100%)
minecraft.crafted.cooked_rabbit: #1, 10(100%)
minecraft.crafted.weathered_cut_copper_stairs: #1, 4(50%)
minecraft.used.weathered_copper_door: #1, 3(50%)
minecraft.used.birch_chest_boat: #1, 1(100%)
minecraft.broken.chainmail_leggings: #1, 1(100%)
minecraft.dropped.deepslate_coal_ore: #1, 10(50%)
minecraft.dropped.light_blue_glazed_terracotta: #1, 1(100%)
minecraft.dropped.waxed_weathered_cut_copper_slab: #1, 1(100%)
minecraft.dropped.waxed_exposed_copper_grate: #1, 34(100%)
minecraft.dropped.green_bundle: #1, 1(100%)
minecraft.crafted.lime_bundle: #1, 1(33%)
minecraft.used.oak_fence: #2, 560(9%)
minecraft.used.dead_brain_coral_fan: #2, 11(32%)
minecraft.used.stripped_cherry_log: #2, 222(18%)
minecraft.mined.pale_oak_trapdoor: #3, 101(15%)
minecraft.dropped.cooked_beef: #3, 403(10%)
minecraft.used.oak_door: #3, 33(13%)
