stat, rank, value, (percentage) 
minecraft.crafted.oak_boat: #1, 1677(85%)
minecraft.picked_up.jungle_sapling: #1, 8468(74%)
minecraft.used.red_carpet: #1, 22565(83%)
minecraft.picked_up.dark_oak_sapling: #1, 20012(70%)
minecraft.used.dark_oak_sapling: #1, 18926(78%)
minecraft.picked_up.red_carpet: #1, 20156(90%)
minecraft.used.oak_sapling: #1, 31323(71%)
minecraft.used.jungle_sapling: #1, 8243(82%)
minecraft.picked_up.acacia_sapling: #1, 12496(57%)
minecraft.mined.black_carpet: #1, 4550(83%)
minecraft.used.spruce_sapling: #1, 20642(56%)
minecraft.used.deepslate_diamond_ore: #1, 11859(54%)
minecraft.picked_up.black_carpet: #1, 19504(74%)
minecraft.mined.cobweb: #1, 8507(58%)
minecraft.used.light_gray_carpet: #1, 7011(57%)
minecraft.mined.red_carpet: #1, 3779(73%)
minecraft.picked_up.deepslate_diamond_ore: #1, 15746(52%)
minecraft.used.cobweb: #1, 3244(67%)
minecraft.used.birch_sapling: #1, 11885(67%)
minecraft.used.light_blue_stained_glass: #1, 17756(60%)
minecraft.dropped.oak_boat: #1, 129(57%)
minecraft.used.acacia_sapling: #1, 12119(70%)
minecraft.dropped.spruce_sapling: #1, 1397(54%)
minecraft.mined.pale_oak_leaves: #1, 40669(59%)
minecraft.used.black_carpet: #1, 19696(68%)
minecraft.dropped.bamboo_button: #1, 4103(91%)
minecraft.mined.cobblestone_slab: #1, 2004(48%)
minecraft.custom.bell_ring: #1, 505(50%)
minecraft.used.cooked_porkchop: #1, 8161(39%)
minecraft.crafted.pale_oak_fence: #1, 4611(74%)
minecraft.crafted.light_gray_carpet: #1, 6990(54%)
minecraft.mined.light_blue_stained_glass: #1, 1858(53%)
minecraft.used.magenta_stained_glass: #1, 2928(75%)
minecraft.used.mangrove_wood: #1, 3584(58%)
minecraft.crafted.cobblestone_slab: #1, 6922(47%)
minecraft.crafted.charcoal: #1, 6170(47%)
minecraft.used.heavy_weighted_pressure_plate: #1, 203(51%)
minecraft.used.gray_carpet: #1, 5350(48%)
minecraft.picked_up.string: #1, 30998(35%)
minecraft.used.acacia_wood: #1, 6222(56%)
minecraft.picked_up.pale_oak_sapling: #1, 3827(48%)
minecraft.crafted.mangrove_wood: #1, 3897(55%)
minecraft.crafted.heavy_weighted_pressure_plate: #1, 212(46%)
minecraft.used.oxeye_daisy: #1, 113(53%)
minecraft.used.dark_oak_wood: #1, 5679(48%)
minecraft.mined.dark_oak_sapling: #1, 213(48%)
minecraft.dropped.apple: #1, 694(47%)
minecraft.crafted.pale_oak_button: #1, 1286(78%)
minecraft.crafted.red_wool: #1, 3203(46%)
minecraft.crafted.dark_oak_wood: #1, 5814(46%)
minecraft.used.cobblestone_slab: #1, 9894(39%)
minecraft.crafted.light_blue_wool: #1, 3585(60%)
minecraft.used.light_blue_carpet: #1, 5646(64%)
minecraft.mined.brown_wool: #1, 531(44%)
minecraft.dropped.slime_ball: #1, 5540(40%)
minecraft.crafted.acacia_wood: #1, 6153(52%)
minecraft.dropped.shears: #1, 669(35%)
minecraft.dropped.ender_chest: #1, 287(36%)
minecraft.picked_up.spruce_sapling: #1, 12753(33%)
minecraft.crafted.iron_block: #1, 10020(34%)
minecraft.used.pink_banner: #1, 116(53%)
minecraft.dropped.bamboo: #1, 21102(31%)
minecraft.crafted.light_blue_stained_glass: #1, 16600(47%)
minecraft.dropped.lily_pad: #1, 164(50%)
minecraft.picked_up.apple: #1, 1810(32%)
minecraft.used.white_terracotta: #1, 3757(32%)
minecraft.dropped.stick: #1, 23143(29%)
minecraft.custom.damage_dealt: #2, 13903224(22%)
minecraft.picked_up.gray_carpet: #1, 1845(33%)
minecraft.crafted.shears: #1, 4126(30%)
minecraft.crafted.gray_wool: #1, 2661(44%)
minecraft.used.pink_carpet: #1, 574(47%)
minecraft.picked_up.oak_boat: #1, 508(30%)
minecraft.mined.stripped_acacia_wood: #1, 355(50%)
minecraft.crafted.light_gray_wool: #1, 4612(49%)
minecraft.picked_up.cobblestone_slab: #1, 2021(31%)
minecraft.crafted.red_carpet: #1, 5319(43%)
minecraft.picked_up.oak_sapling: #1, 10364(29%)
minecraft.killed.witch: #1, 123003(30%)
minecraft.picked_up.stick: #1, 35596(24%)
minecraft.mined.orange_wool: #1, 819(38%)
minecraft.crafted.gray_carpet: #1, 4677(36%)
minecraft.picked_up.stripped_acacia_wood: #1, 349(48%)
minecraft.mined.brown_mushroom: #1, 646(30%)
minecraft.dropped.hay_block: #1, 1438(59%)
minecraft.crafted.oak_planks: #1, 91560(26%)
minecraft.dropped.acacia_leaves: #1, 631(51%)
minecraft.used.sticky_piston: #1, 2663(27%)
minecraft.mined.stripped_mangrove_wood: #1, 339(43%)
minecraft.dropped.deepslate_diamond_ore: #1, 232(41%)
minecraft.picked_up.slime_block: #1, 3995(29%)
minecraft.mined.cornflower: #1, 530(29%)
minecraft.picked_up.stripped_mangrove_wood: #1, 340(43%)
minecraft.crafted.birch_wood: #1, 1716(45%)
minecraft.mined.stripped_birch_wood: #1, 1704(39%)
minecraft.picked_up.shulker_shell: #1, 5116(28%)
minecraft.crafted.pale_oak_planks: #1, 12942(30%)
minecraft.crafted.light_blue_carpet: #1, 5751(51%)
minecraft.crafted.minecart: #1, 1033(26%)
