stat, rank, value, (percentage) 
minecraft.picked_up.gunpowder: #1, 156427(80%)
minecraft.picked_up.dandelion: #1, 51830(82%)
minecraft.picked_up.bone_block: #1, 54441(78%)
minecraft.dropped.shulker_box: #1, 1883(71%)
minecraft.picked_up.oxeye_daisy: #1, 6833(73%)
minecraft.picked_up.flint_and_steel: #1, 1213(77%)
minecraft.dropped.flint_and_steel: #1, 1221(93%)
minecraft.dropped.bone_block: #1, 51051(94%)
minecraft.dropped.writable_book: #1, 320(64%)
minecraft.crafted.flint_and_steel: #1, 1616(68%)
minecraft.crafted.slime_ball: #1, 54909(81%)
minecraft.dropped.smooth_stone: #1, 20251(84%)
minecraft.crafted.stonecutter: #1, 736(62%)
minecraft.dropped.moss_block: #1, 20280(58%)
minecraft.dropped.magenta_dye: #1, 685(74%)
minecraft.picked_up.crimson_roots: #1, 16777(64%)
minecraft.dropped.gray_wool: #1, 2068(77%)
minecraft.crafted.fermented_spider_eye: #1, 3166(76%)
minecraft.dropped.mossy_cobblestone: #1, 1963(68%)
minecraft.picked_up.gray_wool: #1, 18179(61%)
minecraft.picked_up.red_tulip: #1, 5054(59%)
minecraft.picked_up.green_wool: #1, 17475(57%)
minecraft.dropped.glass: #1, 17877(62%)
minecraft.picked_up.writable_book: #1, 335(49%)
minecraft.dropped.gunpowder: #1, 15247(49%)
minecraft.dropped.verdant_froglight: #1, 8896(89%)
minecraft.picked_up.black_banner: #1, 784(81%)
minecraft.picked_up.allium: #1, 3869(64%)
minecraft.crafted.brewing_stand: #1, 776(63%)
minecraft.dropped.leather: #1, 3674(54%)
minecraft.dropped.black_wool: #1, 1606(78%)
minecraft.custom.use_cauldron: #1, 3806(47%)
minecraft.picked_up.crimson_fungus: #1, 2257(55%)
minecraft.mined.oxidized_copper_grate: #1, 1104(57%)
minecraft.picked_up.black_wool: #1, 15365(48%)
minecraft.picked_up.bamboo_block: #1, 32376(50%)
minecraft.crafted.blue_stained_glass: #1, 4480(81%)
minecraft.picked_up.warped_roots: #1, 16696(49%)
minecraft.picked_up.white_wool: #1, 17178(43%)
minecraft.dropped.stone_hoe: #1, 152(80%)
minecraft.picked_up.yellow_dye: #1, 1458(38%)
minecraft.dropped.mossy_stone_bricks: #1, 1241(69%)
minecraft.picked_up.oxidized_copper_grate: #1, 1040(52%)
minecraft.used.black_banner: #1, 719(64%)
minecraft.crafted.dried_kelp_block: #1, 1986(90%)
minecraft.picked_up.smooth_stone: #1, 26658(43%)
minecraft.picked_up.brown_mushroom: #1, 4487(43%)
minecraft.picked_up.cornflower: #1, 6834(39%)
minecraft.picked_up.orange_tulip: #1, 3471(49%)
minecraft.crafted.tripwire_hook: #1, 1120(47%)
minecraft.dropped.iron_block: #1, 3591(43%)
minecraft.picked_up.azure_bluet: #1, 6686(43%)
minecraft.dropped.slime_block: #1, 2084(60%)
minecraft.dropped.ochre_froglight: #1, 10965(91%)
minecraft.picked_up.mossy_cobblestone: #1, 4031(42%)
minecraft.mined.light_gray_stained_glass: #1, 901(50%)
minecraft.picked_up.pink_tulip: #1, 1605(45%)
minecraft.dropped.cracked_stone_bricks: #1, 4312(83%)
minecraft.picked_up.blue_orchid: #1, 6044(83%)
minecraft.mined.black_wall_banner: #1, 607(90%)
minecraft.dropped.gold_ingot: #1, 4143(40%)
minecraft.mined.blue_bed: #1, 394(66%)
minecraft.picked_up.white_tulip: #1, 2451(41%)
minecraft.crafted.cauldron: #1, 763(39%)
minecraft.picked_up.cracked_stone_bricks: #1, 4175(46%)
minecraft.dropped.iron_ingot: #1, 10974(39%)
minecraft.picked_up.light_blue_stained_glass: #1, 3371(43%)
minecraft.picked_up.blue_bed: #1, 404(67%)
minecraft.dropped.sweet_berries: #1, 1793(55%)
minecraft.dropped.lava_bucket: #1, 165(67%)
minecraft.dropped.black_banner: #1, 166(92%)
minecraft.dropped.brick: #1, 2687(41%)
minecraft.crafted.black_banner: #1, 780(53%)
minecraft.dropped.glow_item_frame: #1, 81(65%)
minecraft.crafted.glass_bottle: #1, 11823(38%)
minecraft.crafted.stone_hoe: #1, 109(53%)
minecraft.dropped.gray_shulker_box: #1, 37(74%)
minecraft.dropped.kelp: #1, 6739(35%)
minecraft.dropped.cooked_beef: #1, 1216(30%)
minecraft.crafted.loom: #1, 769(38%)
minecraft.picked_up.light_gray_stained_glass: #1, 753(42%)
minecraft.mined.cyan_stained_glass: #1, 560(62%)
minecraft.picked_up.lilac: #1, 2779(33%)
minecraft.crafted.mossy_stone_bricks: #1, 9727(48%)
minecraft.mined.big_dripleaf: #1, 266(48%)
minecraft.dropped.gray_carpet: #1, 316(65%)
minecraft.crafted.detector_rail: #1, 954(47%)
minecraft.used.diamond_chestplate: #1, 256(44%)
minecraft.dropped.stone_axe: #1, 36(46%)
minecraft.used.copper_grate: #1, 2154(51%)
minecraft.crafted.bamboo_planks: #1, 102685(33%)
minecraft.dropped.green_wool: #1, 912(51%)
minecraft.used.lava_bucket: #1, 1627(33%)
minecraft.picked_up.moss_carpet: #1, 25848(30%)
minecraft.used.cooked_beef: #1, 5264(21%)
minecraft.crafted.pink_wool: #1, 823(50%)
minecraft.dropped.pearlescent_froglight: #1, 3859(89%)
minecraft.picked_up.iron_nugget: #1, 3113(28%)
minecraft.crafted.note_block: #1, 1882(35%)
minecraft.picked_up.chest_minecart: #1, 270(47%)
minecraft.picked_up.detector_rail: #1, 234(41%)
minecraft.dropped.shulker_shell: #1, 1867(60%)
minecraft.used.light_gray_stained_glass: #1, 7053(43%)
minecraft.picked_up.shears: #1, 510(32%)
minecraft.crafted.oxidized_copper_bulb: #1, 696(70%)
minecraft.used.blue_bed: #1, 406(64%)
minecraft.dropped.honeycomb: #1, 5377(51%)
minecraft.picked_up.flowering_azalea: #1, 4367(31%)
minecraft.dropped.sand: #1, 17726(32%)
minecraft.dropped.mud: #1, 1354(43%)
minecraft.crafted.magenta_stained_glass: #1, 13952(76%)
minecraft.used.music_disc_13: #1, 50(50%)
minecraft.picked_up.cooked_beef: #1, 4709(22%)
minecraft.picked_up.kelp: #1, 26647(29%)
minecraft.mined.cyan_bed: #1, 380(32%)
minecraft.mined.weeping_vines_plant: #1, 338(41%)
minecraft.picked_up.cyan_bed: #1, 389(32%)
minecraft.crafted.magenta_wool: #1, 748(62%)
minecraft.mined.mangrove_propagule: #1, 735(32%)
minecraft.dropped.light_blue_stained_glass: #1, 2757(91%)
minecraft.picked_up.moss_block: #2, 119368(31%)
minecraft.picked_up.blue_stained_glass: #1, 1030(80%)
minecraft.picked_up.cyan_stained_glass: #1, 700(60%)
minecraft.mined.mossy_cobblestone_stairs: #1, 78(55%)
minecraft.picked_up.ochre_froglight: #1, 12787(30%)
minecraft.crafted.crafter: #1, 849(30%)
minecraft.crafted.purple_shulker_box: #1, 37(35%)
minecraft.dropped.string: #1, 4488(28%)
minecraft.mined.hanging_roots: #1, 724(58%)
minecraft.picked_up.brown_stained_glass: #1, 1124(77%)
minecraft.mined.player_wall_head: #1, 188(30%)
minecraft.dropped.copper_ingot: #1, 2322(41%)
minecraft.picked_up.dispenser: #1, 1116(28%)
minecraft.crafted.pink_stained_glass: #1, 3200(53%)
minecraft.mined.gray_stained_glass: #1, 467(46%)
minecraft.crafted.painting: #1, 739(30%)
minecraft.mined.dropper: #1, 513(28%)
minecraft.picked_up.lava_bucket: #1, 219(31%)
minecraft.mined.deepslate_bricks: #1, 2594(31%)
minecraft.used.chest_minecart: #1, 173(52%)
minecraft.dropped.honey_bottle: #1, 217(37%)
minecraft.mined.weeping_vines: #1, 300(41%)
minecraft.picked_up.magenta_stained_glass: #1, 422(47%)
minecraft.picked_up.red_stained_glass: #1, 1072(47%)
minecraft.picked_up.dropper: #1, 925(28%)
minecraft.crafted.magenta_dye: #2, 5587(34%)
minecraft.dropped.lime_shulker_box: #1, 21(72%)
minecraft.dropped.raw_iron: #1, 596(32%)
minecraft.picked_up.hanging_roots: #1, 715(54%)
minecraft.used.mud: #1, 25509(26%)
minecraft.crafted.diamond_hoe: #1, 27(27%)
minecraft.dropped.light_gray_stained_glass: #1, 136(43%)
minecraft.used.cyan_bed: #1, 391(30%)
minecraft.crafted.brown_stained_glass: #1, 5064(58%)
minecraft.crafted.ladder: #1, 3198(25%)
minecraft.dropped.trial_key: #1, 109(45%)
minecraft.crafted.sugar: #2, 3944(33%)
minecraft.dropped.detector_rail: #1, 108(79%)
minecraft.crafted.lectern: #1, 609(30%)
minecraft.dropped.stripped_jungle_log: #1, 193(63%)
minecraft.dropped.dried_kelp: #1, 971(57%)
minecraft.mined.white_wall_banner: #1, 101(28%)
minecraft.crafted.redstone_lamp: #1, 789(31%)
minecraft.picked_up.magenta_dye: #2, 296(29%)
minecraft.picked_up.gray_bed: #2, 368(40%)
minecraft.dropped.shears: #2, 565(30%)
minecraft.mined.cobbled_deepslate_wall: #1, 178(44%)
minecraft.dropped.note_block: #1, 88(38%)
minecraft.mined.orange_terracotta: #1, 11592(24%)
minecraft.crafted.white_terracotta: #1, 2480(30%)
minecraft.crafted.flower_pot: #1, 920(25%)
minecraft.mined.smooth_stone: #2, 8374(28%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #1, 97(60%)
minecraft.crafted.soul_campfire: #1, 721(60%)
