stat, rank, value, (percentage) 
minecraft.used.potion: #2, 14740(28%)
minecraft.used.air: #1, 14676(31%)
minecraft.used.glass_bottle: #2, 14721(26%)
minecraft.used.wooden_sword: #1, 733(35%)
minecraft.used.pufferfish: #1, 25(78%)
minecraft.used.mossy_stone_bricks: #1, 1932(31%)
minecraft.used.cornflower: #1, 44(30%)
minecraft.used.brown_mushroom_block: #1, 2557(30%)
minecraft.picked_up.horn_coral_block: #1, 889(40%)
minecraft.picked_up.brain_coral_block: #1, 1327(37%)
minecraft.used.mangrove_leaves: #1, 5935(27%)
minecraft.dropped.pale_moss_block: #1, 235(39%)
minecraft.mined.horn_coral_block: #1, 892(35%)
minecraft.picked_up.fire_coral_block: #1, 988(30%)
minecraft.mined.brain_coral_block: #1, 1334(38%)
minecraft.mined.fire_coral_block: #1, 992(28%)
minecraft.mined.jungle_wood: #1, 278(39%)
minecraft.picked_up.bubble_coral_block: #1, 618(29%)
minecraft.mined.green_bed: #2, 155(37%)
minecraft.picked_up.blackstone_stairs: #1, 52(23%)
minecraft.used.jungle_leaves: #2, 2009(23%)
minecraft.dropped.deepslate_copper_ore: #1, 19(46%)
minecraft.crafted.blue_glazed_terracotta: #1, 228(54%)
minecraft.crafted.jungle_wood: #1, 1596(27%)
minecraft.used.jungle_pressure_plate: #1, 20(32%)
minecraft.picked_up.green_bed: #2, 156(35%)
minecraft.used.jungle_wood: #1, 1493(27%)
minecraft.custom.player_kills: #2, 173(14%)
minecraft.mined.blue_concrete: #2, 607(24%)
minecraft.picked_up.jungle_wood: #1, 327(28%)
minecraft.dropped.podzol: #1, 243(21%)
minecraft.used.torchflower: #1, 96(23%)
minecraft.crafted.purpur_slab: #1, 60(71%)
minecraft.dropped.sea_pickle: #2, 419(28%)
minecraft.used.mossy_cobblestone: #2, 1632(17%)
minecraft.picked_up.blue_concrete: #2, 598(22%)
minecraft.used.conduit: #1, 10(31%)
minecraft.dropped.brain_coral_block: #1, 35(45%)
minecraft.crafted.bamboo_mosaic_slab: #2, 252(32%)
minecraft.used.chiseled_polished_blackstone: #1, 55(22%)
minecraft.used.green_bed: #2, 163(28%)
minecraft.mined.conduit: #1, 6(30%)
minecraft.picked_up.conduit: #1, 8(29%)
minecraft.mined.bubble_coral_block: #2, 625(27%)
minecraft.used.blue_glazed_terracotta: #1, 227(44%)
minecraft.used.jungle_hanging_sign: #1, 32(27%)
minecraft.dropped.chorus_flower: #1, 25(31%)
minecraft.mined.pitcher_plant: #2, 27(18%)
minecraft.mined.acacia_wall_hanging_sign: #1, 5(29%)
minecraft.used.bamboo_mosaic_slab: #2, 281(34%)
minecraft.used.pitcher_plant: #2, 75(18%)
minecraft.dropped.blue_concrete: #1, 64(50%)
minecraft.mined.mangrove_wall_hanging_sign: #1, 3(25%)
minecraft.custom.swim_one_cm: #3, 17788627(10%)
minecraft.picked_up.tube_coral_block: #2, 787(20%)
minecraft.mined.jungle_pressure_plate: #1, 9(32%)
minecraft.picked_up.wooden_sword: #2, 62(17%)
minecraft.used.hanging_roots: #2, 82(24%)
minecraft.mined.jungle_log: #2, 4962(12%)
minecraft.picked_up.tube_coral_fan: #2, 355(15%)
minecraft.mined.red_stained_glass: #2, 139(19%)
minecraft.mined.tube_coral_wall_fan: #2, 301(16%)
minecraft.picked_up.salmon: #2, 881(10%)
minecraft.dropped.saddle: #2, 14(13%)
minecraft.mined.fire_coral_fan: #2, 74(14%)
minecraft.mined.cyan_banner: #1, 4(29%)
