stat, rank, value, (percentage) 
minecraft.custom.damage_taken: #1, 281932995(88%)
minecraft.mined.stripped_acacia_log: #1, 7132(79%)
minecraft.picked_up.stripped_acacia_log: #1, 7122(78%)
minecraft.used.oak_leaves: #1, 70619(64%)
minecraft.used.brick_slab: #1, 2607(80%)
minecraft.mined.brain_coral_wall_fan: #1, 1801(70%)
minecraft.used.stripped_acacia_log: #1, 6448(83%)
minecraft.picked_up.spyglass: #1, 102(48%)
minecraft.picked_up.oak_leaves: #1, 89408(52%)
minecraft.picked_up.redstone_ore: #1, 1287(59%)
minecraft.mined.fire_coral_fan: #1, 329(61%)
minecraft.used.redstone_ore: #1, 962(72%)
minecraft.picked_up.deepslate_copper_ore: #1, 1962(57%)
minecraft.picked_up.fire_coral_fan: #1, 1848(62%)
minecraft.used.deepslate_copper_ore: #1, 1871(74%)
minecraft.mined.tube_coral_wall_fan: #1, 1271(66%)
minecraft.picked_up.tube_coral_fan: #1, 1443(61%)
minecraft.used.deepslate_iron_ore: #1, 3067(55%)
minecraft.mined.oak_leaves: #1, 89649(45%)
minecraft.picked_up.deepslate_gold_ore: #1, 4623(45%)
minecraft.mined.bubble_coral_wall_fan: #1, 1710(70%)
minecraft.picked_up.brain_coral_fan: #1, 2038(66%)
minecraft.picked_up.brain_coral: #1, 478(65%)
minecraft.mined.brain_coral: #1, 502(69%)
minecraft.used.spruce_fence_gate: #1, 2711(46%)
minecraft.crafted.spruce_fence_gate: #1, 2916(46%)
minecraft.picked_up.deepslate_redstone_ore: #1, 10201(43%)
minecraft.mined.horn_coral_wall_fan: #1, 1524(63%)
minecraft.mined.fire_coral_wall_fan: #1, 1669(67%)
minecraft.dropped.moss_carpet: #1, 10708(41%)
minecraft.used.terracotta: #1, 19711(48%)
minecraft.mined.lime_bed: #1, 215(62%)
minecraft.picked_up.lime_bed: #1, 215(62%)
minecraft.used.iron_ore: #1, 4617(42%)
minecraft.mined.redstone_ore: #1, 1260(41%)
minecraft.used.blackstone_slab: #1, 3685(54%)
minecraft.picked_up.bubble_coral_fan: #1, 1898(63%)
minecraft.used.gold_ore: #1, 654(59%)
minecraft.used.mud_brick_wall: #1, 5664(53%)
minecraft.used.deepslate_lapis_ore: #1, 980(53%)
minecraft.used.deepslate_redstone_ore: #1, 6053(40%)
minecraft.picked_up.horn_coral_fan: #1, 1645(58%)
minecraft.picked_up.deepslate_iron_ore: #1, 3283(41%)
minecraft.mined.sandstone: #1, 57562(39%)
minecraft.mined.end_rod: #1, 2368(39%)
minecraft.mined.oak_sapling: #1, 220(46%)
minecraft.crafted.oak_fence_gate: #1, 462(42%)
minecraft.crafted.polished_granite: #1, 6028(46%)
minecraft.mined.tube_coral_fan: #1, 323(68%)
minecraft.used.deepslate_gold_ore: #1, 2806(48%)
minecraft.mined.bubble_coral: #1, 439(68%)
minecraft.mined.kelp_plant: #1, 2774(38%)
minecraft.mined.tube_coral: #1, 437(62%)
minecraft.mined.brain_coral_fan: #1, 371(66%)
minecraft.used.brain_coral_fan: #1, 261(61%)
minecraft.used.sandstone_wall: #1, 1842(66%)
minecraft.used.azure_bluet: #1, 513(57%)
minecraft.used.pale_oak_leaves: #1, 1160(57%)
minecraft.mined.fire_coral: #1, 457(61%)
