stat, rank, value, (percentage) 
minecraft.dropped.cod: #1, 31233(82%)
minecraft.used.cooked_cod: #1, 3289(58%)
minecraft.mined.brown_mushroom_block: #1, 39096(61%)
minecraft.dropped.red_sand: #1, 3466(83%)
minecraft.picked_up.cod: #1, 8012(40%)
minecraft.dropped.pufferfish: #1, 278(64%)
minecraft.picked_up.brown_mushroom_block: #1, 27066(60%)
minecraft.picked_up.nautilus_shell: #1, 378(49%)
minecraft.mined.chain: #1, 1950(45%)
minecraft.dropped.cooked_salmon: #1, 465(56%)
minecraft.dropped.brown_mushroom_block: #1, 6762(81%)
minecraft.dropped.fishing_rod: #1, 183(41%)
minecraft.dropped.prismarine_crystals: #1, 2090(92%)
minecraft.picked_up.pufferfish: #1, 1588(40%)
minecraft.dropped.acacia_planks: #1, 432(61%)
minecraft.used.brown_mushroom: #1, 963(43%)
minecraft.dropped.vine: #1, 182(74%)
minecraft.dropped.deepslate_iron_ore: #1, 361(64%)
minecraft.custom.fish_caught: #1, 7848(35%)
minecraft.picked_up.cooked_cod: #1, 2040(33%)
minecraft.mined.mushroom_stem: #1, 4158(39%)
minecraft.mined.cobbled_deepslate_slab: #1, 1232(45%)
minecraft.picked_up.saddle: #1, 270(31%)
minecraft.picked_up.mossy_stone_brick_stairs: #1, 140(56%)
minecraft.picked_up.chain: #1, 2086(32%)
minecraft.used.stone_hoe: #1, 5163(48%)
minecraft.dropped.cooked_cod: #1, 981(37%)
minecraft.crafted.cooked_cod: #1, 4256(74%)
minecraft.crafted.warped_hyphae: #1, 1320(57%)
minecraft.picked_up.salmon: #1, 2525(30%)
minecraft.picked_up.fishing_rod: #1, 374(28%)
minecraft.picked_up.name_tag: #1, 316(31%)
minecraft.crafted.cooked_salmon: #1, 1971(35%)
minecraft.dropped.iron_ore: #1, 760(38%)
minecraft.picked_up.tuff_brick_slab: #1, 1388(34%)
minecraft.used.cod: #1, 95(42%)
minecraft.dropped.tropical_fish: #1, 131(50%)
minecraft.picked_up.cobbled_deepslate_slab: #1, 2118(39%)
minecraft.picked_up.mud_bricks: #1, 2262(30%)
minecraft.picked_up.warped_hyphae: #1, 284(72%)
minecraft.picked_up.mushroom_stem: #1, 4410(38%)
minecraft.dropped.flowering_azalea: #1, 1736(34%)
minecraft.mined.tnt: #1, 806(32%)
minecraft.used.fishing_rod: #1, 11616(24%)
minecraft.dropped.gold_ore: #1, 63(62%)
minecraft.picked_up.cobbled_deepslate_stairs: #1, 627(31%)
minecraft.dropped.pink_petals: #1, 1278(37%)
minecraft.picked_up.crying_obsidian: #1, 1482(30%)
minecraft.picked_up.acacia_planks: #1, 526(31%)
minecraft.dropped.deepslate_lapis_ore: #1, 89(65%)
minecraft.dropped.lapis_ore: #1, 74(34%)
minecraft.dropped.orange_terracotta: #1, 743(38%)
minecraft.crafted.spruce_wood: #1, 2867(29%)
minecraft.picked_up.respawn_anchor: #1, 66(64%)
minecraft.mined.jungle_wall_sign: #1, 91(46%)
minecraft.mined.spruce_wood: #1, 410(34%)
minecraft.crafted.mangrove_button: #1, 72(35%)
minecraft.dropped.charcoal: #1, 191(90%)
minecraft.dropped.tripwire_hook: #1, 81(42%)
minecraft.dropped.spruce_fence: #1, 290(36%)
minecraft.picked_up.red_sandstone: #1, 518(36%)
minecraft.mined.cobbled_deepslate_stairs: #2, 344(34%)
minecraft.dropped.spruce_fence_gate: #1, 74(61%)
minecraft.dropped.mangrove_planks: #1, 257(44%)
minecraft.used.spruce_wood: #1, 2989(29%)
minecraft.picked_up.spruce_wood: #1, 522(32%)
minecraft.used.mushroom_stem: #1, 2476(33%)
minecraft.picked_up.tropical_fish: #1, 291(25%)
minecraft.used.tnt: #1, 3765(23%)
minecraft.dropped.oak_planks: #1, 659(22%)
minecraft.mined.sea_pickle: #2, 779(29%)
minecraft.used.netherite_chestplate: #1, 247(47%)
minecraft.dropped.prismarine: #1, 826(56%)
minecraft.dropped.saddle: #1, 28(25%)
minecraft.picked_up.stone_brick_stairs: #1, 1147(24%)
minecraft.picked_up.ink_sac: #1, 5893(21%)
minecraft.picked_up.copper_grate: #1, 248(34%)
minecraft.dropped.azalea: #2, 2212(28%)
minecraft.mined.dark_prismarine_slab: #1, 209(45%)
minecraft.crafted.dispenser: #1, 379(23%)
minecraft.used.mangrove_button: #1, 55(34%)
minecraft.mined.cyan_candle: #1, 47(49%)
minecraft.picked_up.light_gray_dye: #2, 283(28%)
minecraft.picked_up.cyan_candle: #1, 100(44%)
minecraft.mined.light_gray_concrete_powder: #1, 532(24%)
minecraft.dropped.bricks: #1, 404(37%)
minecraft.picked_up.prismarine_crystals: #2, 1349(39%)
minecraft.mined.farmland: #1, 930(20%)
minecraft.picked_up.tripwire_hook: #1, 139(22%)
minecraft.picked_up.short_dry_grass: #1, 618(46%)
minecraft.used.chain: #1, 3260(19%)
minecraft.dropped.campfire: #1, 35(42%)
minecraft.picked_up.glass_pane: #1, 619(22%)
minecraft.picked_up.tuff_slab: #1, 386(24%)
minecraft.broken.stone_hoe: #1, 29(49%)
minecraft.used.cobbled_deepslate_slab: #1, 4229(24%)
minecraft.picked_up.beetroot_seeds: #1, 5181(18%)
minecraft.mined.blackstone_wall: #1, 30(48%)
minecraft.picked_up.milk_bucket: #1, 55(28%)
minecraft.mined.stone_brick_stairs: #1, 580(21%)
minecraft.mined.tuff_slab: #1, 159(25%)
minecraft.dropped.tuff_brick_slab: #1, 232(39%)
minecraft.dropped.clay: #1, 264(22%)
minecraft.used.rose_bush: #1, 244(22%)
minecraft.picked_up.jungle_sign: #1, 101(24%)
minecraft.crafted.prismarine: #1, 5616(76%)
minecraft.dropped.oak_slab: #1, 197(22%)
minecraft.dropped.dark_prismarine: #1, 633(91%)
minecraft.dropped.deepslate_redstone_ore: #1, 209(28%)
minecraft.crafted.dark_prismarine_slab: #1, 252(64%)
minecraft.picked_up.deepslate_iron_ore: #2, 1820(23%)
minecraft.dropped.mangrove_leaves: #1, 1823(30%)
minecraft.picked_up.dark_prismarine_slab: #1, 216(41%)
minecraft.picked_up.enchanted_book: #1, 252(18%)
minecraft.dropped.brown_concrete_powder: #1, 93(89%)
minecraft.dropped.powder_snow_bucket: #1, 47(73%)
minecraft.picked_up.dark_prismarine_stairs: #1, 113(44%)
minecraft.crafted.prismarine_slab: #1, 342(87%)
minecraft.dropped.black_stained_glass: #1, 130(31%)
