stat, rank, value, (percentage) 
minecraft.dropped.green_dye: #4, 192(5%)
minecraft.dropped.light_blue_bed: #4, 1(14%)
minecraft.used.green_dye: #6, 117(8%)
minecraft.used.cod: #7, 9(4%)
minecraft.dropped.yellow_shulker_box: #7, 1(4%)
minecraft.dropped.mutton: #8, 16(2%)
minecraft.picked_up.spruce_sign: #9, 78(3%)
minecraft.used.diamond_leggings: #9, 5(2%)
minecraft.picked_up.green_dye: #11, 76(1%)
minecraft.used.diamond_helmet: #12, 2(1%)
minecraft.picked_up.glow_ink_sac: #13, 137(3%)
minecraft.dropped.spruce_sign: #13, 13(2%)
minecraft.used.diamond_boots: #13, 5(1%)
minecraft.dropped.spruce_slab: #14, 38(2%)
minecraft.dropped.stripped_spruce_log: #14, 2(1%)
minecraft.used.glow_ink_sac: #15, 118(2%)
minecraft.dropped.oak_planks: #15, 32(1%)
minecraft.mined.light_blue_bed: #15, 2(0%)
minecraft.picked_up.light_blue_bed: #15, 2(0%)
minecraft.used.light_blue_bed: #15, 1(0%)
minecraft.used.spruce_sign: #16, 132(2%)
minecraft.custom.damage_absorbed: #16, 80(0%)
minecraft.used.leather_chestplate: #17, 3(1%)
minecraft.picked_up.lime_shulker_box: #17, 14(0%)
minecraft.mined.lime_shulker_box: #17, 14(0%)
minecraft.used.lime_shulker_box: #17, 13(0%)
minecraft.used.totem_of_undying: #17, 1(0%)
minecraft.used.cooked_chicken: #17, 12(0%)
minecraft.used.crossbow: #17, 1(0%)
minecraft.used.leather_leggings: #18, 2(1%)
minecraft.used.leather_boots: #20, 2(1%)
minecraft.dropped.spruce_planks: #20, 16(0%)
minecraft.mined.sculk_vein: #20, 1(0%)
minecraft.killed_by.skeleton: #21, 1(0%)
minecraft.custom.fish_caught: #21, 9(0%)
minecraft.used.gray_wool: #21, 1(0%)
minecraft.dropped.beetroot: #21, 1(0%)
minecraft.picked_up.cooked_chicken: #22, 37(0%)
minecraft.killed.sheep: #22, 11(0%)
minecraft.used.white_wool: #22, 8(0%)
minecraft.dropped.stone_bricks: #22, 1(0%)
minecraft.used.cooked_cod: #22, 1(0%)
minecraft.dropped.beetroot_seeds: #22, 4(0%)
