stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_leaves: #1, 6652(64%)
minecraft.dropped.yellow_dye: #1, 424(53%)
minecraft.killed.skeleton: #1, 30401(49%)
minecraft.crafted.andesite_wall: #1, 2155(71%)
minecraft.picked_up.spruce_leaves: #1, 21662(46%)
minecraft.crafted.purple_dye: #1, 7644(52%)
minecraft.crafted.tuff_slab: #1, 1914(54%)
minecraft.used.spruce_leaves: #1, 13902(47%)
minecraft.dropped.spider_eye: #1, 41530(41%)
minecraft.used.string: #2, 12708(41%)
minecraft.mined.spruce_leaves: #1, 32352(41%)
minecraft.dropped.bone_meal: #1, 36133(38%)
minecraft.crafted.green_dye: #1, 5310(39%)
minecraft.crafted.sugar: #1, 5241(44%)
minecraft.crafted.moss_carpet: #1, 12711(46%)
minecraft.crafted.blue_dye: #1, 18755(39%)
minecraft.crafted.yellow_dye: #1, 13681(39%)
minecraft.crafted.bamboo_stairs: #1, 1516(49%)
minecraft.crafted.tuff_stairs: #1, 468(66%)
minecraft.mined.bee_nest: #1, 264(42%)
minecraft.crafted.gray_dye: #1, 13080(37%)
minecraft.used.bamboo_stairs: #1, 1408(49%)
minecraft.crafted.brown_dye: #1, 7135(44%)
minecraft.mined.stripped_jungle_wood: #1, 983(55%)
minecraft.mined.coarse_dirt: #1, 7487(35%)
minecraft.picked_up.stripped_jungle_wood: #1, 1021(54%)
minecraft.custom.raid_win: #1, 4285(53%)
minecraft.crafted.orange_dye: #1, 8201(35%)
minecraft.crafted.tuff_wall: #1, 876(52%)
minecraft.used.cocoa_beans: #1, 8376(34%)
minecraft.crafted.candle: #1, 9158(51%)
minecraft.picked_up.jungle_leaves: #1, 7041(36%)
minecraft.crafted.magenta_dye: #1, 5826(36%)
minecraft.mined.stripped_oak_wood: #1, 972(41%)
minecraft.mined.jungle_leaves: #1, 11512(31%)
minecraft.picked_up.bee_nest: #1, 253(39%)
minecraft.mined.stripped_bamboo_block: #1, 896(43%)
minecraft.crafted.cyan_dye: #1, 8280(32%)
minecraft.used.stripped_bamboo_block: #1, 587(51%)
minecraft.crafted.yellow_candle: #1, 1088(95%)
minecraft.crafted.snow: #1, 27828(69%)
minecraft.picked_up.stripped_oak_wood: #1, 963(40%)
minecraft.picked_up.stripped_bamboo_block: #1, 875(42%)
minecraft.dropped.rose_bush: #1, 361(43%)
minecraft.dropped.golden_sword: #1, 657(41%)
minecraft.picked_up.coarse_dirt: #1, 7365(29%)
minecraft.crafted.red_dye: #1, 18309(29%)
minecraft.crafted.granite_wall: #1, 570(60%)
minecraft.mined.stripped_dark_oak_wood: #1, 942(36%)
minecraft.mined.stripped_spruce_wood: #1, 1064(33%)
minecraft.used.campfire: #1, 1131(29%)
minecraft.crafted.campfire: #1, 1256(29%)
minecraft.used.snow: #1, 33232(40%)
minecraft.killed.cave_spider: #1, 24466(32%)
minecraft.crafted.andesite_stairs: #1, 478(50%)
minecraft.picked_up.pale_oak_leaves: #1, 3142(33%)
minecraft.picked_up.stripped_spruce_wood: #1, 1061(32%)
minecraft.crafted.pink_dye: #1, 4296(29%)
minecraft.mined.rooted_dirt: #1, 5414(32%)
minecraft.dropped.cookie: #1, 1426(35%)
minecraft.crafted.black_dye: #1, 21457(28%)
minecraft.crafted.light_blue_dye: #1, 7208(26%)
minecraft.mined.acacia_leaves: #1, 8302(28%)
minecraft.dropped.coarse_dirt: #1, 915(37%)
minecraft.crafted.white_dye: #1, 24015(25%)
minecraft.crafted.light_gray_dye: #1, 7494(26%)
minecraft.picked_up.white_concrete_powder: #2, 20589(34%)
minecraft.crafted.bamboo_trapdoor: #1, 3434(29%)
minecraft.picked_up.oxidized_copper_door: #1, 39(40%)
minecraft.crafted.pink_candle: #1, 1088(98%)
minecraft.crafted.andesite_slab: #2, 1988(33%)
minecraft.crafted.bamboo_fence: #1, 1359(29%)
minecraft.mined.bamboo_stairs: #1, 168(32%)
minecraft.crafted.beehive: #1, 2713(34%)
minecraft.picked_up.rooted_dirt: #1, 4950(25%)
minecraft.used.waxed_weathered_copper_trapdoor: #1, 586(48%)
minecraft.used.bamboo_fence: #1, 1405(28%)
minecraft.dropped.oxeye_daisy: #1, 232(26%)
minecraft.mined.small_dripleaf: #1, 110(33%)
minecraft.mined.waxed_weathered_copper_trapdoor: #1, 103(40%)
minecraft.mined.large_fern: #2, 2048(29%)
minecraft.picked_up.bone: #1, 23720(22%)
minecraft.used.bamboo_trapdoor: #1, 3324(25%)
minecraft.crafted.gray_banner: #1, 153(42%)
minecraft.picked_up.raw_gold_block: #1, 320(42%)
minecraft.picked_up.stripped_dark_oak_wood: #1, 648(28%)
minecraft.dropped.bamboo_fence: #1, 68(68%)
minecraft.crafted.cyan_candle: #1, 939(89%)
