stat, rank, value, (percentage) 
minecraft.dropped.blackstone: #1, 4970(56%)
minecraft.mined.polished_granite: #1, 893(50%)
minecraft.dropped.crying_obsidian: #1, 1148(73%)
minecraft.dropped.soul_sand: #1, 2155(41%)
minecraft.dropped.nether_brick: #1, 2186(61%)
minecraft.mined.bricks: #1, 1545(31%)
minecraft.used.polished_granite: #1, 3078(33%)
minecraft.used.red_mushroom: #1, 196(65%)
minecraft.picked_up.polished_granite: #1, 632(30%)
minecraft.mined.flowering_azalea: #1, 416(25%)
minecraft.picked_up.bricks: #1, 1505(23%)
minecraft.mined.azalea: #1, 583(22%)
minecraft.mined.red_mushroom: #1, 168(29%)
minecraft.mined.polished_blackstone: #1, 155(27%)
minecraft.mined.mangrove_trapdoor: #1, 194(22%)
minecraft.mined.pale_oak_planks: #1, 244(32%)
minecraft.used.bricks: #1, 3591(22%)
minecraft.crafted.polished_tuff: #1, 7364(18%)
minecraft.dropped.orange_wool: #1, 129(43%)
minecraft.used.lime_bed: #1, 247(25%)
minecraft.mined.pale_oak_trapdoor: #1, 146(21%)
minecraft.crafted.lime_bed: #1, 261(35%)
minecraft.used.birch_hanging_sign: #1, 35(32%)
minecraft.mined.mangrove_button: #1, 10(48%)
minecraft.used.weeping_vines: #1, 168(32%)
minecraft.crafted.cobbled_deepslate_slab: #1, 1878(20%)
minecraft.used.jungle_button: #1, 116(31%)
minecraft.mined.mossy_stone_brick_slab: #1, 30(29%)
minecraft.custom.damage_dealt: #3, 9161986(14%)
minecraft.picked_up.pale_oak_trapdoor: #1, 132(18%)
minecraft.picked_up.mangrove_button: #1, 22(37%)
minecraft.dropped.orange_tulip: #2, 195(27%)
minecraft.crafted.jungle_button: #1, 138(25%)
minecraft.crafted.stone_shovel: #2, 87(19%)
minecraft.picked_up.polished_blackstone: #1, 145(19%)
minecraft.mined.acacia_planks: #1, 163(17%)
minecraft.crafted.slime_block: #2, 1319(22%)
minecraft.crafted.polished_diorite_slab: #1, 78(43%)
minecraft.crafted.polished_granite: #2, 2780(21%)
minecraft.picked_up.mangrove_trapdoor: #1, 175(15%)
minecraft.used.exposed_cut_copper_slab: #1, 58(42%)
minecraft.crafted.deepslate_tiles: #2, 1509(27%)
