stat, rank, value, (percentage) 
minecraft.picked_up.pitcher_pod: #9, 15(1%)
minecraft.picked_up.spyglass: #10, 3(1%)
minecraft.dropped.orange_dye: #10, 3(1%)
minecraft.dropped.lime_dye: #11, 3(1%)
minecraft.mined.green_bed: #11, 1(0%)
minecraft.dropped.pitcher_pod: #11, 3(0%)
minecraft.dropped.lilac: #12, 2(0%)
minecraft.dropped.white_tulip: #13, 2(0%)
minecraft.dropped.torchflower_seeds: #13, 1(0%)
minecraft.used.bundle: #14, 15(1%)
minecraft.picked_up.netherite_chestplate: #14, 1(1%)
minecraft.picked_up.yellow_dye: #14, 13(0%)
minecraft.used.wooden_sword: #14, 11(1%)
minecraft.picked_up.wooden_sword: #14, 1(0%)
minecraft.picked_up.torchflower_seeds: #14, 4(0%)
minecraft.dropped.yellow_dye: #15, 3(0%)
minecraft.picked_up.lime_dye: #15, 4(0%)
minecraft.dropped.peony: #16, 2(1%)
minecraft.picked_up.pitcher_plant: #16, 6(0%)
minecraft.used.wheat: #16, 2(0%)
minecraft.picked_up.bundle: #17, 5(1%)
minecraft.picked_up.red_dye: #17, 9(1%)
minecraft.picked_up.sea_pickle: #17, 32(0%)
minecraft.dropped.red_dye: #18, 3(0%)
minecraft.dropped.armor_stand: #18, 1(0%)
minecraft.dropped.bundle: #19, 1(1%)
minecraft.crafted.birch_sign: #21, 9(1%)
minecraft.used.wind_charge: #21, 42(1%)
minecraft.picked_up.mace: #21, 1(0%)
minecraft.dropped.cornflower: #21, 2(0%)
minecraft.mined.mangrove_trapdoor: #21, 1(0%)
minecraft.used.leather_chestplate: #22, 1(0%)
minecraft.dropped.carved_pumpkin: #22, 5(0%)
minecraft.picked_up.blue_dye: #22, 4(0%)
minecraft.picked_up.orange_dye: #22, 3(0%)
minecraft.used.birch_sign: #22, 4(0%)
minecraft.dropped.writable_book: #22, 1(0%)
minecraft.picked_up.mangrove_trapdoor: #22, 1(0%)
minecraft.dropped.green_dye: #22, 2(0%)
minecraft.picked_up.white_tulip: #22, 2(0%)
minecraft.used.mangrove_trapdoor: #22, 1(0%)
minecraft.picked_up.spruce_planks: #23, 61(0%)
minecraft.picked_up.fishing_rod: #23, 3(0%)
minecraft.picked_up.lilac: #23, 3(0%)
minecraft.picked_up.firework_rocket: #24, 1058(1%)
minecraft.picked_up.diamond_sword: #24, 5(0%)
minecraft.killed_by.zombie: #24, 1(0%)
minecraft.custom.trigger_trapped_chest: #24, 1(0%)
minecraft.picked_up.green_dye: #24, 3(0%)
minecraft.picked_up.orange_shulker_box: #24, 1(0%)
minecraft.dropped.bamboo: #24, 1(0%)
minecraft.used.carved_pumpkin: #25, 1(0%)
minecraft.picked_up.writable_book: #25, 1(0%)
minecraft.picked_up.carved_pumpkin: #25, 8(0%)
minecraft.custom.player_kills: #25, 1(0%)
minecraft.picked_up.armadillo_scute: #25, 5(0%)
minecraft.dropped.cooked_beef: #25, 2(0%)
minecraft.picked_up.peony: #25, 3(0%)
minecraft.picked_up.torchflower: #25, 1(0%)
minecraft.picked_up.white_dye: #25, 1(0%)
minecraft.picked_up.cornflower: #25, 2(0%)
minecraft.picked_up.leather_boots: #26, 1(0%)
minecraft.mined.tripwire: #26, 2(0%)
minecraft.custom.inspect_dropper: #26, 33(0%)
minecraft.picked_up.armor_stand: #26, 2(0%)
minecraft.dropped.paper: #26, 1(0%)
minecraft.picked_up.sunflower: #26, 1(0%)
minecraft.picked_up.sugar_cane: #26, 25(0%)
minecraft.used.netherrack: #26, 2(0%)
minecraft.picked_up.netherrack: #26, 2(0%)
minecraft.killed_by.player: #27, 9(0%)
minecraft.picked_up.leather_leggings: #27, 1(0%)
minecraft.used.mace: #27, 16(0%)
minecraft.picked_up.diamond_axe: #27, 1(0%)
minecraft.killed.player: #27, 1(0%)
minecraft.used.writable_book: #27, 3(0%)
minecraft.picked_up.white_shulker_box: #27, 1(0%)
minecraft.used.white_shulker_box: #27, 1(0%)
minecraft.picked_up.paper: #27, 1(0%)
minecraft.picked_up.wheat_seeds: #27, 9(0%)
minecraft.mined.wheat: #27, 2(0%)
minecraft.picked_up.wheat: #27, 2(0%)
minecraft.picked_up.stone: #27, 5(0%)
