stat, rank, value, (percentage) 
minecraft.picked_up.chorus_fruit: #1, 17722(69%)
minecraft.picked_up.purpur_pillar: #1, 3431(78%)
minecraft.picked_up.torchflower: #1, 1254(61%)
minecraft.picked_up.pitcher_plant: #1, 1278(57%)
minecraft.used.purpur_block: #1, 9897(75%)
minecraft.mined.beehive: #1, 2952(75%)
minecraft.picked_up.beehive: #1, 4736(75%)
minecraft.dropped.purpur_block: #1, 1309(68%)
minecraft.used.beehive: #1, 6858(66%)
minecraft.picked_up.cooked_mutton: #1, 4191(56%)
minecraft.picked_up.torchflower_seeds: #1, 1331(61%)
minecraft.dropped.white_shulker_box: #1, 193(75%)
minecraft.picked_up.chorus_flower: #1, 2087(60%)
minecraft.mined.torchflower: #1, 1009(71%)
minecraft.mined.purpur_pillar: #1, 1050(55%)
minecraft.mined.jungle_planks: #1, 1644(48%)
minecraft.picked_up.purpur_block: #1, 7494(43%)
minecraft.dropped.cyan_dye: #1, 207(58%)
minecraft.used.torchflower_seeds: #1, 1038(74%)
minecraft.picked_up.bundle: #1, 165(33%)
minecraft.dropped.purpur_pillar: #1, 576(72%)
minecraft.mined.open_eyeblossom: #1, 240(71%)
minecraft.picked_up.pink_dye: #1, 268(39%)
minecraft.mined.chorus_plant: #1, 659(51%)
minecraft.used.snowball: #1, 2005(29%)
minecraft.picked_up.open_eyeblossom: #1, 263(69%)
minecraft.picked_up.orange_dye: #1, 323(34%)
minecraft.picked_up.cyan_dye: #1, 465(36%)
minecraft.mined.pitcher_crop: #1, 988(76%)
minecraft.picked_up.beetroot: #1, 10083(36%)
minecraft.picked_up.magenta_dye: #1, 367(35%)
minecraft.picked_up.jungle_fence_gate: #1, 168(59%)
minecraft.picked_up.purpur_slab: #1, 400(40%)
minecraft.mined.closed_eyeblossom: #1, 372(61%)
minecraft.picked_up.spruce_fence_gate: #1, 810(39%)
minecraft.picked_up.campfire: #1, 518(34%)
minecraft.dropped.end_stone: #1, 841(53%)
minecraft.used.jungle_planks: #1, 6651(37%)
minecraft.dropped.potato: #1, 7340(31%)
minecraft.used.chorus_flower: #1, 739(64%)
minecraft.picked_up.blue_dye: #1, 327(31%)
minecraft.custom.target_hit: #1, 1919(31%)
minecraft.picked_up.cyan_shulker_box: #1, 1309(26%)
minecraft.dropped.wheat: #1, 5837(30%)
minecraft.picked_up.light_gray_dye: #1, 353(34%)
minecraft.picked_up.jungle_planks: #1, 2020(32%)
minecraft.mined.cyan_shulker_box: #1, 1306(26%)
minecraft.dropped.beetroot: #1, 8783(36%)
minecraft.picked_up.pitcher_pod: #1, 711(40%)
minecraft.used.purpur_stairs: #1, 1201(69%)
minecraft.picked_up.dark_prismarine: #1, 2435(44%)
minecraft.used.pitcher_pod: #1, 1032(74%)
minecraft.used.yellow_glazed_terracotta: #1, 2822(79%)
minecraft.used.cyan_shulker_box: #1, 1303(25%)
minecraft.picked_up.flow_pottery_sherd: #1, 170(42%)
