stat, rank, value, (percentage) 
minecraft.dropped.stone_sword: #1, 2460(82%)
minecraft.used.spruce_button: #1, 56017(97%)
minecraft.crafted.spruce_button: #1, 54252(97%)
minecraft.used.bamboo_button: #1, 17538(98%)
minecraft.killed.wither_skeleton: #1, 19039(76%)
minecraft.dropped.coal: #1, 18494(70%)
minecraft.mined.packed_mud: #1, 31370(67%)
minecraft.picked_up.packed_mud: #1, 39118(66%)
minecraft.picked_up.spruce_button: #1, 3292(82%)
minecraft.crafted.decorated_pot: #1, 6982(68%)
minecraft.crafted.bamboo_button: #1, 16938(96%)
minecraft.mined.quartz_block: #1, 6799(67%)
minecraft.used.quartz_block: #1, 21077(67%)
minecraft.used.mangrove_roots: #1, 21504(66%)
minecraft.used.leaf_litter: #1, 8682(72%)
minecraft.mined.spruce_button: #1, 1464(89%)
minecraft.killed.wither: #1, 304(88%)
minecraft.picked_up.quartz_block: #1, 8271(61%)
minecraft.crafted.light_blue_shulker_box: #1, 325(81%)
minecraft.picked_up.nether_star: #1, 326(86%)
minecraft.mined.bamboo_button: #1, 1855(97%)
minecraft.crafted.beacon: #1, 326(90%)
minecraft.dropped.cut_sandstone: #1, 692(78%)
minecraft.used.wither_skeleton_skull: #1, 991(82%)
minecraft.dropped.armadillo_scute: #1, 5979(52%)
minecraft.used.packed_mud: #1, 67276(51%)
minecraft.picked_up.bamboo_button: #1, 3095(79%)
minecraft.picked_up.armadillo_scute: #2, 4683(39%)
minecraft.dropped.chest: #1, 3122(53%)
minecraft.picked_up.light_blue_shulker_box: #1, 2854(48%)
minecraft.picked_up.stone_sword: #1, 579(46%)
minecraft.used.quartz_slab: #1, 6902(60%)
minecraft.mined.copper_block: #1, 1761(52%)
minecraft.mined.chiseled_sandstone: #1, 361(70%)
minecraft.mined.black_terracotta: #1, 3989(69%)
minecraft.crafted.melon: #1, 30848(68%)
minecraft.used.light_blue_shulker_box: #1, 2790(48%)
minecraft.dropped.sugar_cane: #1, 13581(50%)
minecraft.picked_up.acacia_trapdoor: #1, 1466(49%)
minecraft.dropped.quartz_block: #1, 11181(89%)
minecraft.mined.light_blue_shulker_box: #1, 2783(48%)
minecraft.picked_up.black_terracotta: #1, 4473(69%)
minecraft.used.black_terracotta: #1, 13530(69%)
minecraft.mined.acacia_trapdoor: #1, 1033(49%)
minecraft.dropped.spruce_leaves: #1, 3547(54%)
minecraft.dropped.sandstone: #1, 4498(47%)
