stat, rank, value, (percentage) 
minecraft.crafted.white_banner: #1, 9672(90%)
minecraft.picked_up.stone_shovel: #1, 157(69%)
minecraft.picked_up.bamboo_fence_gate: #1, 1082(81%)
minecraft.picked_up.deepslate_tiles: #1, 7431(45%)
minecraft.used.mangrove_propagule: #1, 5690(49%)
minecraft.picked_up.cherry_sapling: #1, 4266(42%)
minecraft.crafted.jungle_boat: #1, 142(64%)
minecraft.used.stone_shovel: #1, 13949(43%)
minecraft.picked_up.cherry_log: #1, 12517(39%)
minecraft.mined.deepslate_tiles: #1, 4854(37%)
minecraft.picked_up.stripped_cherry_log: #1, 1138(48%)
minecraft.dropped.mangrove_roots: #1, 1457(51%)
minecraft.dropped.brown_wool: #1, 175(57%)
minecraft.dropped.mangrove_log: #1, 1256(65%)
minecraft.dropped.red_wool: #1, 153(56%)
minecraft.picked_up.mangrove_propagule: #1, 6957(37%)
minecraft.crafted.light_blue_banner: #1, 164(65%)
minecraft.mined.oak_sign: #1, 85(33%)
minecraft.dropped.cherry_sapling: #1, 405(58%)
minecraft.mined.stripped_cherry_log: #1, 975(45%)
minecraft.mined.cherry_log: #1, 8332(34%)
minecraft.broken.iron_shovel: #1, 83(42%)
minecraft.crafted.green_banner: #1, 139(43%)
minecraft.picked_up.cherry_stairs: #1, 383(90%)
minecraft.broken.stone_shovel: #1, 106(48%)
minecraft.picked_up.cherry_sign: #1, 39(59%)
minecraft.crafted.blue_banner: #1, 137(64%)
minecraft.used.calcite: #1, 4895(29%)
minecraft.dropped.blue_wool: #1, 211(62%)
minecraft.crafted.stone_shovel: #1, 132(29%)
minecraft.picked_up.acacia_slab: #1, 428(42%)
minecraft.crafted.purple_banner: #1, 138(83%)
minecraft.used.iron_shovel: #1, 21685(30%)
minecraft.crafted.deepslate_tile_slab: #1, 978(37%)
minecraft.mined.mangrove_leaves: #1, 46588(26%)
minecraft.used.snowball: #2, 1531(22%)
minecraft.dropped.purple_wool: #1, 130(53%)
minecraft.used.wooden_shovel: #1, 1564(57%)
minecraft.dropped.deepslate_tiles: #1, 399(34%)
minecraft.crafted.brown_banner: #1, 322(43%)
minecraft.crafted.cyan_banner: #1, 137(45%)
minecraft.used.egg: #2, 10109(25%)
minecraft.picked_up.black_concrete: #1, 4792(23%)
minecraft.mined.cherry_stairs: #1, 195(82%)
minecraft.crafted.pink_banner: #1, 180(47%)
minecraft.crafted.bamboo_fence_gate: #1, 560(39%)
minecraft.picked_up.acacia_wood: #1, 409(27%)
minecraft.picked_up.pink_banner: #1, 33(33%)
minecraft.crafted.magenta_banner: #1, 125(89%)
minecraft.killed_by.skeleton: #1, 64(24%)
minecraft.dropped.magenta_wool: #1, 161(57%)
minecraft.mined.pink_banner: #1, 25(74%)
minecraft.used.blue_dye: #1, 30(57%)
minecraft.picked_up.cooked_salmon: #1, 406(20%)
minecraft.used.bamboo_fence_gate: #1, 376(35%)
minecraft.picked_up.calcite: #1, 7432(20%)
minecraft.picked_up.diamond_hoe: #1, 41(21%)
minecraft.mined.calcite: #1, 6706(20%)
minecraft.picked_up.deepslate_brick_wall: #1, 336(28%)
minecraft.dropped.mangrove_propagule: #1, 133(34%)
minecraft.mined.mangrove_log: #1, 6418(19%)
minecraft.used.cactus: #1, 830(20%)
minecraft.custom.interact_with_campfire: #1, 2786(18%)
minecraft.dropped.cherry_log: #1, 266(33%)
minecraft.custom.target_hit: #2, 1325(21%)
minecraft.crafted.blackstone_wall: #1, 156(38%)
minecraft.mined.polished_blackstone_wall: #1, 68(44%)
minecraft.used.glow_item_frame: #1, 737(20%)
minecraft.dropped.iron_helmet: #1, 35(24%)
minecraft.picked_up.powder_snow_bucket: #1, 122(39%)
minecraft.picked_up.polished_blackstone_wall: #1, 117(42%)
minecraft.used.powder_snow_bucket: #2, 888(30%)
minecraft.used.brown_dye: #1, 64(21%)
minecraft.picked_up.mace: #1, 48(17%)
minecraft.used.salmon_bucket: #1, 111(38%)
minecraft.crafted.yellow_banner: #1, 140(31%)
minecraft.used.brown_banner: #1, 129(29%)
minecraft.used.cherry_sapling: #1, 397(20%)
minecraft.crafted.wooden_pickaxe: #1, 7(16%)
minecraft.picked_up.polished_blackstone_brick_slab: #1, 153(49%)
minecraft.picked_up.pale_oak_slab: #1, 239(28%)
minecraft.picked_up.pale_oak_wood: #1, 167(35%)
minecraft.picked_up.blue_dye: #2, 191(18%)
minecraft.used.gunpowder: #2, 114(22%)
minecraft.broken.wooden_shovel: #1, 26(62%)
minecraft.picked_up.glow_item_frame: #2, 651(20%)
minecraft.picked_up.jungle_boat: #1, 58(19%)
