stat, rank, value, (percentage) 
minecraft.dropped.purple_shulker_box: #2, 3(12%)
minecraft.dropped.birch_stairs: #3, 2(11%)
minecraft.dropped.cyan_shulker_box: #4, 2(5%)
minecraft.used.leather_helmet: #5, 1(5%)
minecraft.dropped.verdant_froglight: #5, 64(1%)
minecraft.used.diamond_helmet: #8, 3(2%)
minecraft.killed.armadillo: #8, 1(2%)
minecraft.used.diamond_leggings: #10, 4(2%)
minecraft.dropped.red_shulker_box: #10, 1(1%)
minecraft.used.slime_ball: #11, 17(0%)
minecraft.dropped.cooked_beef: #15, 57(1%)
minecraft.used.leather_leggings: #15, 2(1%)
minecraft.used.leather_boots: #16, 2(1%)
minecraft.picked_up.birch_stairs: #16, 2(0%)
minecraft.picked_up.armadillo_scute: #17, 15(0%)
minecraft.picked_up.verdant_froglight: #17, 64(0%)
minecraft.dropped.armadillo_scute: #17, 4(0%)
minecraft.used.leather_chestplate: #18, 2(1%)
minecraft.used.diamond_boots: #18, 3(1%)
minecraft.picked_up.purple_shulker_box: #18, 11(0%)
minecraft.picked_up.cyan_bed: #18, 3(0%)
minecraft.killed_by.slime: #19, 3(1%)
minecraft.used.cyan_bed: #19, 3(0%)
minecraft.used.trial_key: #19, 2(0%)
minecraft.mined.cyan_bed: #19, 2(0%)
minecraft.mined.purple_shulker_box: #19, 5(0%)
minecraft.picked_up.trial_key: #19, 2(0%)
minecraft.dropped.poppy: #19, 8(0%)
minecraft.mined.light_blue_terracotta: #20, 2(0%)
minecraft.picked_up.light_blue_terracotta: #20, 2(0%)
minecraft.used.light_blue_terracotta: #20, 2(0%)
minecraft.dropped.diamond_leggings: #21, 2(1%)
minecraft.picked_up.cooked_beef: #21, 173(1%)
minecraft.dropped.diamond_helmet: #21, 1(1%)
minecraft.dropped.diamond_boots: #21, 2(1%)
minecraft.picked_up.spyglass: #21, 1(0%)
minecraft.dropped.leather_boots: #21, 1(0%)
minecraft.used.purple_shulker_box: #21, 4(0%)
minecraft.dropped.lead: #21, 1(0%)
minecraft.picked_up.diamond_leggings: #22, 7(1%)
minecraft.dropped.leather_helmet: #22, 2(1%)
minecraft.dropped.golden_carrot: #22, 64(0%)
minecraft.used.wind_charge: #22, 39(0%)
minecraft.dropped.shulker_box: #22, 3(0%)
minecraft.used.spyglass: #22, 7(0%)
minecraft.picked_up.leather_helmet: #23, 2(1%)
minecraft.dropped.leather_chestplate: #24, 2(0%)
minecraft.dropped.redstone: #24, 40(0%)
minecraft.picked_up.splash_potion: #24, 2(0%)
minecraft.used.splash_potion: #24, 2(0%)
minecraft.picked_up.red_shulker_box: #24, 6(0%)
minecraft.mined.red_shulker_box: #24, 3(0%)
minecraft.mined.bone_block: #24, 1(0%)
minecraft.used.bone_block: #24, 1(0%)
minecraft.killed_by.player: #25, 12(0%)
