stat, rank, value, (percentage) 
minecraft.dropped.porkchop: #1, 19230(95%)
minecraft.dropped.cooked_porkchop: #1, 7801(76%)
minecraft.crafted.smooth_stone_slab: #1, 23680(64%)
minecraft.picked_up.activator_rail: #1, 2031(78%)
minecraft.used.activator_rail: #1, 6282(84%)
minecraft.dropped.redstone_block: #1, 2372(68%)
minecraft.picked_up.armor_stand: #1, 2590(46%)
minecraft.crafted.activator_rail: #1, 5082(67%)
minecraft.crafted.bamboo_sign: #1, 3325(59%)
minecraft.mined.activator_rail: #1, 671(67%)
minecraft.used.warped_fungus: #1, 5295(82%)
minecraft.picked_up.cyan_wool: #1, 4663(49%)
minecraft.picked_up.dried_kelp_block: #1, 13216(74%)
minecraft.dropped.white_wool: #1, 2850(46%)
minecraft.killed.pillager: #1, 580874(45%)
minecraft.dropped.cyan_wool: #1, 9102(98%)
minecraft.dropped.bamboo_sign: #1, 797(82%)
minecraft.picked_up.warped_fungus: #1, 5208(47%)
minecraft.crafted.polished_blackstone_slab: #1, 2418(82%)
minecraft.dropped.bamboo_planks: #1, 3830(46%)
minecraft.crafted.redstone: #1, 133934(39%)
minecraft.picked_up.iron_door: #1, 308(40%)
minecraft.mined.smooth_stone_slab: #1, 3612(39%)
minecraft.used.cyan_wool: #1, 2770(45%)
minecraft.crafted.spruce_sign: #1, 2734(39%)
minecraft.dropped.stone_pressure_plate: #1, 178(52%)
minecraft.used.smooth_stone_slab: #1, 22441(39%)
minecraft.used.warped_stem: #1, 2875(39%)
minecraft.mined.iron_door: #1, 283(40%)
minecraft.crafted.armor_stand: #1, 3061(35%)
minecraft.used.iron_door: #1, 306(35%)
minecraft.dropped.warped_roots: #1, 1323(53%)
minecraft.picked_up.redstone_lamp: #1, 566(38%)
minecraft.dropped.cobblestone_wall: #1, 285(63%)
minecraft.crafted.cobblestone_wall: #1, 997(45%)
minecraft.crafted.bamboo_raft: #1, 169(51%)
minecraft.used.polished_blackstone_slab: #1, 2536(58%)
minecraft.dropped.dried_kelp_block: #1, 2612(90%)
minecraft.used.bamboo_sign: #1, 1470(33%)
minecraft.mined.smooth_stone: #1, 9473(32%)
minecraft.custom.interact_with_smoker: #1, 802(37%)
minecraft.dropped.cocoa_beans: #1, 395(39%)
minecraft.mined.redstone_wall_torch: #1, 445(31%)
minecraft.picked_up.spectral_arrow: #1, 5938(42%)
minecraft.mined.bamboo_wall_sign: #1, 150(32%)
minecraft.mined.brewing_stand: #1, 269(33%)
minecraft.dropped.smooth_stone_slab: #1, 1493(36%)
minecraft.used.brewing_stand: #1, 286(30%)
minecraft.picked_up.brewing_stand: #1, 270(29%)
minecraft.mined.beetroots: #1, 1284(28%)
minecraft.crafted.piston: #1, 4657(28%)
minecraft.killed.vindicator: #1, 255527(35%)
minecraft.picked_up.hopper_minecart: #2, 373(30%)
minecraft.picked_up.bamboo_sign: #1, 461(27%)
minecraft.crafted.resin_block: #1, 1768(41%)
minecraft.crafted.daylight_detector: #1, 1297(36%)
minecraft.used.smithing_table: #1, 1067(26%)
minecraft.dropped.brown_dye: #1, 181(33%)
minecraft.picked_up.smooth_stone_slab: #1, 3902(25%)
minecraft.used.cooked_porkchop: #2, 5055(24%)
minecraft.used.beetroot_seeds: #1, 1597(24%)
minecraft.crafted.iron_hoe: #1, 22(30%)
minecraft.picked_up.leather_leggings: #1, 99(19%)
minecraft.crafted.chest_minecart: #1, 138(55%)
minecraft.used.clay: #1, 2358(27%)
minecraft.dropped.bamboo_slab: #1, 867(46%)
minecraft.crafted.smooth_stone: #1, 8385(25%)
minecraft.picked_up.bucket: #1, 873(23%)
minecraft.mined.repeater: #1, 1197(23%)
minecraft.dropped.cauldron: #1, 46(65%)
minecraft.custom.raid_trigger: #1, 31137(45%)
minecraft.dropped.oxidized_copper_trapdoor: #1, 37(63%)
minecraft.used.smooth_stone: #1, 31189(26%)
minecraft.killed.witch: #2, 109711(27%)
minecraft.mined.black_glazed_terracotta: #1, 306(60%)
minecraft.picked_up.redstone_torch: #1, 2120(22%)
minecraft.crafted.smithing_table: #1, 1042(22%)
minecraft.dropped.polished_andesite_stairs: #1, 157(60%)
minecraft.dropped.activator_rail: #1, 693(90%)
minecraft.used.red_nether_brick_stairs: #1, 543(90%)
minecraft.crafted.polished_blackstone: #1, 2435(24%)
