stat, rank, value, (percentage) 
minecraft.mined.mossy_stone_bricks: #1, 3492(69%)
minecraft.mined.cracked_stone_bricks: #1, 2216(61%)
minecraft.picked_up.poppy: #1, 22736(44%)
minecraft.mined.basalt: #1, 44671(47%)
minecraft.picked_up.mossy_stone_bricks: #1, 3414(48%)
minecraft.mined.crimson_roots: #1, 2322(44%)
minecraft.mined.poppy: #1, 2599(37%)
minecraft.mined.dark_oak_fence: #1, 1205(35%)
minecraft.mined.cherry_slab: #1, 223(75%)
minecraft.mined.warped_wart_block: #1, 8578(37%)
minecraft.mined.crimson_fungus: #1, 333(37%)
minecraft.used.potato: #1, 2802(30%)
minecraft.mined.nether_wart_block: #1, 7965(35%)
minecraft.mined.potatoes: #1, 2007(28%)
minecraft.picked_up.nether_wart_block: #1, 7917(35%)
minecraft.picked_up.warped_wart_block: #1, 8546(33%)
minecraft.picked_up.dark_oak_fence: #1, 1239(28%)
minecraft.crafted.baked_potato: #1, 1414(41%)
minecraft.used.cooked_salmon: #1, 1187(27%)
minecraft.mined.cherry_planks: #1, 298(42%)
minecraft.crafted.smooth_basalt: #1, 8336(62%)
minecraft.used.crimson_fungus: #1, 393(43%)
minecraft.crafted.polished_basalt: #1, 3464(30%)
minecraft.used.dark_oak_fence: #1, 1942(23%)
minecraft.mined.crimson_stem: #1, 2630(26%)
minecraft.mined.quartz_bricks: #1, 210(59%)
minecraft.picked_up.crimson_stem: #1, 2628(22%)
minecraft.used.light_gray_glazed_terracotta: #1, 604(67%)
minecraft.mined.infested_stone_bricks: #1, 560(93%)
minecraft.crafted.cooked_salmon: #2, 1422(26%)
minecraft.picked_up.light_gray_glazed_terracotta: #1, 207(50%)
minecraft.used.sunflower: #2, 576(23%)
minecraft.mined.warped_fungus: #1, 267(19%)
minecraft.used.quartz_bricks: #1, 953(49%)
minecraft.picked_up.quartz_bricks: #1, 283(44%)
minecraft.crafted.light_gray_glazed_terracotta: #1, 448(73%)
minecraft.mined.light_gray_glazed_terracotta: #1, 221(55%)
minecraft.picked_up.potato: #2, 9031(18%)
minecraft.used.melon_seeds: #1, 262(18%)
minecraft.mined.candle: #1, 34(29%)
minecraft.picked_up.cracked_stone_bricks: #2, 2197(24%)
minecraft.used.stone_hoe: #2, 3176(30%)
minecraft.picked_up.cherry_planks: #1, 297(23%)
minecraft.picked_up.cherry_slab: #1, 219(35%)
minecraft.used.candle: #1, 108(25%)
minecraft.picked_up.dark_oak_door: #1, 33(21%)
minecraft.mined.warped_roots: #2, 1493(20%)
minecraft.crafted.cooked_chicken: #2, 384(23%)
minecraft.picked_up.mangrove_pressure_plate: #1, 22(43%)
minecraft.mined.warped_stem: #1, 2478(14%)
minecraft.mined.chiseled_tuff: #2, 301(19%)
minecraft.used.hay_block: #1, 290(14%)
minecraft.mined.tuff_brick_wall: #2, 153(21%)
minecraft.mined.mossy_cobblestone_wall: #1, 16(36%)
minecraft.mined.bamboo_stairs: #2, 121(23%)
minecraft.mined.dark_oak_door: #1, 23(29%)
minecraft.crafted.melon_seeds: #1, 290(19%)
minecraft.picked_up.warped_stem: #1, 2477(12%)
minecraft.used.polished_tuff_slab: #2, 2919(16%)
minecraft.mined.sweet_berry_bush: #2, 226(18%)
