stat, rank, value, (percentage) 
minecraft.dropped.feather: #1, 11015(71%)
minecraft.crafted.nether_brick: #1, 6216(61%)
minecraft.mined.mossy_cobblestone: #1, 971(24%)
minecraft.mined.polished_deepslate_wall: #1, 185(20%)
minecraft.dropped.lantern: #1, 105(22%)
minecraft.used.cooked_chicken: #3, 1394(19%)
minecraft.crafted.brick: #3, 24570(19%)
minecraft.used.tuff_bricks: #2, 7871(12%)
minecraft.used.cornflower: #2, 24(17%)
minecraft.used.wooden_pickaxe: #2, 59(11%)
minecraft.picked_up.mossy_cobblestone: #2, 969(10%)
minecraft.mined.light_gray_concrete_powder: #3, 342(15%)
minecraft.used.red_tulip: #2, 22(18%)
minecraft.mined.polished_tuff_slab: #3, 344(12%)
minecraft.picked_up.polished_deepslate_wall: #3, 184(12%)
minecraft.mined.polished_tuff_wall: #3, 157(10%)
minecraft.crafted.tuff_brick_stairs: #2, 104(6%)
minecraft.broken.wooden_pickaxe: #2, 1(50%)
minecraft.mined.potted_cornflower: #2, 1(50%)
minecraft.crafted.nether_brick_stairs: #2, 11(19%)
minecraft.used.mangrove_planks: #3, 1348(9%)
minecraft.picked_up.pumpkin: #3, 5372(6%)
minecraft.picked_up.chiseled_tuff: #3, 142(7%)
minecraft.used.red_terracotta: #3, 1600(8%)
minecraft.crafted.red_nether_brick_stairs: #3, 16(21%)
minecraft.mined.spruce_stairs: #4, 429(9%)
minecraft.picked_up.chiseled_tuff_bricks: #4, 537(9%)
minecraft.mined.melon: #4, 2574(8%)
minecraft.used.melon_seeds: #4, 141(10%)
minecraft.mined.chiseled_deepslate: #3, 50(6%)
minecraft.used.spruce_slab: #4, 4321(8%)
minecraft.picked_up.spruce_slab: #4, 1215(8%)
minecraft.crafted.smithing_table: #4, 370(8%)
minecraft.dropped.ancient_debris: #3, 11(10%)
minecraft.used.lantern: #4, 535(8%)
minecraft.crafted.pumpkin_seeds: #4, 164(11%)
minecraft.mined.chiseled_tuff_bricks: #5, 531(10%)
minecraft.used.magenta_terracotta: #4, 251(11%)
minecraft.crafted.golden_shovel: #3, 1(9%)
minecraft.used.mud_bricks: #5, 1946(10%)
minecraft.mined.polished_tuff_stairs: #4, 127(7%)
minecraft.picked_up.polished_tuff_stairs: #4, 151(6%)
minecraft.crafted.iron_chestplate: #4, 8(5%)
minecraft.mined.spruce_slab: #5, 948(9%)
minecraft.mined.chiseled_tuff: #4, 91(6%)
minecraft.crafted.deepslate_brick_wall: #4, 36(11%)
minecraft.used.smithing_table: #5, 373(9%)
minecraft.mined.spruce_fence: #5, 368(9%)
minecraft.crafted.red_nether_brick_slab: #3, 2(3%)
minecraft.used.pink_tulip: #4, 14(6%)
minecraft.picked_up.cyan_wool: #4, 381(4%)
minecraft.picked_up.chiseled_deepslate: #4, 49(5%)
