stat, rank, value, (percentage) 
minecraft.killed.drowned: #1, 2910640(99%)
minecraft.picked_up.copper_block: #1, 101654(95%)
minecraft.used.copper_block: #1, 114214(93%)
minecraft.killed.zombie: #1, 110293(76%)
minecraft.picked_up.exposed_copper: #1, 65591(97%)
minecraft.picked_up.oxidized_copper: #1, 22806(75%)
minecraft.picked_up.weathered_copper: #1, 42978(94%)
minecraft.mined.oxidized_copper: #1, 20083(76%)
minecraft.used.exposed_copper: #1, 64717(99%)
minecraft.crafted.white_shulker_box: #1, 986(69%)
minecraft.dropped.birch_planks: #1, 2628(73%)
minecraft.used.weathered_copper: #1, 41902(99%)
minecraft.crafted.white_carpet: #1, 5292(57%)
minecraft.crafted.green_stained_glass: #1, 11232(86%)
minecraft.crafted.brown_shulker_box: #1, 347(76%)
minecraft.mined.black_wool: #1, 7208(67%)
minecraft.picked_up.snow_block: #1, 69760(70%)
minecraft.crafted.green_carpet: #1, 8522(72%)
minecraft.dropped.ghast_tear: #1, 521(76%)
minecraft.mined.oxidized_cut_copper_slab: #1, 1685(86%)
minecraft.crafted.red_shulker_box: #1, 415(60%)
minecraft.picked_up.oxidized_cut_copper_slab: #1, 1689(83%)
minecraft.picked_up.waxed_cut_copper: #1, 1384(82%)
minecraft.mined.waxed_cut_copper: #1, 1399(87%)
minecraft.mined.oxidized_cut_copper: #1, 2533(80%)
minecraft.picked_up.oxidized_cut_copper: #1, 2541(79%)
minecraft.crafted.orange_shulker_box: #1, 210(55%)
minecraft.used.oxidized_cut_copper_slab: #1, 4023(63%)
minecraft.picked_up.waxed_exposed_copper: #1, 1855(79%)
minecraft.crafted.pink_carpet: #1, 2646(68%)
minecraft.used.pumpkin: #1, 2759(43%)
minecraft.mined.birch_slab: #1, 591(58%)
minecraft.mined.resin_block: #1, 3348(61%)
minecraft.custom.mob_kills: #1, 3124990(34%)
minecraft.picked_up.birch_slab: #1, 778(54%)
minecraft.crafted.cyan_carpet: #1, 2595(64%)
minecraft.used.white_carpet: #1, 3064(43%)
minecraft.mined.oxidized_copper_trapdoor: #1, 2808(53%)
minecraft.mined.waxed_oxidized_copper_grate: #1, 915(52%)
minecraft.used.blackstone: #1, 11677(40%)
minecraft.picked_up.waxed_oxidized_copper_grate: #1, 910(54%)
minecraft.mined.carved_pumpkin: #1, 2517(36%)
minecraft.picked_up.oxidized_copper_trapdoor: #1, 2807(48%)
minecraft.used.waxed_oxidized_cut_copper: #1, 3514(52%)
minecraft.used.oxidized_cut_copper: #1, 4245(67%)
minecraft.crafted.copper_block: #1, 13911(37%)
minecraft.picked_up.carved_pumpkin: #1, 2812(26%)
minecraft.used.dripstone_block: #1, 6078(36%)
minecraft.used.resin_block: #1, 3404(57%)
minecraft.crafted.clay: #1, 2231(60%)
minecraft.dropped.potion: #1, 1336(37%)
minecraft.used.stone_sword: #1, 4674(39%)
minecraft.picked_up.honeycomb: #1, 18185(40%)
minecraft.picked_up.resin_block: #1, 2693(51%)
minecraft.used.oxidized_copper: #1, 4274(41%)
minecraft.mined.birch_stairs: #1, 278(47%)
minecraft.used.composter: #1, 2663(34%)
minecraft.crafted.raw_copper: #1, 79637(39%)
minecraft.killed.happy_ghast: #1, 273(58%)
minecraft.crafted.light_gray_shulker_box: #1, 155(41%)
minecraft.picked_up.pumpkin_seeds: #1, 9491(31%)
minecraft.used.stone_brick_wall: #1, 1531(38%)
minecraft.picked_up.bamboo_planks: #1, 11171(33%)
minecraft.crafted.composter: #1, 2397(32%)
minecraft.picked_up.birch_stairs: #1, 345(41%)
minecraft.used.birch_slab: #1, 3390(41%)
minecraft.picked_up.waxed_weathered_copper: #1, 1323(60%)
minecraft.picked_up.white_concrete_powder: #1, 22531(37%)
minecraft.picked_up.white_stained_glass: #1, 1800(37%)
minecraft.used.waxed_weathered_cut_copper: #1, 1914(60%)
minecraft.picked_up.copper_ingot: #1, 6435(35%)
minecraft.used.waxed_oxidized_copper_grate: #1, 1343(41%)
minecraft.dropped.pumpkin_seeds: #1, 4647(32%)
minecraft.crafted.brown_carpet: #1, 2706(45%)
minecraft.mined.exposed_copper: #1, 1018(38%)
minecraft.used.white_stained_glass: #1, 11698(38%)
minecraft.crafted.white_stained_glass_pane: #1, 6848(38%)
minecraft.used.respawn_anchor: #1, 67(68%)
minecraft.custom.damage_resisted: #1, 79054(19%)
minecraft.crafted.orange_carpet: #1, 2601(58%)
minecraft.used.crimson_fence: #1, 1170(67%)
minecraft.mined.waxed_weathered_cut_copper: #1, 400(66%)
minecraft.used.brown_wool: #1, 1293(36%)
minecraft.used.bone_block: #1, 6470(29%)
minecraft.used.magenta_concrete: #1, 2219(48%)
minecraft.picked_up.brown_wool: #1, 1597(32%)
minecraft.mined.magenta_concrete: #1, 2383(47%)
minecraft.mined.waxed_oxidized_chiseled_copper: #1, 139(54%)
minecraft.picked_up.birch_sapling: #1, 4271(28%)
minecraft.crafted.waxed_oxidized_cut_copper: #1, 879(52%)
minecraft.crafted.white_stained_glass: #1, 14304(34%)
minecraft.used.brown_shulker_box: #1, 1384(32%)
minecraft.picked_up.mangrove_propagule: #2, 6310(34%)
minecraft.picked_up.waxed_weathered_cut_copper: #1, 398(61%)
minecraft.picked_up.bamboo_mosaic: #1, 410(51%)
minecraft.crafted.magenta_carpet: #1, 2595(95%)
minecraft.used.light_blue_wool: #1, 2945(39%)
minecraft.crafted.yellow_shulker_box: #1, 81(30%)
minecraft.used.blue_wool: #1, 1518(44%)
minecraft.picked_up.dripstone_block: #1, 11176(26%)
minecraft.crafted.yellow_carpet: #1, 2643(44%)
minecraft.mined.waxed_chiseled_copper: #1, 235(36%)
minecraft.used.red_glazed_terracotta: #1, 630(54%)
minecraft.mined.white_stained_glass: #1, 1092(32%)
minecraft.used.crimson_hyphae: #1, 800(49%)
minecraft.mined.white_concrete: #1, 24280(26%)
minecraft.dropped.armor_stand: #1, 112(30%)
minecraft.crafted.waxed_oxidized_copper_bulb: #1, 931(90%)
minecraft.crafted.stone_brick_wall: #1, 910(33%)
minecraft.used.warped_hyphae: #1, 1281(42%)
minecraft.used.white_concrete: #1, 26754(27%)
minecraft.picked_up.nether_brick_slab: #1, 144(63%)
minecraft.mined.nether_brick_slab: #1, 136(68%)
minecraft.used.granite_stairs: #1, 241(38%)
minecraft.used.waxed_oxidized_copper_bulb: #1, 248(43%)
minecraft.dropped.candle: #1, 256(55%)
minecraft.picked_up.waxed_oxidized_chiseled_copper: #1, 137(55%)
minecraft.picked_up.brown_shulker_box: #1, 1068(27%)
minecraft.used.red_wool: #1, 1607(26%)
minecraft.mined.waxed_oxidized_copper_bulb: #1, 54(37%)
minecraft.picked_up.waxed_chiseled_copper: #1, 216(33%)
minecraft.mined.waxed_oxidized_cut_copper: #1, 1288(30%)
minecraft.crafted.shulker_box: #1, 2814(24%)
minecraft.dropped.iron_nugget: #1, 4217(23%)
minecraft.picked_up.black_stained_glass_pane: #1, 215(28%)
minecraft.picked_up.waxed_oxidized_cut_copper: #1, 1276(29%)
minecraft.dropped.composter: #1, 64(41%)
minecraft.picked_up.red_wool: #1, 1609(24%)
minecraft.dropped.spectral_arrow: #1, 7420(38%)
minecraft.used.bamboo_planks: #1, 3583(25%)
minecraft.crafted.birch_slab: #1, 3240(26%)
minecraft.used.snow_block: #2, 67837(30%)
minecraft.mined.dripstone_block: #1, 10542(23%)
minecraft.dropped.oak_log: #1, 2248(26%)
minecraft.used.white_shulker_box: #1, 1837(21%)
minecraft.used.waxed_exposed_cut_copper: #1, 2000(80%)
minecraft.used.mangrove_propagule: #2, 3502(30%)
minecraft.dropped.oxidized_copper: #1, 231(62%)
minecraft.mined.black_stained_glass_pane: #1, 118(27%)
minecraft.picked_up.raw_copper: #1, 120257(22%)
minecraft.mined.bone_block: #1, 1603(22%)
minecraft.mined.weathered_copper: #1, 1130(29%)
minecraft.used.black_shulker_box: #1, 1228(25%)
minecraft.crafted.gray_bed: #1, 57(46%)
minecraft.used.crimson_stem: #1, 850(31%)
minecraft.picked_up.anvil: #1, 298(19%)
minecraft.crafted.waxed_copper_block: #1, 3374(68%)
minecraft.crafted.oak_pressure_plate: #1, 55(36%)
minecraft.used.waxed_exposed_copper: #1, 924(42%)
minecraft.used.mossy_stone_brick_stairs: #1, 317(39%)
minecraft.crafted.blue_carpet: #1, 2688(54%)
