stat, rank, value, (percentage) 
minecraft.dropped.cobblestone: #1, 132095(58%)
minecraft.dropped.cooked_chicken: #1, 2226(61%)
minecraft.custom.minecart_one_cm: #1, 70050845(51%)
minecraft.picked_up.cooked_chicken: #1, 5149(48%)
minecraft.dropped.pumpkin: #1, 22389(60%)
minecraft.dropped.amethyst_shard: #1, 2302(69%)
minecraft.dropped.clay_ball: #1, 3428(69%)
minecraft.dropped.blaze_rod: #1, 2005(70%)
minecraft.picked_up.pointed_dripstone: #1, 14465(43%)
minecraft.picked_up.pumpkin: #1, 32415(38%)
minecraft.dropped.dirt: #1, 49240(37%)
minecraft.dropped.oak_sapling: #1, 1877(42%)
minecraft.dropped.pink_wool: #1, 3706(89%)
minecraft.dropped.egg: #1, 2370(37%)
minecraft.picked_up.pink_wool: #1, 4305(47%)
minecraft.dropped.yellow_wool: #1, 1726(58%)
minecraft.dropped.deepslate_gold_ore: #1, 701(81%)
minecraft.dropped.redstone: #1, 6857(34%)
minecraft.used.stone_pickaxe: #1, 3402(32%)
minecraft.dropped.pointed_dripstone: #1, 838(32%)
minecraft.dropped.birch_sapling: #1, 267(38%)
minecraft.dropped.music_disc_cat: #1, 56(75%)
minecraft.dropped.bamboo_block: #1, 10975(46%)
minecraft.dropped.rabbit: #1, 108(45%)
minecraft.dropped.furnace: #1, 130(50%)
minecraft.killed.blaze: #1, 3420(30%)
minecraft.dropped.stone: #1, 72548(25%)
minecraft.crafted.cooked_chicken: #1, 577(35%)
minecraft.picked_up.blaze_rod: #1, 3930(27%)
minecraft.picked_up.experience_bottle: #1, 1751(41%)
minecraft.dropped.sea_lantern: #1, 57(65%)
minecraft.dropped.stone_pickaxe: #1, 26(29%)
minecraft.picked_up.stone_pickaxe: #1, 32(31%)
minecraft.picked_up.rabbit: #1, 109(34%)
minecraft.picked_up.tinted_glass: #1, 1313(32%)
minecraft.picked_up.glowstone: #1, 2085(27%)
minecraft.dropped.copper_ingot: #2, 2226(39%)
minecraft.used.pointed_dripstone: #1, 2991(23%)
minecraft.dropped.glowstone: #1, 1438(40%)
minecraft.dropped.iron_horse_armor: #1, 21(62%)
minecraft.dropped.coal_ore: #1, 845(25%)
minecraft.mined.jack_o_lantern: #1, 112(42%)
minecraft.picked_up.spider_eye: #1, 12122(21%)
minecraft.dropped.repeater: #1, 427(34%)
minecraft.dropped.lapis_lazuli: #1, 1086(26%)
minecraft.picked_up.iron_horse_armor: #1, 23(35%)
minecraft.mined.tinted_glass: #2, 917(33%)
minecraft.picked_up.rabbit_hide: #1, 93(34%)
minecraft.broken.stone_pickaxe: #1, 22(39%)
minecraft.dropped.deepslate: #1, 6857(21%)
minecraft.dropped.iron_ingot: #2, 6891(25%)
minecraft.dropped.lapis_block: #1, 661(70%)
minecraft.crafted.tinted_glass: #1, 3446(32%)
minecraft.picked_up.golden_horse_armor: #1, 25(34%)
minecraft.dropped.glass: #2, 7612(26%)
minecraft.crafted.stone_pickaxe: #2, 37(23%)
minecraft.used.cooked_chicken: #2, 1517(20%)
minecraft.killed.rabbit: #1, 45(31%)
minecraft.picked_up.wooden_shovel: #1, 46(35%)
minecraft.crafted.bamboo_trapdoor: #2, 3172(27%)
minecraft.dropped.sticky_piston: #1, 325(38%)
minecraft.crafted.magma_cream: #1, 634(75%)
minecraft.picked_up.bamboo_block: #2, 15587(24%)
minecraft.dropped.birch_sign: #1, 39(22%)
minecraft.dropped.comparator: #1, 223(31%)
minecraft.dropped.golden_carrot: #1, 1799(13%)
minecraft.used.bamboo_trapdoor: #2, 3147(24%)
minecraft.dropped.iron_sword: #1, 62(21%)
minecraft.picked_up.music_disc_cat: #1, 63(19%)
minecraft.dropped.redstone_torch: #2, 246(26%)
minecraft.dropped.golden_horse_armor: #1, 20(69%)
minecraft.dropped.spruce_sign: #2, 128(21%)
minecraft.crafted.ender_pearl: #1, 253(58%)
minecraft.dropped.feather: #2, 3218(21%)
minecraft.mined.red_nether_brick_wall: #1, 41(50%)
