stat, rank, value, (percentage) 
minecraft.mined.resin_clump: #1, 6062(75%)
minecraft.mined.raw_iron_block: #1, 1577(79%)
minecraft.custom.horse_one_cm: #1, 386691841(49%)
minecraft.mined.crimson_planks: #1, 934(82%)
minecraft.picked_up.raw_iron_block: #1, 1588(64%)
minecraft.mined.gray_terracotta: #1, 1072(69%)
minecraft.picked_up.crimson_planks: #1, 850(61%)
minecraft.picked_up.gray_terracotta: #1, 1072(61%)
minecraft.crafted.enchanted_book: #1, 2142(47%)
minecraft.crafted.hay_block: #1, 9790(44%)
minecraft.picked_up.magenta_terracotta: #1, 614(61%)
minecraft.mined.black_concrete_powder: #1, 2881(53%)
minecraft.picked_up.stripped_crimson_hyphae: #1, 624(88%)
minecraft.used.raw_iron_block: #1, 1324(59%)
minecraft.mined.stripped_crimson_hyphae: #1, 623(89%)
minecraft.crafted.crimson_hyphae: #1, 585(61%)
minecraft.mined.magenta_terracotta: #1, 403(56%)
minecraft.picked_up.lime_dye: #1, 497(31%)
minecraft.mined.lime_terracotta: #1, 974(51%)
minecraft.mined.gray_concrete_powder: #1, 605(49%)
minecraft.mined.white_candle: #1, 558(81%)
minecraft.mined.green_terracotta: #1, 580(40%)
minecraft.mined.yellow_carpet: #1, 382(48%)
minecraft.mined.white_carpet: #1, 671(33%)
minecraft.mined.blue_wool: #1, 420(53%)
minecraft.used.stripped_crimson_hyphae: #1, 568(76%)
minecraft.picked_up.white_candle: #1, 558(68%)
minecraft.mined.cyan_carpet: #1, 267(41%)
minecraft.mined.oak_stairs: #1, 678(29%)
minecraft.picked_up.green_terracotta: #1, 580(36%)
minecraft.used.wooden_axe: #1, 268(53%)
minecraft.used.armor_stand: #1, 1428(23%)
minecraft.mined.orange_carpet: #1, 153(38%)
minecraft.used.weathered_copper_grate: #1, 156(74%)
minecraft.mined.orange_concrete_powder: #1, 580(84%)
minecraft.used.pink_concrete: #1, 2798(41%)
minecraft.dropped.diamond_block: #1, 399(23%)
minecraft.picked_up.stripped_pale_oak_wood: #1, 372(55%)
minecraft.mined.stripped_pale_oak_wood: #1, 371(55%)
minecraft.mined.cyan_concrete_powder: #1, 88(42%)
minecraft.mined.lime_concrete_powder: #1, 276(91%)
minecraft.picked_up.lime_terracotta: #1, 962(34%)
minecraft.mined.crimson_stairs: #1, 634(74%)
minecraft.dropped.blue_concrete_powder: #1, 128(86%)
minecraft.broken.iron_pickaxe: #1, 37(24%)
minecraft.picked_up.book: #1, 2227(21%)
minecraft.picked_up.crimson_fence_gate: #1, 23(68%)
minecraft.picked_up.crimson_stairs: #1, 577(68%)
minecraft.used.iron_pickaxe: #1, 10028(19%)
minecraft.picked_up.purple_bed: #1, 107(29%)
minecraft.mined.crimson_roots: #2, 1289(24%)
minecraft.picked_up.oak_stairs: #1, 664(21%)
minecraft.used.light_blue_concrete: #1, 5078(27%)
minecraft.used.wheat: #1, 138(26%)
minecraft.picked_up.cyan_carpet: #2, 282(30%)
minecraft.dropped.gold_block: #1, 315(44%)
minecraft.used.crimson_planks: #2, 1440(31%)
minecraft.used.magenta_terracotta: #1, 685(31%)
minecraft.mined.purple_bed: #1, 92(27%)
minecraft.crafted.lime_terracotta: #1, 3476(25%)
