stat, rank, value, (percentage) 
minecraft.picked_up.sculk_vein: #1, 48386(87%)
minecraft.picked_up.armadillo_scute: #1, 5782(48%)
minecraft.used.deepslate_tiles: #1, 60353(67%)
minecraft.used.amethyst_block: #1, 6593(82%)
minecraft.mined.sculk_vein: #1, 42624(82%)
minecraft.dropped.chicken: #1, 2806(73%)
minecraft.picked_up.sculk: #1, 102149(83%)
minecraft.used.sculk: #1, 88002(91%)
minecraft.mined.sculk: #1, 109642(77%)
minecraft.crafted.dark_oak_button: #1, 2529(85%)
minecraft.used.amethyst_cluster: #1, 2296(84%)
minecraft.used.dark_oak_button: #1, 2591(88%)
minecraft.picked_up.goat_horn: #1, 515(74%)
minecraft.mined.yellow_wool: #1, 12213(76%)
minecraft.dropped.pitcher_pod: #1, 1757(95%)
minecraft.used.spyglass: #1, 3463(49%)
minecraft.dropped.cobbled_deepslate: #1, 77936(56%)
minecraft.used.anvil: #1, 2478(52%)
minecraft.used.diamond_block: #1, 4075(62%)
minecraft.picked_up.diamond: #1, 45455(47%)
minecraft.picked_up.raw_gold: #1, 23197(54%)
minecraft.used.lapis_block: #1, 4171(75%)
minecraft.used.sculk_sensor: #1, 835(78%)
minecraft.mined.diamond_block: #1, 1741(60%)
minecraft.crafted.tuff_brick_stairs: #1, 1149(68%)
minecraft.mined.warped_nylium: #1, 3931(55%)
minecraft.mined.tuff_brick_stairs: #1, 958(57%)
minecraft.mined.large_amethyst_bud: #1, 1283(83%)
minecraft.mined.amethyst_cluster: #1, 5597(54%)
minecraft.killed.silverfish: #1, 51979(49%)
minecraft.crafted.raw_gold_block: #1, 2534(64%)
minecraft.used.chiseled_tuff: #1, 4551(54%)
minecraft.picked_up.gray_dye: #1, 1036(54%)
minecraft.used.tuff_brick_stairs: #1, 6443(59%)
minecraft.picked_up.amethyst_shard: #1, 24793(51%)
minecraft.picked_up.egg: #1, 9741(36%)
minecraft.picked_up.warped_nylium: #1, 3821(52%)
minecraft.mined.crimson_nylium: #1, 2678(49%)
minecraft.dropped.torchflower_seeds: #1, 1669(80%)
minecraft.used.redstone_block: #1, 6251(45%)
minecraft.mined.medium_amethyst_bud: #1, 1387(85%)
minecraft.picked_up.amethyst_cluster: #1, 2580(52%)
minecraft.crafted.mangrove_fence: #1, 2607(55%)
minecraft.used.oak_hanging_sign: #1, 524(84%)
minecraft.used.crying_obsidian: #1, 9850(72%)
minecraft.picked_up.glowstone_dust: #1, 7066(45%)
minecraft.used.warped_nylium: #1, 1912(51%)
minecraft.picked_up.purple_dye: #1, 985(48%)
minecraft.mined.dark_oak_button: #1, 178(88%)
minecraft.crafted.anvil: #1, 2248(42%)
minecraft.mined.deepslate_gold_ore: #1, 10510(41%)
minecraft.picked_up.crimson_nylium: #1, 2468(47%)
minecraft.dropped.armadillo_scute: #2, 5154(45%)
minecraft.crafted.diamond_block: #1, 5661(41%)
minecraft.mined.small_amethyst_bud: #1, 1890(85%)
minecraft.killed.magma_cube: #1, 2750(46%)
minecraft.picked_up.wildflowers: #1, 4389(63%)
minecraft.used.mangrove_fence: #1, 2509(52%)
minecraft.crafted.wooden_sword: #1, 512(58%)
minecraft.picked_up.blue_shulker_box: #1, 3071(47%)
minecraft.used.blue_concrete: #1, 2552(70%)
minecraft.killed.phantom: #1, 524(44%)
minecraft.crafted.lapis_block: #1, 4718(42%)
minecraft.used.orange_stained_glass: #1, 9999(61%)
minecraft.picked_up.tuff_brick_stairs: #1, 1050(44%)
minecraft.picked_up.phantom_membrane: #1, 732(44%)
minecraft.crafted.wooden_shovel: #1, 496(53%)
minecraft.crafted.oak_hanging_sign: #1, 430(80%)
minecraft.crafted.quartz_pillar: #1, 1084(64%)
minecraft.mined.blue_shulker_box: #1, 3068(47%)
minecraft.picked_up.sculk_catalyst: #1, 502(59%)
minecraft.crafted.blaze_powder: #1, 7190(39%)
minecraft.mined.sculk_sensor: #1, 1943(41%)
minecraft.used.blue_shulker_box: #1, 3067(47%)
minecraft.mined.slime_block: #1, 2441(37%)
minecraft.picked_up.oak_hanging_sign: #1, 119(57%)
minecraft.mined.lapis_block: #1, 833(65%)
minecraft.used.birch_sign: #1, 499(36%)
minecraft.picked_up.lapis_lazuli: #1, 41716(36%)
minecraft.custom.inspect_dropper: #1, 13089(24%)
minecraft.picked_up.redstone: #1, 97759(34%)
minecraft.mined.honey_block: #1, 2599(39%)
minecraft.dropped.magma_cream: #1, 193(63%)
minecraft.mined.blue_concrete: #1, 1305(52%)
minecraft.crafted.diamond: #1, 28118(35%)
minecraft.mined.polished_deepslate: #1, 1803(38%)
minecraft.used.written_book: #1, 1832(35%)
minecraft.used.chiseled_deepslate: #1, 12561(54%)
minecraft.picked_up.sculk_sensor: #1, 1949(38%)
minecraft.mined.chiseled_tuff: #1, 605(39%)
minecraft.mined.redstone_block: #1, 1697(34%)
minecraft.dropped.tuff: #1, 7659(34%)
minecraft.crafted.chiseled_deepslate: #1, 97(70%)
minecraft.used.yellow_stained_glass: #1, 9991(65%)
minecraft.picked_up.small_amethyst_bud: #1, 1930(84%)
minecraft.picked_up.player_head: #1, 10323(24%)
minecraft.picked_up.diamond_block: #1, 1936(30%)
minecraft.dropped.polished_tuff_slab: #1, 384(49%)
minecraft.crafted.polished_deepslate_wall: #1, 432(49%)
minecraft.picked_up.feather: #1, 4593(33%)
minecraft.mined.yellow_concrete_powder: #1, 206(52%)
minecraft.used.leather_leggings: #1, 50(32%)
minecraft.used.warped_button: #1, 125(55%)
minecraft.dropped.cornflower: #1, 383(34%)
minecraft.picked_up.blue_concrete: #1, 1278(48%)
minecraft.custom.interact_with_lectern: #1, 3162(19%)
minecraft.mined.deepslate_diamond_ore: #1, 20109(33%)
minecraft.mined.deepslate_lapis_ore: #1, 2885(32%)
minecraft.used.honeycomb_block: #1, 9576(81%)
minecraft.crafted.crimson_slab: #1, 2198(67%)
minecraft.picked_up.quartz_pillar: #1, 232(48%)
minecraft.picked_up.magma_cream: #1, 1394(38%)
minecraft.used.quartz_pillar: #1, 1206(53%)
minecraft.crafted.brush: #1, 94(57%)
minecraft.crafted.chiseled_tuff_bricks: #1, 312(36%)
minecraft.crafted.warped_button: #1, 123(50%)
minecraft.used.tuff_bricks: #1, 19952(32%)
minecraft.mined.cobbled_deepslate: #1, 6346(31%)
minecraft.used.soul_lantern: #1, 934(46%)
minecraft.used.crimson_slab: #1, 2139(65%)
minecraft.mined.deepslate_tiles: #2, 4592(35%)
minecraft.mined.light_blue_concrete_powder: #1, 248(56%)
minecraft.dropped.poppy: #2, 18089(38%)
minecraft.crafted.redstone_block: #1, 10624(31%)
minecraft.picked_up.red_dye: #1, 506(30%)
minecraft.used.cobbled_deepslate: #1, 29717(31%)
minecraft.custom.open_enderchest: #1, 23975(20%)
minecraft.mined.birch_wall_sign: #1, 127(45%)
minecraft.used.writable_book: #1, 1998(25%)
minecraft.used.slime_block: #1, 4432(32%)
minecraft.used.leather_chestplate: #1, 55(25%)
minecraft.picked_up.large_amethyst_bud: #1, 1228(84%)
minecraft.used.cherry_log: #1, 2415(38%)
minecraft.killed.chicken: #1, 1734(30%)
minecraft.custom.interact_with_brewingstand: #1, 4461(31%)
minecraft.dropped.oak_trapdoor: #1, 114(39%)
minecraft.used.calibrated_sculk_sensor: #1, 236(46%)
minecraft.mined.cobbled_deepslate_stairs: #1, 355(35%)
minecraft.mined.honeycomb_block: #1, 1005(92%)
minecraft.picked_up.fire_charge: #1, 1072(41%)
minecraft.used.raw_gold_block: #1, 2237(81%)
minecraft.mined.dispenser: #1, 546(29%)
minecraft.picked_up.chiseled_tuff: #1, 634(33%)
minecraft.mined.deepslate_redstone_ore: #1, 15531(29%)
minecraft.used.honey_block: #1, 5114(31%)
minecraft.used.pale_oak_log: #1, 3864(34%)
minecraft.crafted.orange_stained_glass: #1, 10480(42%)
minecraft.dropped.chiseled_tuff: #1, 122(55%)
minecraft.crafted.written_book: #1, 183(60%)
minecraft.mined.quartz_pillar: #1, 232(48%)
minecraft.dropped.iron_chestplate: #1, 48(31%)
minecraft.custom.inspect_dispenser: #1, 7771(26%)
minecraft.used.egg: #1, 10519(25%)
minecraft.picked_up.medium_amethyst_bud: #1, 1355(79%)
minecraft.used.crimson_nylium: #1, 1108(42%)
minecraft.dropped.azure_bluet: #1, 423(32%)
minecraft.dropped.filled_map: #1, 839(28%)
minecraft.picked_up.birch_sign: #1, 265(29%)
minecraft.mined.red_concrete_powder: #1, 220(71%)
minecraft.dropped.firework_rocket: #1, 8225(22%)
minecraft.used.sculk_vein: #1, 49641(100%)
minecraft.used.ender_chest: #1, 4645(26%)
minecraft.picked_up.polished_deepslate: #1, 1767(30%)
minecraft.picked_up.cobbled_deepslate: #1, 224755(28%)
minecraft.picked_up.cornflower: #2, 5098(29%)
minecraft.picked_up.orange_banner: #1, 65(43%)
minecraft.crafted.polished_deepslate_stairs: #1, 472(36%)
minecraft.mined.chiseled_deepslate: #1, 305(38%)
minecraft.picked_up.peony: #1, 1513(25%)
minecraft.crafted.firework_rocket: #1, 115680(31%)
minecraft.mined.deepslate: #1, 218523(28%)
minecraft.picked_up.chicken: #1, 2407(26%)
minecraft.crafted.chiseled_tuff: #1, 213(36%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #1, 397(38%)
minecraft.mined.ender_chest: #1, 4632(26%)
minecraft.mined.cobblestone_wall: #1, 277(36%)
minecraft.used.cyan_dye: #1, 141(43%)
minecraft.used.polished_deepslate: #1, 7896(31%)
minecraft.mined.spawner: #1, 73(52%)
minecraft.picked_up.cocoa_beans: #1, 10849(27%)
minecraft.used.red_concrete: #1, 4351(35%)
minecraft.mined.sculk_catalyst: #1, 501(42%)
minecraft.crafted.yellow_stained_glass: #1, 12144(48%)
minecraft.dropped.polished_tuff_wall: #1, 181(51%)
minecraft.used.orange_banner: #1, 128(41%)
minecraft.used.leather_boots: #1, 56(23%)
minecraft.mined.raw_gold_block: #1, 127(73%)
minecraft.used.deepslate_tile_stairs: #1, 3124(30%)
minecraft.picked_up.birch_button: #1, 67(33%)
minecraft.mined.stone_stairs: #1, 471(26%)
minecraft.used.twisting_vines: #1, 482(59%)
minecraft.used.netherite_boots: #1, 164(49%)
minecraft.mined.twisting_vines_plant: #1, 154(43%)
minecraft.used.flint_and_steel: #1, 1908(25%)
minecraft.used.dead_bush: #1, 431(36%)
minecraft.used.waxed_copper_grate: #1, 1892(40%)
minecraft.dropped.flower_pot: #1, 116(40%)
minecraft.used.netherite_helmet: #1, 157(58%)
minecraft.custom.fly_one_cm: #1, 286462092(11%)
minecraft.used.netherite_leggings: #1, 158(48%)
minecraft.picked_up.gray_concrete: #1, 8298(27%)
minecraft.crafted.tuff_bricks: #1, 4441(30%)
minecraft.custom.interact_with_loom: #1, 595(20%)
minecraft.picked_up.crimson_fence: #1, 130(52%)
minecraft.used.dispenser: #1, 1277(25%)
minecraft.picked_up.azure_bluet: #2, 4720(30%)
minecraft.picked_up.sea_lantern: #1, 494(31%)
minecraft.picked_up.deepslate_tiles: #2, 4732(29%)
minecraft.picked_up.dark_oak_button: #1, 249(52%)
minecraft.picked_up.bookshelf: #1, 506(29%)
minecraft.crafted.firework_star: #1, 29952(88%)
