stat, rank, value, (percentage) 
minecraft.used.red_sand: #1, 2962(69%)
minecraft.picked_up.weeping_vines: #1, 3473(62%)
minecraft.crafted.brown_concrete_powder: #1, 7384(65%)
minecraft.dropped.jungle_log: #1, 1278(64%)
minecraft.crafted.red_concrete_powder: #1, 13568(62%)
minecraft.dropped.light_gray_concrete_powder: #1, 1472(72%)
minecraft.used.podzol: #1, 3171(56%)
minecraft.picked_up.pink_concrete_powder: #1, 3744(93%)
minecraft.picked_up.red_concrete_powder: #1, 5477(80%)
minecraft.dropped.cactus: #1, 13086(54%)
minecraft.crafted.pink_concrete_powder: #1, 8096(62%)
minecraft.crafted.blue_concrete_powder: #1, 6192(70%)
minecraft.mined.exposed_cut_copper: #1, 139(74%)
minecraft.picked_up.yellow_shulker_box: #1, 2137(38%)
minecraft.picked_up.exposed_cut_copper: #1, 136(73%)
minecraft.dropped.crimson_roots: #1, 789(78%)
minecraft.mined.yellow_shulker_box: #1, 2123(39%)
minecraft.picked_up.glow_lichen: #1, 22056(40%)
minecraft.mined.weathered_cut_copper: #1, 215(77%)
minecraft.used.yellow_shulker_box: #1, 2122(38%)
minecraft.used.brown_concrete_powder: #1, 3459(48%)
minecraft.dropped.white_concrete: #1, 1088(60%)
minecraft.picked_up.light_blue_concrete_powder: #1, 655(59%)
minecraft.used.dark_oak_leaves: #1, 1653(72%)
minecraft.dropped.pitcher_plant: #1, 221(84%)
minecraft.picked_up.weathered_cut_copper: #1, 215(77%)
minecraft.mined.cut_copper: #1, 399(71%)
minecraft.used.red_concrete_powder: #1, 7682(48%)
minecraft.picked_up.exposed_chiseled_copper: #1, 76(82%)
minecraft.picked_up.brown_concrete_powder: #1, 2496(64%)
minecraft.dropped.dark_oak_fence: #1, 250(63%)
minecraft.crafted.cyan_concrete_powder: #1, 6296(52%)
minecraft.picked_up.cut_copper: #1, 393(68%)
minecraft.picked_up.twisting_vines: #1, 1916(49%)
minecraft.picked_up.purple_concrete_powder: #1, 1202(87%)
minecraft.crafted.green_concrete_powder: #1, 6728(51%)
minecraft.mined.pink_wool: #1, 465(61%)
minecraft.crafted.mud_brick_slab: #1, 1638(44%)
minecraft.used.waxed_exposed_copper_trapdoor: #1, 680(58%)
minecraft.used.waxed_exposed_chiseled_copper: #1, 595(63%)
minecraft.picked_up.light_gray_concrete_powder: #1, 2604(34%)
minecraft.dropped.mossy_stone_brick_slab: #1, 79(81%)
minecraft.mined.exposed_chiseled_copper: #1, 76(81%)
minecraft.used.blue_concrete_powder: #1, 2521(50%)
minecraft.used.pink_concrete_powder: #1, 3638(44%)
minecraft.crafted.yellow_concrete_powder: #1, 12224(39%)
minecraft.picked_up.cactus: #1, 14652(31%)
minecraft.dropped.warped_wart_block: #1, 1308(56%)
minecraft.used.muddy_mangrove_roots: #1, 3523(40%)
minecraft.crafted.purple_concrete_powder: #1, 4816(51%)
minecraft.crafted.dark_oak_trapdoor: #1, 3804(32%)
minecraft.mined.waxed_exposed_chiseled_copper: #1, 117(75%)
minecraft.dropped.dark_oak_trapdoor: #1, 350(53%)
minecraft.picked_up.waxed_exposed_chiseled_copper: #1, 115(75%)
minecraft.dropped.light_blue_terracotta: #1, 154(82%)
minecraft.dropped.mud_bricks: #1, 182(53%)
minecraft.picked_up.waxed_exposed_copper_trapdoor: #1, 249(52%)
minecraft.dropped.glow_lichen: #1, 2801(56%)
minecraft.crafted.magenta_concrete_powder: #1, 7072(52%)
minecraft.used.dark_oak_trapdoor: #1, 3511(29%)
minecraft.dropped.gray_concrete: #1, 1242(71%)
minecraft.dropped.torchflower: #1, 126(71%)
minecraft.crafted.lime_concrete_powder: #1, 6880(41%)
minecraft.used.cyan_concrete_powder: #1, 2794(37%)
minecraft.crafted.light_blue_concrete_powder: #1, 10528(39%)
minecraft.used.mud_brick_slab: #1, 1789(35%)
minecraft.picked_up.magenta_concrete: #1, 2132(46%)
minecraft.crafted.light_gray_concrete_powder: #1, 11408(33%)
minecraft.mined.podzol: #1, 4979(29%)
minecraft.dropped.pink_concrete: #1, 2538(98%)
