stat, rank, value, (percentage) 
minecraft.dropped.player_head: #1, 9825(52%)
minecraft.dropped.emerald: #1, 27717(72%)
minecraft.dropped.totem_of_undying: #1, 737(73%)
minecraft.dropped.glass_bottle: #1, 12242(50%)
minecraft.crafted.ender_eye: #1, 1745(60%)
minecraft.used.oxidized_cut_copper_stairs: #1, 3132(73%)
minecraft.crafted.smooth_quartz: #1, 13587(65%)
minecraft.dropped.sugar: #1, 13205(60%)
minecraft.dropped.white_banner: #1, 2520(50%)
minecraft.picked_up.hopper_minecart: #1, 516(42%)
minecraft.dropped.iron_axe: #1, 412(48%)
minecraft.dropped.minecart: #1, 336(48%)
minecraft.mined.oxidized_cut_copper_stairs: #1, 720(66%)
minecraft.dropped.crossbow: #1, 639(39%)
minecraft.dropped.netherrack: #1, 38387(35%)
minecraft.crafted.hopper_minecart: #1, 371(36%)
minecraft.crafted.green_terracotta: #1, 6943(41%)
minecraft.picked_up.oxidized_cut_copper_stairs: #1, 726(65%)
minecraft.dropped.blaze_powder: #1, 64(62%)
minecraft.mined.ancient_debris: #1, 542(37%)
minecraft.dropped.hopper_minecart: #1, 499(93%)
minecraft.dropped.anvil: #1, 67(46%)
minecraft.crafted.emerald_block: #1, 9782(36%)
minecraft.crafted.stone_sword: #1, 117(30%)
minecraft.dropped.magma_block: #1, 448(43%)
minecraft.mined.birch_planks: #1, 1121(28%)
minecraft.used.smooth_quartz: #2, 16760(34%)
minecraft.picked_up.ancient_debris: #1, 542(32%)
minecraft.mined.red_bed: #1, 140(32%)
minecraft.picked_up.red_bed: #1, 142(32%)
minecraft.picked_up.totem_of_undying: #1, 196(24%)
minecraft.picked_up.turtle_egg: #1, 416(37%)
minecraft.dropped.stick: #2, 20860(26%)
minecraft.picked_up.iron_axe: #1, 116(25%)
minecraft.mined.smooth_quartz: #2, 3399(30%)
minecraft.crafted.gold_ingot: #1, 44556(23%)
minecraft.dropped.sandstone: #2, 2936(31%)
minecraft.crafted.gray_stained_glass: #1, 6920(33%)
minecraft.mined.soul_fire: #1, 473(26%)
minecraft.dropped.ancient_debris: #1, 68(61%)
minecraft.mined.turtle_egg: #1, 374(36%)
minecraft.crafted.netherite_scrap: #1, 248(35%)
minecraft.crafted.fletching_table: #1, 66(53%)
minecraft.picked_up.smooth_quartz: #2, 3566(27%)
minecraft.mined.potted_cherry_sapling: #1, 28(62%)
minecraft.crafted.stick: #1, 83600(18%)
minecraft.picked_up.white_banner: #1, 648(20%)
minecraft.used.tnt: #2, 3756(23%)
minecraft.crafted.coarse_dirt: #1, 17536(19%)
minecraft.used.magenta_carpet: #1, 79(77%)
minecraft.used.red_bed: #2, 141(29%)
minecraft.picked_up.seagrass: #1, 1145(22%)
minecraft.crafted.netherite_chestplate: #1, 15(36%)
minecraft.crafted.netherite_helmet: #1, 15(33%)
minecraft.mined.carrots: #1, 1681(15%)
minecraft.used.end_stone: #1, 1283(18%)
minecraft.crafted.netherite_boots: #1, 15(25%)
minecraft.crafted.netherite_leggings: #1, 15(25%)
minecraft.mined.quartz_stairs: #2, 537(23%)
minecraft.mined.ladder: #1, 379(15%)
minecraft.crafted.ender_chest: #1, 169(17%)
minecraft.crafted.netherite_ingot: #1, 62(18%)
minecraft.crafted.silence_armor_trim_smithing_template: #1, 72(43%)
minecraft.picked_up.netherrack: #1, 40781(13%)
minecraft.picked_up.quartz_stairs: #2, 601(21%)
minecraft.dropped.purpur_slab: #1, 18(26%)
minecraft.dropped.nether_quartz_ore: #1, 76(28%)
minecraft.picked_up.birch_door: #1, 17(27%)
minecraft.picked_up.birch_planks: #2, 1151(16%)
minecraft.picked_up.end_crystal: #1, 34(53%)
minecraft.dropped.spruce_button: #2, 118(30%)
minecraft.picked_up.crossbow: #2, 217(16%)
minecraft.mined.birch_door: #1, 10(28%)
minecraft.crafted.respawn_anchor: #1, 65(27%)
minecraft.mined.cherry_trapdoor: #2, 88(20%)
minecraft.used.end_crystal: #1, 78(49%)
minecraft.crafted.oxidized_cut_copper_slab: #1, 312(21%)
minecraft.used.birch_door: #1, 24(26%)
minecraft.dropped.chiseled_stone_bricks: #2, 832(29%)
minecraft.used.emerald_block: #2, 1368(17%)
minecraft.used.dark_oak_planks: #2, 3529(15%)
minecraft.mined.magenta_carpet: #1, 7(64%)
minecraft.dropped.seagrass: #1, 74(24%)
minecraft.mined.brewing_stand: #2, 118(14%)
minecraft.mined.lectern: #2, 844(15%)
minecraft.picked_up.lectern: #2, 843(15%)
minecraft.picked_up.sugar: #2, 1287(17%)
minecraft.picked_up.blaze_powder: #2, 64(18%)
minecraft.dropped.iron_boots: #3, 163(20%)
minecraft.killed.pillager: #3, 220267(17%)
minecraft.killed.evoker: #3, 29552(25%)
minecraft.crafted.redstone_block: #2, 4111(12%)
minecraft.crafted.end_crystal: #1, 90(39%)
minecraft.crafted.quartz_block: #3, 17069(17%)
minecraft.picked_up.netherite_chestplate: #2, 13(15%)
minecraft.picked_up.brewing_stand: #2, 118(13%)
minecraft.crafted.brown_mushroom: #1, 12(92%)
minecraft.crafted.magenta_glazed_terracotta: #1, 12(26%)
minecraft.crafted.oxidized_cut_copper_stairs: #2, 156(22%)
minecraft.mined.emerald_block: #2, 852(14%)
minecraft.picked_up.quartz_block: #2, 1637(12%)
minecraft.killed.vindicator: #3, 145157(20%)
minecraft.used.quartz_block: #2, 3790(12%)
minecraft.used.brewing_stand: #2, 113(12%)
