stat, rank, value, (percentage) 
minecraft.picked_up.mutton: #1, 13908(83%)
minecraft.killed.creeper: #1, 16874(76%)
minecraft.mined.deepslate_brick_stairs: #1, 3921(83%)
minecraft.killed.pig: #1, 754(61%)
minecraft.crafted.deepslate_brick_stairs: #1, 4088(88%)
minecraft.killed.sheep: #1, 2472(56%)
minecraft.picked_up.deepslate_brick_stairs: #1, 3791(74%)
minecraft.used.flowering_azalea_leaves: #1, 7281(71%)
minecraft.crafted.stone_brick_slab: #1, 10162(62%)
minecraft.mined.cracked_polished_blackstone_bricks: #1, 4285(82%)
minecraft.used.cooked_mutton: #1, 1649(53%)
minecraft.used.yellow_wool: #1, 13529(62%)
minecraft.crafted.cooked_mutton: #1, 2011(62%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #1, 4043(78%)
minecraft.picked_up.porkchop: #1, 2047(41%)
minecraft.used.deepslate_brick_stairs: #1, 7241(57%)
minecraft.mined.polished_blackstone_bricks: #1, 4578(67%)
minecraft.picked_up.polished_blackstone_bricks: #1, 4495(63%)
minecraft.used.sugar_cane: #1, 6286(47%)
minecraft.dropped.spruce_planks: #1, 1760(43%)
minecraft.dropped.stone_bricks: #1, 2344(48%)
minecraft.crafted.deepslate_brick_slab: #1, 3830(69%)
minecraft.used.stone_brick_slab: #1, 10645(47%)
minecraft.custom.deaths: #1, 6319(26%)
minecraft.picked_up.oak_wood: #1, 1948(64%)
minecraft.picked_up.dark_oak_sign: #1, 335(57%)
minecraft.mined.deepslate_brick_slab: #1, 1845(57%)
minecraft.mined.oak_wood: #1, 1965(67%)
minecraft.picked_up.green_stained_glass: #1, 872(63%)
minecraft.picked_up.stone_bricks: #1, 19231(39%)
minecraft.mined.yellow_concrete: #1, 13986(48%)
minecraft.used.yellow_concrete: #1, 10882(53%)
minecraft.mined.stone_bricks: #1, 17186(40%)
minecraft.mined.stone_brick_slab: #1, 2970(44%)
minecraft.picked_up.lime_carpet: #1, 2353(76%)
minecraft.dropped.quartz: #1, 1611(52%)
minecraft.used.stone_bricks: #1, 45835(41%)
minecraft.picked_up.yellow_wool: #1, 12831(42%)
minecraft.dropped.red_mushroom: #1, 105(51%)
minecraft.picked_up.stone_brick_slab: #1, 4492(44%)
minecraft.used.polished_blackstone_brick_stairs: #1, 953(87%)
minecraft.dropped.azalea_leaves: #1, 3226(58%)
