stat, rank, value, (percentage) 
minecraft.picked_up.green_dye: #1, 6615(69%)
minecraft.dropped.green_dye: #1, 2540(67%)
minecraft.mined.stone_pressure_plate: #1, 1565(71%)
minecraft.picked_up.stone_pressure_plate: #1, 1566(69%)
minecraft.picked_up.gold_ingot: #1, 16667(53%)
minecraft.crafted.polished_blackstone_button: #1, 1229(66%)
minecraft.crafted.light_blue_terracotta: #1, 11952(72%)
minecraft.used.light_blue_terracotta: #1, 9181(67%)
minecraft.killed.zombified_piglin: #1, 1200104(58%)
minecraft.crafted.gold_nugget: #1, 98413(61%)
minecraft.used.polished_blackstone_button: #1, 818(56%)
minecraft.crafted.fishing_rod: #1, 231(55%)
minecraft.mined.crying_obsidian: #1, 853(66%)
minecraft.crafted.stone_pressure_plate: #1, 1712(49%)
minecraft.dropped.dripstone_block: #1, 2444(53%)
minecraft.mined.light_blue_terracotta: #1, 1284(56%)
minecraft.mined.polished_andesite_stairs: #1, 265(46%)
minecraft.mined.pearlescent_froglight: #1, 2777(53%)
minecraft.mined.chiseled_stone_bricks: #1, 1101(62%)
minecraft.mined.polished_andesite_slab: #1, 635(66%)
minecraft.used.stone_pressure_plate: #1, 1529(52%)
minecraft.used.basalt: #1, 9182(47%)
minecraft.custom.damage_dealt: #1, 15835845(25%)
minecraft.mined.polished_tuff_stairs: #1, 923(49%)
minecraft.used.purple_stained_glass_pane: #1, 3449(78%)
minecraft.picked_up.polished_tuff_stairs: #1, 1056(44%)
minecraft.used.chiseled_stone_bricks: #1, 1537(54%)
minecraft.picked_up.waxed_weathered_copper_grate: #1, 258(66%)
minecraft.crafted.gold_block: #1, 2977(42%)
minecraft.crafted.purple_stained_glass_pane: #1, 3424(71%)
minecraft.killed.breeze: #1, 1957(51%)
minecraft.mined.waxed_weathered_copper_grate: #1, 259(65%)
minecraft.mined.yellow_stained_glass_pane: #1, 397(70%)
minecraft.used.cyan_terracotta: #1, 30874(40%)
minecraft.picked_up.light_blue_terracotta: #1, 1094(44%)
minecraft.crafted.cyan_terracotta: #1, 33414(39%)
minecraft.used.stone_button: #1, 2720(35%)
minecraft.used.polished_tuff_stairs: #1, 3423(38%)
minecraft.crafted.stone_button: #1, 3061(35%)
minecraft.crafted.wind_charge: #1, 43080(59%)
minecraft.used.diamond_sword: #1, 298337(28%)
minecraft.mined.blast_furnace: #1, 181(37%)
minecraft.picked_up.gold_nugget: #1, 21886(29%)
minecraft.picked_up.polished_andesite_stairs: #1, 301(36%)
minecraft.picked_up.blast_furnace: #1, 200(35%)
minecraft.mined.pink_terracotta: #1, 1175(62%)
minecraft.picked_up.bamboo_door: #1, 239(46%)
minecraft.used.pink_terracotta: #1, 4666(67%)
minecraft.dropped.fire_charge: #1, 1105(61%)
minecraft.mined.yellow_terracotta: #1, 4993(32%)
minecraft.picked_up.andesite_stairs: #1, 244(38%)
minecraft.mined.waxed_weathered_copper: #1, 472(60%)
minecraft.used.iron_sword: #1, 6795(31%)
minecraft.used.polished_andesite_stairs: #1, 856(34%)
minecraft.used.waxed_copper_bulb: #1, 919(44%)
minecraft.picked_up.yellow_terracotta: #1, 5023(29%)
minecraft.crafted.yellow_bed: #1, 54(58%)
minecraft.used.gray_concrete_powder: #1, 22531(30%)
minecraft.dropped.iron_shovel: #1, 63(31%)
minecraft.picked_up.red_mushroom: #1, 514(29%)
minecraft.dropped.gold_nugget: #1, 4144(27%)
minecraft.crafted.lime_wool: #1, 1667(48%)
minecraft.dropped.lead: #1, 260(27%)
minecraft.picked_up.purple_stained_glass_pane: #1, 354(59%)
minecraft.crafted.tnt: #1, 11098(28%)
minecraft.crafted.gray_concrete_powder: #1, 23248(29%)
minecraft.used.magenta_dye: #1, 99(70%)
minecraft.picked_up.polished_andesite_slab: #1, 698(37%)
minecraft.mined.attached_pumpkin_stem: #1, 91(30%)
minecraft.used.light_gray_concrete: #1, 2996(28%)
minecraft.mined.purple_stained_glass_pane: #1, 476(85%)
minecraft.mined.lime_stained_glass: #1, 258(42%)
minecraft.crafted.quartz_block: #2, 29676(30%)
minecraft.mined.terracotta: #1, 40371(23%)
minecraft.used.pearlescent_froglight: #1, 7391(29%)
minecraft.crafted.iron_sword: #1, 73(24%)
minecraft.used.lime_wool: #1, 2459(34%)
minecraft.picked_up.pink_terracotta: #1, 921(48%)
minecraft.mined.smooth_red_sandstone: #1, 909(52%)
minecraft.picked_up.terracotta: #1, 40346(22%)
minecraft.used.grindstone: #1, 563(23%)
minecraft.picked_up.cactus: #2, 12359(26%)
minecraft.mined.waxed_weathered_copper_bulb: #1, 131(40%)
minecraft.used.magma_block: #1, 6434(23%)
minecraft.mined.stone_slab: #1, 1770(22%)
minecraft.crafted.quartz_bricks: #1, 272(50%)
minecraft.picked_up.iron_shovel: #1, 74(24%)
minecraft.crafted.cobbled_deepslate_wall: #1, 384(39%)
minecraft.used.purple_dye: #1, 57(54%)
minecraft.crafted.iron_shovel: #1, 121(23%)
minecraft.used.granite: #1, 5780(21%)
minecraft.used.andesite_stairs: #1, 569(29%)
minecraft.picked_up.waxed_copper_bulb: #1, 353(26%)
minecraft.mined.andesite_stairs: #1, 91(27%)
minecraft.mined.waxed_copper_bulb: #1, 348(26%)
minecraft.mined.cauldron: #1, 61(22%)
minecraft.picked_up.yellow_stained_glass_pane: #1, 367(50%)
minecraft.picked_up.smooth_red_sandstone: #1, 905(38%)
minecraft.picked_up.red_nether_brick_wall: #1, 94(55%)
minecraft.mined.warped_wall_sign: #1, 38(54%)
minecraft.crafted.pink_terracotta: #1, 6216(41%)
minecraft.used.bamboo_door: #1, 129(32%)
minecraft.crafted.magenta_stained_glass_pane: #1, 1320(48%)
minecraft.picked_up.iron_sword: #1, 119(20%)
minecraft.picked_up.iron_pickaxe: #1, 50(19%)
minecraft.picked_up.waxed_weathered_copper_bulb: #1, 130(39%)
minecraft.crafted.waxed_copper_bulb: #1, 684(47%)
minecraft.mined.bricks: #2, 1186(24%)
minecraft.crafted.slime_block: #1, 1379(23%)
minecraft.used.blast_furnace: #1, 530(19%)
minecraft.picked_up.chiseled_stone_bricks: #2, 811(28%)
minecraft.used.polished_andesite_slab: #1, 1715(28%)
minecraft.crafted.red_nether_brick_wall: #1, 252(64%)
minecraft.picked_up.polished_deepslate_wall: #1, 317(20%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #1, 162(34%)
minecraft.crafted.blackstone_slab: #1, 466(29%)
minecraft.picked_up.stone_slab: #1, 2487(16%)
minecraft.used.light_gray_concrete_powder: #1, 4540(18%)
minecraft.picked_up.iron_hoe: #1, 14(31%)
minecraft.crafted.cyan_stained_glass: #1, 2176(24%)
minecraft.picked_up.yellow_banner: #1, 31(36%)
minecraft.mined.resin_block: #2, 1709(31%)
minecraft.mined.red_mushroom_block: #1, 1709(27%)
minecraft.dropped.mushroom_stem: #1, 208(53%)
minecraft.picked_up.golden_sword: #2, 436(26%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #1, 140(32%)
minecraft.crafted.mossy_cobblestone_stairs: #1, 52(30%)
minecraft.mined.soul_campfire: #1, 25(38%)
minecraft.used.acacia_log: #2, 3904(21%)
minecraft.mined.polished_basalt: #1, 284(22%)
minecraft.used.brick_stairs: #1, 160(26%)
minecraft.used.magenta_glazed_terracotta: #1, 78(58%)
minecraft.used.pale_oak_trapdoor: #1, 724(19%)
minecraft.crafted.pale_oak_trapdoor: #1, 764(19%)
minecraft.used.resin_brick_wall: #1, 637(80%)
minecraft.mined.honey_block: #2, 1464(22%)
minecraft.picked_up.resin_block: #2, 1548(29%)
