stat, rank, value, (percentage) 
minecraft.used.gravel: #1, 94304(77%)
minecraft.mined.ice: #1, 222187(89%)
minecraft.picked_up.ice: #1, 150533(89%)
minecraft.used.bread: #1, 8764(80%)
minecraft.picked_up.cobblestone_stairs: #1, 2962(73%)
minecraft.mined.cobblestone_stairs: #1, 2227(75%)
minecraft.mined.emerald_ore: #1, 773(78%)
minecraft.crafted.compass: #1, 34649(86%)
minecraft.used.trident: #1, 18423(79%)
minecraft.picked_up.snow: #1, 67133(79%)
minecraft.used.cobblestone_stairs: #1, 7350(68%)
minecraft.crafted.map: #1, 34600(87%)
minecraft.picked_up.sugar_cane: #1, 281826(54%)
minecraft.used.black_wool: #1, 24678(63%)
minecraft.used.sweet_berries: #1, 9490(61%)
minecraft.used.cookie: #1, 1684(73%)
minecraft.picked_up.snowball: #1, 76339(45%)
minecraft.crafted.cobblestone_stairs: #1, 3917(69%)
minecraft.crafted.gray_shulker_box: #1, 263(61%)
minecraft.picked_up.emerald_ore: #1, 397(67%)
minecraft.used.string: #1, 15034(49%)
minecraft.used.coal_block: #1, 9113(82%)
minecraft.used.verdant_froglight: #1, 30816(69%)
minecraft.mined.snow: #1, 377023(57%)
minecraft.used.ice: #1, 15013(65%)
minecraft.picked_up.stone: #1, 1987731(42%)
minecraft.used.sandstone: #1, 11533(52%)
minecraft.mined.verdant_froglight: #1, 5864(62%)
minecraft.mined.blue_terracotta: #1, 2607(82%)
minecraft.used.apple: #1, 587(63%)
minecraft.used.cut_sandstone: #1, 3315(59%)
minecraft.mined.stone: #1, 3225583(44%)
minecraft.used.deepslate_tile_slab: #1, 21930(51%)
minecraft.crafted.filled_map: #1, 37561(89%)
minecraft.picked_up.cobblestone: #1, 1032263(45%)
minecraft.used.andesite: #1, 43055(44%)
minecraft.used.diamond_pickaxe: #1, 2293219(34%)
minecraft.picked_up.sweet_berries: #1, 10894(39%)
minecraft.mined.coal_block: #1, 1171(84%)
minecraft.used.coal_ore: #1, 22524(43%)
minecraft.mined.tripwire: #1, 744(41%)
minecraft.used.smooth_basalt: #1, 9557(49%)
minecraft.used.cooked_chicken: #1, 2712(36%)
minecraft.picked_up.blue_terracotta: #1, 2444(73%)
minecraft.picked_up.light_blue_carpet: #1, 2380(85%)
minecraft.used.packed_ice: #1, 18520(41%)
minecraft.used.gray_wool: #1, 10990(47%)
minecraft.crafted.coal_block: #1, 9657(39%)
minecraft.mined.coal_ore: #1, 72043(38%)
minecraft.mined.light_blue_carpet: #1, 2354(87%)
minecraft.mined.polished_andesite: #1, 1957(39%)
minecraft.picked_up.coal_ore: #1, 31649(38%)
minecraft.custom.walk_on_water_one_cm: #1, 25983910(18%)
minecraft.mined.gray_wool: #1, 4053(47%)
minecraft.mined.dirt: #1, 537414(36%)
minecraft.picked_up.verdant_froglight: #1, 21557(46%)
minecraft.used.pale_oak_sign: #1, 573(54%)
minecraft.crafted.packed_ice: #1, 2254(82%)
minecraft.mined.deepslate_tile_slab: #1, 1600(39%)
minecraft.picked_up.deepslate_tile_slab: #1, 2187(38%)
minecraft.used.diamond_leggings: #1, 84(42%)
minecraft.picked_up.coal: #1, 89877(33%)
minecraft.used.enchanted_book: #1, 913(36%)
minecraft.used.emerald_ore: #1, 305(86%)
minecraft.crafted.light_gray_bed: #1, 161(79%)
minecraft.used.glass: #1, 67062(34%)
minecraft.picked_up.grass_block: #1, 411716(34%)
minecraft.mined.fire: #1, 5639(32%)
minecraft.used.diorite_slab: #1, 3451(49%)
minecraft.used.diamond_helmet: #1, 72(37%)
minecraft.crafted.pale_oak_sign: #1, 696(54%)
minecraft.picked_up.purple_carpet: #1, 1860(67%)
minecraft.custom.interact_with_beacon: #1, 455(32%)
minecraft.mined.purple_carpet: #1, 1280(79%)
minecraft.mined.daylight_detector: #1, 111(57%)
minecraft.used.snow_block: #1, 80533(36%)
minecraft.used.slime_ball: #1, 6194(60%)
minecraft.mined.pale_oak_sapling: #1, 131(55%)
minecraft.crafted.white_bed: #1, 203(32%)
minecraft.mined.light_gray_shulker_box: #1, 1504(33%)
minecraft.picked_up.light_gray_shulker_box: #1, 1517(33%)
minecraft.picked_up.copper_door: #1, 97(63%)
minecraft.used.pumpkin_pie: #1, 1523(94%)
minecraft.mined.smooth_sandstone: #1, 1261(39%)
minecraft.killed.enderman: #1, 290684(30%)
minecraft.used.pale_oak_door: #1, 90(74%)
minecraft.picked_up.dirt: #1, 592336(27%)
minecraft.mined.snow_block: #1, 8702(32%)
minecraft.picked_up.pale_oak_sign: #1, 99(43%)
minecraft.used.carved_pumpkin: #1, 177(27%)
minecraft.crafted.snow_block: #1, 8261(38%)
minecraft.picked_up.deepslate_tile_stairs: #1, 990(34%)
minecraft.picked_up.sandstone_slab: #1, 549(71%)
minecraft.mined.grass_block: #1, 463968(27%)
minecraft.picked_up.polished_andesite: #1, 1911(29%)
minecraft.used.dead_horn_coral_block: #1, 416(78%)
minecraft.crafted.pink_shulker_box: #1, 46(37%)
minecraft.crafted.bread: #1, 9023(30%)
minecraft.mined.pale_oak_fence: #1, 182(63%)
minecraft.used.blue_terracotta: #1, 3697(46%)
minecraft.mined.cactus: #1, 652(29%)
minecraft.crafted.white_wool: #1, 9142(36%)
minecraft.crafted.book: #1, 2290(27%)
minecraft.picked_up.coal_block: #1, 1691(38%)
minecraft.picked_up.gravel: #1, 139638(27%)
minecraft.crafted.pale_oak_door: #1, 90(75%)
minecraft.crafted.light_gray_banner: #1, 242(61%)
minecraft.mined.deepslate_tile_stairs: #1, 767(34%)
minecraft.picked_up.cut_sandstone: #1, 914(30%)
minecraft.used.light_gray_shulker_box: #1, 1522(32%)
minecraft.mined.smooth_basalt: #1, 2819(28%)
minecraft.used.polished_andesite: #1, 5379(27%)
