stat, rank, value, (percentage) 
minecraft.dropped.diamond_block: #9, 64(4%)
minecraft.used.lime_wool: #9, 60(1%)
minecraft.used.leather_helmet: #10, 1(5%)
minecraft.picked_up.lime_wool: #10, 85(1%)
minecraft.killed_by.slime: #11, 9(2%)
minecraft.mined.lime_wool: #11, 21(1%)
minecraft.used.pink_carpet: #11, 6(0%)
minecraft.crafted.pink_carpet: #12, 6(0%)
minecraft.picked_up.pink_wool: #13, 32(0%)
minecraft.used.pink_wool: #17, 1(0%)
minecraft.picked_up.diamond_block: #18, 64(1%)
minecraft.used.elytra: #18, 14(1%)
minecraft.dropped.totem_of_undying: #18, 1(0%)
minecraft.crafted.black_carpet: #18, 3(0%)
minecraft.used.black_carpet: #18, 2(0%)
minecraft.used.black_wool: #19, 3(0%)
minecraft.dropped.ink_sac: #20, 5(1%)
minecraft.killed.endermite: #20, 1(0%)
minecraft.dropped.bundle: #21, 1(1%)
minecraft.used.mace: #21, 80(0%)
minecraft.used.netherite_pickaxe: #21, 13(0%)
minecraft.killed_by.player: #22, 20(1%)
minecraft.used.diamond_boots: #22, 3(1%)
minecraft.picked_up.cyan_shulker_box: #22, 8(0%)
minecraft.mined.cyan_shulker_box: #22, 8(0%)
minecraft.used.cyan_shulker_box: #22, 7(0%)
minecraft.dropped.moss_carpet: #22, 5(0%)
minecraft.dropped.diamond_helmet: #23, 1(1%)
minecraft.dropped.netherite_pickaxe: #23, 1(1%)
minecraft.custom.interact_with_loom: #23, 7(0%)
minecraft.used.wind_charge: #23, 11(0%)
minecraft.killed_by.ravager: #23, 1(0%)
minecraft.dropped.stone_slab: #23, 1(0%)
minecraft.dropped.azalea: #23, 1(0%)
minecraft.dropped.golden_carrot: #24, 59(0%)
minecraft.picked_up.netherite_pickaxe: #24, 2(0%)
minecraft.used.golden_carrot: #24, 68(0%)
minecraft.dropped.cooked_beef: #24, 4(0%)
minecraft.dropped.firework_rocket: #25, 162(0%)
minecraft.picked_up.golden_carrot: #25, 189(0%)
minecraft.custom.deaths: #25, 56(0%)
minecraft.picked_up.totem_of_undying: #25, 1(0%)
minecraft.picked_up.wind_charge: #25, 18(0%)
minecraft.dropped.lead: #25, 1(0%)
minecraft.dropped.green_dye: #25, 1(0%)
minecraft.crafted.green_dye: #25, 1(0%)
minecraft.dropped.moss_block: #25, 2(0%)
