stat, rank, value, (percentage) 
minecraft.custom.tune_noteblock: #1, 390429(85%)
minecraft.mined.packed_ice: #1, 188307(72%)
minecraft.used.sand: #1, 283847(70%)
minecraft.used.prismarine_bricks: #1, 44525(94%)
minecraft.picked_up.packed_ice: #1, 126730(63%)
minecraft.mined.black_stained_glass: #1, 4088(70%)
minecraft.crafted.golden_carrot: #1, 92331(62%)
minecraft.mined.prismarine_bricks: #1, 14562(79%)
minecraft.picked_up.prismarine_bricks: #1, 19928(70%)
minecraft.dropped.salmon: #1, 797(66%)
minecraft.picked_up.black_stained_glass: #1, 3780(60%)
minecraft.used.black_stained_glass: #1, 26842(57%)
minecraft.used.sponge: #1, 8881(72%)
minecraft.picked_up.sponge: #1, 8988(70%)
minecraft.mined.sponge: #1, 8896(75%)
minecraft.mined.prismarine: #1, 7451(69%)
minecraft.mined.wet_sponge: #1, 8930(68%)
minecraft.crafted.cooked_porkchop: #1, 1166(55%)
minecraft.picked_up.wet_sponge: #1, 8940(66%)
minecraft.used.sea_lantern: #1, 2682(55%)
minecraft.used.prismarine: #1, 14931(78%)
minecraft.used.emerald_block: #1, 4032(50%)
minecraft.mined.blue_ice: #1, 4044(61%)
minecraft.dropped.blue_ice: #1, 1274(89%)
minecraft.picked_up.black_concrete_powder: #1, 9663(49%)
minecraft.mined.emerald_block: #1, 2962(49%)
minecraft.crafted.black_stained_glass: #1, 24984(46%)
minecraft.picked_up.orange_concrete_powder: #1, 8090(74%)
minecraft.picked_up.prismarine: #1, 7179(52%)
minecraft.picked_up.prismarine_shard: #1, 55172(71%)
minecraft.mined.orange_concrete: #1, 8950(61%)
minecraft.crafted.golden_apple: #1, 1703(65%)
minecraft.used.wet_sponge: #1, 8820(76%)
minecraft.dropped.packed_ice: #1, 1693(56%)
minecraft.dropped.poppy: #1, 18613(39%)
minecraft.used.prismarine_wall: #1, 5432(81%)
minecraft.crafted.apple: #1, 4192(58%)
minecraft.mined.black_concrete: #1, 11437(34%)
minecraft.dropped.ice: #1, 897(56%)
minecraft.dropped.leather_chestplate: #1, 127(29%)
minecraft.used.chiseled_tuff_bricks: #1, 6037(34%)
minecraft.picked_up.prismarine_crystals: #1, 1822(52%)
minecraft.used.deepslate_tile_wall: #1, 1883(48%)
minecraft.mined.torch: #1, 13218(32%)
minecraft.mined.prismarine_wall: #1, 1171(87%)
minecraft.used.blackstone_stairs: #1, 698(45%)
minecraft.picked_up.prismarine_wall: #1, 1175(85%)
minecraft.used.prismarine_brick_stairs: #1, 6263(95%)
minecraft.used.black_concrete: #1, 9644(34%)
minecraft.used.orange_concrete_powder: #1, 8512(44%)
minecraft.dropped.prismarine_bricks: #1, 6397(74%)
minecraft.mined.deepslate_tile_wall: #1, 391(39%)
minecraft.picked_up.blue_ice: #1, 2116(41%)
minecraft.used.orange_concrete: #1, 8423(56%)
minecraft.picked_up.leather_chestplate: #1, 148(22%)
minecraft.picked_up.golden_sword: #1, 583(35%)
minecraft.custom.walk_under_water_one_cm: #1, 41488885(14%)
minecraft.mined.tall_seagrass: #1, 1636(27%)
minecraft.mined.piston: #1, 1150(26%)
minecraft.mined.sea_lantern: #1, 454(34%)
minecraft.mined.orange_stained_glass: #1, 554(46%)
minecraft.crafted.dark_oak_door: #1, 117(36%)
minecraft.dropped.prismarine_shard: #1, 56460(71%)
minecraft.picked_up.emerald_block: #1, 3121(29%)
minecraft.picked_up.gray_concrete_powder: #1, 6961(37%)
minecraft.used.spruce_door: #1, 119(27%)
minecraft.mined.observer: #1, 2181(24%)
minecraft.killed.guardian: #1, 89(43%)
minecraft.crafted.orange_concrete_powder: #1, 8512(37%)
minecraft.crafted.warped_sign: #1, 344(35%)
minecraft.crafted.iron_block: #2, 8537(29%)
minecraft.picked_up.prismarine_brick_stairs: #1, 1059(84%)
minecraft.used.packed_ice: #2, 12661(28%)
minecraft.picked_up.orange_stained_glass: #1, 527(34%)
minecraft.used.prismarine_brick_slab: #1, 732(57%)
minecraft.custom.fish_caught: #2, 5915(27%)
minecraft.picked_up.sand: #1, 378196(22%)
minecraft.used.fishing_rod: #2, 10710(22%)
minecraft.mined.prismarine_brick_stairs: #1, 1064(87%)
minecraft.mined.deepslate_brick_wall: #1, 135(34%)
minecraft.picked_up.observer: #1, 2256(20%)
minecraft.mined.prismarine_brick_slab: #1, 297(83%)
minecraft.crafted.spruce_door: #1, 144(22%)
minecraft.picked_up.poisonous_potato: #1, 111(27%)
minecraft.picked_up.sea_lantern: #2, 453(28%)
minecraft.mined.cyan_concrete: #1, 1035(24%)
minecraft.crafted.waxed_copper_trapdoor: #1, 790(33%)
minecraft.crafted.pumpkin_pie: #1, 1812(36%)
minecraft.crafted.blue_shulker_box: #1, 22(22%)
minecraft.custom.traded_with_villager: #2, 102565(21%)
minecraft.used.prismarine_slab: #1, 487(46%)
minecraft.used.warped_sign: #1, 219(24%)
minecraft.mined.blackstone_stairs: #1, 47(27%)
minecraft.dropped.potato: #2, 4410(19%)
minecraft.used.black_concrete_powder: #1, 11009(17%)
minecraft.crafted.cake: #1, 60(28%)
minecraft.crafted.diamond_boots: #1, 29(16%)
minecraft.picked_up.resin_brick_wall: #1, 71(77%)
minecraft.mined.magma_block: #1, 6275(16%)
minecraft.picked_up.prismarine_brick_slab: #1, 297(63%)
minecraft.picked_up.magma_block: #1, 6088(16%)
minecraft.picked_up.piston: #1, 1152(15%)
minecraft.dropped.granite: #1, 2926(15%)
minecraft.crafted.gold_block: #2, 1521(21%)
minecraft.dropped.warped_sign: #1, 89(61%)
minecraft.mined.deepslate_bricks: #2, 1776(21%)
minecraft.mined.iron_trapdoor: #1, 201(15%)
minecraft.mined.lime_concrete: #1, 1561(22%)
minecraft.used.lime_concrete: #1, 1119(22%)
minecraft.used.waxed_copper_trapdoor: #2, 673(29%)
minecraft.crafted.prismarine_bricks: #1, 13574(67%)
minecraft.dropped.diamond_boots: #1, 26(12%)
minecraft.used.mossy_stone_brick_wall: #1, 30(27%)
minecraft.crafted.sea_lantern: #1, 4133(54%)
minecraft.mined.composter: #2, 403(17%)
minecraft.mined.dark_prismarine: #1, 510(19%)
minecraft.picked_up.cyan_concrete_powder: #2, 931(26%)
minecraft.mined.blackstone: #2, 7972(17%)
minecraft.crafted.dark_prismarine: #1, 3048(29%)
minecraft.crafted.resin_brick_wall: #1, 65(78%)
minecraft.mined.mossy_stone_brick_wall: #1, 8(44%)
minecraft.picked_up.deepslate_tile_wall: #2, 377(20%)
minecraft.mined.prismarine_slab: #1, 101(43%)
minecraft.crafted.oak_door: #2, 63(19%)
minecraft.dropped.prismarine_brick_slab: #1, 148(97%)
minecraft.used.red_sandstone_wall: #2, 4106(38%)
minecraft.used.prismarine_stairs: #1, 453(55%)
minecraft.picked_up.lime_concrete_powder: #1, 1392(27%)
minecraft.mined.resin_brick_wall: #1, 46(68%)
minecraft.dropped.prismarine_wall: #1, 81(89%)
minecraft.crafted.black_concrete_powder: #2, 11008(17%)
minecraft.mined.kelp_plant: #2, 1071(15%)
minecraft.picked_up.composter: #2, 400(15%)
minecraft.dropped.copper_ore: #2, 415(17%)
minecraft.crafted.prismarine_stairs: #1, 32(52%)
minecraft.picked_up.torch: #2, 16030(13%)
minecraft.picked_up.blackstone: #2, 7730(14%)
minecraft.crafted.emerald: #2, 72273(14%)
minecraft.mined.smooth_sandstone_slab: #2, 147(21%)
minecraft.picked_up.gold_nugget: #2, 9074(12%)
minecraft.picked_up.silence_armor_trim_smithing_template: #1, 4(57%)
minecraft.crafted.pumpkin_seeds: #1, 216(14%)
minecraft.mined.prismarine_stairs: #1, 57(75%)
minecraft.picked_up.pufferfish: #2, 552(14%)
minecraft.crafted.blue_ice: #2, 960(20%)
minecraft.mined.gray_concrete: #3, 7058(18%)
minecraft.crafted.hay_block: #2, 2996(14%)
minecraft.crafted.netherite_pickaxe: #1, 5(13%)
minecraft.used.stone_stairs: #2, 961(13%)
minecraft.crafted.cyan_stained_glass_pane: #2, 800(22%)
minecraft.used.blackstone_slab: #2, 1084(16%)
minecraft.dropped.orange_stained_glass_pane: #1, 40(66%)
minecraft.dropped.iron_ore: #2, 297(15%)
minecraft.dropped.prismarine_brick_stairs: #1, 28(97%)
minecraft.mined.andesite: #2, 31440(11%)
minecraft.crafted.conduit: #1, 5(24%)
minecraft.mined.smoker: #2, 18(15%)
minecraft.crafted.leather_chestplate: #2, 252(14%)
minecraft.crafted.cherry_planks: #2, 4608(12%)
minecraft.used.blackstone: #2, 3341(11%)
minecraft.mined.spruce_door: #2, 20(14%)
minecraft.used.cooked_porkchop: #3, 2735(13%)
minecraft.picked_up.smoker: #2, 19(15%)
minecraft.picked_up.melon_seeds: #2, 186(12%)
minecraft.dropped.diorite: #2, 2168(11%)
minecraft.used.torch: #2, 20403(11%)
minecraft.dropped.trident: #2, 21(15%)
minecraft.mined.sand: #2, 137257(10%)
minecraft.used.cyan_carpet: #3, 296(21%)
minecraft.used.cyan_concrete_powder: #2, 1024(14%)
minecraft.killed.phantom: #2, 138(12%)
minecraft.picked_up.poppy: #3, 6723(13%)
minecraft.crafted.wooden_shovel: #2, 128(14%)
minecraft.mined.oak_door: #2, 22(14%)
minecraft.used.melon_seeds: #2, 156(11%)
minecraft.mined.black_stained_glass_pane: #2, 50(11%)
minecraft.used.netherite_pickaxe: #2, 701023(11%)
minecraft.dropped.coal_ore: #2, 357(11%)
minecraft.used.tinted_glass: #3, 1780(17%)
minecraft.picked_up.ender_pearl: #3, 32062(10%)
minecraft.dropped.deepslate_tile_slab: #2, 94(19%)
minecraft.crafted.black_stained_glass_pane: #2, 1216(11%)
minecraft.used.waxed_copper_bulb: #2, 293(14%)
minecraft.crafted.gold_ingot: #3, 24587(13%)
minecraft.mined.gravel: #3, 67187(13%)
minecraft.crafted.tinted_glass: #2, 1542(14%)
minecraft.dropped.cod: #2, 3709(10%)
minecraft.mined.copper_grate: #2, 68(13%)
minecraft.used.deepslate_tiles: #2, 7709(9%)
minecraft.custom.talked_to_villager: #2, 4748(8%)
