Player Name,BadTimeWithScar,BdoubleO100,Cojomax99,Couriway,Cub_Cam,Docm77,Dot_Dot_Dash,Etho,Eyjoy27,F1RECRACKR,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HypnotizdCam,ImpulseCam,InTheLittleWood,JamalMC_,Kamalis1,Keralis1,Mumbo,MumboDrone,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Plagiatus,Renthedog,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Tango,TangoCam,TwoMuchGrian,VintageBeef,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,aimsey,belmarzi,cubfan135,falsesymmetry,hannahxxrose,hypnotizd,iJevin,impulseSV,joehillssays,jojosolos,xBCam,xBCrafted,xisumavoid
minecraft.broken.bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
minecraft.broken.brush,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,93,1,0,0,12,0,0,0,0,0,0
minecraft.broken.chainmail_helmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.chainmail_leggings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.crossbow,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
minecraft.broken.diamond_axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.diamond_boots,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.diamond_chestplate,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
minecraft.broken.diamond_helmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minecraft.broken.diamond_hoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
