Player Name,Biffa001,Biffa2001,Cleophas,Collen,D_A_I_N_A,Docm77,Donkeyfarm,Etho,HttpsSecure,HypnotizdCam,Keralis1,KingDaddyDMAC,Mrs_Keralis,Mumbo,MumboJumbo,NameOfSamuel,Pungence,PythonGB,PythonGBCam,Spumwackles,Tango,TangoCam,Tinfoilchef,WFRTNews,Xisuma,ZombieCleo,falsesymmetry,hypnotizd,iJevin,impulseSV,joehillssays,monkeyfarm,skyzm,sl1pg8r,snipepager,topmass,truesymmetry,xBCam,xBCrafted,xisumavoid,zueljin
stat.animalsBred,0,677,0,0,0,31,0,0,0,0,0,203,0,375,0,0,1,253,0,321,1524,0,863,0,2316,461,2966,483,689,3822,0,705,21,369,0,214,0,0,1080,0,725
stat.beaconInteraction,0,23,0,0,0,0,0,15,0,0,0,0,0,20,0,0,0,3,0,0,89,0,0,0,267,0,165,2,32,51,0,4,0,5,0,2,0,0,55,0,12
stat.boatOneCm,0,362138,0,0,0,37448,0,57816,0,0,61142,107299,0,26957,0,0,6686,6635,0,211973,17817,0,135280,0,247444,29812,2256274,2583236,12527,70792,28904,5293418,15982,26300,0,0,0,0,1513878,0,1105848
stat.breakItem.minecraft.bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
stat.breakItem.minecraft.carrot_on_a_stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.chainmail_chestplate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.chainmail_helmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.chainmail_leggings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
stat.breakItem.minecraft.diamond_boots,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_chestplate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
stat.breakItem.minecraft.diamond_helmet,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_leggings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_pickaxe,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,1,4,0,6,0,6,0,13,3,0,10,0,3,0,2,0,3,0,0,1,0,1
stat.breakItem.minecraft.diamond_shovel,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,4,4,7,1,0,2,0,5,0,1,0,1,0,0,1,0,0
stat.breakItem.minecraft.fishing_rod,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stat.breakItem.minecraft.flint_and_steel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,2,1,0,1,0,1,0,0,0,0,3,0,0
stat.breakItem.minecraft.golden_chestplate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_helmet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_leggings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_pickaxe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_sword,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
stat.breakItem.minecraft.iron_axe,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,3,3,3,1,0,6,3,2,1,0,0,2,0,0,2,0,1
stat.breakItem.minecraft.iron_chestplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stat.breakItem.minecraft.iron_helmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,7,0,0,1,0,0,0,1,0,1,0,0,0,0,2
stat.breakItem.minecraft.iron_hoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2,0,0,0,0,0,0,0,6,0,0
stat.breakItem.minecraft.iron_leggings,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.iron_pickaxe,0,9,0,2,0,1,0,3,0,0,0,32,0,0,0,3,10,9,0,1,5,0,17,0,6,6,24,2,12,6,22,8,5,1,0,15,0,0,5,0,30
stat.breakItem.minecraft.iron_shovel,0,7,0,0,0,0,0,0,0,0,1,2,0,10,0,10,1,7,0,14,19,0,7,0,4,8,1,0,0,22,6,7,3,0,0,0,0,0,5,0,5
stat.breakItem.minecraft.iron_sword,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,1,0,2,1,0,0,0,3,0,0,1,0,2
stat.breakItem.minecraft.leather_chestplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
