Player Name,BadTimeWithScar,Biffa001,Biffa2001,Cub_Cam,Docm77,Etho,EvilXisuma,GoodTimeWithScar,ImpulseCam,Jessassin,Lechaion,Mumbo,MumboJumbo,PuddleduckGG,PythonGB,Renthedog,Tango,TangoCam,Tinfoilchef,VintageBeef,WFRTNews,WellsGlazes,WelsCam,Welsknight,Xisuma,ZombieCleo,cubfan135,falsesymmetry,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,monkeyfarm,truesymmetry,xBCrafted,xisumavoid,zueljin
stat.animalsBred,0,0,1,0,666,184,0,1161,0,0,0,0,114,0,81,514,731,0,5542,5,0,0,0,36,334,118,140,1051,0,32,1063,0,766,8204,0,0,0,0,0
stat.armorCleaned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stat.aviateOneCm,0,0,6515054,0,14479390,35781899,0,705073970,0,0,0,0,185437880,0,80266625,297704663,247912570,0,510795134,4506774,0,1980801,0,131088458,164577885,2696111,791577956,636091329,0,50797303,136021005,0,454565495,86639322,0,0,0,0,0
stat.bannerCleaned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0
stat.beaconInteraction,0,0,0,0,10,22,0,150,0,0,0,0,84,0,8,97,64,0,17,6,0,0,0,41,193,0,224,133,0,20,54,0,138,31,0,0,0,0,0
stat.boatOneCm,0,0,607527,0,1045502,1887016,0,2341979,0,17756,0,0,2341710,0,2089369,5556897,27986187,0,515211,1049640,0,0,0,4089030,4510280,4604382,9967103,7720525,91248,1396276,8720199,0,3856973,4780046,87653,0,210670,0,253498
stat.breakItem.minecraft.bow,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.chainmail_boots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.chainmail_helmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
stat.breakItem.minecraft.chainmail_leggings,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_boots,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_chestplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_helmet,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_hoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
stat.breakItem.minecraft.diamond_leggings,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_pickaxe,0,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,2,4,2,1,1,0,0,0,0,1,0,0,0,2,0,0
stat.breakItem.minecraft.diamond_shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
stat.breakItem.minecraft.diamond_sword,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.fishing_rod,0,0,0,0,2,9,0,5,0,0,0,0,2,0,3,1,4,0,1,0,0,0,0,2,12,0,5,2,0,0,44,0,5,0,0,0,0,0,0
stat.breakItem.minecraft.flint_and_steel,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,4,0,7,0,0,1,2,0,19,1,0,0,0,0,0
stat.breakItem.minecraft.golden_boots,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
stat.breakItem.minecraft.golden_chestplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
stat.breakItem.minecraft.golden_helmet,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_leggings,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0
stat.breakItem.minecraft.golden_sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.iron_axe,0,0,1,0,0,0,0,15,0,1,0,2,0,0,0,20,0,0,4,0,0,0,0,1,1,13,0,0,0,0,2,0,3,2,0,0,0,0,4
stat.breakItem.minecraft.iron_boots,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0
stat.breakItem.minecraft.iron_chestplate,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0
stat.breakItem.minecraft.iron_helmet,0,0,0,0,1,2,0,2,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,1,1,1,0,2,0,1,2,0,2,0,0,0,0,0,0
stat.breakItem.minecraft.iron_hoe,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,4,0,0,0,0,0
stat.breakItem.minecraft.iron_leggings,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,2,0,0,0,0,0,0
stat.breakItem.minecraft.iron_pickaxe,0,0,8,0,0,0,0,28,0,3,0,9,0,0,10,12,9,0,45,3,0,0,0,9,9,36,35,2,0,19,9,0,10,9,0,0,13,0,1
stat.breakItem.minecraft.iron_shovel,0,0,2,0,1,1,0,16,0,2,0,1,0,0,3,11,1,0,5,1,0,0,0,4,14,6,1,1,0,0,11,0,1,1,0,0,4,0,1
stat.breakItem.minecraft.iron_sword,0,0,0,0,2,1,0,24,0,1,0,0,0,0,2,14,0,0,0,0,0,0,0,1,1,1,3,3,0,1,1,0,4,4,0,0,1,0,0
stat.breakItem.minecraft.leather_boots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.leather_chestplate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.leather_helmet,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.leather_leggings,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.shears,0,0,9,0,1,1,0,444,0,0,0,0,9,0,2,62,8,0,26,2,0,0,0,24,47,7,60,42,0,2,5,0,27,1,0,0,0,0,0
stat.breakItem.minecraft.shield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.stone_axe,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0,0,1
stat.breakItem.minecraft.stone_hoe,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,11,0,0,0,0,0,0,0,1,1,0,0,7,0,1,2,0,0,0,0,0
stat.breakItem.minecraft.stone_pickaxe,0,0,0,0,0,1,0,19,0,0,0,1,0,0,1,1,1,0,2,3,0,0,0,1,3,1,0,1,0,1,1,0,3,4,0,0,1,0,5
stat.breakItem.minecraft.stone_shovel,0,0,0,0,1,0,0,6,0,0,0,0,4,0,2,7,1,0,9,1,0,0,0,0,9,0,0,0,0,0,2,0,1,3,0,0,1,0,1
stat.breakItem.minecraft.stone_sword,0,0,2,0,0,0,0,13,0,1,0,2,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.wooden_axe,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.wooden_hoe,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.wooden_pickaxe,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.wooden_shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stat.breakItem.minecraft.wooden_sword,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stat.brewingstandInteraction,0,0,0,0,6,65,0,46,0,0,0,0,63,0,53,37,848,0,86,20,0,0,0,9,321,73,2566,744,0,149,235,0,431,254,0,0,0,0,0
stat.cakeSlicesEaten,0,0,0,0,1,0,0,49,0,0,0,1,19,0,15,0,5,0,1,0,0,0,0,3,95,0,69,1,0,4,9,0,174,1,0,0,0,0,0
stat.cauldronFilled,0,0,0,0,37,65,0,8,0,0,0,0,127,0,3,0,45,0,29,1,0,0,0,4,2,1,110,43,0,0,4,0,0,0,0,0,0,0,1
stat.cauldronUsed,0,0,0,0,37,53,0,11,0,0,0,0,8,0,6,0,1,0,12,0,0,0,0,0,2,0,18,15,0,0,3,0,0,0,0,0,0,0,0
