Player Name,BadTimeWithScar,BdoubleO100,Biffa001,Biffa2001,Cub_Cam,Docm77,Etho,EvilXisuma,GoodTimeWithScar,ImpulseCam,Lechaion,Mumbo,MumboJumbo,PythonCam,PythonGB,Renthedog,Stressmonster101,Stressmonsterin,Tango,TangoCam,Tinfoilchef,VintageBeef,WFRTNews,WellsGlazes,WelsCam,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,cubfan135,falsesymmetry,iJevin,impulseSV,isGall85,iskall85,joehillssays,renthebob,truesymmetry,xBCam,xBCrafted,xisumavoid
stat.animalsBred,0,385,0,143,0,0,320,0,4097,0,0,0,0,0,269,192,576,0,3360,0,1415,24,0,0,0,829,927,0,1210,435,3824,866,814,2004,0,9,690,0,0,0,241,0
stat.armorCleaned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
stat.aviateOneCm,0,2436694,0,9037855,0,8413521,15650492,0,1909079842,0,0,0,587843163,0,110479946,419439951,76153011,0,521161608,0,147793213,861471,0,0,0,245302587,237462210,0,162007537,10445705,1125585549,577529030,150545941,196577128,0,458940428,129073676,0,0,0,43544372,0
stat.bannerCleaned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,0,0
stat.beaconInteraction,0,0,0,3,0,13,1,0,68,0,0,0,71,0,19,41,14,0,109,0,0,0,0,0,0,34,119,0,48,0,480,32,14,124,0,43,0,0,0,0,29,0
stat.boatOneCm,0,6741842,0,1175519,0,2279899,763835,0,2296768,0,0,0,3705980,0,4239730,13559123,3153614,0,4404177,0,8298516,4087908,0,0,0,3063198,5921472,0,5768110,7334706,15245361,7622943,10806901,6646898,0,8766196,22739034,0,0,0,27960954,15580
stat.breakItem.minecraft.bow,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.chainmail_boots,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.chainmail_helmet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stat.breakItem.minecraft.diamond_axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_boots,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_helmet,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_hoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_leggings,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.diamond_pickaxe,0,0,0,0,0,0,0,0,16,0,0,0,8,0,4,2,1,0,5,0,0,0,0,0,0,1,0,0,0,0,18,2,1,4,0,9,1,0,0,0,2,0
stat.breakItem.minecraft.diamond_shovel,0,1,0,0,0,1,0,0,5,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,3,0,5,0,6,1,0,0,0,0,0
stat.breakItem.minecraft.diamond_sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.fishing_rod,0,1,0,3,0,2,0,0,0,0,0,0,6,0,10,2,1,0,7,0,0,0,0,0,0,12,19,0,6,0,16,14,0,21,0,1,0,0,0,0,1,0
stat.breakItem.minecraft.flint_and_steel,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,18,0,5,1,5,2,0,2,0,2,0,0,0,0,0,0
stat.breakItem.minecraft.golden_axe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
stat.breakItem.minecraft.golden_boots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_chestplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_helmet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_leggings,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.golden_sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.iron_axe,0,7,0,2,0,0,2,0,9,0,0,0,0,0,1,5,1,0,0,0,1,5,0,0,0,1,2,0,6,2,2,1,0,0,0,0,2,0,0,0,1,0
stat.breakItem.minecraft.iron_boots,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.iron_chestplate,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.minecraft.iron_helmet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,0,0,0
stat.breakItem.minecraft.iron_hoe,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,2,1,0,0,13,0,0,0,0,0,0,1,0
