stat, rank, value, (percentage) 
minecraft.custom.fish_caught: #1, 39573(54%)
minecraft.custom.tune_noteblock: #1, 2862550(42%)
minecraft.picked_up.tropical_fish: #1, 212(40%)
minecraft.used.carrot: #1, 24262(33%)
minecraft.picked_up.nautilus_shell: #1, 295(35%)
minecraft.picked_up.name_tag: #1, 279(29%)
minecraft.picked_up.pufferfish: #1, 646(26%)
minecraft.picked_up.salmon: #1, 1735(25%)
minecraft.used.fishing_rod: #2, 70118(28%)
minecraft.picked_up.bowl: #2, 226(39%)
minecraft.picked_up.fishing_rod: #1, 71(22%)
minecraft.crafted.wooden_hoe: #1, 15(29%)
minecraft.picked_up.saddle: #1, 56(18%)
minecraft.dropped.bowl: #2, 111(33%)
minecraft.dropped.blue_ice: #1, 129(43%)
minecraft.crafted.prismarine_brick_stairs: #1, 984(38%)
minecraft.picked_up.sign: #1, 60(67%)
minecraft.crafted.white_glazed_terracotta: #1, 464(47%)
minecraft.mined.wall_sign: #1, 20(77%)
minecraft.picked_up.prismarine_brick_stairs: #1, 204(30%)
minecraft.used.sign: #1, 71(68%)
minecraft.mined.prismarine_brick_stairs: #1, 155(28%)
minecraft.picked_up.wooden_hoe: #1, 7(30%)
minecraft.dropped.wooden_hoe: #1, 5(29%)
minecraft.killed.bat: #2, 128(15%)
minecraft.used.light_gray_glazed_terracotta: #1, 143(25%)
minecraft.dropped.prismarine_brick_stairs: #1, 29(63%)
minecraft.broken.fishing_rod: #2, 16(22%)
minecraft.crafted.sign: #1, 54(60%)
minecraft.crafted.nether_brick: #2, 7537(25%)
minecraft.crafted.rose_red: #1, 6(86%)
minecraft.crafted.light_gray_glazed_terracotta: #1, 336(39%)
minecraft.crafted.nether_brick_slab: #2, 1220(16%)
minecraft.picked_up.knowledge_book: #1, 1(100%)
minecraft.crafted.dandelion_yellow: #1, 2(100%)
minecraft.crafted.gray_glazed_terracotta: #1, 8(100%)
minecraft.used.prismarine_brick_stairs: #2, 612(24%)
minecraft.mined.light_gray_glazed_terracotta: #2, 75(23%)
minecraft.mined.white_glazed_terracotta: #2, 51(22%)
minecraft.used.nether_brick_slab: #3, 1025(16%)
minecraft.picked_up.lily_pad: #3, 203(13%)
minecraft.crafted.baked_potato: #3, 1444(11%)
minecraft.used.carrot_on_a_stick: #2, 607(9%)
minecraft.mined.sign: #2, 2(22%)
minecraft.crafted.orange_glazed_terracotta: #2, 79(9%)
minecraft.used.nether_brick_stairs: #3, 690(13%)
minecraft.crafted.cactus_green: #2, 16(24%)
minecraft.crafted.pink_glazed_terracotta: #2, 8(22%)
minecraft.mined.prismarine: #4, 3995(13%)
minecraft.picked_up.enchanted_book: #4, 102(10%)
minecraft.crafted.brown_glazed_terracotta: #2, 15(7%)
minecraft.crafted.knowledge_book: #3, 2(13%)
minecraft.crafted.stone: #3, 7569(4%)
minecraft.killed.mooshroom: #2, 56(1%)
minecraft.broken.diamond_leggings: #3, 1(25%)
minecraft.picked_up.oak_door: #4, 92(11%)
minecraft.picked_up.tripwire_hook: #4, 165(9%)
minecraft.picked_up.leather_boots: #4, 45(9%)
minecraft.used.dried_kelp: #3, 124(11%)
minecraft.used.potato: #4, 2842(8%)
minecraft.used.wet_sponge: #3, 10(7%)
minecraft.picked_up.oak_stairs: #4, 396(8%)
minecraft.mined.blue_orchid: #3, 64(5%)
minecraft.dropped.clock: #3, 1(9%)
minecraft.used.white_glazed_terracotta: #3, 55(8%)
minecraft.killed.villager: #3, 45(3%)
minecraft.crafted.lime_glazed_terracotta: #3, 8(13%)
minecraft.crafted.nether_brick_stairs: #4, 640(11%)
minecraft.mined.brown_glazed_terracotta: #3, 6(7%)
minecraft.picked_up.white_glazed_terracotta: #3, 59(3%)
minecraft.mined.prismarine_bricks: #5, 4196(12%)
minecraft.crafted.black_glazed_terracotta: #3, 8(3%)
minecraft.used.magenta_glazed_terracotta: #3, 4(4%)
minecraft.used.brown_glazed_terracotta: #3, 10(3%)
minecraft.picked_up.prismarine: #5, 3348(11%)
minecraft.dropped.music_disc_cat: #4, 1(20%)
minecraft.broken.leather_leggings: #4, 1(25%)
minecraft.picked_up.prismarine_bricks: #5, 4270(11%)
minecraft.picked_up.oak_pressure_plate: #5, 38(9%)
minecraft.mined.blue_banner: #4, 8(11%)
minecraft.mined.potted_white_tulip: #4, 1(17%)
minecraft.dropped.prismarine: #4, 115(6%)
minecraft.broken.stone_shovel: #4, 5(3%)
minecraft.crafted.magenta_glazed_terracotta: #4, 8(11%)
minecraft.mined.oak_pressure_plate: #5, 16(7%)
minecraft.crafted.cooked_mutton: #4, 37(1%)
minecraft.picked_up.bow: #5, 222(5%)
minecraft.crafted.fishing_rod: #5, 15(6%)
minecraft.crafted.green_glazed_terracotta: #4, 8(4%)
minecraft.picked_up.magenta_wool: #4, 66(1%)
minecraft.crafted.purple_glazed_terracotta: #4, 8(3%)
minecraft.used.purple_glazed_terracotta: #4, 4(2%)
minecraft.used.prismarine_bricks: #5, 2202(7%)
minecraft.used.pink_glazed_terracotta: #4, 6(2%)
minecraft.dropped.rail: #5, 213(6%)
minecraft.mined.pink_glazed_terracotta: #4, 2(2%)
minecraft.used.oak_pressure_plate: #5, 28(6%)
minecraft.used.cyan_glazed_terracotta: #4, 4(1%)
minecraft.picked_up.brown_glazed_terracotta: #4, 13(1%)
minecraft.picked_up.pink_glazed_terracotta: #4, 2(0%)
minecraft.picked_up.blue_ice: #5, 958(6%)
minecraft.picked_up.nether_brick_stairs: #5, 175(7%)
minecraft.mined.blue_ice: #5, 831(5%)
minecraft.dropped.tropical_fish: #5, 11(6%)
minecraft.dropped.packed_ice: #5, 723(4%)
minecraft.used.redstone_ore: #5, 719(3%)
minecraft.used.stone_shovel: #5, 706(3%)
minecraft.used.oak_door: #6, 57(8%)
minecraft.crafted.coal: #6, 5239(6%)
minecraft.used.cooked_mutton: #5, 63(2%)
minecraft.mined.melon: #5, 44(2%)
minecraft.used.blue_banner: #5, 8(3%)
minecraft.picked_up.blue_banner: #5, 8(4%)
minecraft.mined.nether_brick_stairs: #5, 56(2%)
minecraft.dropped.iron_horse_armor: #5, 1(7%)
minecraft.crafted.yellow_glazed_terracotta: #5, 17(3%)
minecraft.picked_up.bone: #6, 3445(4%)
minecraft.dropped.red_carpet: #5, 6(2%)
minecraft.used.pumpkin_pie: #5, 62(2%)
minecraft.picked_up.blue_orchid: #5, 64(1%)
minecraft.picked_up.green_wool: #5, 78(1%)
minecraft.used.lime_glazed_terracotta: #5, 4(2%)
minecraft.crafted.red_glazed_terracotta: #5, 16(2%)
minecraft.dropped.prismarine_brick_slab: #5, 6(1%)
minecraft.used.birch_boat: #6, 90(5%)
minecraft.dropped.beetroot: #5, 1(1%)
minecraft.crafted.blue_glazed_terracotta: #5, 8(1%)
minecraft.dropped.acacia_stairs: #5, 2(1%)
minecraft.used.blue_glazed_terracotta: #5, 4(0%)
minecraft.picked_up.birch_boat: #6, 89(5%)
minecraft.dropped.melon: #5, 1(0%)
minecraft.used.snowball: #6, 142(5%)
minecraft.mined.beetroots: #6, 73(5%)
minecraft.used.nether_bricks: #6, 1421(5%)
minecraft.used.prismarine: #6, 873(4%)
minecraft.dropped.spruce_log: #6, 173(2%)
minecraft.crafted.nether_bricks: #6, 1652(4%)
minecraft.mined.nether_wart: #6, 365(2%)
minecraft.picked_up.redstone_ore: #6, 804(2%)
