stat, rank, value, (percentage) 
minecraft.used.ravager_spawn_egg: #1, 1(100%)
minecraft.custom.time_since_rest: #8, 7791985(4%)
minecraft.custom.time_since_death: #10, 7791959(3%)
minecraft.killed.ravager: #10, 1(1%)
minecraft.used.end_crystal: #11, 1(1%)
minecraft.killed_by.phantom: #13, 1(1%)
minecraft.custom.fly_one_cm: #15, 70204448(3%)
minecraft.used.light_gray_carpet: #16, 60(0%)
minecraft.used.stripped_dark_oak_log: #16, 1(0%)
minecraft.used.birch_leaves: #16, 1(0%)
minecraft.used.sea_lantern: #17, 271(0%)
minecraft.used.gray_carpet: #18, 3(0%)
minecraft.dropped.smooth_stone_slab: #18, 1(0%)
minecraft.used.red_carpet: #18, 1(0%)
minecraft.used.lantern: #19, 16(0%)
minecraft.used.stripped_spruce_log: #19, 1(0%)
minecraft.picked_up.cobweb: #21, 1(0%)
minecraft.used.spruce_leaves: #21, 1(0%)
minecraft.picked_up.iron_sword: #22, 1(0%)
minecraft.picked_up.iron_leggings: #22, 1(0%)
minecraft.used.birch_sign: #22, 1(0%)
minecraft.picked_up.slime_ball: #22, 5(0%)
minecraft.picked_up.repeater: #22, 1(0%)
minecraft.used.repeater: #22, 1(0%)
minecraft.picked_up.ice: #22, 2(0%)
minecraft.used.smooth_stone_slab: #22, 1(0%)
minecraft.used.torch: #23, 1256(0%)
minecraft.killed.zombie: #23, 57(0%)
minecraft.picked_up.saddle: #23, 1(0%)
minecraft.picked_up.leather_chestplate: #23, 1(0%)
minecraft.killed.zombie_villager: #23, 1(0%)
minecraft.picked_up.item_frame: #23, 3(0%)
minecraft.killed.drowned: #23, 4(0%)
minecraft.used.quartz_block: #23, 1(0%)
minecraft.picked_up.coal_ore: #23, 1(0%)
minecraft.picked_up.iron_chestplate: #24, 1(0%)
minecraft.picked_up.brown_mushroom: #24, 1(0%)
minecraft.picked_up.chicken: #24, 1(0%)
minecraft.used.sticky_piston: #24, 1(0%)
minecraft.used.oak_leaves: #24, 1(0%)
minecraft.custom.sneak_time: #25, 139919(0%)
minecraft.picked_up.rotten_flesh: #25, 70(0%)
minecraft.used.diamond_sword: #25, 204(0%)
minecraft.picked_up.arrow: #25, 19(0%)
minecraft.custom.inspect_dropper: #25, 1(0%)
minecraft.picked_up.cod: #25, 2(0%)
minecraft.custom.damage_dealt: #26, 12137(0%)
minecraft.picked_up.gunpowder: #26, 4(0%)
minecraft.picked_up.feather: #26, 1(0%)
minecraft.picked_up.torch: #26, 9(0%)
minecraft.picked_up.granite: #26, 2(0%)
minecraft.picked_up.diorite: #26, 2(0%)
minecraft.picked_up.stone_bricks: #26, 1(0%)
minecraft.used.grass_block: #26, 1(0%)
minecraft.picked_up.andesite: #26, 1(0%)
minecraft.picked_up.kelp: #26, 1(0%)
minecraft.used.stone: #26, 2(0%)
minecraft.picked_up.stone: #26, 6(0%)
minecraft.custom.walk_under_water_one_cm: #27, 1246564(0%)
minecraft.custom.deaths: #27, 1(0%)
minecraft.custom.mob_kills: #27, 64(0%)
minecraft.custom.interact_with_furnace: #27, 2(0%)
minecraft.picked_up.string: #27, 1(0%)
minecraft.used.stone_bricks: #27, 2(0%)
minecraft.custom.leave_game: #28, 275(1%)
minecraft.picked_up.bone: #28, 13(0%)
minecraft.picked_up.oak_planks: #28, 1(0%)
minecraft.custom.climb_one_cm: #28, 2058(0%)
minecraft.picked_up.cobblestone: #28, 4(0%)
minecraft.custom.crouch_one_cm: #29, 2822(0%)
minecraft.custom.walk_on_water_one_cm: #30, 274555(0%)
minecraft.picked_up.egg: #30, 1(0%)
minecraft.custom.play_one_minute: #31, 7926950(0%)
minecraft.custom.walk_one_cm: #34, 107864(0%)
minecraft.custom.damage_taken: #34, 270(0%)
minecraft.custom.sprint_one_cm: #34, 38232(0%)
minecraft.custom.drop: #35, 1(0%)
minecraft.custom.jump: #36, 138(0%)
minecraft.custom.open_shulker_box: #36, 1(0%)
minecraft.custom.open_chest: #38, 1(0%)
