stat, rank, value, (percentage) 
minecraft.dropped.rose_red: #1, 2(100%)
minecraft.picked_up.rose_red: #1, 2(100%)
minecraft.mined.wall_sign: #2, 3(12%)
minecraft.crafted.rose_red: #2, 1(14%)
minecraft.mined.sign: #4, 1(11%)
minecraft.picked_up.sign: #4, 7(8%)
minecraft.dropped.yellow_banner: #4, 1(5%)
minecraft.used.sign: #4, 5(5%)
minecraft.crafted.white_terracotta: #5, 192(3%)
minecraft.picked_up.gray_terracotta: #5, 64(1%)
minecraft.dropped.clock: #6, 1(9%)
minecraft.picked_up.black_terracotta: #6, 195(4%)
minecraft.picked_up.clock: #8, 6(7%)
minecraft.dropped.compass: #7, 1(1%)
minecraft.dropped.red_banner: #7, 1(1%)
minecraft.picked_up.compass: #8, 2(3%)
minecraft.picked_up.cyan_stained_glass: #8, 63(0%)
minecraft.crafted.red_terracotta: #9, 24(0%)
minecraft.mined.red_banner: #10, 6(3%)
minecraft.picked_up.phantom_membrane: #10, 64(1%)
minecraft.picked_up.red_banner: #10, 9(1%)
minecraft.dropped.ice: #10, 22(0%)
minecraft.dropped.red_terracotta: #11, 6(0%)
minecraft.picked_up.pink_dye: #11, 1(0%)
minecraft.used.black_terracotta: #11, 15(0%)
minecraft.picked_up.cooked_chicken: #12, 193(1%)
minecraft.used.white_terracotta: #12, 146(2%)
minecraft.mined.yellow_banner: #12, 1(1%)
minecraft.dropped.cyan_terracotta: #12, 64(1%)
minecraft.used.red_banner: #12, 7(1%)
minecraft.used.terracotta: #13, 53(1%)
minecraft.dropped.white_concrete: #13, 46(1%)
minecraft.dropped.tripwire_hook: #13, 2(0%)
minecraft.picked_up.yellow_banner: #14, 1(0%)
minecraft.mined.black_terracotta: #14, 2(0%)
minecraft.picked_up.egg: #15, 214(1%)
minecraft.picked_up.firework_rocket: #15, 888(1%)
minecraft.used.black_concrete: #15, 340(0%)
minecraft.picked_up.ice: #15, 140(0%)
minecraft.mined.white_terracotta: #15, 42(0%)
minecraft.used.lime_terracotta: #15, 1(0%)
minecraft.used.egg: #16, 150(1%)
minecraft.picked_up.black_concrete: #16, 378(0%)
minecraft.picked_up.acacia_boat: #16, 1(0%)
minecraft.picked_up.gray_concrete: #16, 215(0%)
minecraft.used.red_terracotta: #16, 22(0%)
minecraft.dropped.ender_pearl: #16, 13(0%)
minecraft.used.cyan_stained_glass: #16, 1(0%)
minecraft.picked_up.diamond_boots: #17, 10(1%)
minecraft.picked_up.diamond_leggings: #17, 6(1%)
minecraft.picked_up.ender_pearl: #17, 123(0%)
minecraft.picked_up.cyan_terracotta: #17, 248(0%)
minecraft.used.bone_block: #17, 31(0%)
minecraft.used.gray_concrete: #17, 93(0%)
minecraft.picked_up.white_terracotta: #17, 79(0%)
minecraft.dropped.cooked_chicken: #17, 1(0%)
minecraft.mined.lime_terracotta: #17, 2(0%)
minecraft.killed_by.player: #18, 1(1%)
minecraft.picked_up.golden_carrot: #18, 200(1%)
minecraft.picked_up.elytra: #18, 8(1%)
minecraft.picked_up.diamond_helmet: #18, 5(1%)
minecraft.picked_up.trident: #18, 4(0%)
minecraft.used.poppy: #18, 2(0%)
minecraft.used.cooked_chicken: #18, 39(0%)
minecraft.picked_up.glass: #18, 193(0%)
