stat, rank, value, (percentage) 
minecraft.dropped.brick: #2, 161(18%)
minecraft.crafted.air: #1, 0(0%)
minecraft.mined.wall_sign: #4, 1(4%)
minecraft.picked_up.wooden_pickaxe: #5, 2(4%)
minecraft.picked_up.brick: #5, 483(3%)
minecraft.picked_up.sign: #5, 1(1%)
minecraft.dropped.stone_axe: #6, 2(2%)
minecraft.picked_up.stone_axe: #9, 2(4%)
minecraft.picked_up.charcoal: #9, 13(3%)
minecraft.dropped.birch_sapling: #10, 8(1%)
minecraft.picked_up.stone_pickaxe: #11, 2(2%)
minecraft.dropped.wooden_pickaxe: #11, 1(2%)
minecraft.killed_by.drowned: #12, 1(1%)
minecraft.killed_by.skeleton: #12, 1(1%)
minecraft.dropped.stone_pickaxe: #12, 1(1%)
minecraft.crafted.wooden_pickaxe: #12, 1(0%)
minecraft.picked_up.cooked_porkchop: #12, 8(0%)
minecraft.crafted.stone_axe: #13, 2(1%)
minecraft.dropped.diamond_leggings: #13, 1(1%)
minecraft.crafted.cooked_porkchop: #13, 8(0%)
minecraft.dropped.leather: #14, 8(0%)
minecraft.crafted.cooked_chicken: #14, 8(0%)
minecraft.used.wooden_pickaxe: #15, 18(2%)
minecraft.used.stone_axe: #15, 110(1%)
minecraft.dropped.name_tag: #15, 2(1%)
minecraft.picked_up.name_tag: #15, 5(1%)
minecraft.dropped.white_wool: #15, 4(0%)
minecraft.used.stone_sword: #16, 34(2%)
minecraft.dropped.oak_sapling: #16, 30(1%)
minecraft.dropped.diamond_helmet: #16, 1(1%)
minecraft.dropped.diamond_boots: #16, 1(1%)
minecraft.picked_up.porkchop: #16, 8(0%)
minecraft.dropped.egg: #16, 30(0%)
minecraft.picked_up.shield: #16, 1(0%)
minecraft.crafted.stone_sword: #16, 1(0%)
minecraft.dropped.cooked_beef: #16, 4(0%)
minecraft.picked_up.cooked_mutton: #16, 2(0%)
minecraft.crafted.charcoal: #17, 23(1%)
minecraft.dropped.leather_leggings: #17, 2(1%)
minecraft.killed.pig: #17, 4(1%)
minecraft.picked_up.iron_axe: #17, 1(0%)
minecraft.dropped.feather: #17, 7(0%)
minecraft.crafted.cooked_mutton: #17, 2(0%)
minecraft.picked_up.baked_potato: #18, 64(1%)
minecraft.picked_up.stone_sword: #18, 3(0%)
minecraft.dropped.sandstone: #18, 5(0%)
minecraft.picked_up.leather_leggings: #19, 5(1%)
minecraft.killed_by.creeper: #19, 1(1%)
minecraft.picked_up.birch_planks: #19, 48(1%)
