stat, rank, value, (percentage) 
minecraft.picked_up.cooked_porkchop: #1, 2482(80%)
minecraft.crafted.cooked_mutton: #1, 2155(85%)
minecraft.used.cooked_mutton: #1, 2210(73%)
minecraft.picked_up.smooth_quartz: #1, 20698(85%)
minecraft.killed.squid: #1, 2187(59%)
minecraft.crafted.comparator: #1, 5661(64%)
minecraft.dropped.sandstone: #1, 10878(61%)
minecraft.dropped.quartz_block: #1, 16967(90%)
minecraft.used.stone_shovel: #1, 15155(63%)
minecraft.used.sandstone_slab: #1, 62684(67%)
minecraft.crafted.oak_wood: #1, 4419(75%)
minecraft.mined.black_concrete_powder: #1, 2452(70%)
minecraft.crafted.redstone_torch: #1, 40094(53%)
minecraft.used.oak_wood: #1, 4698(77%)
minecraft.used.coarse_dirt: #1, 29152(55%)
minecraft.killed.sheep: #1, 929(45%)
minecraft.picked_up.oak_leaves: #1, 54417(45%)
minecraft.picked_up.porkchop: #1, 852(44%)
minecraft.used.oak_leaves: #1, 34658(45%)
minecraft.picked_up.mutton: #1, 2245(48%)
minecraft.mined.oak_leaves: #1, 59730(33%)
minecraft.picked_up.ink_sac: #1, 7998(43%)
minecraft.dropped.sand: #1, 101380(42%)
minecraft.broken.stone_shovel: #1, 112(66%)
minecraft.crafted.coarse_dirt: #1, 26080(55%)
minecraft.crafted.repeater: #1, 8175(47%)
minecraft.mined.gray_concrete_powder: #1, 4109(57%)
minecraft.crafted.cooked_porkchop: #1, 2368(60%)
minecraft.mined.coarse_dirt: #1, 8390(46%)
minecraft.dropped.light_gray_wool: #1, 976(84%)
minecraft.picked_up.birch_leaves: #1, 9366(50%)
minecraft.picked_up.cooked_mutton: #1, 1142(56%)
minecraft.dropped.enchanted_book: #1, 343(53%)
minecraft.picked_up.coarse_dirt: #1, 9165(45%)
minecraft.picked_up.smooth_stone: #1, 15376(45%)
minecraft.picked_up.sweet_berries: #1, 16074(57%)
minecraft.used.cobblestone_stairs: #1, 5735(44%)
minecraft.mined.birch_leaves: #1, 9830(38%)
minecraft.used.grass_block: #1, 114231(35%)
minecraft.killed.pig: #1, 274(37%)
minecraft.crafted.dispenser: #1, 2367(47%)
minecraft.picked_up.iron_trapdoor: #1, 3955(44%)
minecraft.used.cornflower: #1, 189(70%)
minecraft.mined.dirt: #1, 303060(28%)
minecraft.crafted.cooked_chicken: #1, 4070(60%)
minecraft.picked_up.glass: #1, 93964(37%)
minecraft.mined.smooth_quartz: #1, 2531(56%)
minecraft.mined.tripwire: #1, 1101(42%)
minecraft.picked_up.oak_sapling: #1, 11162(28%)
minecraft.used.dirt: #1, 219949(26%)
minecraft.used.stone: #1, 297304(34%)
minecraft.mined.light_gray_concrete_powder: #1, 2281(44%)
minecraft.picked_up.quartz: #1, 150015(37%)
minecraft.mined.sandstone: #1, 82897(34%)
minecraft.crafted.iron_trapdoor: #1, 6896(39%)
minecraft.picked_up.smooth_quartz_slab: #1, 3352(66%)
minecraft.picked_up.oak_log: #1, 42388(29%)
minecraft.dropped.bread: #1, 1775(53%)
minecraft.crafted.daylight_detector: #1, 676(61%)
minecraft.picked_up.sandstone: #1, 82406(34%)
minecraft.crafted.bow: #1, 2360(40%)
minecraft.picked_up.spruce_leaves: #1, 33897(40%)
minecraft.custom.sneak_time: #1, 12763625(16%)
minecraft.used.redstone_ore: #1, 10099(44%)
minecraft.used.smooth_quartz_slab: #1, 9465(64%)
minecraft.picked_up.oak_wood: #1, 654(55%)
minecraft.mined.oak_wood: #1, 589(59%)
minecraft.mined.oak_log: #1, 38172(29%)
minecraft.used.shears: #1, 85472(33%)
minecraft.used.smooth_quartz: #1, 7133(51%)
minecraft.used.iron_trapdoor: #1, 8014(37%)
minecraft.dropped.spruce_fence: #1, 570(51%)
minecraft.crafted.dropper: #1, 3327(39%)
minecraft.picked_up.dirt: #1, 316951(23%)
minecraft.crafted.dark_oak_slab: #1, 15430(37%)
minecraft.used.cobblestone_slab: #1, 12135(37%)
minecraft.used.birch_leaves: #1, 3840(48%)
minecraft.mined.spruce_leaves: #1, 34470(33%)
minecraft.crafted.grindstone: #1, 678(53%)
minecraft.dropped.spruce_slab: #1, 813(36%)
minecraft.used.cut_sandstone: #1, 4051(43%)
minecraft.picked_up.acacia_sapling: #1, 5323(37%)
minecraft.mined.dark_oak_log: #1, 41139(31%)
minecraft.picked_up.barrel: #1, 679(37%)
minecraft.crafted.spruce_trapdoor: #1, 8060(33%)
minecraft.crafted.cut_sandstone: #1, 4955(48%)
minecraft.mined.smooth_quartz_slab: #1, 1993(59%)
minecraft.mined.grass_block: #1, 193978(23%)
minecraft.used.brain_coral_block: #1, 1324(54%)
minecraft.picked_up.grass_block: #1, 165849(29%)
minecraft.mined.spruce_trapdoor: #1, 2519(32%)
minecraft.used.grindstone: #1, 449(47%)
minecraft.picked_up.blast_furnace: #1, 237(58%)
