stat, rank, value, (percentage) 
minecraft.picked_up.oxeye_daisy: #1, 3785(59%)
minecraft.picked_up.dandelion: #1, 6282(49%)
minecraft.dropped.shulker_box: #1, 826(69%)
minecraft.picked_up.cyan_stained_glass: #1, 11075(73%)
minecraft.used.cyan_stained_glass: #1, 45669(73%)
minecraft.mined.light_gray_wool: #1, 1238(70%)
minecraft.mined.cyan_stained_glass: #1, 5821(79%)
minecraft.used.sea_pickle: #1, 6918(59%)
minecraft.picked_up.azure_bluet: #1, 3371(48%)
minecraft.picked_up.cornflower: #1, 2826(57%)
minecraft.used.peony: #1, 538(62%)
minecraft.crafted.light_gray_wool: #1, 6123(65%)
minecraft.picked_up.sea_pickle: #1, 6486(54%)
minecraft.crafted.cyan_stained_glass: #1, 44896(65%)
minecraft.used.egg: #1, 9898(35%)
minecraft.picked_up.white_concrete_powder: #1, 83591(42%)
minecraft.dropped.bow: #1, 1480(36%)
minecraft.picked_up.item_frame: #1, 2513(37%)
minecraft.dropped.emerald: #1, 3619(61%)
minecraft.dropped.cyan_stained_glass: #1, 899(85%)
minecraft.used.white_concrete: #1, 134568(35%)
minecraft.picked_up.bow: #1, 1529(31%)
minecraft.crafted.filled_map: #1, 1656(56%)
minecraft.crafted.compass: #1, 963(41%)
minecraft.used.white_concrete_powder: #1, 149374(37%)
minecraft.picked_up.white_concrete: #1, 100918(33%)
minecraft.crafted.white_concrete_powder: #1, 154268(36%)
minecraft.mined.white_concrete: #1, 125535(32%)
minecraft.dropped.brown_concrete_powder: #1, 640(86%)
minecraft.dropped.peony: #1, 365(77%)
minecraft.used.light_gray_wool: #1, 5672(47%)
minecraft.dropped.oxeye_daisy: #1, 873(42%)
minecraft.dropped.phantom_membrane: #1, 307(53%)
minecraft.mined.sea_pickle: #1, 1054(44%)
minecraft.crafted.light_gray_dye: #1, 11936(33%)
minecraft.crafted.map: #1, 856(40%)
minecraft.used.lilac: #1, 589(45%)
minecraft.dropped.azure_bluet: #1, 1194(42%)
minecraft.picked_up.white_dye: #1, 3843(45%)
minecraft.crafted.cyan_dye: #1, 12526(32%)
minecraft.used.baked_potato: #1, 5338(30%)
minecraft.picked_up.poisonous_potato: #1, 364(31%)
minecraft.dropped.spruce_planks: #1, 1637(33%)
minecraft.dropped.light_gray_stained_glass_pane: #1, 1259(61%)
minecraft.picked_up.firework_rocket: #1, 28654(28%)
minecraft.picked_up.baked_potato: #1, 2698(28%)
minecraft.picked_up.cyan_terracotta: #1, 23279(30%)
minecraft.crafted.player_head: #1, 2108(33%)
minecraft.used.spruce_planks: #1, 15209(25%)
minecraft.dropped.firework_rocket: #1, 7046(30%)
minecraft.custom.pig_one_cm: #1, 205677(59%)
minecraft.used.item_frame: #1, 2809(28%)
minecraft.custom.play_noteblock: #1, 1417(32%)
minecraft.picked_up.gravel: #1, 183976(24%)
minecraft.dropped.map: #1, 139(76%)
minecraft.used.tnt: #1, 3001(35%)
minecraft.picked_up.cyan_dye: #1, 943(50%)
minecraft.dropped.golden_carrot: #1, 1504(28%)
minecraft.dropped.black_concrete_powder: #1, 1064(57%)
minecraft.used.stone_hoe: #1, 1611(27%)
minecraft.used.cyan_terracotta: #1, 52465(26%)
minecraft.mined.gravel: #1, 162133(22%)
minecraft.used.cauldron: #1, 308(28%)
minecraft.dropped.dispenser: #1, 173(50%)
minecraft.picked_up.light_gray_stained_glass_pane: #1, 1828(37%)
minecraft.crafted.diamond_helmet: #1, 34(25%)
minecraft.crafted.diamond_shovel: #1, 76(23%)
minecraft.dropped.white_bed: #1, 28(36%)
minecraft.picked_up.sand: #1, 356391(19%)
minecraft.dropped.oak_planks: #1, 1194(24%)
minecraft.crafted.golden_carrot: #2, 31563(31%)
minecraft.used.trident: #1, 7280(23%)
minecraft.dropped.lilac: #1, 197(40%)
minecraft.crafted.pink_dye: #1, 2068(25%)
minecraft.used.painting: #1, 806(25%)
minecraft.picked_up.cauldron: #1, 179(30%)
minecraft.picked_up.spruce_planks: #1, 7280(20%)
minecraft.picked_up.blue_dye: #1, 390(57%)
minecraft.dropped.white_concrete_powder: #1, 1622(46%)
minecraft.used.snow: #1, 18955(28%)
minecraft.mined.sand: #1, 311948(17%)
minecraft.used.firework_rocket: #1, 2946(19%)
minecraft.dropped.gray_concrete_powder: #1, 775(70%)
minecraft.custom.mob_kills: #3, 533919(18%)
minecraft.dropped.light_gray_concrete_powder: #1, 1024(41%)
minecraft.mined.spruce_planks: #1, 5175(20%)
minecraft.picked_up.trident: #1, 189(21%)
minecraft.dropped.gray_stained_glass_pane: #1, 763(80%)
minecraft.picked_up.birch_planks: #1, 1687(20%)
minecraft.used.birch_planks: #1, 2189(23%)
minecraft.dropped.redstone: #1, 2151(21%)
minecraft.picked_up.snow: #1, 21719(30%)
minecraft.picked_up.wheat_seeds: #1, 26342(15%)
minecraft.killed.phantom: #2, 1369(27%)
minecraft.picked_up.cyan_concrete_powder: #1, 424(42%)
minecraft.picked_up.painting: #1, 650(22%)
minecraft.crafted.brick: #1, 10627(24%)
minecraft.picked_up.acacia_planks: #1, 387(26%)
minecraft.used.activator_rail: #1, 163(30%)
minecraft.dropped.torch: #1, 2264(19%)
minecraft.crafted.magenta_dye: #1, 2122(22%)
minecraft.dropped.rose_bush: #1, 186(31%)
minecraft.crafted.dispenser: #2, 1373(27%)
minecraft.picked_up.potato: #2, 25963(22%)
minecraft.crafted.cauldron: #1, 296(23%)
minecraft.mined.white_concrete_powder: #2, 1873(27%)
minecraft.used.music_disc_ward: #1, 79(87%)
minecraft.dropped.black_concrete: #1, 735(33%)
minecraft.used.light_gray_concrete: #1, 9635(21%)
minecraft.dropped.detector_rail: #1, 29(60%)
minecraft.killed.salmon: #1, 102(22%)
minecraft.broken.diamond_shovel: #1, 23(38%)
minecraft.picked_up.filled_map: #2, 1266(24%)
minecraft.custom.play_record: #1, 220(47%)
minecraft.crafted.golden_helmet: #1, 11(38%)
minecraft.dropped.egg: #2, 2175(22%)
minecraft.picked_up.pink_stained_glass: #1, 2118(52%)
minecraft.used.jungle_wood: #1, 576(46%)
minecraft.crafted.bow: #2, 1428(24%)
minecraft.dropped.comparator: #1, 263(34%)
minecraft.crafted.purple_dye: #1, 1948(22%)
minecraft.picked_up.light_gray_concrete: #1, 7375(20%)
minecraft.picked_up.egg: #2, 3634(17%)
minecraft.picked_up.iron_boots: #1, 44(15%)
