stat, rank, value, (percentage) 
minecraft.killed_by.zombie_pigman: #9, 1(5%)
minecraft.used.sweet_berries: #10, 30(0%)
minecraft.mined.green_carpet: #12, 2(1%)
minecraft.picked_up.sweet_berries: #12, 67(0%)
minecraft.picked_up.green_carpet: #13, 2(0%)
minecraft.used.green_carpet: #15, 2(0%)
minecraft.picked_up.elytra: #22, 3(0%)
minecraft.picked_up.ender_pearl: #22, 31(0%)
minecraft.picked_up.ender_chest: #22, 2(0%)
minecraft.picked_up.trident: #23, 1(0%)
minecraft.picked_up.firework_rocket: #23, 86(0%)
minecraft.used.ender_pearl: #23, 2(0%)
minecraft.used.trident: #23, 5(0%)
minecraft.custom.inspect_dispenser: #24, 11(0%)
minecraft.custom.climb_one_cm: #24, 26584(0%)
minecraft.custom.aviate_one_cm: #24, 944944(0%)
minecraft.custom.open_enderchest: #25, 4(0%)
minecraft.custom.mob_kills: #26, 133(0%)
minecraft.custom.deaths: #28, 1(0%)
minecraft.custom.swim_one_cm: #30, 323(0%)
minecraft.custom.damage_taken: #31, 549(0%)
minecraft.custom.time_since_rest: #32, 33302(0%)
minecraft.custom.open_shulker_box: #33, 8(0%)
minecraft.custom.fall_one_cm: #34, 3161(0%)
minecraft.custom.jump: #35, 196(0%)
minecraft.custom.open_chest: #35, 12(0%)
minecraft.custom.sprint_one_cm: #35, 35783(0%)
minecraft.custom.walk_one_cm: #36, 19189(0%)
minecraft.custom.damage_dealt: #37, 14(0%)
minecraft.custom.crouch_one_cm: #40, 27(0%)
minecraft.custom.leave_game: #45, 5(0%)
minecraft.custom.time_since_death: #48, 33247(0%)
minecraft.custom.walk_on_water_one_cm: #48, 929(0%)
minecraft.custom.walk_under_water_one_cm: #48, 359(0%)
minecraft.custom.fly_one_cm: #51, 71217(0%)
minecraft.custom.play_one_minute: #52, 39038(0%)
minecraft.custom.sneak_time: #53, 14(0%)
