stat, rank, value, (percentage) 
minecraft.mined.pink_wall_banner: #1, 2(67%)
minecraft.crafted.flower_banner_pattern: #1, 1(20%)
minecraft.picked_up.flower_banner_pattern: #1, 1(50%)
minecraft.picked_up.charcoal: #3, 64(16%)
minecraft.crafted.pink_banner: #2, 10(30%)
minecraft.mined.cyan_wall_banner: #2, 3(15%)
minecraft.dropped.jungle_sign: #2, 16(25%)
minecraft.used.pink_banner: #2, 7(18%)
minecraft.picked_up.jungle_sign: #3, 33(24%)
minecraft.crafted.end_stone_brick_slab: #2, 18(23%)
minecraft.dropped.gray_banner: #2, 3(30%)
minecraft.crafted.armor_stand: #3, 239(7%)
minecraft.used.end_stone_brick_slab: #2, 8(23%)
minecraft.crafted.magenta_banner: #3, 10(10%)
minecraft.used.written_book: #4, 2123(5%)
minecraft.mined.magenta_wall_banner: #3, 2(9%)
minecraft.picked_up.pink_banner: #3, 2(8%)
minecraft.used.lime_stained_glass: #4, 1192(8%)
minecraft.killed.cod: #4, 87(6%)
minecraft.crafted.blue_banner: #3, 10(3%)
minecraft.crafted.air: #3, 0(0%)
minecraft.crafted.cyan_banner: #4, 10(12%)
minecraft.used.magenta_banner: #4, 8(10%)
minecraft.crafted.gray_banner: #4, 16(8%)
minecraft.dropped.acacia_boat: #4, 1(6%)
minecraft.dropped.beef: #4, 146(1%)
minecraft.dropped.birch_pressure_plate: #4, 1(2%)
minecraft.crafted.charcoal: #5, 116(4%)
minecraft.mined.cyan_carpet: #5, 10(4%)
minecraft.used.jungle_sign: #5, 15(6%)
minecraft.mined.purple_wall_banner: #5, 1(7%)
minecraft.mined.dark_oak_wood: #5, 20(2%)
minecraft.picked_up.magenta_banner: #5, 2(3%)
minecraft.picked_up.dark_oak_wood: #5, 20(1%)
minecraft.mined.jungle_wall_sign: #5, 1(2%)
minecraft.used.cyan_banner: #6, 8(7%)
minecraft.crafted.purple_banner: #6, 10(7%)
minecraft.used.lime_banner: #6, 4(3%)
minecraft.mined.black_banner: #6, 1(2%)
minecraft.used.gray_banner: #6, 5(3%)
minecraft.mined.acacia_trapdoor: #6, 16(1%)
minecraft.mined.blue_wall_banner: #6, 1(2%)
minecraft.used.dark_oak_wood: #6, 49(1%)
minecraft.custom.interact_with_loom: #7, 29(5%)
minecraft.crafted.lime_stained_glass: #7, 896(4%)
minecraft.used.tnt: #7, 279(3%)
minecraft.crafted.lime_banner: #7, 10(6%)
minecraft.crafted.golden_helmet: #7, 1(3%)
minecraft.picked_up.wooden_pickaxe: #7, 1(2%)
minecraft.used.blue_banner: #7, 6(3%)
minecraft.crafted.dark_oak_wood: #7, 51(1%)
minecraft.used.acacia_trapdoor: #7, 32(0%)
minecraft.picked_up.pink_concrete_powder: #7, 1(0%)
minecraft.picked_up.beef: #8, 803(3%)
minecraft.mined.gray_wool: #8, 14(4%)
minecraft.crafted.leather_leggings: #8, 33(3%)
