stat, rank, value, (percentage) 
minecraft.mined.sign: #1, 5(56%)
minecraft.mined.beetroots: #2, 221(16%)
minecraft.used.beetroot_seeds: #3, 221(16%)
minecraft.broken.wooden_axe: #2, 2(20%)
minecraft.used.wooden_axe: #3, 142(16%)
minecraft.crafted.sign: #2, 27(30%)
minecraft.crafted.charcoal: #3, 256(8%)
minecraft.picked_up.sign: #2, 15(17%)
minecraft.used.sign: #2, 18(17%)
minecraft.picked_up.beetroot_seeds: #4, 414(11%)
minecraft.picked_up.beetroot: #4, 193(13%)
minecraft.mined.melon: #3, 65(3%)
minecraft.crafted.wooden_axe: #4, 3(9%)
minecraft.mined.melon_stem: #3, 9(4%)
minecraft.broken.wooden_hoe: #4, 1(11%)
minecraft.mined.pumpkin_stem: #4, 16(4%)
minecraft.used.wooden_hoe: #5, 60(6%)
minecraft.dropped.wooden_axe: #5, 1(10%)
minecraft.broken.iron_axe: #6, 6(7%)
minecraft.mined.attached_pumpkin_stem: #5, 2(4%)
minecraft.used.iron_axe: #6, 1521(5%)
minecraft.mined.dried_kelp_block: #5, 14(2%)
minecraft.used.egg: #6, 759(3%)
minecraft.killed.tropical_fish: #6, 1(2%)
minecraft.used.melon_slice: #6, 3(1%)
minecraft.used.dried_kelp_block: #6, 22(0%)
minecraft.broken.iron_sword: #7, 1(5%)
minecraft.mined.oak_sapling: #7, 31(3%)
minecraft.mined.birch_sapling: #7, 17(3%)
minecraft.picked_up.melon_seeds: #7, 13(2%)
minecraft.dropped.beetroot_seeds: #7, 7(1%)
minecraft.picked_up.egg: #8, 807(4%)
minecraft.crafted.air: #7, 0(0%)
minecraft.crafted.dried_kelp: #8, 1725(1%)
minecraft.used.cod_bucket: #8, 5(1%)
minecraft.dropped.fishing_rod: #8, 3(1%)
minecraft.mined.acacia_slab: #8, 3(1%)
minecraft.picked_up.acacia_slab: #8, 3(0%)
minecraft.used.melon_seeds: #8, 9(0%)
minecraft.crafted.jungle_stairs: #8, 8(0%)
minecraft.used.dried_kelp: #8, 3(0%)
minecraft.mined.pumpkin: #9, 125(3%)
minecraft.dropped.wheat: #9, 65(3%)
minecraft.used.acacia_boat: #9, 6(2%)
minecraft.picked_up.wooden_pickaxe: #9, 1(2%)
minecraft.mined.jungle_sapling: #9, 4(2%)
minecraft.mined.blue_orchid: #9, 11(1%)
minecraft.picked_up.melon_slice: #9, 312(1%)
minecraft.used.lily_pad: #9, 2(1%)
minecraft.crafted.melon_seeds: #9, 9(0%)
minecraft.dropped.coal: #10, 366(4%)
minecraft.broken.iron_shovel: #10, 5(4%)
minecraft.killed.cod: #10, 31(2%)
minecraft.crafted.wooden_hoe: #10, 1(2%)
minecraft.picked_up.fishing_rod: #10, 4(1%)
minecraft.picked_up.seagrass: #10, 50(1%)
minecraft.picked_up.jungle_sapling: #10, 28(1%)
minecraft.used.acacia_slab: #10, 9(1%)
minecraft.crafted.pumpkin_seeds: #10, 24(0%)
minecraft.used.jungle_slab: #10, 18(0%)
minecraft.picked_up.wooden_sword: #10, 1(0%)
minecraft.picked_up.blue_orchid: #10, 11(0%)
minecraft.crafted.acacia_slab: #10, 6(0%)
minecraft.used.jungle_stairs: #10, 5(0%)
minecraft.crafted.acacia_fence: #10, 3(0%)
minecraft.picked_up.acacia_boat: #11, 5(2%)
minecraft.mined.kelp_plant: #11, 459(1%)
minecraft.mined.carrots: #11, 221(1%)
minecraft.crafted.acacia_boat: #11, 1(1%)
minecraft.mined.jungle_slab: #11, 5(0%)
minecraft.used.birch_leaves: #11, 15(0%)
minecraft.picked_up.grass: #12, 92(3%)
minecraft.crafted.iron_axe: #12, 7(2%)
minecraft.mined.cocoa: #12, 82(1%)
minecraft.crafted.jungle_boat: #12, 1(1%)
minecraft.used.iron_hoe: #12, 113(1%)
minecraft.picked_up.birch_leaves: #12, 140(1%)
minecraft.used.cod: #12, 4(1%)
minecraft.used.birch_sapling: #12, 47(0%)
minecraft.used.pumpkin_seeds: #12, 18(0%)
minecraft.picked_up.jungle_slab: #12, 6(0%)
minecraft.mined.lily_pad: #12, 1(0%)
minecraft.custom.fish_caught: #12, 45(0%)
minecraft.picked_up.kelp: #13, 6157(1%)
minecraft.used.jungle_boat: #13, 3(1%)
minecraft.killed.salmon: #13, 4(1%)
minecraft.picked_up.birch_sapling: #13, 111(1%)
minecraft.crafted.birch_boat: #13, 1(1%)
minecraft.crafted.jungle_slab: #13, 30(0%)
minecraft.used.hay_block: #13, 9(0%)
minecraft.used.acacia_planks: #13, 5(0%)
minecraft.used.jungle_fence: #13, 3(0%)
minecraft.crafted.cooked_cod: #13, 11(0%)
minecraft.used.acacia_fence: #13, 3(0%)
minecraft.crafted.dried_kelp_block: #13, 191(0%)
minecraft.used.iron_shovel: #14, 1459(3%)
minecraft.killed.chicken: #14, 59(2%)
minecraft.crafted.baked_potato: #14, 184(1%)
