stat, rank, value, (percentage) 
minecraft.used.jungle_sign: #1, 81(32%)
minecraft.mined.jungle_wall_sign: #2, 11(26%)
minecraft.crafted.jungle_sign: #2, 87(35%)
minecraft.dropped.jungle_leaves: #3, 256(17%)
minecraft.mined.jungle_sapling: #3, 38(15%)
minecraft.crafted.spruce_sign: #4, 132(7%)
minecraft.picked_up.jungle_sign: #4, 10(7%)
minecraft.dropped.jungle_sapling: #4, 2(3%)
minecraft.used.jungle_sapling: #5, 253(6%)
minecraft.dropped.birch_sign: #5, 19(7%)
minecraft.used.birch_sign: #6, 127(6%)
minecraft.picked_up.jungle_sapling: #8, 66(2%)
minecraft.dropped.iron_chestplate: #8, 3(2%)
minecraft.picked_up.birch_sign: #10, 22(2%)
minecraft.dropped.iron_boots: #10, 3(2%)
minecraft.dropped.iron_helmet: #10, 3(1%)
minecraft.dropped.cornflower: #10, 2(0%)
minecraft.used.spruce_sign: #11, 68(3%)
minecraft.dropped.oak_planks: #11, 128(3%)
minecraft.dropped.oak_leaves: #11, 128(2%)
minecraft.dropped.iron_leggings: #11, 3(3%)
minecraft.mined.jungle_log: #11, 369(1%)
minecraft.mined.jungle_leaves: #12, 159(1%)
minecraft.picked_up.jungle_log: #12, 363(1%)
minecraft.mined.spruce_wall_sign: #13, 4(2%)
minecraft.mined.oak_sapling: #13, 13(1%)
minecraft.mined.cornflower: #13, 3(0%)
minecraft.picked_up.jungle_leaves: #13, 50(0%)
minecraft.mined.birch_sign: #14, 2(1%)
minecraft.crafted.wooden_pickaxe: #14, 1(0%)
minecraft.crafted.birch_sign: #14, 12(1%)
minecraft.used.bone_meal: #16, 1653(1%)
minecraft.crafted.iron_boots: #16, 4(1%)
minecraft.dropped.bone_meal: #16, 130(1%)
minecraft.used.oak_sapling: #16, 205(1%)
minecraft.dropped.oak_sign: #16, 14(1%)
minecraft.dropped.golden_carrot: #16, 35(1%)
minecraft.used.jungle_leaves: #16, 14(0%)
minecraft.dropped.oxeye_daisy: #16, 2(0%)
minecraft.crafted.iron_chestplate: #17, 4(1%)
minecraft.crafted.iron_helmet: #17, 4(1%)
minecraft.picked_up.jungle_planks: #17, 1(0%)
minecraft.crafted.iron_leggings: #18, 4(1%)
minecraft.picked_up.oak_sign: #18, 102(1%)
minecraft.custom.time_since_rest: #18, 404801(0%)
minecraft.picked_up.spruce_sign: #18, 4(0%)
minecraft.mined.birch_wall_sign: #18, 1(0%)
minecraft.picked_up.cornflower: #18, 2(0%)
minecraft.crafted.bone_block: #18, 20(0%)
minecraft.used.jungle_log: #19, 21(0%)
minecraft.used.golden_carrot: #19, 81(0%)
minecraft.dropped.spruce_slab: #19, 2(0%)
minecraft.mined.grass: #20, 1124(1%)
minecraft.crafted.jungle_planks: #20, 304(0%)
minecraft.picked_up.cobblestone_slab: #20, 20(0%)
minecraft.picked_up.stone_pressure_plate: #20, 1(0%)
minecraft.picked_up.iron_helmet: #21, 1(0%)
minecraft.crafted.bone_meal: #21, 1989(0%)
minecraft.picked_up.iron_door: #21, 1(0%)
minecraft.picked_up.lilac: #21, 1(0%)
minecraft.crafted.diamond_sword: #22, 1(1%)
minecraft.crafted.oak_sign: #22, 48(0%)
minecraft.used.oak_sign: #22, 52(0%)
minecraft.crafted.diamond_pickaxe: #22, 1(0%)
minecraft.mined.oxeye_daisy: #22, 2(0%)
minecraft.mined.vine: #22, 13(0%)
minecraft.picked_up.golden_carrot: #22, 12(0%)
minecraft.mined.end_rod: #22, 2(0%)
minecraft.picked_up.end_rod: #22, 2(0%)
minecraft.mined.grass_path: #22, 1(0%)
minecraft.mined.coarse_dirt: #22, 2(0%)
minecraft.picked_up.coarse_dirt: #22, 2(0%)
minecraft.used.cobblestone_slab: #22, 1(0%)
minecraft.crafted.diamond_axe: #23, 1(1%)
minecraft.dropped.diamond_sword: #23, 1(0%)
minecraft.picked_up.porkchop: #23, 3(0%)
minecraft.picked_up.oxeye_daisy: #23, 3(0%)
minecraft.picked_up.oak_fence: #23, 1(0%)
minecraft.used.end_rod: #23, 2(0%)
minecraft.dropped.stick: #23, 1(0%)
minecraft.killed.pig: #24, 1(0%)
minecraft.picked_up.stick: #24, 38(0%)
minecraft.picked_up.diamond_sword: #24, 1(0%)
minecraft.custom.open_shulker_box: #24, 272(0%)
minecraft.dropped.wheat_seeds: #24, 5(0%)
minecraft.picked_up.grass_block: #24, 8(0%)
minecraft.mined.dandelion: #25, 7(0%)
minecraft.custom.fall_one_cm: #25, 169093(0%)
minecraft.crafted.stick: #25, 322(0%)
minecraft.mined.oak_wall_sign: #25, 3(0%)
minecraft.crafted.spruce_planks: #25, 272(0%)
minecraft.picked_up.dandelion: #25, 6(0%)
minecraft.used.diamond_axe: #25, 429(0%)
minecraft.crafted.iron_ingot: #25, 117(0%)
minecraft.killed.spider: #25, 1(0%)
minecraft.killed.skeleton: #25, 10(0%)
minecraft.picked_up.spruce_planks: #25, 2(0%)
minecraft.mined.spruce_planks: #25, 1(0%)
minecraft.custom.sprint_one_cm: #26, 2597081(0%)
minecraft.picked_up.oak_sapling: #26, 42(0%)
minecraft.custom.jump: #26, 6642(0%)
minecraft.picked_up.wheat_seeds: #26, 146(0%)
minecraft.custom.open_chest: #26, 244(0%)
minecraft.picked_up.bone_meal: #26, 12(0%)
minecraft.custom.drop: #26, 48(0%)
minecraft.custom.interact_with_crafting_table: #26, 23(0%)
minecraft.picked_up.egg: #26, 6(0%)
minecraft.killed.cow: #26, 1(0%)
minecraft.picked_up.diamond: #26, 3(0%)
minecraft.custom.open_enderchest: #26, 3(0%)
minecraft.used.egg: #26, 1(0%)
minecraft.used.spruce_planks: #26, 1(0%)
minecraft.dropped.cobblestone: #26, 1(0%)
minecraft.custom.damage_taken: #27, 1816(0%)
minecraft.picked_up.oak_log: #27, 26(0%)
minecraft.used.diamond_sword: #27, 59(0%)
minecraft.picked_up.bone: #27, 13(0%)
minecraft.picked_up.spruce_slab: #27, 2(0%)
minecraft.custom.climb_one_cm: #27, 4570(0%)
minecraft.used.chest: #27, 2(0%)
minecraft.picked_up.poppy: #27, 3(0%)
minecraft.crafted.chest: #27, 2(0%)
minecraft.crafted.oak_planks: #28, 273(0%)
minecraft.mined.poppy: #28, 2(0%)
minecraft.custom.walk_one_cm: #28, 556887(0%)
minecraft.picked_up.arrow: #28, 10(0%)
minecraft.custom.damage_dealt: #28, 2382(0%)
minecraft.used.diamond_pickaxe: #28, 4(0%)
minecraft.picked_up.rotten_flesh: #29, 6(0%)
minecraft.custom.sleep_in_bed: #29, 2(0%)
minecraft.mined.oak_leaves: #29, 7(0%)
minecraft.custom.crouch_one_cm: #30, 2800(0%)
minecraft.custom.mob_kills: #30, 14(0%)
minecraft.picked_up.cobblestone: #31, 1(0%)
minecraft.custom.time_since_death: #32, 458630(0%)
minecraft.killed.zombie: #32, 1(0%)
minecraft.mined.grass_block: #32, 2(0%)
minecraft.picked_up.dirt: #33, 4(0%)
minecraft.custom.fly_one_cm: #42, 1577719(0%)
minecraft.custom.play_one_minute: #42, 458630(0%)
minecraft.custom.sneak_time: #46, 1871(0%)
minecraft.custom.leave_game: #49, 2(0%)
minecraft.custom.walk_on_water_one_cm: #49, 764(0%)
