stat, rank, value, (percentage) 
minecraft.dropped.spruce_leaves: #1, 1684(36%)
minecraft.dropped.birch_leaves: #1, 504(47%)
minecraft.broken.iron_pickaxe: #1, 60(19%)
minecraft.used.iron_pickaxe: #1, 16421(16%)
minecraft.crafted.smooth_quartz: #1, 1236(27%)
minecraft.dropped.stripped_spruce_log: #1, 39(30%)
minecraft.used.mossy_cobblestone_stairs: #1, 208(50%)
minecraft.crafted.mossy_cobblestone_stairs: #1, 192(45%)
minecraft.picked_up.mossy_cobblestone_slab: #1, 44(45%)
minecraft.used.mossy_cobblestone_slab: #1, 194(44%)
minecraft.crafted.mossy_cobblestone_slab: #1, 172(41%)
minecraft.mined.mossy_cobblestone_stairs: #1, 44(36%)
minecraft.mined.mossy_cobblestone_slab: #1, 39(44%)
minecraft.used.acacia_sign: #1, 10(29%)
minecraft.used.chiseled_quartz_block: #2, 670(19%)
minecraft.picked_up.mossy_cobblestone_stairs: #1, 43(32%)
minecraft.picked_up.chiseled_quartz_block: #2, 235(20%)
minecraft.crafted.iron_pickaxe: #2, 68(11%)
minecraft.mined.chiseled_quartz_block: #2, 178(18%)
minecraft.used.tropical_fish_bucket: #2, 75(17%)
minecraft.used.stripped_oak_log: #2, 303(13%)
minecraft.killed.pufferfish: #2, 14(22%)
minecraft.broken.iron_shovel: #2, 15(12%)
minecraft.used.iron_shovel: #2, 4479(10%)
minecraft.dropped.light_blue_concrete_powder: #2, 67(48%)
minecraft.dropped.blue_orchid: #1, 31(47%)
minecraft.broken.iron_axe: #2, 9(10%)
minecraft.used.salmon_bucket: #2, 11(14%)
minecraft.dropped.mossy_stone_brick_slab: #1, 5(56%)
minecraft.crafted.chiseled_quartz_block: #3, 533(18%)
minecraft.mined.lily_of_the_valley: #2, 20(18%)
minecraft.crafted.acacia_sign: #2, 12(29%)
minecraft.used.chorus_fruit: #3, 51(19%)
minecraft.crafted.mossy_stone_brick_slab: #2, 114(24%)
minecraft.used.iron_axe: #3, 2727(9%)
minecraft.used.mossy_stone_brick_slab: #2, 100(18%)
minecraft.mined.mossy_stone_brick_wall: #2, 13(25%)
minecraft.dropped.cobblestone_wall: #3, 157(11%)
minecraft.picked_up.enchanted_golden_apple: #2, 1(50%)
minecraft.dropped.iron_nugget: #2, 79(5%)
minecraft.picked_up.mossy_stone_brick_wall: #2, 13(23%)
minecraft.picked_up.mossy_stone_brick_slab: #2, 19(13%)
minecraft.picked_up.mossy_stone_brick_stairs: #2, 33(15%)
minecraft.mined.mossy_stone_brick_slab: #2, 18(12%)
minecraft.mined.mossy_stone_brick_stairs: #2, 34(15%)
minecraft.mined.stripped_oak_log: #3, 356(7%)
minecraft.mined.potted_bamboo: #2, 4(31%)
minecraft.custom.damage_absorbed: #3, 530(8%)
minecraft.used.smooth_quartz: #3, 1329(10%)
minecraft.used.totem_of_undying: #3, 13(8%)
minecraft.dropped.quartz_block: #2, 398(2%)
minecraft.picked_up.lily_of_the_valley: #3, 20(13%)
minecraft.dropped.fern: #3, 39(21%)
minecraft.dropped.mossy_cobblestone_stairs: #2, 5(7%)
minecraft.picked_up.andesite_wall: #3, 39(9%)
minecraft.dropped.emerald_block: #3, 64(22%)
minecraft.mined.oak_fence_gate: #3, 39(5%)
minecraft.picked_up.brown_bed: #3, 16(10%)
minecraft.picked_up.oak_fence_gate: #3, 40(4%)
minecraft.crafted.mossy_stone_brick_stairs: #3, 160(18%)
minecraft.used.mossy_stone_brick_stairs: #3, 169(14%)
minecraft.picked_up.mossy_stone_bricks: #4, 157(8%)
minecraft.picked_up.stripped_oak_log: #4, 338(7%)
minecraft.mined.brown_bed: #3, 15(9%)
minecraft.mined.stone_pressure_plate: #4, 135(7%)
minecraft.used.brown_bed: #3, 15(7%)
minecraft.mined.stone_stairs: #4, 103(9%)
minecraft.dropped.stripped_oak_wood: #3, 4(12%)
minecraft.crafted.birch_trapdoor: #4, 226(8%)
minecraft.used.mossy_stone_brick_wall: #3, 25(9%)
minecraft.dropped.oak_trapdoor: #4, 33(9%)
minecraft.dropped.acacia_leaves: #4, 64(14%)
minecraft.crafted.mossy_cobblestone: #4, 469(10%)
minecraft.dropped.brown_concrete_powder: #3, 16(2%)
minecraft.dropped.light_blue_wool: #3, 3(2%)
minecraft.used.acacia_fence: #4, 146(7%)
minecraft.dropped.cyan_concrete_powder: #3, 6(1%)
minecraft.mined.smooth_quartz: #4, 290(6%)
minecraft.dropped.oak_stairs: #4, 26(10%)
minecraft.dropped.poisonous_potato: #4, 21(5%)
minecraft.dropped.iron_hoe: #4, 2(10%)
minecraft.crafted.acacia_fence: #4, 153(8%)
minecraft.used.oak_log: #5, 2372(7%)
minecraft.mined.light_blue_concrete_powder: #4, 58(7%)
minecraft.used.light_blue_concrete_powder: #4, 748(5%)
minecraft.dropped.jungle_leaves: #4, 88(6%)
minecraft.dropped.stripped_dark_oak_log: #4, 12(6%)
minecraft.used.white_banner: #5, 102(7%)
minecraft.killed.llama: #4, 2(12%)
minecraft.crafted.jungle_pressure_plate: #4, 12(8%)
minecraft.picked_up.blast_furnace: #4, 18(4%)
minecraft.mined.potted_oak_sapling: #4, 1(14%)
minecraft.crafted.iron_axe: #5, 18(6%)
minecraft.crafted.orange_banner: #4, 4(9%)
minecraft.dropped.mossy_cobblestone_slab: #4, 1(12%)
minecraft.dropped.bricks: #4, 53(7%)
minecraft.used.oak_fence_gate: #5, 100(7%)
minecraft.used.jungle_fence: #5, 167(9%)
minecraft.crafted.mossy_stone_brick_wall: #4, 12(6%)
minecraft.picked_up.blue_orchid: #4, 74(2%)
