stat, rank, value, (percentage) 
minecraft.killed_by.zombie: #1, 428(86%)
minecraft.picked_up.melon_slice: #1, 37710(66%)
minecraft.mined.white_stained_glass: #1, 8620(40%)
minecraft.picked_up.paper: #1, 12716(37%)
minecraft.picked_up.white_stained_glass: #1, 10266(38%)
minecraft.dropped.pumpkin: #1, 2796(47%)
minecraft.used.white_stained_glass: #1, 42673(34%)
minecraft.dropped.melon_seeds: #1, 832(84%)
minecraft.dropped.slime_ball: #1, 3329(38%)
minecraft.dropped.bamboo: #1, 11765(45%)
minecraft.dropped.white_stained_glass: #1, 998(50%)
minecraft.mined.acacia_slab: #1, 317(55%)
minecraft.dropped.ice: #1, 3183(43%)
minecraft.picked_up.acacia_slab: #1, 341(53%)
minecraft.dropped.quartz_stairs: #1, 262(45%)
minecraft.dropped.glowstone_dust: #1, 313(38%)
minecraft.crafted.white_stained_glass: #1, 40904(28%)
minecraft.mined.white_stained_glass_pane: #1, 1602(27%)
minecraft.used.golden_apple: #1, 66(29%)
minecraft.used.oak_fence: #1, 2277(21%)
minecraft.crafted.melon_seeds: #1, 1835(51%)
minecraft.custom.deaths: #1, 488(18%)
minecraft.picked_up.white_stained_glass_pane: #1, 2240(25%)
minecraft.picked_up.melon_seeds: #1, 262(37%)
minecraft.dropped.heavy_weighted_pressure_plate: #1, 103(68%)
minecraft.custom.damage_resisted: #1, 100839(21%)
minecraft.dropped.melon_slice: #1, 3117(68%)
minecraft.dropped.jack_o_lantern: #1, 21(68%)
minecraft.crafted.oak_fence: #1, 2394(19%)
minecraft.mined.piston_head: #1, 62(24%)
minecraft.dropped.minecart: #1, 108(24%)
minecraft.used.sand: #1, 62473(16%)
minecraft.dropped.oak_fence_gate: #1, 29(48%)
minecraft.dropped.cyan_dye: #1, 430(70%)
minecraft.mined.sticky_piston: #1, 1048(18%)
minecraft.crafted.hopper: #1, 4176(18%)
minecraft.used.yellow_concrete: #1, 3397(25%)
minecraft.picked_up.detector_rail: #1, 124(21%)
minecraft.crafted.pumpkin_seeds: #2, 2064(35%)
minecraft.used.acacia_slab: #1, 519(35%)
minecraft.picked_up.sticky_piston: #1, 1192(17%)
minecraft.dropped.red_dye: #1, 214(30%)
minecraft.dropped.end_rod: #1, 617(26%)
minecraft.used.quartz_slab: #1, 9745(17%)
minecraft.crafted.heavy_weighted_pressure_plate: #2, 181(30%)
minecraft.used.dark_oak_leaves: #1, 967(24%)
minecraft.crafted.chest: #1, 7002(14%)
minecraft.dropped.lapis_lazuli: #1, 658(20%)
minecraft.picked_up.heavy_weighted_pressure_plate: #2, 97(33%)
minecraft.crafted.lime_bed: #1, 30(52%)
minecraft.used.glass: #1, 16765(16%)
minecraft.used.lime_bed: #1, 43(39%)
minecraft.dropped.white_stained_glass_pane: #1, 413(32%)
minecraft.dropped.oak_sign: #1, 232(15%)
minecraft.crafted.minecart: #1, 464(17%)
minecraft.used.pink_concrete: #1, 230(25%)
minecraft.picked_up.gray_stained_glass_pane: #1, 709(27%)
minecraft.dropped.birch_stairs: #1, 108(36%)
minecraft.used.cactus: #2, 565(19%)
minecraft.crafted.acacia_slab: #1, 630(29%)
minecraft.dropped.redstone_lamp: #1, 18(35%)
minecraft.dropped.lily_pad: #1, 104(30%)
minecraft.used.furnace: #2, 1281(15%)
minecraft.crafted.glowstone: #2, 4322(21%)
minecraft.used.pumpkin_seeds: #2, 978(20%)
minecraft.used.end_rod: #2, 3130(16%)
minecraft.used.white_stained_glass_pane: #2, 5996(19%)
minecraft.used.hopper: #2, 4969(15%)
minecraft.dropped.egg: #3, 1975(20%)
minecraft.used.smooth_stone_slab: #2, 45680(17%)
minecraft.mined.acacia_planks: #2, 222(28%)
minecraft.dropped.glowstone: #2, 441(26%)
minecraft.crafted.observer: #2, 2962(19%)
minecraft.dropped.tipped_arrow: #2, 64(40%)
minecraft.picked_up.brown_concrete: #1, 946(22%)
minecraft.used.comparator: #2, 1287(16%)
minecraft.dropped.purpur_block: #1, 267(23%)
minecraft.dropped.light_gray_concrete_powder: #2, 738(29%)
minecraft.used.melon_seeds: #2, 684(29%)
minecraft.crafted.dark_oak_boat: #2, 48(23%)
minecraft.mined.quartz_slab: #2, 2365(16%)
minecraft.dropped.yellow_stained_glass_pane: #1, 16(80%)
minecraft.used.piston: #2, 1662(15%)
minecraft.picked_up.white_concrete: #2, 41617(14%)
minecraft.crafted.quartz_slab: #2, 7739(15%)
minecraft.used.redstone: #2, 8978(14%)
minecraft.crafted.furnace: #2, 1050(12%)
minecraft.used.magenta_wool: #2, 88(27%)
minecraft.dropped.smooth_stone_slab: #2, 1545(18%)
