stat, rank, value, (percentage) 
minecraft.dropped.birch_sign: #3, 38(14%)
minecraft.mined.birch_sign: #6, 9(4%)
minecraft.used.birch_sign: #8, 84(4%)
minecraft.crafted.birch_sign: #10, 60(3%)
minecraft.mined.oak_sapling: #10, 20(2%)
minecraft.mined.jungle_sapling: #10, 3(1%)
minecraft.used.jungle_sapling: #10, 33(1%)
minecraft.picked_up.birch_sign: #16, 10(1%)
minecraft.dropped.oak_sapling: #17, 28(1%)
minecraft.used.jungle_log: #18, 26(0%)
minecraft.picked_up.jungle_sapling: #19, 10(0%)
minecraft.mined.birch_wall_sign: #20, 1(0%)
minecraft.dropped.bone_meal: #20, 16(0%)
minecraft.picked_up.iron_boots: #21, 1(0%)
minecraft.picked_up.iron_leggings: #21, 1(0%)
minecraft.used.oak_leaves: #21, 57(0%)
minecraft.picked_up.iron_helmet: #22, 1(0%)
minecraft.mined.jungle_log: #22, 11(0%)
minecraft.picked_up.iron_chestplate: #23, 1(0%)
minecraft.used.oak_sapling: #23, 57(0%)
minecraft.picked_up.jungle_log: #23, 11(0%)
minecraft.crafted.diamond_sword: #24, 1(1%)
minecraft.crafted.birch_planks: #25, 128(0%)
minecraft.used.grass_block: #25, 1(0%)
minecraft.crafted.jungle_planks: #26, 4(0%)
minecraft.picked_up.grass_block: #26, 2(0%)
minecraft.custom.time_since_rest: #27, 78169(0%)
minecraft.picked_up.oak_sapling: #27, 21(0%)
minecraft.custom.drop: #27, 47(0%)
minecraft.custom.sleep_in_bed: #27, 3(0%)
minecraft.mined.oak_log: #27, 6(0%)
minecraft.used.golden_carrot: #27, 1(0%)
minecraft.mined.grass: #28, 97(0%)
minecraft.mined.dandelion: #28, 1(0%)
minecraft.picked_up.oak_log: #28, 6(0%)
minecraft.used.bone_meal: #29, 19(0%)
minecraft.picked_up.egg: #29, 2(0%)
minecraft.custom.open_shulker_box: #29, 51(0%)
minecraft.crafted.stick: #29, 24(0%)
minecraft.mined.grass_block: #29, 7(0%)
minecraft.custom.walk_one_cm: #30, 432293(0%)
minecraft.picked_up.wheat_seeds: #30, 11(0%)
minecraft.custom.interact_with_crafting_table: #30, 5(0%)
minecraft.mined.oak_leaves: #31, 4(0%)
minecraft.picked_up.dirt: #31, 9(0%)
minecraft.custom.open_chest: #32, 19(0%)
minecraft.custom.open_enderchest: #32, 1(0%)
minecraft.custom.crouch_one_cm: #33, 1732(0%)
minecraft.custom.jump: #34, 277(0%)
minecraft.custom.fall_one_cm: #35, 1591(0%)
minecraft.custom.damage_taken: #36, 84(0%)
minecraft.custom.sprint_one_cm: #36, 17979(0%)
minecraft.custom.time_since_death: #41, 187283(0%)
minecraft.custom.play_one_minute: #50, 187283(0%)
minecraft.custom.sneak_time: #51, 754(0%)
minecraft.custom.leave_game: #52, 1(0%)
minecraft.custom.fly_one_cm: #53, 1848(0%)
