stat, rank, value, (percentage) 
minecraft.picked_up.quartz_pillar: #1, 5618(60%)
minecraft.crafted.flower_pot: #1, 2516(63%)
minecraft.dropped.white_dye: #1, 3265(80%)
minecraft.crafted.quartz_pillar: #1, 8850(48%)
minecraft.used.quartz_pillar: #1, 8081(44%)
minecraft.picked_up.flower_pot: #1, 483(44%)
minecraft.dropped.black_dye: #1, 1344(84%)
minecraft.dropped.poisonous_potato: #1, 162(40%)
minecraft.used.blue_stained_glass_pane: #1, 2410(56%)
minecraft.crafted.blue_stained_glass_pane: #1, 2765(51%)
minecraft.used.purple_stained_glass_pane: #1, 816(39%)
minecraft.picked_up.quartz_block: #1, 5300(26%)
minecraft.dropped.quartz_pillar: #1, 194(52%)
minecraft.mined.purple_stained_glass_pane: #1, 97(37%)
minecraft.custom.pot_flower: #1, 316(25%)
minecraft.picked_up.white_dye: #2, 3218(37%)
minecraft.picked_up.black_dye: #1, 1344(53%)
minecraft.dropped.dark_oak_leaves: #1, 245(36%)
minecraft.dropped.pink_shulker_box: #1, 16(48%)
minecraft.crafted.popped_chorus_fruit: #1, 1344(47%)
minecraft.crafted.purple_stained_glass_pane: #1, 784(34%)
minecraft.picked_up.pink_stained_glass_pane: #1, 48(40%)
minecraft.crafted.quartz_stairs: #1, 3488(17%)
minecraft.mined.quartz_pillar: #1, 771(19%)
minecraft.mined.pink_stained_glass_pane: #1, 20(33%)
minecraft.picked_up.diamond_horse_armor: #1, 6(38%)
minecraft.used.yellow_stained_glass_pane: #1, 652(23%)
minecraft.picked_up.poisonous_potato: #2, 217(19%)
minecraft.picked_up.quartz_stairs: #1, 1554(13%)
minecraft.dropped.purpur_stairs: #1, 49(25%)
minecraft.dropped.blue_stained_glass: #1, 192(45%)
minecraft.crafted.shulker_box: #1, 859(16%)
minecraft.used.flower_pot: #2, 346(18%)
minecraft.picked_up.beetroot: #1, 229(15%)
minecraft.mined.dragon_wall_head: #1, 27(22%)
minecraft.crafted.purple_banner: #1, 50(33%)
minecraft.picked_up.cookie: #2, 628(17%)
minecraft.used.purpur_stairs: #2, 290(27%)
minecraft.used.quartz_stairs: #2, 3932(15%)
minecraft.crafted.nether_brick_fence: #1, 240(27%)
minecraft.dropped.red_stained_glass: #2, 95(26%)
minecraft.mined.potted_azure_bluet: #1, 2(25%)
minecraft.picked_up.shulker_shell: #2, 2824(18%)
minecraft.mined.potted_oxeye_daisy: #1, 3(21%)
minecraft.mined.potted_orange_tulip: #1, 4(57%)
minecraft.mined.potted_oak_sapling: #1, 3(43%)
minecraft.used.red_stained_glass_pane: #2, 1008(19%)
minecraft.used.light_blue_stained_glass_pane: #2, 651(19%)
minecraft.mined.flower_pot: #2, 25(14%)
minecraft.dropped.quartz: #2, 833(18%)
minecraft.dropped.flower_pot: #2, 56(26%)
minecraft.picked_up.purple_stained_glass_pane: #2, 104(19%)
minecraft.used.nether_brick_fence: #2, 196(22%)
minecraft.mined.potted_white_tulip: #1, 2(33%)
minecraft.mined.potted_cactus: #1, 2(33%)
minecraft.crafted.magenta_shulker_box: #2, 15(14%)
minecraft.used.pink_concrete: #2, 161(18%)
minecraft.dropped.purpur_block: #2, 239(21%)
minecraft.crafted.brick: #3, 7612(17%)
minecraft.picked_up.chorus_fruit: #2, 2494(13%)
minecraft.crafted.blue_shulker_box: #2, 12(14%)
minecraft.killed.shulker: #2, 914(16%)
minecraft.mined.pink_concrete: #2, 265(17%)
minecraft.crafted.light_blue_stained_glass_pane: #2, 672(14%)
minecraft.picked_up.golden_horse_armor: #2, 11(35%)
minecraft.dropped.quartz_stairs: #2, 93(16%)
minecraft.dropped.light_gray_shulker_box: #2, 10(20%)
minecraft.mined.potted_jungle_sapling: #1, 1(100%)
minecraft.dropped.purpur_slab: #2, 51(15%)
minecraft.picked_up.chiseled_quartz_block: #3, 221(18%)
minecraft.dropped.yellow_stained_glass: #2, 32(24%)
minecraft.picked_up.iron_horse_armor: #2, 4(21%)
minecraft.picked_up.blue_stained_glass_pane: #2, 201(16%)
minecraft.used.chiseled_quartz_block: #3, 558(16%)
minecraft.picked_up.pink_concrete: #3, 328(18%)
minecraft.picked_up.beetroot_seeds: #3, 500(13%)
minecraft.dropped.bread: #2, 313(9%)
minecraft.crafted.quartz_block: #3, 10702(10%)
minecraft.crafted.yellow_stained_glass_pane: #3, 672(19%)
minecraft.broken.iron_sword: #2, 2(10%)
minecraft.crafted.purpur_stairs: #2, 192(24%)
minecraft.mined.blue_stained_glass_pane: #2, 43(12%)
minecraft.crafted.clock: #2, 7(9%)
minecraft.mined.potted_spruce_sapling: #2, 3(21%)
minecraft.crafted.purple_shulker_box: #2, 12(9%)
minecraft.crafted.red_stained_glass_pane: #3, 1040(15%)
minecraft.crafted.lime_glazed_terracotta: #2, 24(39%)
minecraft.mined.potted_poppy: #2, 7(16%)
minecraft.mined.red_stained_glass_pane: #3, 211(19%)
minecraft.dropped.redstone_ore: #2, 128(6%)
minecraft.mined.chiseled_quartz_block: #3, 131(13%)
minecraft.used.enchanting_table: #3, 12(11%)
minecraft.crafted.pink_shulker_box: #3, 15(15%)
minecraft.dropped.white_bed: #3, 10(13%)
minecraft.picked_up.iron_sword: #3, 19(8%)
minecraft.mined.chorus_plant: #3, 247(12%)
minecraft.dropped.shulker_shell: #2, 88(11%)
minecraft.broken.wooden_pickaxe: #2, 1(12%)
minecraft.dropped.lime_concrete: #2, 72(14%)
minecraft.mined.dark_oak_wall_sign: #3, 17(12%)
minecraft.dropped.potato: #4, 2515(14%)
minecraft.picked_up.red_stained_glass_pane: #3, 211(16%)
minecraft.crafted.purpur_pillar: #2, 113(19%)
minecraft.broken.leather_boots: #2, 1(12%)
minecraft.dropped.orange_shulker_box: #2, 7(9%)
minecraft.crafted.purpur_slab: #2, 234(17%)
minecraft.dropped.cyan_bed: #2, 1(33%)
minecraft.dropped.fire_charge: #2, 2(33%)
minecraft.dropped.lime_concrete_powder: #2, 60(31%)
minecraft.mined.daylight_detector: #2, 16(6%)
minecraft.mined.end_rod: #4, 1035(11%)
minecraft.dropped.diamond_ore: #3, 17(22%)
minecraft.used.purpur_pillar: #3, 146(12%)
minecraft.crafted.enchanting_table: #3, 4(8%)
minecraft.used.purpur_block: #3, 170(10%)
minecraft.picked_up.purpur_stairs: #4, 147(16%)
minecraft.mined.beetroots: #4, 172(13%)
minecraft.dropped.green_bed: #2, 2(4%)
minecraft.dropped.green_concrete: #3, 22(19%)
minecraft.picked_up.purpur_slab: #3, 54(7%)
minecraft.used.stripped_acacia_wood: #2, 11(0%)
minecraft.dropped.black_shulker_box: #3, 2(12%)
minecraft.dropped.lime_bed: #3, 1(25%)
minecraft.crafted.sugar: #3, 344(5%)
minecraft.picked_up.dragon_head: #4, 27(13%)
minecraft.mined.purpur_stairs: #4, 151(14%)
minecraft.picked_up.end_rod: #4, 1251(8%)
minecraft.dropped.gray_carpet: #4, 130(14%)
minecraft.crafted.cyan_shulker_box: #4, 12(14%)
minecraft.mined.potted_fern: #3, 4(15%)
minecraft.crafted.smooth_quartz: #4, 534(12%)
minecraft.crafted.purpur_block: #3, 384(15%)
minecraft.broken.stone_sword: #3, 1(14%)
minecraft.crafted.lantern: #4, 855(9%)
minecraft.crafted.lime_shulker_box: #3, 12(5%)
minecraft.mined.enchanting_table: #4, 8(11%)
minecraft.picked_up.enchanting_table: #4, 8(11%)
minecraft.dropped.end_stone_bricks: #4, 147(13%)
minecraft.dropped.dragon_head: #3, 1(8%)
minecraft.custom.fill_cauldron: #4, 28(8%)
minecraft.dropped.red_wool: #4, 57(10%)
minecraft.crafted.birch_wood: #4, 288(16%)
minecraft.mined.cut_sandstone_slab: #3, 6(6%)
minecraft.crafted.chiseled_quartz_block: #4, 237(8%)
minecraft.picked_up.cut_sandstone_slab: #3, 6(5%)
minecraft.dropped.red_concrete: #4, 56(10%)
minecraft.used.yellow_glazed_terracotta: #3, 24(4%)
minecraft.killed.cat: #3, 1(5%)
minecraft.dropped.purple_stained_glass_pane: #3, 9(6%)
minecraft.mined.spruce_sign: #4, 6(9%)
minecraft.mined.dead_horn_coral_block: #3, 11(2%)
minecraft.picked_up.saddle: #5, 30(9%)
minecraft.used.terracotta: #4, 560(6%)
minecraft.crafted.black_bed: #3, 4(2%)
minecraft.crafted.bread: #5, 691(10%)
minecraft.picked_up.purple_dye: #4, 32(14%)
minecraft.dropped.chest: #4, 78(5%)
minecraft.crafted.light_gray_shulker_box: #4, 16(7%)
minecraft.dropped.orange_stained_glass_pane: #3, 2(2%)
minecraft.mined.stripped_acacia_wood: #3, 15(0%)
minecraft.crafted.stone_sword: #4, 19(5%)
minecraft.picked_up.stripped_acacia_wood: #3, 11(0%)
minecraft.used.birch_wood: #4, 179(11%)
minecraft.used.orange_stained_glass_pane: #4, 310(7%)
minecraft.picked_up.green_concrete_powder: #4, 259(7%)
minecraft.killed_by.vindicator: #4, 3(10%)
minecraft.crafted.chiseled_stone_bricks: #4, 856(6%)
minecraft.picked_up.iron_pickaxe: #5, 19(8%)
minecraft.used.purple_banner: #4, 9(9%)
minecraft.mined.green_concrete_powder: #4, 134(7%)
minecraft.picked_up.iron_leggings: #5, 23(8%)
minecraft.crafted.orange_stained_glass_pane: #4, 352(7%)
minecraft.dropped.purpur_pillar: #4, 49(9%)
minecraft.crafted.pumpkin_pie: #4, 224(5%)
minecraft.crafted.purple_concrete_powder: #4, 640(6%)
minecraft.picked_up.light_blue_concrete: #4, 842(5%)
minecraft.crafted.orange_shulker_box: #4, 15(5%)
minecraft.picked_up.diamond_chestplate: #5, 18(8%)
minecraft.mined.yellow_glazed_terracotta: #4, 20(7%)
minecraft.mined.potted_birch_sapling: #4, 1(11%)
minecraft.crafted.golden_chestplate: #4, 4(5%)
minecraft.dropped.cookie: #4, 142(4%)
minecraft.broken.wooden_axe: #4, 1(10%)
minecraft.mined.orange_stained_glass_pane: #4, 26(5%)
minecraft.used.stripped_birch_wood: #4, 26(8%)
minecraft.broken.iron_axe: #5, 6(7%)
minecraft.dropped.yellow_shulker_box: #4, 9(5%)
minecraft.picked_up.daylight_detector: #4, 16(5%)
minecraft.used.beetroot_seeds: #5, 131(9%)
minecraft.used.pink_concrete_powder: #5, 256(11%)
minecraft.mined.wither_skeleton_skull: #4, 2(7%)
minecraft.picked_up.fermented_spider_eye: #4, 3(5%)
minecraft.used.stone_sword: #5, 142(6%)
minecraft.broken.stone_axe: #4, 3(5%)
minecraft.picked_up.yellow_glazed_terracotta: #4, 92(4%)
minecraft.dropped.black_stained_glass: #4, 46(3%)
minecraft.mined.yellow_concrete_powder: #4, 82(3%)
minecraft.picked_up.orange_stained_glass_pane: #4, 28(3%)
minecraft.used.cut_sandstone_slab: #4, 34(5%)
minecraft.crafted.black_shulker_box: #5, 13(9%)
minecraft.used.iron_axe: #5, 1584(5%)
minecraft.crafted.brown_shulker_box: #5, 13(8%)
minecraft.mined.dead_tube_coral_block: #4, 15(2%)
minecraft.used.pumpkin_pie: #4, 84(3%)
minecraft.crafted.pink_concrete_powder: #5, 256(8%)
minecraft.custom.clean_shulker_box: #4, 4(3%)
minecraft.mined.dead_bubble_coral_block: #4, 13(2%)
minecraft.dropped.wooden_shovel: #4, 6(1%)
minecraft.crafted.chainmail_helmet: #4, 1(2%)
minecraft.picked_up.pink_stained_glass: #4, 64(2%)
minecraft.used.totem_of_undying: #5, 10(7%)
minecraft.used.vine: #5, 161(6%)
minecraft.crafted.blue_glazed_terracotta: #4, 24(2%)
minecraft.used.sandstone_wall: #4, 28(1%)
minecraft.crafted.green_shulker_box: #5, 12(7%)
minecraft.used.dark_oak_leaves: #5, 274(7%)
minecraft.picked_up.purple_concrete: #5, 561(7%)
minecraft.used.fire_charge: #4, 1(1%)
minecraft.dropped.green_concrete_powder: #5, 125(12%)
minecraft.used.purple_concrete: #5, 546(6%)
minecraft.picked_up.blue_stained_glass: #5, 326(6%)
minecraft.used.purple_stained_glass: #5, 223(6%)
minecraft.picked_up.yellow_carpet: #5, 77(5%)
minecraft.dropped.oak_pressure_plate: #5, 8(6%)
minecraft.dropped.black_carpet: #5, 25(8%)
minecraft.crafted.gray_shulker_box: #5, 13(5%)
minecraft.used.bubble_coral_block: #5, 84(6%)
minecraft.mined.purple_concrete: #5, 562(5%)
minecraft.custom.interact_with_stonecutter: #5, 57(4%)
minecraft.mined.purple_terracotta: #5, 67(8%)
minecraft.used.chiseled_sandstone: #5, 25(6%)
minecraft.mined.chorus_flower: #5, 93(4%)
minecraft.used.quartz_slab: #6, 3998(7%)
minecraft.mined.light_blue_concrete: #5, 522(3%)
minecraft.picked_up.chorus_flower: #5, 93(4%)
minecraft.crafted.quartz_slab: #6, 3674(7%)
minecraft.mined.stripped_birch_wood: #5, 27(6%)
minecraft.picked_up.stripped_birch_wood: #5, 26(5%)
minecraft.dropped.light_gray_concrete_powder: #5, 100(4%)
minecraft.dropped.end_stone: #6, 65(11%)
minecraft.crafted.iron_nugget: #6, 7017(7%)
minecraft.picked_up.yellow_stained_glass_pane: #5, 16(5%)
minecraft.mined.yellow_stained_glass_pane: #5, 16(4%)
minecraft.picked_up.yellow_stained_glass: #6, 285(8%)
minecraft.used.purple_terracotta: #5, 127(4%)
minecraft.picked_up.lime_concrete_powder: #5, 60(3%)
minecraft.custom.traded_with_villager: #6, 13998(6%)
minecraft.used.wooden_pickaxe: #6, 60(6%)
minecraft.crafted.yellow_shulker_box: #5, 16(2%)
minecraft.crafted.emerald: #6, 16645(6%)
minecraft.crafted.dark_oak_wood: #5, 144(2%)
minecraft.used.fire_coral_block: #5, 76(2%)
minecraft.picked_up.acacia_fence: #5, 22(2%)
minecraft.mined.acacia_fence: #5, 22(1%)
minecraft.crafted.cake: #5, 14(1%)
minecraft.picked_up.chainmail_helmet: #6, 7(7%)
minecraft.mined.purple_concrete_powder: #5, 2(2%)
minecraft.picked_up.quartz: #6, 20144(5%)
minecraft.dropped.allium: #5, 6(2%)
minecraft.used.pink_stained_glass_pane: #5, 8(1%)
minecraft.picked_up.blue_concrete: #6, 537(6%)
minecraft.dropped.smooth_quartz_slab: #5, 1(0%)
minecraft.crafted.fire_charge: #5, 3(0%)
minecraft.picked_up.clay_ball: #6, 2663(4%)
minecraft.used.lapis_ore: #6, 169(5%)
minecraft.crafted.dark_oak_fence: #6, 582(4%)
minecraft.used.horn_coral_block: #6, 72(5%)
minecraft.crafted.golden_boots: #6, 5(5%)
minecraft.picked_up.purple_terracotta: #6, 67(7%)
minecraft.mined.potted_dandelion: #6, 1(9%)
minecraft.picked_up.iron_nugget: #6, 86(3%)
minecraft.used.purple_concrete_powder: #6, 423(4%)
minecraft.dropped.cake: #6, 4(5%)
minecraft.mined.dark_oak_sign: #6, 2(6%)
minecraft.picked_up.stone_hoe: #6, 2(4%)
minecraft.mined.blue_concrete: #6, 329(3%)
minecraft.used.salmon: #6, 5(6%)
minecraft.dropped.bone_meal: #7, 648(6%)
minecraft.picked_up.purple_banner: #6, 3(4%)
