stat, rank, value, (percentage) 
minecraft.mined.melon: #1, 1663(78%)
minecraft.crafted.stone: #1, 93450(55%)
minecraft.mined.glass_pane: #1, 1642(56%)
minecraft.mined.cocoa: #1, 3326(55%)
minecraft.mined.sugar_cane: #1, 40717(51%)
minecraft.crafted.cracked_stone_bricks: #1, 18177(78%)
minecraft.dropped.spruce_log: #1, 3738(53%)
minecraft.used.bone_meal: #1, 52270(37%)
minecraft.mined.spruce_sapling: #1, 492(53%)
minecraft.crafted.wooden_shovel: #1, 371(59%)
minecraft.dropped.stone_brick_stairs: #1, 2318(57%)
minecraft.picked_up.sugar_cane: #1, 81342(42%)
minecraft.dropped.item_frame: #1, 576(64%)
minecraft.used.glass_pane: #1, 4953(39%)
minecraft.dropped.jungle_log: #1, 4836(86%)
minecraft.dropped.cracked_stone_bricks: #1, 1174(78%)
minecraft.crafted.white_banner: #1, 590(44%)
minecraft.dropped.glass: #1, 5131(48%)
minecraft.dropped.furnace: #1, 263(48%)
minecraft.used.cooked_chicken: #1, 3948(32%)
minecraft.dropped.wooden_shovel: #1, 356(77%)
minecraft.used.lime_concrete: #1, 6290(59%)
minecraft.dropped.jungle_planks: #1, 881(51%)
minecraft.mined.oak_fence_gate: #1, 330(42%)
minecraft.mined.cactus: #1, 1066(38%)
minecraft.mined.light_blue_concrete: #1, 7544(47%)
minecraft.used.orange_stained_glass_pane: #1, 2431(56%)
minecraft.picked_up.glass_pane: #1, 1664(36%)
minecraft.picked_up.feather: #1, 4333(30%)
minecraft.dropped.stick: #1, 7635(32%)
minecraft.mined.vine: #1, 6951(31%)
minecraft.mined.lime_concrete: #1, 7369(51%)
minecraft.dropped.stone_stairs: #1, 462(69%)
minecraft.used.light_blue_concrete: #1, 5104(45%)
minecraft.mined.gold_block: #1, 4238(38%)
minecraft.crafted.glass_pane: #1, 5380(33%)
minecraft.crafted.cobblestone_stairs: #1, 9216(36%)
minecraft.dropped.vine: #1, 1278(58%)
minecraft.dropped.dark_oak_sapling: #1, 137(68%)
minecraft.dropped.egg: #1, 3170(33%)
minecraft.picked_up.red_concrete: #1, 8011(39%)
minecraft.picked_up.turtle_helmet: #1, 73(57%)
minecraft.picked_up.lime_concrete: #1, 7189(50%)
minecraft.picked_up.gold_block: #1, 4836(36%)
minecraft.crafted.dark_oak_trapdoor: #1, 2980(34%)
minecraft.used.dark_prismarine_stairs: #1, 4402(81%)
minecraft.used.dark_oak_trapdoor: #1, 2998(33%)
minecraft.used.white_banner: #1, 447(33%)
minecraft.picked_up.light_blue_concrete: #1, 7427(45%)
minecraft.dropped.writable_book: #1, 47(48%)
minecraft.dropped.polished_andesite: #1, 991(44%)
minecraft.used.pink_wool: #1, 704(47%)
minecraft.dropped.spruce_sapling: #1, 649(44%)
minecraft.dropped.redstone_torch: #1, 553(44%)
minecraft.picked_up.orange_stained_glass_pane: #1, 576(69%)
minecraft.mined.birch_sapling: #1, 231(43%)
minecraft.used.blue_ice: #1, 7025(43%)
minecraft.picked_up.dark_oak_trapdoor: #1, 1000(33%)
minecraft.picked_up.dark_prismarine_stairs: #1, 1377(76%)
minecraft.used.red_concrete: #1, 6696(36%)
minecraft.used.quartz_block: #1, 4896(30%)
minecraft.used.spruce_log: #1, 10833(27%)
minecraft.used.melon_seeds: #1, 1314(56%)
minecraft.dropped.white_tulip: #1, 161(61%)
minecraft.used.red_mushroom_block: #1, 2605(52%)
minecraft.custom.enchant_item: #1, 1425(29%)
minecraft.dropped.spruce_sign: #1, 317(83%)
minecraft.mined.white_banner: #1, 74(42%)
minecraft.mined.dark_prismarine_stairs: #1, 998(73%)
minecraft.crafted.dark_prismarine_stairs: #1, 3650(82%)
minecraft.dropped.dark_oak_log: #1, 1286(36%)
minecraft.dropped.pink_tulip: #1, 129(64%)
minecraft.dropped.acacia_sapling: #1, 341(45%)
minecraft.mined.red_concrete: #1, 7753(33%)
minecraft.picked_up.dark_prismarine_slab: #1, 2624(63%)
