stat, rank, value, (percentage) 
minecraft.crafted.packed_ice: #1, 10723(66%)
minecraft.used.magenta_concrete: #1, 2275(84%)
minecraft.picked_up.ice: #1, 40551(35%)
minecraft.mined.magenta_concrete: #1, 2396(66%)
minecraft.crafted.magenta_concrete_powder: #1, 5928(65%)
minecraft.mined.ice: #1, 110601(37%)
minecraft.picked_up.magenta_concrete: #1, 2208(62%)
minecraft.picked_up.magenta_carpet: #1, 330(81%)
minecraft.mined.packed_ice: #1, 93346(34%)
minecraft.picked_up.packed_ice: #1, 93434(32%)
minecraft.used.magenta_concrete_powder: #1, 2850(55%)
minecraft.dropped.packed_ice: #1, 6920(41%)
minecraft.used.magenta_shulker_box: #1, 984(32%)
minecraft.used.magenta_carpet: #1, 717(71%)
minecraft.mined.magenta_shulker_box: #1, 986(33%)
minecraft.used.packed_ice: #1, 29585(28%)
minecraft.used.lectern: #1, 1917(33%)
minecraft.picked_up.magenta_shulker_box: #1, 987(32%)
minecraft.crafted.acacia_fence_gate: #1, 330(75%)
minecraft.mined.magenta_carpet: #1, 290(84%)
minecraft.mined.lectern: #1, 1895(34%)
minecraft.picked_up.lectern: #1, 1896(34%)
minecraft.used.magenta_stained_glass_pane: #1, 1346(62%)
minecraft.dropped.chicken: #1, 420(29%)
minecraft.dropped.tropical_fish: #1, 76(38%)
minecraft.crafted.magenta_stained_glass_pane: #1, 1264(59%)
minecraft.used.dark_oak_fence_gate: #1, 621(30%)
minecraft.crafted.dark_oak_fence_gate: #1, 629(30%)
minecraft.used.acacia_fence_gate: #1, 333(67%)
minecraft.picked_up.spruce_sign: #1, 191(22%)
minecraft.used.acacia_log: #1, 9674(25%)
minecraft.dropped.stripped_dark_oak_log: #1, 78(38%)
minecraft.crafted.birch_boat: #1, 51(26%)
minecraft.mined.magenta_stained_glass_pane: #1, 142(61%)
minecraft.dropped.wheat_seeds: #1, 9662(16%)
minecraft.dropped.cyan_stained_glass_pane: #1, 64(67%)
minecraft.picked_up.magenta_stained_glass_pane: #1, 137(50%)
minecraft.mined.snow_block: #1, 2147(22%)
minecraft.used.magenta_stained_glass: #2, 1506(38%)
minecraft.dropped.iron_sword: #1, 35(23%)
minecraft.crafted.magenta_carpet: #1, 618(64%)
minecraft.mined.magenta_concrete_powder: #1, 146(76%)
minecraft.mined.gray_carpet: #1, 580(20%)
minecraft.crafted.note_block: #1, 467(19%)
minecraft.picked_up.snow_block: #1, 2030(20%)
minecraft.crafted.magenta_wool: #1, 532(59%)
minecraft.crafted.blue_ice: #1, 3956(35%)
minecraft.dropped.gray_wool: #1, 130(31%)
minecraft.used.wooden_hoe: #1, 223(23%)
minecraft.picked_up.magenta_banner: #1, 31(45%)
minecraft.used.magenta_banner: #1, 41(52%)
minecraft.dropped.pufferfish: #2, 446(25%)
minecraft.picked_up.blue_ice: #2, 3789(23%)
minecraft.picked_up.magenta_bed: #1, 18(58%)
minecraft.crafted.magenta_banner: #1, 68(71%)
minecraft.picked_up.pink_bed: #1, 50(35%)
minecraft.dropped.fishing_rod: #2, 123(22%)
minecraft.used.pink_stained_glass: #1, 682(39%)
minecraft.used.stone_bricks: #2, 53536(14%)
minecraft.mined.pink_bed: #1, 50(34%)
minecraft.dropped.purple_banner: #1, 4(44%)
minecraft.used.pink_bed: #1, 55(30%)
minecraft.picked_up.cyan_carpet: #2, 88(23%)
minecraft.mined.spruce_fence: #2, 1070(16%)
minecraft.used.cooked_salmon: #1, 576(19%)
minecraft.used.spruce_fence: #2, 3023(17%)
minecraft.mined.blue_ice: #2, 3637(23%)
minecraft.used.cracked_stone_bricks: #2, 2015(16%)
minecraft.broken.wooden_hoe: #1, 3(33%)
minecraft.crafted.iron_axe: #2, 38(13%)
minecraft.mined.cracked_stone_bricks: #2, 393(15%)
minecraft.killed.guardian: #2, 34750(17%)
minecraft.dropped.note_block: #2, 61(40%)
