stat, rank, value, (percentage) 
minecraft.picked_up.poppy: #1, 41556(67%)
minecraft.dropped.poppy: #1, 56750(78%)
minecraft.picked_up.iron_ingot: #1, 576743(53%)
minecraft.crafted.iron_block: #1, 73422(41%)
minecraft.dropped.iron_helmet: #1, 130(52%)
minecraft.dropped.arrow: #1, 10680(34%)
minecraft.used.blue_concrete: #1, 4254(48%)
minecraft.used.jungle_door: #1, 2821(98%)
minecraft.picked_up.iron_helmet: #1, 112(30%)
minecraft.dropped.iron_bars: #1, 2333(52%)
minecraft.picked_up.purple_concrete_powder: #1, 3856(96%)
minecraft.crafted.iron_helmet: #1, 117(29%)
minecraft.dropped.rotten_flesh: #1, 14329(25%)
minecraft.mined.blue_concrete: #1, 4375(42%)
minecraft.crafted.birch_fence_gate: #1, 407(54%)
minecraft.dropped.beetroot_seeds: #1, 221(44%)
minecraft.dropped.iron_ingot: #1, 5070(31%)
minecraft.crafted.jungle_door: #1, 1920(97%)
minecraft.crafted.detector_rail: #1, 396(37%)
minecraft.used.birch_trapdoor: #1, 1049(32%)
minecraft.used.purple_concrete: #1, 3717(43%)
minecraft.used.flower_pot: #1, 624(32%)
minecraft.mined.purple_concrete: #1, 4767(42%)
minecraft.crafted.birch_trapdoor: #1, 966(33%)
minecraft.crafted.firework_rocket: #1, 253292(34%)
minecraft.picked_up.birch_pressure_plate: #1, 72(35%)
minecraft.dropped.magenta_stained_glass: #1, 499(60%)
minecraft.used.red_nether_bricks: #1, 3978(60%)
minecraft.mined.red_nether_bricks: #1, 646(59%)
minecraft.dropped.flint: #1, 2376(24%)
minecraft.picked_up.jungle_door: #1, 1471(97%)
minecraft.dropped.iron_trapdoor: #1, 232(40%)
minecraft.crafted.white_wool: #1, 5108(29%)
minecraft.crafted.blaze_powder: #2, 2526(29%)
minecraft.used.purple_concrete_powder: #1, 3979(41%)
minecraft.picked_up.red_nether_bricks: #1, 732(60%)
minecraft.picked_up.nether_bricks: #1, 8002(28%)
minecraft.used.birch_fence_gate: #1, 377(48%)
minecraft.crafted.purple_concrete_powder: #1, 3984(37%)
minecraft.dropped.bone: #2, 5368(26%)
minecraft.mined.nether_bricks: #1, 7815(27%)
minecraft.dropped.pumpkin_seeds: #2, 7400(37%)
minecraft.dropped.dark_oak_fence: #1, 196(35%)
minecraft.used.magenta_stained_glass: #1, 1511(38%)
minecraft.dropped.piston: #1, 280(45%)
minecraft.picked_up.blue_concrete_powder: #1, 2561(62%)
minecraft.used.blue_concrete_powder: #1, 3205(33%)
minecraft.dropped.nether_bricks: #1, 421(34%)
minecraft.picked_up.cooked_beef: #1, 3826(21%)
minecraft.dropped.potato: #1, 4225(24%)
minecraft.crafted.blue_concrete_powder: #1, 3336(31%)
minecraft.picked_up.red_concrete_powder: #1, 1384(29%)
minecraft.dropped.coal: #1, 1889(18%)
minecraft.dropped.cyan_concrete: #1, 63(52%)
minecraft.killed.blaze: #2, 6906(26%)
minecraft.crafted.chiseled_sandstone: #1, 250(36%)
minecraft.picked_up.blue_concrete: #1, 1966(23%)
minecraft.mined.birch_pressure_plate: #1, 37(24%)
minecraft.dropped.string: #2, 2093(21%)
minecraft.dropped.diamond_chestplate: #1, 14(27%)
minecraft.picked_up.pumpkin_seeds: #2, 7885(22%)
minecraft.dropped.iron_horse_armor: #1, 11(73%)
minecraft.used.green_stained_glass_pane: #1, 550(40%)
minecraft.dropped.cobblestone: #2, 69083(18%)
minecraft.dropped.note_block: #1, 66(43%)
minecraft.dropped.beetroot: #1, 58(57%)
minecraft.dropped.smooth_stone_slab: #1, 1635(19%)
minecraft.picked_up.mossy_cobblestone_wall: #1, 38(34%)
minecraft.used.red_stained_glass_pane: #1, 1295(24%)
minecraft.picked_up.iron_horse_armor: #1, 7(37%)
minecraft.mined.nether_brick_fence: #1, 188(22%)
minecraft.picked_up.oak_door: #1, 151(18%)
minecraft.mined.flower_pot: #1, 31(17%)
minecraft.used.iron_sword: #1, 2108(13%)
minecraft.crafted.red_stained_glass_pane: #1, 1456(21%)
minecraft.picked_up.magenta_stained_glass: #2, 379(27%)
minecraft.dropped.birch_boat: #1, 15(19%)
minecraft.crafted.sandstone: #1, 2992(16%)
minecraft.crafted.green_stained_glass_pane: #1, 624(36%)
minecraft.dropped.andesite: #2, 9638(16%)
minecraft.picked_up.blue_terracotta: #2, 635(26%)
minecraft.dropped.wheat_seeds: #2, 8879(15%)
minecraft.picked_up.iron_chestplate: #1, 29(10%)
minecraft.dropped.birch_pressure_plate: #1, 29(46%)
minecraft.crafted.blue_shulker_box: #1, 15(17%)
minecraft.used.birch_pressure_plate: #2, 92(23%)
minecraft.dropped.iron_hoe: #1, 6(30%)
minecraft.dropped.lapis_ore: #1, 45(24%)
minecraft.crafted.oak_door: #1, 81(14%)
minecraft.used.cyan_wool: #1, 282(19%)
minecraft.dropped.cauldron: #1, 18(42%)
minecraft.picked_up.nether_brick_fence: #1, 171(16%)
minecraft.used.chiseled_sandstone: #2, 124(28%)
minecraft.crafted.glass: #2, 19410(13%)
minecraft.custom.use_cauldron: #2, 62(26%)
minecraft.mined.wither_skeleton_wall_skull: #1, 9(39%)
minecraft.picked_up.golden_horse_armor: #1, 12(39%)
minecraft.used.oak_door: #2, 123(17%)
minecraft.dropped.iron_pickaxe: #2, 16(18%)
minecraft.dropped.dried_kelp: #2, 1477(27%)
minecraft.picked_up.carved_pumpkin: #2, 1967(20%)
minecraft.dropped.leather_helmet: #2, 35(14%)
minecraft.picked_up.tnt: #2, 860(16%)
minecraft.crafted.paper: #2, 87808(13%)
minecraft.picked_up.flint: #2, 2967(12%)
minecraft.crafted.tnt: #2, 5921(17%)
minecraft.mined.mossy_cobblestone_wall: #2, 26(27%)
minecraft.dropped.diamond_ore: #1, 21(28%)
minecraft.used.redstone_block: #2, 1996(14%)
minecraft.crafted.leather_helmet: #2, 32(19%)
minecraft.dropped.golden_horse_armor: #1, 14(93%)
minecraft.used.pumpkin: #2, 2015(15%)
minecraft.dropped.orange_stained_glass_pane: #1, 59(62%)
minecraft.dropped.chipped_anvil: #1, 3(60%)
minecraft.dropped.white_wool: #2, 233(15%)
minecraft.mined.magenta_stained_glass: #2, 125(20%)
minecraft.dropped.cooked_beef: #3, 362(18%)
minecraft.mined.blue_terracotta: #2, 302(18%)
minecraft.dropped.stone: #2, 51697(11%)
minecraft.dropped.minecart: #2, 64(14%)
minecraft.dropped.light_blue_dye: #2, 56(29%)
minecraft.dropped.iron_block: #2, 733(16%)
minecraft.dropped.birch_trapdoor: #2, 18(21%)
minecraft.mined.infested_stone: #2, 178(14%)
minecraft.picked_up.purple_concrete: #2, 1331(17%)
minecraft.used.pink_stained_glass: #2, 628(36%)
minecraft.dropped.leather_chestplate: #2, 29(13%)
minecraft.dropped.redstone_torch: #2, 197(16%)
minecraft.mined.glass: #2, 3053(11%)
minecraft.dropped.popped_chorus_fruit: #1, 64(73%)
minecraft.dropped.oak_door: #2, 19(19%)
minecraft.picked_up.leather_helmet: #2, 30(10%)
minecraft.used.cauldron: #2, 131(12%)
minecraft.dropped.firework_rocket: #2, 2520(11%)
minecraft.dropped.iron_sword: #2, 21(14%)
minecraft.picked_up.birch_boat: #2, 203(11%)
minecraft.used.birch_boat: #2, 196(10%)
minecraft.mined.red_concrete: #2, 2825(12%)
minecraft.used.chiseled_stone_bricks: #2, 936(14%)
minecraft.crafted.fire_charge: #2, 6957(46%)
minecraft.killed.magma_cube: #2, 318(11%)
minecraft.dropped.mossy_stone_bricks: #2, 45(21%)
minecraft.used.red_concrete: #2, 2217(12%)
minecraft.used.iron_block: #3, 9539(14%)
minecraft.dropped.stone_sword: #2, 143(11%)
minecraft.dropped.carved_pumpkin: #2, 30(18%)
minecraft.crafted.purple_wool: #2, 133(24%)
minecraft.crafted.magenta_stained_glass: #2, 1960(27%)
minecraft.picked_up.magenta_stained_glass_pane: #2, 75(27%)
minecraft.used.blue_shulker_box: #2, 314(11%)
minecraft.dropped.stone_brick_stairs: #2, 513(13%)
minecraft.mined.chiseled_stone_bricks: #2, 206(13%)
minecraft.crafted.andesite_wall: #2, 714(18%)
minecraft.picked_up.blue_shulker_box: #2, 312(11%)
minecraft.mined.blue_shulker_box: #2, 305(11%)
minecraft.dropped.lantern: #2, 64(24%)
minecraft.dropped.diamond_helmet: #2, 13(11%)
minecraft.dropped.birch_button: #2, 61(21%)
minecraft.picked_up.iron_pickaxe: #2, 21(9%)
minecraft.dropped.potion: #2, 74(10%)
minecraft.dropped.nether_brick_fence: #2, 66(29%)
minecraft.dropped.diamond_leggings: #2, 13(13%)
minecraft.picked_up.iron_sword: #2, 20(9%)
minecraft.killed_by.magma_cube: #1, 1(100%)
minecraft.killed_by.wither_skeleton: #1, 1(50%)
minecraft.dropped.rabbit_foot: #1, 1(50%)
minecraft.mined.moving_piston: #1, 1(33%)
minecraft.dropped.brewing_stand: #1, 1(33%)
minecraft.killed.zombie: #3, 1905(9%)
minecraft.used.tripwire_hook: #2, 229(9%)
minecraft.dropped.blue_ice: #2, 64(21%)
minecraft.crafted.pink_stained_glass: #2, 864(19%)
minecraft.dropped.granite: #3, 8951(12%)
minecraft.dropped.gunpowder: #3, 1171(13%)
minecraft.mined.redstone_block: #2, 472(9%)
minecraft.used.smooth_stone_slab: #3, 35510(13%)
minecraft.dropped.oak_trapdoor: #3, 65(18%)
minecraft.dropped.diorite: #3, 9628(11%)
minecraft.crafted.popped_chorus_fruit: #2, 564(20%)
minecraft.dropped.iron_chestplate: #3, 22(15%)
minecraft.used.oak_stairs: #3, 1112(12%)
minecraft.dropped.end_stone: #2, 77(12%)
minecraft.picked_up.diamond_horse_armor: #2, 3(19%)
minecraft.used.glass: #3, 12546(12%)
minecraft.crafted.green_dye: #3, 8491(13%)
minecraft.mined.lime_shulker_box: #2, 305(10%)
minecraft.picked_up.dragon_egg: #2, 4(18%)
minecraft.mined.red_wall_banner: #2, 40(13%)
minecraft.picked_up.lime_shulker_box: #2, 310(10%)
minecraft.crafted.light_gray_wool: #2, 1012(11%)
minecraft.used.lime_shulker_box: #2, 305(9%)
minecraft.used.purple_banner: #2, 16(16%)
minecraft.picked_up.ender_eye: #2, 5(20%)
minecraft.picked_up.carrot_on_a_stick: #2, 3(21%)
minecraft.mined.player_head: #3, 248(11%)
minecraft.mined.smooth_stone_slab: #3, 5546(12%)
minecraft.picked_up.iron_boots: #3, 27(9%)
minecraft.dropped.jungle_wood: #2, 18(46%)
minecraft.crafted.birch_pressure_plate: #3, 73(15%)
minecraft.crafted.orange_banner: #2, 10(23%)
minecraft.picked_up.bread: #3, 230(13%)
minecraft.picked_up.white_wool: #3, 1210(8%)
minecraft.crafted.red_nether_bricks: #2, 3391(17%)
minecraft.dropped.powered_rail: #3, 131(16%)
minecraft.picked_up.fire_charge: #2, 180(27%)
minecraft.dropped.iron_leggings: #3, 15(13%)
minecraft.dropped.leather: #3, 305(14%)
minecraft.killed.slime: #3, 1713(11%)
minecraft.crafted.cauldron: #3, 153(12%)
minecraft.killed.pig: #3, 65(9%)
minecraft.dropped.green_dye: #3, 6264(13%)
minecraft.picked_up.oak_stairs: #3, 531(10%)
minecraft.used.andesite_wall: #3, 604(16%)
minecraft.mined.purple_wall_banner: #2, 3(20%)
minecraft.dropped.smooth_sandstone: #2, 278(10%)
minecraft.used.cooked_beef: #3, 1833(9%)
minecraft.mined.sandstone_slab: #3, 1105(10%)
minecraft.used.red_concrete_powder: #3, 2324(12%)
minecraft.broken.iron_hoe: #2, 3(18%)
minecraft.crafted.red_concrete_powder: #3, 2512(12%)
minecraft.crafted.purple_carpet: #2, 198(11%)
minecraft.dropped.coal_ore: #3, 985(12%)
minecraft.used.blue_terracotta: #3, 1114(16%)
minecraft.crafted.written_book: #3, 40(17%)
minecraft.dropped.music_disc_cat: #2, 1(20%)
minecraft.dropped.yellow_bed: #2, 2(25%)
minecraft.dropped.diamond_horse_armor: #2, 1(33%)
minecraft.killed.silverfish: #3, 117(12%)
minecraft.picked_up.birch_trapdoor: #3, 111(11%)
minecraft.used.mossy_stone_bricks: #3, 512(10%)
minecraft.picked_up.rabbit_foot: #2, 3(16%)
minecraft.dropped.iron_boots: #3, 14(11%)
minecraft.dropped.flint_and_steel: #3, 15(15%)
minecraft.dropped.leather_leggings: #3, 28(9%)
minecraft.crafted.crossbow: #3, 34(19%)
minecraft.used.iron_hoe: #3, 1056(12%)
minecraft.mined.black_banner: #3, 7(17%)
minecraft.mined.cauldron: #3, 55(11%)
minecraft.dropped.sticky_piston: #3, 79(17%)
minecraft.picked_up.lava_bucket: #3, 23(10%)
minecraft.used.blast_furnace: #3, 65(11%)
minecraft.mined.redstone_wall_torch: #3, 164(8%)
minecraft.mined.birch_fence_gate: #3, 51(16%)
minecraft.mined.redstone_wire: #3, 1325(8%)
minecraft.mined.chiseled_sandstone: #3, 21(14%)
