stat, rank, value, (percentage) 
minecraft.mined.potatoes: #1, 9936(47%)
minecraft.custom.interact_with_smoker: #1, 276(48%)
minecraft.used.cobblestone: #1, 109710(35%)
minecraft.used.polished_diorite: #1, 8684(47%)
minecraft.crafted.polished_diorite: #1, 8352(47%)
minecraft.used.potato: #1, 10099(29%)
minecraft.mined.carrots: #1, 8601(26%)
minecraft.mined.polished_diorite: #1, 1618(33%)
minecraft.picked_up.potato: #1, 26371(23%)
minecraft.mined.chorus_flower: #1, 752(32%)
minecraft.crafted.end_rod: #1, 5888(33%)
minecraft.custom.trigger_trapped_chest: #1, 681(22%)
minecraft.picked_up.polished_diorite: #1, 1679(28%)
minecraft.mined.trapped_chest: #1, 49(47%)
minecraft.picked_up.light_gray_wool: #1, 1600(21%)
minecraft.mined.wheat: #1, 10461(18%)
minecraft.picked_up.trapped_chest: #1, 44(43%)
minecraft.used.trapped_chest: #1, 113(42%)
minecraft.crafted.coal_block: #1, 5136(18%)
minecraft.picked_up.redstone_block: #1, 2575(19%)
minecraft.picked_up.coal: #1, 56467(16%)
minecraft.crafted.flint_and_steel: #2, 90(20%)
minecraft.crafted.redstone_block: #2, 8824(18%)
minecraft.used.wheat_seeds: #1, 10724(15%)
minecraft.picked_up.chorus_flower: #2, 754(30%)
minecraft.picked_up.polished_diorite_slab: #1, 217(46%)
minecraft.mined.infested_stone: #1, 224(18%)
minecraft.killed.silverfish: #1, 183(20%)
minecraft.picked_up.wheat: #1, 9982(13%)
minecraft.picked_up.redstone: #2, 77537(16%)
minecraft.mined.obsidian: #2, 5028(16%)
minecraft.mined.polished_diorite_slab: #1, 134(42%)
minecraft.killed.llama: #1, 9(56%)
minecraft.picked_up.cobblestone: #2, 255940(12%)
minecraft.custom.damage_dealt_absorbed: #1, 949(86%)
minecraft.mined.chorus_plant: #2, 464(22%)
minecraft.mined.cobblestone: #2, 14323(13%)
minecraft.picked_up.wheat_seeds: #2, 18310(11%)
minecraft.mined.wall_torch: #2, 2501(13%)
minecraft.crafted.trapped_chest: #2, 64(35%)
minecraft.mined.infested_cobblestone: #1, 3(27%)
minecraft.used.carrot: #2, 8769(12%)
minecraft.mined.coal_ore: #2, 23740(11%)
minecraft.used.chorus_flower: #2, 456(21%)
minecraft.crafted.blue_bed: #2, 29(32%)
minecraft.picked_up.obsidian: #3, 5116(14%)
minecraft.crafted.torch: #2, 21136(9%)
minecraft.picked_up.poisonous_potato: #3, 173(15%)
minecraft.picked_up.dried_kelp_block: #2, 7326(13%)
minecraft.picked_up.carrot: #3, 22932(14%)
minecraft.picked_up.clock: #2, 11(13%)
minecraft.crafted.iron_shovel: #2, 43(8%)
minecraft.used.stone_hoe: #2, 585(10%)
minecraft.used.stone_pickaxe: #3, 2225(13%)
minecraft.crafted.lapis_block: #3, 1575(14%)
minecraft.crafted.dried_kelp_block: #3, 69445(15%)
minecraft.crafted.cyan_glazed_terracotta: #2, 64(29%)
minecraft.crafted.polished_diorite_slab: #2, 662(28%)
minecraft.picked_up.lapis_lazuli: #3, 14211(11%)
minecraft.picked_up.iron_shovel: #3, 38(11%)
minecraft.broken.stone_hoe: #2, 4(15%)
minecraft.used.oak_door: #3, 89(13%)
minecraft.mined.iron_ore: #3, 11210(9%)
minecraft.picked_up.iron_ore: #3, 11236(9%)
minecraft.crafted.oak_door: #3, 69(12%)
minecraft.mined.light_gray_wool: #2, 139(8%)
minecraft.used.polished_diorite_slab: #2, 481(18%)
minecraft.used.light_blue_wool: #3, 524(13%)
minecraft.custom.minecart_one_cm: #3, 24416287(8%)
minecraft.mined.redstone_ore: #4, 13257(11%)
minecraft.picked_up.chorus_fruit: #3, 2020(11%)
minecraft.picked_up.diamond: #4, 4368(8%)
minecraft.picked_up.light_blue_wool: #3, 605(8%)
minecraft.dropped.stone_brick_stairs: #3, 320(8%)
minecraft.used.torch: #4, 26646(8%)
minecraft.used.blue_glazed_terracotta: #2, 42(4%)
minecraft.dropped.bamboo: #3, 1799(7%)
minecraft.mined.blue_carpet: #3, 74(7%)
minecraft.crafted.polished_diorite_stairs: #3, 160(21%)
minecraft.used.beetroot_seeds: #4, 172(12%)
minecraft.crafted.purple_glazed_terracotta: #3, 64(22%)
minecraft.mined.diamond_ore: #4, 2036(8%)
minecraft.picked_up.gold_ore: #4, 2084(7%)
