stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_leaves: #1, 3439(40%)
minecraft.picked_up.clay_ball: #1, 18363(30%)
minecraft.picked_up.red_bed: #1, 198(33%)
minecraft.crafted.clay: #1, 825(49%)
minecraft.used.sugar_cane: #1, 7520(25%)
minecraft.mined.red_bed: #1, 198(36%)
minecraft.mined.dark_oak_leaves: #1, 3543(23%)
minecraft.crafted.iron_sword: #1, 73(18%)
minecraft.mined.brown_wool: #1, 252(42%)
minecraft.used.red_bed: #2, 199(28%)
minecraft.crafted.pink_stained_glass: #1, 1808(40%)
minecraft.crafted.yellow_stained_glass: #1, 2640(26%)
minecraft.used.brown_wool: #1, 462(30%)
minecraft.crafted.purple_stained_glass: #1, 2832(34%)
minecraft.mined.clay: #2, 4719(22%)
minecraft.used.oak_planks: #2, 4308(17%)
minecraft.dropped.sand: #3, 46662(19%)
minecraft.used.stone_brick_slab: #2, 15382(16%)
minecraft.mined.dark_oak_sign: #1, 10(28%)
minecraft.picked_up.jungle_leaves: #2, 3661(20%)
minecraft.picked_up.mutton: #2, 733(16%)
minecraft.crafted.stone_brick_slab: #2, 14220(14%)
minecraft.crafted.magenta_stained_glass: #1, 2192(31%)
minecraft.picked_up.glass: #3, 46405(18%)
minecraft.crafted.orange_stained_glass: #2, 2000(26%)
minecraft.crafted.green_stained_glass: #2, 1808(25%)
minecraft.picked_up.birch_leaves: #2, 2903(16%)
minecraft.killed.sheep: #2, 246(12%)
minecraft.crafted.chest_minecart: #2, 33(19%)
minecraft.used.chest_minecart: #2, 33(20%)
minecraft.picked_up.acacia_leaves: #2, 3108(22%)
minecraft.used.nether_brick_slab: #2, 1051(16%)
minecraft.mined.jungle_leaves: #3, 3893(16%)
minecraft.dropped.cobblestone: #3, 50024(13%)
minecraft.mined.stone_brick_slab: #3, 4604(14%)
minecraft.picked_up.stone_brick_slab: #3, 4582(14%)
minecraft.crafted.brown_stained_glass: #2, 1808(31%)
minecraft.mined.birch_leaves: #3, 3087(12%)
minecraft.crafted.red_stained_glass: #2, 3344(12%)
minecraft.used.spruce_planks: #3, 6499(11%)
minecraft.picked_up.tipped_arrow: #2, 112(20%)
minecraft.crafted.oak_stairs: #3, 1248(12%)
minecraft.used.shears: #3, 24791(10%)
minecraft.mined.potted_birch_sapling: #2, 2(22%)
minecraft.mined.loom: #3, 17(12%)
minecraft.used.clay: #3, 859(16%)
minecraft.picked_up.loom: #3, 17(11%)
minecraft.picked_up.map: #3, 104(19%)
minecraft.mined.frosted_ice: #2, 6(22%)
minecraft.crafted.nether_brick_slab: #3, 1152(15%)
minecraft.crafted.black_stained_glass: #3, 5224(14%)
minecraft.killed_by.ender_dragon: #2, 5(17%)
minecraft.mined.peony: #2, 1(50%)
minecraft.used.baked_potato: #3, 1459(8%)
minecraft.broken.shears: #3, 101(8%)
minecraft.mined.acacia_leaves: #4, 3156(13%)
minecraft.custom.horse_one_cm: #3, 2529674(8%)
minecraft.crafted.andesite: #2, 1664(34%)
minecraft.used.cooked_porkchop: #4, 85(12%)
minecraft.crafted.coal: #4, 8748(10%)
minecraft.mined.bricks: #4, 846(16%)
minecraft.used.oak_slab: #4, 2231(10%)
minecraft.used.oak_stairs: #4, 913(10%)
minecraft.used.birch_planks: #4, 968(10%)
minecraft.crafted.filled_map: #3, 205(7%)
minecraft.picked_up.bricks: #4, 850(12%)
minecraft.broken.iron_axe: #4, 7(8%)
minecraft.crafted.lime_stained_glass: #4, 2512(12%)
minecraft.picked_up.brown_stained_glass_pane: #3, 13(16%)
minecraft.mined.potted_blue_orchid: #3, 1(14%)
minecraft.used.iron_axe: #4, 1930(6%)
minecraft.used.bricks: #4, 2821(11%)
minecraft.killed.horse: #4, 12(9%)
minecraft.custom.clean_shulker_box: #3, 9(7%)
minecraft.mined.dark_oak_stairs: #5, 590(10%)
minecraft.used.blue_orchid: #3, 3(4%)
minecraft.mined.lily_pad: #4, 87(9%)
minecraft.crafted.light_gray_stained_glass: #4, 4056(8%)
minecraft.mined.sponge: #4, 35(10%)
minecraft.picked_up.pink_stained_glass_pane: #4, 14(12%)
minecraft.crafted.oak_slab: #5, 2400(9%)
minecraft.dropped.polished_granite: #4, 64(7%)
minecraft.picked_up.dragon_breath: #4, 48(18%)
minecraft.dropped.lapis_lazuli: #5, 321(10%)
minecraft.used.dark_oak_button: #4, 44(6%)
minecraft.crafted.bricks: #4, 3385(7%)
minecraft.used.quartz_stairs: #5, 2070(8%)
minecraft.picked_up.brick_stairs: #4, 66(6%)
minecraft.mined.green_terracotta: #4, 370(4%)
minecraft.dropped.dried_kelp_block: #4, 64(8%)
minecraft.dropped.diorite: #5, 5609(7%)
minecraft.crafted.dark_oak_button: #4, 44(4%)
minecraft.dropped.cyan_banner: #4, 1(11%)
minecraft.used.loom: #5, 20(7%)
minecraft.crafted.spruce_stairs: #5, 1736(6%)
minecraft.crafted.cyan_stained_glass: #4, 2208(3%)
minecraft.mined.spruce_leaves: #5, 6198(6%)
minecraft.mined.yellow_shulker_box: #5, 500(6%)
minecraft.used.yellow_shulker_box: #5, 500(6%)
minecraft.crafted.light_blue_stained_glass: #5, 3616(8%)
minecraft.picked_up.yellow_shulker_box: #5, 502(6%)
minecraft.dropped.andesite: #5, 3281(6%)
minecraft.mined.green_wool: #4, 14(4%)
minecraft.picked_up.spruce_leaves: #5, 5161(6%)
minecraft.crafted.shears: #5, 167(5%)
minecraft.picked_up.ink_sac: #5, 911(5%)
minecraft.mined.cactus: #5, 157(6%)
minecraft.used.dark_prismarine_slab: #4, 398(2%)
minecraft.crafted.dark_prismarine_slab: #4, 342(2%)
minecraft.dropped.brown_shulker_box: #4, 2(4%)
minecraft.picked_up.oak_leaves: #5, 5612(5%)
minecraft.mined.potted_oxeye_daisy: #5, 2(14%)
minecraft.custom.player_kills: #5, 4(6%)
minecraft.crafted.compass: #5, 106(5%)
minecraft.crafted.map: #5, 106(5%)
minecraft.crafted.iron_chestplate: #6, 22(7%)
minecraft.picked_up.white_bed: #6, 195(7%)
minecraft.used.brick_stairs: #5, 283(7%)
minecraft.picked_up.dark_oak_stairs: #6, 584(7%)
minecraft.crafted.quartz_stairs: #6, 1672(8%)
minecraft.crafted.golden_helmet: #5, 2(7%)
minecraft.mined.brick_stairs: #5, 66(6%)
minecraft.crafted.brick_stairs: #5, 256(7%)
minecraft.dropped.stone: #6, 34157(7%)
minecraft.crafted.iron_boots: #6, 23(7%)
minecraft.picked_up.magma_cream: #6, 78(9%)
minecraft.used.spruce_log: #6, 2671(7%)
minecraft.mined.yellow_banner: #5, 5(6%)
minecraft.used.furnace: #6, 542(6%)
minecraft.crafted.light_gray_terracotta: #5, 128(7%)
minecraft.crafted.stone_brick_stairs: #6, 4184(7%)
minecraft.picked_up.brown_wool: #5, 274(3%)
minecraft.used.spruce_stairs: #6, 1486(6%)
minecraft.picked_up.green_terracotta: #5, 371(3%)
minecraft.crafted.blue_stained_glass: #6, 1872(9%)
minecraft.crafted.item_frame: #6, 508(7%)
minecraft.crafted.nether_bricks: #5, 1728(5%)
minecraft.used.bone_block: #6, 1503(7%)
minecraft.picked_up.ender_chest: #6, 904(6%)
minecraft.mined.ender_chest: #6, 903(6%)
minecraft.picked_up.magenta_stained_glass_pane: #5, 14(5%)
minecraft.mined.nether_brick_slab: #5, 85(3%)
minecraft.killed.pig: #6, 41(6%)
minecraft.crafted.brown_stained_glass_pane: #5, 16(6%)
minecraft.picked_up.golden_horse_armor: #5, 2(6%)
minecraft.picked_up.porkchop: #6, 105(5%)
minecraft.used.ender_chest: #6, 907(6%)
minecraft.picked_up.white_wool: #6, 688(5%)
minecraft.picked_up.snowball: #6, 6079(6%)
minecraft.mined.dark_prismarine_slab: #5, 80(2%)
minecraft.picked_up.dark_prismarine_slab: #5, 86(2%)
minecraft.used.item_frame: #6, 527(5%)
minecraft.crafted.trapped_chest: #5, 4(2%)
minecraft.dropped.wooden_shovel: #5, 6(1%)
minecraft.used.dark_oak_stairs: #7, 2134(9%)
minecraft.used.dark_oak_door: #6, 35(7%)
minecraft.crafted.pink_stained_glass_pane: #5, 16(2%)
minecraft.crafted.dark_oak_door: #6, 30(7%)
minecraft.used.cooked_beef: #6, 916(4%)
minecraft.mined.birch_planks: #6, 175(5%)
minecraft.picked_up.dark_oak_sign: #6, 23(6%)
minecraft.picked_up.spruce_log: #6, 8688(4%)
minecraft.crafted.magenta_carpet: #5, 6(1%)
minecraft.picked_up.glass_bottle: #6, 168(5%)
minecraft.mined.spruce_log: #6, 7716(4%)
minecraft.used.brown_stained_glass: #5, 2(0%)
minecraft.used.dark_oak_sign: #6, 30(5%)
minecraft.used.polished_andesite: #6, 3501(4%)
minecraft.crafted.golden_apple: #6, 67(7%)
minecraft.dropped.spruce_fence: #6, 64(6%)
minecraft.used.cut_sandstone: #6, 465(5%)
minecraft.killed_by.enderman: #6, 2(6%)
minecraft.crafted.cut_sandstone: #6, 444(4%)
minecraft.used.white_bed: #7, 192(7%)
minecraft.dropped.purple_banner: #6, 1(11%)
minecraft.mined.white_banner: #6, 7(4%)
minecraft.picked_up.filled_map: #6, 149(3%)
minecraft.mined.sand: #7, 100454(6%)
minecraft.dropped.oak_button: #6, 8(4%)
minecraft.picked_up.sand: #7, 104001(5%)
minecraft.mined.gray_concrete_powder: #6, 220(3%)
minecraft.mined.lime_terracotta: #6, 320(3%)
minecraft.crafted.spruce_planks: #7, 25240(5%)
minecraft.dropped.rabbit: #6, 2(6%)
minecraft.picked_up.lime_terracotta: #6, 328(2%)
minecraft.dropped.light_gray_concrete: #6, 39(3%)
minecraft.mined.potted_spruce_sapling: #6, 1(7%)
minecraft.mined.redstone_block: #7, 363(7%)
minecraft.crafted.cooked_porkchop: #6, 92(2%)
minecraft.used.snow_block: #7, 1560(8%)
minecraft.picked_up.gray_concrete_powder: #6, 988(2%)
minecraft.used.sandstone_slab: #6, 1829(2%)
minecraft.crafted.stone_bricks: #7, 25720(5%)
minecraft.crafted.dark_prismarine: #6, 648(2%)
minecraft.crafted.iron_helmet: #7, 20(5%)
minecraft.used.stone_brick_stairs: #7, 3445(6%)
minecraft.dropped.granite: #7, 3953(5%)
minecraft.mined.shulker_box: #7, 2018(5%)
minecraft.crafted.white_terracotta: #6, 128(2%)
minecraft.picked_up.green_stained_glass_pane: #6, 13(3%)
minecraft.mined.wither_skeleton_wall_skull: #6, 1(4%)
minecraft.killed.magma_cube: #7, 176(6%)
minecraft.mined.cyan_banner: #6, 1(3%)
minecraft.crafted.wooden_shovel: #6, 9(1%)
minecraft.mined.stripped_birch_wood: #6, 13(3%)
minecraft.picked_up.stripped_birch_wood: #6, 13(3%)
minecraft.mined.magenta_concrete: #6, 64(2%)
minecraft.mined.piston: #7, 219(6%)
minecraft.picked_up.black_stained_glass_pane: #6, 25(1%)
minecraft.used.green_wool: #6, 15(1%)
minecraft.crafted.snow_block: #7, 1771(6%)
minecraft.used.brown_stained_glass_pane: #6, 3(2%)
minecraft.used.brick_slab: #6, 69(1%)
minecraft.picked_up.coal: #7, 15632(4%)
minecraft.crafted.green_stained_glass_pane: #6, 16(1%)
minecraft.used.magenta_carpet: #6, 6(1%)
minecraft.picked_up.grass: #7, 136(5%)
minecraft.picked_up.lily_pad: #7, 91(6%)
minecraft.mined.magenta_stained_glass_pane: #6, 1(0%)
minecraft.used.pink_stained_glass: #6, 1(0%)
minecraft.crafted.brick: #7, 2304(5%)
minecraft.used.glass_pane: #7, 503(4%)
minecraft.picked_up.light_gray_concrete_powder: #7, 1317(5%)
minecraft.mined.oak_log: #7, 4279(3%)
minecraft.picked_up.oak_log: #7, 4588(3%)
minecraft.used.grass_block: #7, 11124(3%)
minecraft.mined.spruce_button: #7, 14(5%)
minecraft.mined.chiseled_sandstone: #7, 10(6%)
minecraft.picked_up.polished_granite: #7, 320(4%)
minecraft.crafted.purple_dye: #7, 388(4%)
minecraft.picked_up.chiseled_sandstone: #7, 10(6%)
minecraft.mined.dark_oak_wall_sign: #7, 7(5%)
minecraft.used.cooked_chicken: #7, 343(3%)
minecraft.picked_up.ghast_tear: #7, 38(4%)
minecraft.used.bookshelf: #7, 262(3%)
minecraft.killed.guardian: #7, 7496(4%)
minecraft.crafted.bookshelf: #7, 338(3%)
minecraft.used.spruce_pressure_plate: #7, 17(4%)
minecraft.picked_up.dark_oak_door: #7, 11(4%)
minecraft.crafted.gray_stained_glass: #7, 2928(4%)
minecraft.picked_up.cooked_chicken: #7, 334(2%)
minecraft.mined.polished_granite: #7, 188(3%)
