stat, rank, value, (percentage) 
minecraft.killed.witch: #1, 53945(98%)
minecraft.killed.pillager: #1, 147902(94%)
minecraft.picked_up.emerald: #1, 46614(78%)
minecraft.custom.minecart_one_cm: #1, 213493778(72%)
minecraft.killed.skeleton: #1, 55473(56%)
minecraft.picked_up.cactus: #1, 33775(67%)
minecraft.killed.vindicator: #1, 132783(97%)
minecraft.picked_up.magenta_wool: #1, 6394(94%)
minecraft.crafted.emerald_block: #1, 21428(76%)
minecraft.picked_up.cooked_cod: #1, 64065(64%)
minecraft.picked_up.brown_wool: #1, 6339(74%)
minecraft.dropped.kelp: #1, 55513(56%)
minecraft.picked_up.cyan_wool: #1, 7238(74%)
minecraft.picked_up.gold_nugget: #1, 234645(63%)
minecraft.killed.evoker: #1, 27275(99%)
minecraft.picked_up.dried_kelp: #1, 1527786(99%)
minecraft.picked_up.lime_wool: #1, 5964(71%)
minecraft.used.yellow_wool: #1, 9141(79%)
minecraft.crafted.painting: #1, 1726(65%)
minecraft.dropped.cooked_cod: #1, 17098(81%)
minecraft.dropped.iron_axe: #1, 853(81%)
minecraft.picked_up.dried_kelp_block: #1, 39445(71%)
minecraft.crafted.red_wool: #1, 6139(69%)
minecraft.picked_up.pink_wool: #1, 5997(84%)
minecraft.picked_up.totem_of_undying: #1, 318(62%)
minecraft.picked_up.shears: #1, 408(52%)
minecraft.crafted.loom: #1, 321(58%)
minecraft.dropped.white_banner: #1, 2215(87%)
minecraft.dropped.beef: #1, 6639(66%)
minecraft.used.fishing_rod: #1, 131025(53%)
minecraft.picked_up.green_wool: #1, 5444(85%)
minecraft.used.blue_carpet: #1, 19030(63%)
minecraft.picked_up.orange_wool: #1, 5546(82%)
minecraft.picked_up.blue_orchid: #1, 3709(76%)
minecraft.mined.birch_fence: #1, 645(62%)
minecraft.dropped.crossbow: #1, 2045(88%)
minecraft.picked_up.glass_bottle: #1, 1720(52%)
minecraft.picked_up.birch_fence: #1, 649(61%)
minecraft.picked_up.iron_axe: #1, 240(51%)
minecraft.crafted.bone_block: #1, 39722(54%)
minecraft.picked_up.yellow_wool: #1, 4320(53%)
minecraft.custom.raid_trigger: #1, 7813(91%)
minecraft.picked_up.black_stained_glass_pane: #1, 1515(65%)
minecraft.picked_up.yellow_banner: #1, 432(70%)
minecraft.picked_up.white_banner: #1, 1014(44%)
minecraft.picked_up.purple_wool: #1, 3641(57%)
minecraft.used.blue_wool: #1, 4641(54%)
minecraft.picked_up.red_wool: #1, 3430(48%)
minecraft.used.birch_fence: #1, 1191(53%)
minecraft.crafted.yellow_wool: #1, 5087(79%)
minecraft.dropped.salmon: #1, 1708(53%)
minecraft.used.light_blue_terracotta: #1, 10320(59%)
minecraft.crafted.bone_meal: #1, 415391(34%)
minecraft.crafted.yellow_banner: #1, 944(92%)
minecraft.dropped.fishing_rod: #1, 298(53%)
minecraft.dropped.ender_pearl: #1, 9700(43%)
minecraft.picked_up.crossbow: #1, 465(48%)
minecraft.crafted.dried_kelp_block: #1, 226289(50%)
minecraft.dropped.bone_block: #1, 3836(64%)
minecraft.used.pink_stained_glass_pane: #1, 521(81%)
