stat, rank, value, (percentage) 
minecraft.dropped.oak_boat: #1, 179(53%)
minecraft.dropped.gold_nugget: #1, 4998(40%)
minecraft.picked_up.wooden_sword: #1, 248(79%)
minecraft.picked_up.magenta_stained_glass: #1, 628(45%)
minecraft.dropped.sugar_cane: #1, 4938(33%)
minecraft.dropped.nether_wart: #1, 1138(55%)
minecraft.dropped.spruce_boat: #1, 74(38%)
minecraft.mined.green_stained_glass: #1, 281(50%)
minecraft.dropped.quartz: #1, 1837(41%)
minecraft.dropped.splash_potion: #1, 46(47%)
minecraft.dropped.end_stone_bricks: #1, 451(39%)
minecraft.dropped.jungle_leaves: #1, 545(37%)
minecraft.used.dead_tube_coral_block: #1, 225(52%)
minecraft.picked_up.chiseled_sandstone: #1, 56(34%)
minecraft.dropped.red_wool: #1, 160(28%)
minecraft.used.end_stone_bricks: #1, 1109(22%)
minecraft.crafted.oak_boat: #1, 71(16%)
minecraft.dropped.orange_carpet: #1, 24(52%)
minecraft.dropped.blaze_powder: #1, 104(36%)
minecraft.dropped.brown_concrete: #1, 41(51%)
minecraft.mined.brown_concrete_powder: #1, 145(25%)
minecraft.picked_up.end_stone_bricks: #1, 1338(18%)
minecraft.picked_up.polished_andesite_slab: #1, 982(31%)
minecraft.dropped.carved_pumpkin: #1, 46(28%)
minecraft.used.green_stained_glass: #2, 1468(31%)
minecraft.dropped.oak_door: #1, 26(25%)
minecraft.dropped.iron_trapdoor: #2, 176(31%)
minecraft.dropped.prismarine_brick_slab: #1, 288(54%)
minecraft.picked_up.orange_carpet: #1, 82(26%)
minecraft.mined.magenta_stained_glass: #1, 137(22%)
minecraft.picked_up.dark_oak_sign: #1, 61(16%)
minecraft.dropped.magenta_stained_glass: #2, 308(37%)
minecraft.dropped.birch_door: #1, 8(38%)
minecraft.mined.chiseled_sandstone: #1, 31(20%)
minecraft.dropped.nether_quartz_ore: #1, 144(25%)
minecraft.dropped.carrot_on_a_stick: #1, 5(36%)
minecraft.dropped.beetroot_seeds: #2, 110(22%)
minecraft.dropped.chiseled_sandstone: #1, 7(41%)
minecraft.picked_up.jungle_wood: #1, 47(30%)
minecraft.dropped.end_stone: #1, 106(17%)
minecraft.picked_up.oak_boat: #2, 372(13%)
minecraft.broken.iron_sword: #1, 3(14%)
minecraft.picked_up.dead_tube_coral_block: #2, 242(28%)
minecraft.picked_up.carrot_on_a_stick: #1, 4(29%)
minecraft.mined.frosted_ice: #1, 10(37%)
minecraft.used.beetroot_soup: #1, 3(60%)
minecraft.crafted.jungle_boat: #2, 12(15%)
minecraft.picked_up.splash_potion: #2, 51(16%)
minecraft.dropped.jungle_wood: #1, 20(51%)
minecraft.mined.dead_tube_coral_block: #2, 144(24%)
minecraft.dropped.polished_andesite_slab: #2, 148(29%)
minecraft.dropped.golden_boots: #2, 32(10%)
minecraft.dropped.flint_and_steel: #2, 18(18%)
minecraft.dropped.sticky_piston: #2, 94(20%)
minecraft.used.purple_terracotta: #2, 785(28%)
minecraft.mined.cyan_wool: #2, 72(16%)
minecraft.dropped.lime_wool: #2, 103(21%)
minecraft.dropped.blue_wool: #2, 118(19%)
minecraft.dropped.cyan_wool: #2, 125(20%)
minecraft.dropped.wooden_sword: #2, 41(29%)
minecraft.picked_up.jungle_boat: #3, 45(15%)
minecraft.picked_up.jungle_leaves: #3, 3071(17%)
minecraft.crafted.spruce_boat: #3, 48(14%)
minecraft.mined.end_stone_bricks: #3, 1039(15%)
minecraft.picked_up.nether_wart: #3, 11550(14%)
minecraft.dropped.lapis_lazuli: #3, 481(14%)
minecraft.picked_up.green_stained_glass: #2, 248(13%)
minecraft.picked_up.magenta_dye: #2, 123(18%)
minecraft.dropped.cut_sandstone: #2, 29(11%)
minecraft.used.cactus: #3, 345(12%)
minecraft.mined.orange_carpet: #3, 41(21%)
minecraft.dropped.chorus_fruit: #3, 374(25%)
minecraft.dropped.sandstone: #3, 1967(11%)
minecraft.used.nether_brick_fence: #3, 181(20%)
minecraft.picked_up.blue_dye: #2, 88(13%)
minecraft.picked_up.jungle_pressure_plate: #2, 7(16%)
minecraft.picked_up.pink_dye: #3, 87(19%)
minecraft.broken.shield: #2, 2(13%)
minecraft.dropped.prismarine_brick_stairs: #2, 16(35%)
minecraft.mined.nether_wart: #3, 1975(12%)
minecraft.crafted.purple_terracotta: #2, 1024(14%)
minecraft.picked_up.orange_stained_glass: #2, 163(8%)
minecraft.picked_up.cyan_wool: #2, 504(5%)
minecraft.mined.jungle_pressure_plate: #2, 6(20%)
minecraft.dropped.ender_eye: #2, 4(15%)
minecraft.crafted.end_stone_bricks: #2, 768(11%)
minecraft.mined.polished_andesite_slab: #3, 333(16%)
minecraft.mined.cactus: #3, 231(8%)
minecraft.dropped.golden_chestplate: #3, 23(8%)
minecraft.crafted.nether_brick_fence: #3, 192(21%)
minecraft.dropped.iron_shovel: #3, 20(10%)
minecraft.dropped.blue_concrete: #2, 8(11%)
minecraft.dropped.popped_chorus_fruit: #2, 24(27%)
minecraft.picked_up.golden_sword: #3, 62(9%)
minecraft.dropped.music_disc_chirp: #2, 1(25%)
minecraft.dropped.bow: #3, 254(6%)
minecraft.used.stone_sword: #3, 148(7%)
minecraft.crafted.wooden_sword: #3, 24(9%)
minecraft.crafted.magma_cream: #3, 35(14%)
minecraft.dropped.white_wool: #4, 198(12%)
minecraft.picked_up.prismarine_brick_slab: #3, 324(10%)
minecraft.picked_up.ender_eye: #3, 4(16%)
minecraft.crafted.beetroot_soup: #2, 3(14%)
minecraft.used.dark_oak_sign: #4, 70(12%)
minecraft.dropped.blue_terracotta: #2, 85(3%)
minecraft.dropped.orange_stained_glass: #3, 48(20%)
minecraft.dropped.golden_sword: #3, 57(8%)
minecraft.crafted.leather: #2, 1(7%)
minecraft.dropped.golden_horse_armor: #2, 1(7%)
minecraft.dropped.sandstone_slab: #3, 114(8%)
minecraft.dropped.purple_concrete: #2, 2(3%)
minecraft.used.jungle_boat: #4, 26(9%)
minecraft.crafted.cyan_wool: #3, 23(13%)
minecraft.picked_up.spruce_boat: #4, 135(8%)
minecraft.dropped.poppy: #3, 3457(5%)
minecraft.dropped.iron_block: #4, 566(12%)
minecraft.used.purple_concrete: #3, 563(6%)
minecraft.picked_up.orange_dye: #3, 83(10%)
minecraft.dropped.nether_brick_fence: #3, 30(13%)
minecraft.used.porkchop: #3, 4(18%)
minecraft.dropped.clay: #3, 7(13%)
minecraft.dropped.pink_tulip: #3, 18(9%)
minecraft.mined.cyan_stained_glass: #3, 447(6%)
minecraft.mined.jungle_slab: #4, 183(12%)
minecraft.dropped.prismarine_bricks: #3, 512(9%)
minecraft.used.cyan_wool: #4, 189(13%)
minecraft.mined.lilac: #3, 1(25%)
minecraft.used.cyan_stained_glass: #3, 2617(4%)
minecraft.crafted.cooked_rabbit: #3, 3(16%)
minecraft.dropped.white_tulip: #3, 14(5%)
minecraft.picked_up.golden_horse_armor: #3, 3(10%)
minecraft.picked_up.nautilus_shell: #4, 61(7%)
minecraft.crafted.cyan_stained_glass: #3, 2560(4%)
minecraft.dropped.water_bucket: #4, 18(9%)
minecraft.mined.dark_oak_wall_sign: #4, 14(10%)
minecraft.used.jungle_pressure_plate: #3, 10(7%)
minecraft.dropped.iron_pickaxe: #4, 7(8%)
minecraft.dropped.yellow_glazed_terracotta: #3, 8(10%)
minecraft.picked_up.black_bed: #3, 13(4%)
