stat, rank, value, (percentage) 
minecraft.crafted.shield: #1, 555(73%)
minecraft.used.cake: #1, 879(80%)
minecraft.used.iron_ore: #1, 2978(89%)
minecraft.crafted.hay_block: #1, 6046(78%)
minecraft.picked_up.light_blue_glazed_terracotta: #1, 10745(86%)
minecraft.used.cobweb: #1, 6720(80%)
minecraft.mined.lime_terracotta: #1, 8857(72%)
minecraft.crafted.stone_sword: #1, 261(64%)
minecraft.used.lime_terracotta: #1, 140044(86%)
minecraft.used.crossbow: #1, 2060(73%)
minecraft.picked_up.lime_terracotta: #1, 9290(68%)
minecraft.mined.seagrass: #1, 10641(53%)
minecraft.used.dried_kelp_block: #1, 12841(95%)
minecraft.custom.eat_cake_slice: #1, 1362(69%)
minecraft.mined.terracotta: #1, 141943(57%)
minecraft.mined.yellow_terracotta: #1, 18643(70%)
minecraft.picked_up.cobweb: #1, 7070(59%)
minecraft.picked_up.terracotta: #1, 138105(56%)
minecraft.used.gold_ore: #1, 2047(82%)
minecraft.picked_up.dark_oak_boat: #1, 626(51%)
minecraft.mined.cobweb: #1, 7449(55%)
minecraft.used.tripwire_hook: #1, 1398(57%)
minecraft.used.spruce_fence_gate: #1, 3894(62%)
minecraft.picked_up.cracked_stone_bricks: #1, 8508(53%)
minecraft.picked_up.yellow_terracotta: #1, 18219(64%)
minecraft.used.hay_block: #1, 1643(60%)
minecraft.dropped.lime_terracotta: #1, 2535(94%)
minecraft.crafted.lime_dye: #1, 15382(53%)
minecraft.crafted.cake: #1, 871(66%)
minecraft.crafted.tnt: #1, 22234(65%)
minecraft.picked_up.jungle_log: #1, 29059(44%)
minecraft.dropped.orange_terracotta: #1, 2954(73%)
minecraft.custom.horse_one_cm: #1, 15380197(47%)
minecraft.custom.damage_blocked_by_shield: #1, 72621(60%)
minecraft.mined.stripped_jungle_log: #1, 1703(80%)
minecraft.mined.jungle_log: #1, 26575(43%)
minecraft.used.dark_oak_boat: #1, 576(45%)
minecraft.picked_up.filled_map: #1, 2531(47%)
minecraft.used.melon: #1, 3026(94%)
minecraft.picked_up.brick: #1, 13761(73%)
minecraft.mined.glowstone: #1, 10280(48%)
minecraft.crafted.spruce_fence_gate: #1, 3445(53%)
minecraft.crafted.sugar: #1, 3645(53%)
minecraft.used.pumpkin: #1, 7077(53%)
minecraft.dropped.birch_sapling: #1, 729(56%)
minecraft.crafted.pumpkin_pie: #1, 2678(63%)
minecraft.used.jack_o_lantern: #1, 4356(67%)
minecraft.mined.light_blue_glazed_terracotta: #1, 2227(67%)
minecraft.picked_up.glowstone_dust: #1, 11721(47%)
minecraft.used.cracked_stone_bricks: #1, 5717(45%)
minecraft.dropped.gold_ore: #1, 1991(58%)
minecraft.mined.spawner: #1, 106(75%)
