stat, rank, value, (percentage) 
minecraft.used.spruce_wood: #1, 4690(65%)
minecraft.used.red_carpet: #1, 9592(60%)
minecraft.picked_up.birch_button: #1, 6562(81%)
minecraft.crafted.red_carpet: #1, 9477(65%)
minecraft.mined.birch_button: #1, 6802(86%)
minecraft.crafted.spruce_wood: #1, 4701(65%)
minecraft.mined.spruce_wood: #1, 864(57%)
minecraft.mined.oak_button: #1, 127(44%)
minecraft.mined.nether_brick_stairs: #1, 1478(63%)
minecraft.crafted.dark_oak_button: #1, 650(63%)
minecraft.picked_up.spruce_wood: #1, 1085(51%)
minecraft.used.dark_oak_button: #1, 453(62%)
minecraft.dropped.cooked_chicken: #1, 1402(45%)
minecraft.used.purple_wool: #1, 2126(58%)
minecraft.used.brown_mushroom_block: #1, 4056(61%)
minecraft.dropped.feather: #1, 3700(36%)
minecraft.mined.nether_brick_slab: #1, 1502(45%)
minecraft.used.cooked_beef: #1, 6168(29%)
minecraft.picked_up.purple_concrete: #1, 3672(46%)
minecraft.picked_up.fern: #1, 2672(53%)
minecraft.mined.netherrack: #1, 392558(27%)
minecraft.picked_up.music_disc_cat: #1, 68(62%)
minecraft.used.red_terracotta: #1, 11689(39%)
minecraft.used.fern: #1, 1591(66%)
minecraft.used.purple_carpet: #1, 1038(54%)
minecraft.used.snowball: #1, 944(32%)
minecraft.killed.bat: #1, 265(30%)
minecraft.picked_up.netherrack: #1, 210170(25%)
minecraft.used.tropical_fish_bucket: #1, 173(39%)
minecraft.picked_up.dark_oak_wood: #1, 734(52%)
minecraft.picked_up.music_disc_chirp: #1, 70(68%)
minecraft.mined.hay_block: #1, 246(38%)
minecraft.mined.dark_oak_wood: #1, 566(49%)
minecraft.picked_up.nether_brick_slab: #1, 1494(37%)
minecraft.used.black_concrete: #1, 29789(26%)
minecraft.mined.birch_slab: #1, 1267(30%)
minecraft.picked_up.music_disc_13: #1, 91(72%)
minecraft.crafted.activator_rail: #1, 294(44%)
minecraft.picked_up.red_mushroom: #1, 807(26%)
minecraft.mined.black_concrete: #1, 29165(24%)
minecraft.used.lily_pad: #1, 194(51%)
minecraft.dropped.snowball: #1, 1753(40%)
minecraft.used.dark_oak_wood: #1, 3254(43%)
minecraft.picked_up.leather: #1, 6325(21%)
minecraft.picked_up.nether_brick_stairs: #1, 987(39%)
minecraft.used.nether_quartz_ore: #1, 12368(25%)
minecraft.killed.cow: #1, 2184(20%)
minecraft.dropped.netherrack: #1, 77490(26%)
minecraft.picked_up.hay_block: #1, 348(32%)
minecraft.dropped.ink_sac: #1, 443(28%)
minecraft.mined.infested_stone_bricks: #1, 35(59%)
minecraft.dropped.purple_wool: #1, 64(89%)
minecraft.picked_up.music_disc_blocks: #1, 82(67%)
minecraft.used.spruce_leaves: #2, 16334(30%)
minecraft.crafted.dark_oak_wood: #1, 2835(38%)
minecraft.used.allium: #1, 67(48%)
minecraft.mined.red_tulip: #1, 267(26%)
minecraft.picked_up.music_disc_11: #1, 46(74%)
minecraft.mined.lily_pad: #1, 339(36%)
minecraft.used.stone_brick_stairs: #1, 13450(22%)
minecraft.mined.orange_concrete: #1, 3369(31%)
minecraft.used.orange_terracotta: #1, 5055(26%)
minecraft.used.obsidian: #1, 4533(23%)
minecraft.custom.interact_with_loom: #1, 141(23%)
minecraft.used.salmon_bucket: #1, 23(30%)
minecraft.crafted.purple_carpet: #1, 894(48%)
minecraft.picked_up.music_disc_stal: #1, 79(79%)
minecraft.picked_up.brown_mushroom: #1, 987(19%)
minecraft.mined.mossy_stone_bricks: #2, 392(26%)
minecraft.picked_up.music_disc_mall: #1, 63(67%)
minecraft.mined.blue_shulker_box: #1, 669(23%)
minecraft.picked_up.birch_slab: #1, 1301(25%)
minecraft.mined.orange_tulip: #1, 232(26%)
minecraft.crafted.iron_boots: #1, 62(18%)
minecraft.picked_up.mossy_stone_bricks: #2, 543(27%)
minecraft.picked_up.blue_shulker_box: #1, 675(23%)
minecraft.used.blue_shulker_box: #1, 668(23%)
minecraft.used.brown_concrete: #1, 750(36%)
minecraft.picked_up.music_disc_mellohi: #1, 73(76%)
minecraft.used.dark_oak_sign: #1, 142(24%)
minecraft.picked_up.orange_concrete: #1, 2922(28%)
minecraft.used.orange_concrete: #1, 2283(28%)
minecraft.used.smooth_stone_slab: #1, 55029(20%)
minecraft.crafted.dark_oak_sign: #1, 123(24%)
minecraft.picked_up.music_disc_strad: #1, 83(73%)
minecraft.mined.azure_bluet: #1, 344(20%)
minecraft.used.purple_concrete: #2, 3097(35%)
minecraft.picked_up.beef: #2, 6121(21%)
minecraft.killed.snow_golem: #1, 49(33%)
minecraft.picked_up.oak_button: #1, 133(20%)
minecraft.picked_up.lily_pad: #1, 372(23%)
minecraft.used.polished_andesite: #2, 19069(23%)
minecraft.used.black_concrete_powder: #1, 28797(23%)
minecraft.dropped.tipped_arrow: #1, 74(46%)
minecraft.used.stone_slab: #2, 8839(27%)
minecraft.crafted.stone_brick_stairs: #1, 10708(18%)
minecraft.picked_up.dirt: #2, 195095(14%)
minecraft.used.purple_bed: #1, 107(37%)
minecraft.dropped.vine: #2, 842(38%)
minecraft.used.netherrack: #2, 31572(21%)
minecraft.used.pink_carpet: #1, 327(36%)
minecraft.mined.purple_concrete: #2, 3728(33%)
minecraft.picked_up.nether_quartz_ore: #1, 11864(20%)
minecraft.crafted.purple_bed: #1, 27(64%)
minecraft.mined.torch: #1, 7145(14%)
minecraft.used.orange_concrete_powder: #1, 1834(24%)
minecraft.crafted.birch_trapdoor: #2, 756(25%)
minecraft.crafted.polished_andesite: #2, 17444(22%)
minecraft.crafted.cooked_beef: #2, 2739(23%)
minecraft.used.white_carpet: #2, 3870(21%)
minecraft.crafted.iron_leggings: #1, 47(14%)
minecraft.used.birch_slab: #2, 10100(23%)
minecraft.used.end_crystal: #1, 28(28%)
minecraft.mined.jungle_button: #1, 64(52%)
minecraft.crafted.black_concrete_powder: #1, 28824(23%)
minecraft.crafted.orange_concrete_powder: #1, 1976(24%)
minecraft.used.rose_bush: #2, 262(22%)
minecraft.used.birch_trapdoor: #2, 748(23%)
minecraft.crafted.smooth_stone_slab: #1, 53628(17%)
minecraft.crafted.white_carpet: #2, 3795(21%)
minecraft.mined.pink_carpet: #1, 77(44%)
minecraft.picked_up.red_tulip: #2, 388(21%)
minecraft.dropped.jungle_stairs: #1, 38(50%)
minecraft.crafted.iron_chestplate: #1, 42(13%)
minecraft.used.kelp: #2, 6331(19%)
minecraft.picked_up.jungle_stairs: #1, 272(25%)
minecraft.picked_up.purple_bed: #1, 86(31%)
minecraft.picked_up.black_concrete_powder: #2, 19719(25%)
minecraft.picked_up.stone_brick_stairs: #2, 4526(19%)
minecraft.used.birch_leaves: #2, 2074(26%)
minecraft.used.dark_oak_fence: #2, 2810(21%)
minecraft.crafted.end_crystal: #1, 32(30%)
minecraft.used.sugar_cane: #2, 5649(19%)
minecraft.mined.poppy: #2, 956(16%)
minecraft.dropped.cooked_beef: #2, 423(21%)
minecraft.used.lime_carpet: #1, 705(22%)
minecraft.picked_up.pink_carpet: #1, 101(41%)
minecraft.crafted.birch_slab: #2, 9401(23%)
minecraft.mined.stone_brick_stairs: #2, 3365(18%)
minecraft.used.emerald_ore: #1, 35(36%)
minecraft.picked_up.dragon_egg: #1, 8(36%)
minecraft.picked_up.dark_oak_button: #2, 85(35%)
minecraft.mined.dark_oak_wall_sign: #1, 30(21%)
minecraft.mined.fern: #2, 525(19%)
minecraft.mined.brown_concrete: #1, 1043(27%)
minecraft.picked_up.ghast_tear: #1, 167(18%)
minecraft.crafted.birch_stairs: #2, 2912(25%)
minecraft.mined.purple_bed: #1, 74(29%)
minecraft.picked_up.brown_mushroom_block: #1, 7622(35%)
minecraft.mined.infested_mossy_stone_bricks: #1, 18(78%)
minecraft.used.birch_planks: #2, 1888(20%)
minecraft.picked_up.red_terracotta: #2, 21410(22%)
minecraft.mined.dead_bush: #2, 252(18%)
minecraft.picked_up.lime_carpet: #2, 265(29%)
minecraft.picked_up.dead_bush: #1, 246(34%)
minecraft.killed.ender_dragon: #1, 7(33%)
minecraft.picked_up.charcoal: #1, 72(18%)
minecraft.picked_up.orange_tulip: #2, 396(22%)
minecraft.picked_up.music_disc_wait: #1, 82(42%)
minecraft.used.prismarine_brick_stairs: #1, 930(37%)
minecraft.crafted.charcoal: #2, 532(17%)
minecraft.used.purple_shulker_box: #2, 463(22%)
minecraft.picked_up.purple_shulker_box: #2, 464(22%)
minecraft.picked_up.spruce_leaves: #2, 15819(19%)
minecraft.mined.allium: #2, 240(28%)
minecraft.mined.sugar_cane: #2, 13563(17%)
minecraft.mined.oak_slab: #2, 1151(17%)
minecraft.mined.smooth_stone_slab: #1, 6459(14%)
minecraft.used.dirt: #3, 121690(15%)
minecraft.mined.mushroom_stem: #1, 1585(22%)
minecraft.picked_up.ladder: #2, 2064(17%)
minecraft.crafted.dark_oak_fence: #2, 2670(20%)
minecraft.picked_up.dark_oak_fence_gate: #1, 125(20%)
minecraft.picked_up.prismarine_wall: #1, 54(92%)
minecraft.custom.animals_bred: #2, 2755(16%)
minecraft.used.purple_concrete_powder: #2, 2766(29%)
minecraft.picked_up.yellow_dye: #1, 441(21%)
minecraft.used.bricks: #2, 6930(27%)
minecraft.mined.red_terracotta: #2, 18616(20%)
minecraft.mined.grass: #2, 9341(12%)
minecraft.crafted.prismarine_stairs: #1, 472(34%)
minecraft.used.stripped_oak_wood: #1, 109(34%)
minecraft.picked_up.ink_sac: #2, 2769(15%)
minecraft.mined.infested_cracked_stone_bricks: #1, 8(67%)
minecraft.mined.crafting_table: #2, 1087(13%)
minecraft.mined.ladder: #2, 752(16%)
minecraft.picked_up.iron_boots: #2, 40(14%)
minecraft.picked_up.crafting_table: #2, 1143(13%)
minecraft.mined.dragon_head: #1, 9(29%)
minecraft.crafted.chiseled_quartz_block: #2, 634(21%)
minecraft.dropped.oak_stairs: #1, 69(26%)
minecraft.crafted.purple_concrete_powder: #2, 2744(26%)
minecraft.mined.spruce_leaves: #2, 15405(15%)
minecraft.picked_up.mushroom_stem: #1, 1688(26%)
minecraft.used.mossy_stone_bricks: #2, 932(19%)
minecraft.used.oak_slab: #2, 3478(15%)
minecraft.used.player_head: #3, 1339(18%)
minecraft.picked_up.obsidian: #2, 5195(14%)
minecraft.mined.prismarine_wall: #1, 46(85%)
minecraft.used.prismarine_wall: #1, 380(85%)
minecraft.mined.player_head: #2, 352(15%)
minecraft.mined.purple_shulker_box: #2, 461(22%)
minecraft.crafted.loom: #2, 98(18%)
minecraft.killed.dolphin: #1, 5(42%)
minecraft.mined.nether_bricks: #2, 5331(18%)
minecraft.crafted.lime_carpet: #1, 546(18%)
minecraft.used.red_mushroom: #1, 113(22%)
minecraft.picked_up.nether_bricks: #2, 5118(18%)
minecraft.mined.red_mushroom_block: #1, 3975(17%)
minecraft.mined.dirt: #2, 113254(11%)
minecraft.mined.brown_mushroom_block: #2, 6848(24%)
minecraft.used.pink_banner: #1, 18(47%)
minecraft.mined.smooth_sandstone_slab: #2, 157(24%)
minecraft.used.crafting_table: #2, 1140(12%)
minecraft.picked_up.music_disc_ward: #1, 83(46%)
minecraft.picked_up.allium: #2, 342(22%)
minecraft.used.hay_block: #2, 468(17%)
minecraft.mined.lime_carpet: #2, 117(23%)
minecraft.picked_up.red_mushroom_block: #1, 3695(22%)
minecraft.mined.orange_carpet: #2, 53(27%)
minecraft.crafted.orange_terracotta: #2, 2040(32%)
minecraft.mined.grass_block: #3, 107197(13%)
minecraft.picked_up.pink_banner: #1, 18(72%)
minecraft.mined.jungle_stairs: #2, 237(23%)
minecraft.picked_up.purple_wool: #2, 1189(19%)
minecraft.crafted.pink_carpet: #2, 312(29%)
minecraft.custom.open_chest: #3, 78678(11%)
minecraft.picked_up.smooth_sandstone_slab: #2, 156(22%)
minecraft.used.carved_pumpkin: #2, 155(21%)
minecraft.mined.jungle_trapdoor: #2, 274(22%)
minecraft.picked_up.orange_carpet: #2, 80(26%)
