stat, rank, value, (percentage) 
minecraft.used.birch_button: #1, 7711(88%)
minecraft.dropped.redstone_ore: #1, 1437(68%)
minecraft.crafted.birch_button: #1, 6818(85%)
minecraft.picked_up.blaze_powder: #1, 1740(69%)
minecraft.crafted.blue_carpet: #1, 20703(67%)
minecraft.picked_up.blue_wool: #1, 13928(57%)
minecraft.used.diamond_ore: #1, 4557(49%)
minecraft.picked_up.diamond_ore: #1, 4669(47%)
minecraft.used.red_stained_glass: #1, 12343(64%)
minecraft.picked_up.spruce_door: #1, 426(41%)
minecraft.used.spruce_door: #1, 622(42%)
minecraft.crafted.spruce_door: #1, 561(40%)
minecraft.picked_up.redstone_ore: #1, 19510(42%)
minecraft.picked_up.oak_trapdoor: #1, 1359(36%)
minecraft.mined.diamond_ore: #1, 9244(35%)
minecraft.dropped.oak_fence: #1, 449(40%)
minecraft.dropped.iron_ore: #1, 7054(40%)
minecraft.mined.light_blue_stained_glass: #1, 6364(49%)
minecraft.picked_up.lapis_ore: #1, 2599(38%)
minecraft.mined.red_stained_glass: #1, 1495(51%)
minecraft.mined.oak_trapdoor: #1, 975(31%)
minecraft.picked_up.suspicious_stew: #1, 261(88%)
minecraft.crafted.red_stained_glass: #1, 12064(43%)
minecraft.picked_up.light_blue_stained_glass: #1, 6129(39%)
minecraft.picked_up.oak_fence_gate: #1, 350(35%)
minecraft.crafted.bowl: #1, 600(63%)
minecraft.picked_up.bowl: #1, 239(42%)
minecraft.picked_up.stone_hoe: #1, 22(40%)
minecraft.picked_up.diamond: #1, 10800(20%)
minecraft.crafted.diamond: #1, 14538(27%)
minecraft.picked_up.glass_pane: #2, 1436(31%)
minecraft.picked_up.red_stained_glass: #1, 1965(38%)
minecraft.crafted.diamond_block: #1, 2353(26%)
minecraft.picked_up.stone_bricks: #1, 34885(21%)
minecraft.picked_up.red_dye: #1, 984(35%)
minecraft.used.light_blue_stained_glass: #1, 12502(29%)
minecraft.mined.white_carpet: #1, 580(24%)
minecraft.picked_up.redstone_lamp: #1, 824(29%)
minecraft.picked_up.jack_o_lantern: #1, 283(32%)
minecraft.mined.cobblestone: #1, 21099(19%)
minecraft.picked_up.milk_bucket: #1, 42(31%)
minecraft.used.cooked_porkchop: #1, 172(24%)
minecraft.used.oak_trapdoor: #1, 2222(21%)
minecraft.mined.iron_ore: #1, 22409(19%)
minecraft.picked_up.cobblestone_slab: #1, 2546(21%)
minecraft.picked_up.iron_ore: #1, 22888(19%)
