stat, rank, value, (percentage) 
minecraft.killed.cave_spider: #1, 11440(87%)
minecraft.picked_up.rotten_flesh: #1, 37866(36%)
minecraft.used.pumpkin_seeds: #1, 2728(56%)
minecraft.killed.villager: #1, 1043(74%)
minecraft.picked_up.string: #1, 17885(36%)
minecraft.dropped.spider_eye: #1, 2457(46%)
minecraft.mined.nether_wart: #1, 9119(55%)
minecraft.dropped.carrot: #1, 41862(42%)
minecraft.picked_up.spider_eye: #1, 4195(33%)
minecraft.custom.mob_kills: #1, 634849(22%)
minecraft.crafted.gold_block: #1, 7016(39%)
minecraft.dropped.cornflower: #1, 257(53%)
minecraft.picked_up.golden_apple: #1, 243(40%)
minecraft.crafted.scaffolding: #1, 13738(42%)
minecraft.crafted.pumpkin_seeds: #1, 2896(49%)
minecraft.crafted.golden_carrot: #1, 34670(34%)
minecraft.crafted.gold_ingot: #1, 52305(30%)
minecraft.crafted.golden_leggings: #1, 38(49%)
minecraft.crafted.golden_chestplate: #1, 39(52%)
minecraft.mined.brown_stained_glass: #1, 828(87%)
minecraft.mined.purple_carpet: #1, 191(54%)
minecraft.picked_up.gold_nugget: #2, 121318(32%)
minecraft.dropped.red_stained_glass: #1, 192(52%)
minecraft.crafted.golden_boots: #1, 41(39%)
minecraft.picked_up.potion: #1, 572(24%)
minecraft.crafted.lead: #1, 156(29%)
minecraft.mined.farmland: #1, 1135(25%)
minecraft.picked_up.nether_wart: #2, 26527(31%)
minecraft.crafted.book: #2, 2320(27%)
minecraft.picked_up.purple_carpet: #1, 191(46%)
minecraft.crafted.enchanted_book: #1, 938(24%)
minecraft.crafted.black_wool: #1, 777(29%)
minecraft.picked_up.splash_potion: #1, 96(31%)
minecraft.mined.birch_stairs: #2, 2171(34%)
minecraft.picked_up.pumpkin: #2, 9547(28%)
minecraft.picked_up.birch_stairs: #2, 2289(32%)
minecraft.used.iron_hoe: #1, 2506(28%)
minecraft.used.dropper: #1, 1574(21%)
minecraft.crafted.golden_apple: #1, 313(34%)
minecraft.crafted.trapped_chest: #1, 90(49%)
minecraft.crafted.nether_wart_block: #1, 1529(43%)
minecraft.picked_up.piston: #1, 1269(20%)
minecraft.crafted.fishing_rod: #1, 52(22%)
minecraft.picked_up.birch_fence_gate: #1, 102(31%)
minecraft.used.blue_carpet: #2, 8671(29%)
minecraft.used.minecart: #1, 681(18%)
minecraft.mined.end_stone_bricks: #1, 1418(20%)
minecraft.mined.piston: #1, 712(18%)
minecraft.dropped.nautilus_shell: #1, 73(34%)
minecraft.crafted.white_shulker_box: #2, 124(26%)
minecraft.mined.white_wool: #2, 580(21%)
minecraft.used.oak_door: #1, 137(19%)
minecraft.crafted.birch_planks: #1, 21428(13%)
minecraft.crafted.glistering_melon_slice: #1, 141(33%)
minecraft.crafted.gold_nugget: #2, 64036(23%)
minecraft.used.music_disc_wait: #1, 54(51%)
minecraft.picked_up.tnt: #1, 993(19%)
minecraft.mined.birch_fence_gate: #1, 102(32%)
minecraft.mined.orange_carpet: #1, 58(30%)
minecraft.picked_up.minecart: #1, 810(16%)
minecraft.mined.purpur_stairs: #1, 266(24%)
minecraft.picked_up.clock: #1, 17(20%)
minecraft.crafted.rail: #1, 6566(15%)
minecraft.dropped.pumpkin: #2, 1482(25%)
minecraft.broken.iron_hoe: #1, 9(53%)
minecraft.mined.jungle_planks: #2, 315(26%)
minecraft.mined.observer: #2, 1660(19%)
minecraft.used.bamboo: #2, 2390(24%)
minecraft.crafted.diorite_slab: #1, 94(59%)
minecraft.dropped.yellow_stained_glass: #1, 48(36%)
minecraft.dropped.written_book: #2, 203(15%)
minecraft.picked_up.purpur_stairs: #1, 183(20%)
minecraft.dropped.sticky_piston: #1, 118(25%)
minecraft.killed.magma_cube: #1, 388(14%)
minecraft.used.redstone_lamp: #2, 990(19%)
minecraft.used.jungle_sapling: #2, 841(20%)
minecraft.mined.dropper: #2, 505(19%)
minecraft.dropped.golden_sword: #2, 172(24%)
minecraft.crafted.magma_cream: #1, 64(25%)
minecraft.crafted.lever: #2, 783(15%)
minecraft.used.birch_stairs: #2, 2951(18%)
minecraft.crafted.redstone_lamp: #2, 879(18%)
minecraft.crafted.tripwire_hook: #2, 714(16%)
minecraft.mined.light_gray_carpet: #2, 405(17%)
minecraft.crafted.orange_stained_glass_pane: #2, 1344(25%)
