stat, rank, value, (percentage) 
minecraft.used.stone_button: #1, 49490(84%)
minecraft.crafted.stone_button: #1, 50039(81%)
minecraft.crafted.wooden_pickaxe: #1, 147(64%)
minecraft.dropped.sea_lantern: #1, 18044(87%)
minecraft.crafted.yellow_shulker_box: #1, 761(80%)
minecraft.killed.zombie_pigman: #1, 10561(80%)
minecraft.dropped.iron_nugget: #1, 1207(74%)
minecraft.picked_up.stone_sword: #1, 722(61%)
minecraft.mined.bookshelf: #1, 3415(56%)
minecraft.killed.wither_skeleton: #1, 20438(71%)
minecraft.picked_up.sea_lantern: #1, 19390(55%)
minecraft.dropped.red_mushroom: #1, 350(64%)
minecraft.picked_up.blaze_rod: #1, 5490(60%)
minecraft.dropped.stone_button: #1, 3253(65%)
minecraft.crafted.slime_block: #1, 13002(57%)
minecraft.dropped.stone_sword: #1, 718(53%)
minecraft.picked_up.stone_button: #1, 4275(51%)
minecraft.dropped.slime_block: #1, 1278(70%)
minecraft.picked_up.slime_block: #1, 6212(49%)
minecraft.crafted.slime_ball: #1, 14457(63%)
minecraft.picked_up.wither_skeleton_skull: #1, 318(59%)
minecraft.killed.blaze: #1, 13944(53%)
minecraft.mined.slime_block: #1, 4784(48%)
minecraft.picked_up.book: #1, 5288(43%)
minecraft.crafted.iron_shovel: #1, 200(39%)
minecraft.used.flint_and_steel: #1, 2268(44%)
minecraft.dropped.brown_mushroom: #1, 575(49%)
minecraft.crafted.bookshelf: #1, 4845(44%)
minecraft.used.bookshelf: #1, 3579(40%)
minecraft.picked_up.golden_sword: #1, 398(60%)
minecraft.used.ice: #1, 26961(46%)
minecraft.used.gray_wool: #1, 674(56%)
minecraft.crafted.beacon: #1, 199(59%)
minecraft.used.slime_block: #1, 7647(45%)
minecraft.used.smooth_sandstone_slab: #1, 3868(67%)
minecraft.crafted.wooden_sword: #1, 159(61%)
minecraft.mined.smooth_stone: #1, 5557(41%)
minecraft.crafted.light_blue_shulker_box: #1, 247(56%)
minecraft.picked_up.bone_meal: #1, 11220(31%)
minecraft.mined.mycelium: #1, 20647(63%)
minecraft.used.magma_block: #1, 4671(38%)
minecraft.mined.yellow_concrete_powder: #1, 2065(72%)
minecraft.picked_up.gray_stained_glass: #1, 3514(58%)
minecraft.picked_up.slime_ball: #1, 18744(39%)
minecraft.dropped.smooth_sandstone: #1, 1967(70%)
minecraft.picked_up.pumpkin: #1, 13883(40%)
minecraft.picked_up.yellow_concrete_powder: #1, 4003(64%)
minecraft.mined.stone_button: #1, 940(44%)
minecraft.crafted.stone_axe: #1, 78(38%)
minecraft.dropped.baked_potato: #1, 1130(44%)
minecraft.killed.wither: #1, 200(48%)
minecraft.dropped.iron_shovel: #1, 103(51%)
minecraft.picked_up.mycelium: #1, 17400(63%)
minecraft.picked_up.lime_stained_glass: #1, 1804(47%)
minecraft.dropped.soul_sand: #1, 1247(38%)
minecraft.picked_up.green_stained_glass: #1, 1179(62%)
minecraft.dropped.polished_granite: #1, 475(50%)
minecraft.picked_up.nether_star: #1, 209(44%)
minecraft.dropped.golden_sword: #1, 384(53%)
minecraft.crafted.smooth_stone: #1, 16511(36%)
minecraft.dropped.cookie: #1, 1752(52%)
minecraft.used.wither_skeleton_skull: #1, 636(48%)
minecraft.dropped.blue_wool: #1, 437(69%)
minecraft.dropped.gold_ingot: #1, 1817(45%)
minecraft.used.yellow_concrete_powder: #1, 11797(48%)
minecraft.crafted.yellow_concrete_powder: #1, 11784(45%)
minecraft.picked_up.iron_nugget: #1, 1105(41%)
minecraft.dropped.stone_axe: #1, 64(53%)
minecraft.dropped.stone: #1, 146519(31%)
minecraft.dropped.blaze_rod: #1, 966(74%)
minecraft.custom.fly_one_cm: #1, 380591347(14%)
minecraft.dropped.diorite: #1, 25019(29%)
minecraft.dropped.sunflower: #1, 180(59%)
minecraft.picked_up.orange_stained_glass: #1, 1213(58%)
minecraft.dropped.prismarine_shard: #1, 29247(50%)
minecraft.mined.gray_wool: #1, 160(47%)
minecraft.used.smooth_sandstone_stairs: #1, 4867(87%)
minecraft.picked_up.melon: #1, 4188(58%)
minecraft.picked_up.wooden_pickaxe: #1, 21(43%)
minecraft.dropped.bone: #1, 5946(29%)
minecraft.crafted.gray_stained_glass_pane: #1, 9190(62%)
minecraft.used.gray_stained_glass_pane: #1, 8577(62%)
minecraft.crafted.white_carpet: #1, 5658(31%)
minecraft.custom.inspect_dropper: #1, 4979(27%)
minecraft.dropped.andesite: #1, 16524(28%)
minecraft.mined.ice: #2, 109942(36%)
minecraft.picked_up.smooth_sandstone: #1, 14749(39%)
minecraft.picked_up.bread: #1, 638(36%)
minecraft.dropped.polished_diorite: #1, 551(47%)
minecraft.crafted.chest_minecart: #1, 79(46%)
minecraft.dropped.gray_concrete: #1, 793(54%)
minecraft.used.white_carpet: #1, 5271(28%)
minecraft.picked_up.bone: #2, 20467(25%)
minecraft.dropped.stone_hoe: #1, 37(46%)
minecraft.used.smooth_stone: #1, 16197(29%)
minecraft.used.chest_minecart: #1, 79(49%)
minecraft.dropped.gravel: #1, 7588(28%)
minecraft.crafted.light_gray_shulker_box: #1, 93(40%)
minecraft.dropped.ender_pearl: #2, 7863(35%)
minecraft.dropped.prismarine: #1, 1286(63%)
minecraft.mined.magma_block: #1, 7039(27%)
minecraft.custom.talked_to_villager: #1, 13905(23%)
minecraft.mined.brown_mushroom: #1, 449(31%)
minecraft.used.comparator: #1, 2222(28%)
minecraft.crafted.magenta_shulker_box: #1, 40(38%)
minecraft.dropped.gray_stained_glass: #1, 1435(88%)
minecraft.picked_up.magma_block: #1, 6813(27%)
minecraft.mined.smooth_sandstone_slab: #1, 288(44%)
minecraft.dropped.black_stained_glass: #1, 789(56%)
minecraft.crafted.stone_hoe: #1, 37(29%)
minecraft.dropped.prismarine_bricks: #1, 3856(67%)
minecraft.picked_up.smooth_sandstone_slab: #1, 303(43%)
minecraft.dropped.granite: #1, 18724(24%)
minecraft.dropped.snow_block: #1, 741(46%)
minecraft.killed.enderman: #2, 9807(33%)
minecraft.crafted.emerald: #1, 76552(28%)
minecraft.mined.gray_stained_glass: #1, 1050(37%)
minecraft.mined.comparator: #1, 576(28%)
minecraft.custom.traded_with_villager: #1, 60027(26%)
minecraft.dropped.compass: #1, 74(73%)
minecraft.dropped.cobblestone: #1, 86966(22%)
minecraft.dropped.flower_pot: #1, 125(57%)
minecraft.mined.redstone_torch: #1, 613(26%)
minecraft.picked_up.lime_concrete_powder: #1, 954(44%)
minecraft.dropped.bookshelf: #1, 258(81%)
minecraft.dropped.yellow_shulker_box: #1, 93(52%)
minecraft.dropped.string: #1, 2427(24%)
minecraft.dropped.dirt: #1, 24732(21%)
minecraft.crafted.clock: #1, 30(39%)
minecraft.dropped.dark_oak_trapdoor: #1, 128(46%)
minecraft.used.spruce_sign: #1, 499(25%)
minecraft.dropped.book: #1, 177(34%)
minecraft.picked_up.yellow_stained_glass: #1, 1120(30%)
minecraft.picked_up.comparator: #1, 1248(26%)
minecraft.dropped.gunpowder: #1, 2214(25%)
minecraft.crafted.smooth_sandstone_slab: #1, 4054(68%)
minecraft.dropped.white_concrete: #1, 2639(30%)
minecraft.mined.blue_wool: #1, 587(36%)
minecraft.dropped.sandstone_stairs: #1, 214(44%)
minecraft.dropped.rail: #1, 1050(28%)
minecraft.dropped.prismarine_crystals: #1, 8263(29%)
minecraft.used.gray_concrete: #1, 24364(25%)
minecraft.picked_up.blue_ice: #1, 5071(31%)
minecraft.killed_by.guardian: #1, 124(44%)
minecraft.dropped.iron_door: #1, 62(38%)
minecraft.used.redstone_torch: #1, 3523(24%)
minecraft.crafted.iron_nugget: #1, 25203(25%)
minecraft.custom.drop: #1, 27873(15%)
minecraft.dropped.lime_stained_glass: #1, 41(87%)
minecraft.crafted.smooth_sandstone_stairs: #1, 4824(87%)
minecraft.dropped.birch_log: #1, 818(27%)
minecraft.picked_up.gray_concrete_powder: #1, 14140(29%)
minecraft.mined.blue_ice: #1, 5342(34%)
minecraft.mined.prismarine: #1, 8951(28%)
minecraft.dropped.stone_shovel: #1, 56(34%)
minecraft.mined.smooth_sandstone_stairs: #1, 279(64%)
minecraft.crafted.white_shulker_box: #1, 133(28%)
minecraft.mined.cyan_carpet: #1, 102(42%)
minecraft.mined.cyan_terracotta: #1, 12429(23%)
minecraft.picked_up.sandstone_stairs: #1, 752(25%)
minecraft.picked_up.ender_pearl: #2, 7886(23%)
minecraft.used.packed_ice: #2, 28730(27%)
minecraft.mined.sandstone_stairs: #1, 613(26%)
minecraft.crafted.iron_axe: #1, 57(19%)
minecraft.picked_up.baked_potato: #2, 2405(25%)
minecraft.crafted.brown_shulker_box: #1, 51(33%)
minecraft.picked_up.dropper: #1, 967(26%)
minecraft.custom.damage_dealt: #2, 3569770(15%)
minecraft.mined.smooth_sandstone: #1, 3371(29%)
