stat, rank, value, (percentage) 
minecraft.crafted.charcoal: #1, 1281(41%)
minecraft.used.nether_bricks: #1, 11946(44%)
minecraft.used.bread: #1, 557(30%)
minecraft.used.red_glazed_terracotta: #1, 699(61%)
minecraft.mined.pumpkin: #1, 1043(29%)
minecraft.used.stone_pickaxe: #1, 4288(25%)
minecraft.mined.bamboo: #1, 1791(34%)
minecraft.crafted.polished_granite_stairs: #1, 2083(81%)
minecraft.used.brown_terracotta: #1, 7096(37%)
minecraft.crafted.orange_glazed_terracotta: #1, 557(67%)
minecraft.crafted.red_glazed_terracotta: #1, 878(83%)
minecraft.crafted.nether_brick: #1, 13616(45%)
minecraft.dropped.nether_brick_stairs: #1, 218(60%)
minecraft.crafted.nether_brick_stairs: #1, 2243(39%)
minecraft.used.nether_brick_stairs: #1, 1889(36%)
minecraft.crafted.yellow_glazed_terracotta: #1, 285(58%)
minecraft.used.blue_glazed_terracotta: #1, 955(92%)
minecraft.crafted.stone_pickaxe: #1, 58(19%)
minecraft.picked_up.bamboo: #1, 21336(25%)
minecraft.mined.attached_pumpkin_stem: #1, 21(40%)
minecraft.picked_up.polished_granite_slab: #1, 216(73%)
minecraft.crafted.blue_glazed_terracotta: #1, 987(86%)
minecraft.picked_up.chainmail_helmet: #1, 25(23%)
minecraft.crafted.nether_bricks: #1, 13856(37%)
minecraft.used.orange_terracotta: #2, 5009(26%)
minecraft.mined.polished_granite_stairs: #1, 607(77%)
minecraft.used.nether_brick_slab: #1, 1569(24%)
minecraft.mined.sponge: #1, 106(30%)
minecraft.crafted.nether_brick_slab: #1, 1944(25%)
minecraft.picked_up.polished_granite_stairs: #1, 510(69%)
minecraft.used.dried_kelp: #1, 469(43%)
minecraft.mined.lime_stained_glass_pane: #1, 140(21%)
minecraft.crafted.baked_potato: #1, 2128(16%)
minecraft.used.polished_granite_stairs: #1, 2190(55%)
minecraft.used.orange_stained_glass: #2, 722(26%)
minecraft.mined.polished_granite_slab: #1, 125(64%)
minecraft.mined.red_glazed_terracotta: #1, 144(32%)
minecraft.used.wooden_pickaxe: #1, 140(14%)
minecraft.mined.blue_glazed_terracotta: #1, 99(77%)
minecraft.mined.brown_terracotta: #2, 8283(24%)
minecraft.used.bone_block: #2, 4198(18%)
minecraft.crafted.black_glazed_terracotta: #1, 176(60%)
minecraft.custom.open_barrel: #1, 4873(13%)
minecraft.used.gray_stained_glass: #2, 13531(23%)
minecraft.picked_up.brown_terracotta: #2, 8019(23%)
minecraft.used.iron_axe: #1, 3449(12%)
minecraft.picked_up.jack_o_lantern: #2, 205(23%)
minecraft.dropped.light_blue_dye: #1, 56(29%)
minecraft.crafted.polished_granite_slab: #1, 756(51%)
minecraft.crafted.cooked_rabbit: #1, 12(63%)
minecraft.picked_up.pumpkin_seeds: #3, 7502(21%)
minecraft.picked_up.iron_hoe: #1, 5(19%)
minecraft.picked_up.lily_pad: #2, 297(19%)
minecraft.crafted.iron_hoe: #1, 11(15%)
minecraft.mined.yellow_banner: #2, 24(27%)
minecraft.used.iron_hoe: #2, 1776(20%)
minecraft.used.baked_potato: #2, 2350(13%)
minecraft.broken.golden_leggings: #1, 5(50%)
minecraft.used.golden_axe: #1, 64(98%)
minecraft.used.mushroom_stew: #1, 52(95%)
minecraft.used.spruce_leaves: #3, 10005(18%)
minecraft.used.mossy_cobblestone_wall: #2, 184(28%)
minecraft.broken.stone_pickaxe: #2, 13(15%)
minecraft.dropped.wooden_axe: #1, 3(30%)
minecraft.used.polished_granite_slab: #1, 364(35%)
minecraft.broken.wooden_pickaxe: #1, 2(25%)
minecraft.crafted.white_glazed_terracotta: #2, 384(39%)
minecraft.used.ladder: #2, 1901(12%)
minecraft.crafted.polished_granite: #2, 2644(15%)
minecraft.mined.carved_pumpkin: #2, 1381(18%)
minecraft.crafted.mushroom_stew: #1, 54(81%)
minecraft.killed.salmon: #2, 63(14%)
minecraft.crafted.jack_o_lantern: #2, 1113(17%)
minecraft.crafted.magenta_glazed_terracotta: #1, 27(38%)
minecraft.used.chorus_fruit: #2, 51(19%)
minecraft.broken.chainmail_leggings: #1, 3(75%)
minecraft.broken.bow: #1, 2(25%)
minecraft.broken.chainmail_helmet: #1, 3(75%)
minecraft.used.iron_sword: #2, 1678(10%)
minecraft.crafted.lime_glazed_terracotta: #1, 30(48%)
minecraft.picked_up.stone_pickaxe: #2, 12(14%)
minecraft.crafted.light_blue_glazed_terracotta: #2, 243(28%)
minecraft.picked_up.lime_stained_glass_pane: #2, 174(15%)
minecraft.picked_up.orange_glazed_terracotta: #2, 566(22%)
minecraft.used.jack_o_lantern: #2, 923(14%)
minecraft.used.lapis_block: #2, 363(15%)
minecraft.mined.lapis_block: #3, 128(21%)
minecraft.picked_up.mushroom_stew: #1, 3(100%)
minecraft.crafted.golden_axe: #1, 4(100%)
minecraft.broken.diamond_leggings: #1, 1(25%)
minecraft.broken.leather_leggings: #1, 1(25%)
minecraft.broken.golden_axe: #1, 2(100%)
minecraft.broken.diamond_sword: #1, 1(33%)
minecraft.killed_by.ghast: #1, 1(33%)
minecraft.picked_up.wooden_pickaxe: #2, 6(12%)
minecraft.used.yellow_banner: #2, 38(15%)
minecraft.mined.mossy_cobblestone_stairs: #2, 30(24%)
minecraft.killed.rabbit: #2, 21(16%)
minecraft.used.lava_bucket: #3, 317(13%)
minecraft.crafted.mossy_cobblestone_wall: #2, 186(26%)
minecraft.picked_up.orange_terracotta: #3, 13479(14%)
minecraft.mined.ladder: #3, 583(13%)
minecraft.picked_up.red_tulip: #3, 238(13%)
minecraft.mined.lily_pad: #2, 118(13%)
minecraft.picked_up.sandstone_wall: #2, 47(29%)
minecraft.used.white_stained_glass: #3, 15217(12%)
minecraft.used.sandstone_stairs: #3, 1311(14%)
minecraft.mined.bone_block: #3, 735(12%)
minecraft.mined.birch_sign: #3, 37(16%)
minecraft.used.sandstone: #3, 7491(12%)
minecraft.mined.orange_terracotta: #3, 12402(13%)
minecraft.picked_up.chainmail_boots: #3, 19(13%)
minecraft.picked_up.orange_tulip: #3, 256(14%)
minecraft.crafted.dried_kelp: #3, 18497(15%)
minecraft.crafted.golden_helmet: #2, 4(14%)
minecraft.crafted.light_gray_bed: #2, 7(18%)
minecraft.used.bamboo: #3, 1473(14%)
minecraft.mined.cut_sandstone: #3, 387(14%)
minecraft.used.gray_banner: #2, 30(21%)
minecraft.crafted.gray_banner: #2, 45(24%)
minecraft.custom.interact_with_furnace: #3, 7182(9%)
minecraft.picked_up.nether_bricks: #3, 3610(13%)
minecraft.killed_by.wither: #2, 3(33%)
minecraft.mined.green_wall_banner: #2, 2(22%)
minecraft.crafted.white_stained_glass: #3, 16886(11%)
minecraft.mined.sandstone_stairs: #3, 280(12%)
minecraft.used.light_gray_bed: #2, 20(14%)
minecraft.picked_up.dead_tube_coral: #2, 36(32%)
minecraft.picked_up.chainmail_leggings: #3, 17(11%)
minecraft.picked_up.spruce_leaves: #3, 9094(11%)
minecraft.picked_up.carved_pumpkin: #3, 1383(14%)
minecraft.picked_up.white_glazed_terracotta: #2, 289(12%)
minecraft.crafted.purple_glazed_terracotta: #2, 88(31%)
minecraft.picked_up.red_glazed_terracotta: #2, 348(12%)
minecraft.used.pumpkin_seeds: #3, 560(12%)
minecraft.crafted.light_gray_glazed_terracotta: #2, 252(30%)
minecraft.mined.sugar_cane: #3, 7473(9%)
minecraft.picked_up.chainmail_chestplate: #3, 12(13%)
minecraft.used.cut_sandstone: #3, 1109(12%)
minecraft.picked_up.dead_horn_coral_fan: #2, 96(22%)
minecraft.used.melon_slice: #2, 52(16%)
minecraft.dropped.acacia_trapdoor: #2, 20(14%)
minecraft.crafted.spruce_pressure_plate: #3, 52(11%)
minecraft.picked_up.granite_stairs: #2, 13(21%)
minecraft.dropped.red_bed: #2, 1(14%)
minecraft.picked_up.dead_brain_coral: #2, 24(25%)
minecraft.used.iron_shovel: #3, 3575(8%)
minecraft.crafted.ladder: #3, 1179(9%)
minecraft.picked_up.nether_brick_stairs: #3, 351(14%)
minecraft.mined.spruce_leaves: #4, 12729(12%)
minecraft.picked_up.dead_horn_coral: #2, 24(24%)
minecraft.picked_up.dead_fire_coral: #2, 24(24%)
minecraft.crafted.sandstone_stairs: #3, 1248(12%)
minecraft.used.cooked_rabbit: #2, 12(19%)
minecraft.mined.potted_azure_bluet: #2, 1(12%)
minecraft.mined.sandstone_wall: #2, 23(17%)
minecraft.used.music_disc_mellohi: #2, 3(14%)
minecraft.crafted.light_blue_bed: #2, 5(8%)
minecraft.used.acacia_slab: #3, 244(17%)
minecraft.mined.mossy_cobblestone_wall: #3, 16(16%)
minecraft.mined.spruce_wall_sign: #3, 24(10%)
minecraft.dropped.light_gray_banner: #2, 1(20%)
minecraft.picked_up.yellow_glazed_terracotta: #2, 193(8%)
minecraft.killed.skeleton: #3, 6253(6%)
minecraft.crafted.cut_sandstone: #3, 1103(11%)
minecraft.picked_up.baked_potato: #3, 680(7%)
minecraft.killed_by.drowned: #3, 8(12%)
minecraft.crafted.clay: #3, 229(14%)
minecraft.crafted.scaffolding: #3, 3126(9%)
minecraft.picked_up.mossy_cobblestone_stairs: #3, 30(22%)
minecraft.mined.granite_stairs: #2, 6(11%)
minecraft.used.cactus: #4, 341(12%)
minecraft.crafted.bone_block: #3, 5847(8%)
minecraft.crafted.light_gray_banner: #2, 9(10%)
minecraft.used.sandstone_wall: #2, 150(6%)
minecraft.custom.interact_with_lectern: #3, 182(7%)
minecraft.picked_up.mossy_cobblestone_wall: #3, 16(14%)
minecraft.crafted.spruce_sign: #3, 147(7%)
minecraft.picked_up.blue_glazed_terracotta: #2, 147(8%)
minecraft.used.lily_pad: #3, 47(12%)
minecraft.crafted.diamond_shovel: #4, 33(10%)
minecraft.used.sponge: #3, 1056(8%)
minecraft.used.music_disc_strad: #2, 2(8%)
minecraft.crafted.sandstone_wall: #2, 162(6%)
minecraft.picked_up.ladder: #4, 1243(10%)
minecraft.picked_up.rabbit: #3, 12(11%)
minecraft.picked_up.cut_sandstone: #4, 364(13%)
minecraft.picked_up.oak_button: #4, 70(11%)
minecraft.picked_up.birch_sign: #4, 104(9%)
minecraft.picked_up.netherrack: #4, 71629(9%)
minecraft.used.green_stained_glass: #3, 387(8%)
minecraft.picked_up.dead_brain_coral_fan: #3, 64(14%)
minecraft.mined.light_blue_terracotta: #3, 172(7%)
minecraft.mined.white_glazed_terracotta: #3, 31(13%)
minecraft.crafted.jungle_stairs: #3, 272(10%)
minecraft.picked_up.light_gray_bed: #3, 13(12%)
minecraft.crafted.green_wool: #3, 73(8%)
minecraft.picked_up.magenta_glazed_terracotta: #2, 1(0%)
minecraft.picked_up.iron_pickaxe: #4, 20(9%)
minecraft.crafted.golden_leggings: #3, 6(8%)
minecraft.picked_up.dead_horn_coral_block: #3, 65(11%)
minecraft.used.flint_and_steel: #4, 462(9%)
minecraft.picked_up.lantern: #4, 364(10%)
minecraft.picked_up.dead_tube_coral_fan: #3, 64(12%)
minecraft.used.music_disc_cat: #3, 4(14%)
minecraft.picked_up.spruce_pressure_plate: #4, 44(11%)
minecraft.crafted.blue_terracotta: #3, 1104(9%)
minecraft.dropped.nether_brick_slab: #3, 64(12%)
minecraft.picked_up.purple_terracotta: #3, 94(10%)
minecraft.used.music_disc_mall: #3, 3(15%)
minecraft.mined.nether_bricks: #4, 2785(10%)
minecraft.picked_up.sandstone_stairs: #4, 268(9%)
minecraft.picked_up.music_disc_cat: #3, 8(7%)
minecraft.crafted.cut_sandstone_slab: #3, 130(16%)
minecraft.used.music_disc_stal: #3, 3(16%)
minecraft.picked_up.dead_bubble_coral_fan: #3, 64(13%)
minecraft.crafted.green_stained_glass: #3, 440(6%)
minecraft.killed_by.slime: #3, 2(15%)
minecraft.picked_up.lava_bucket: #4, 22(10%)
minecraft.used.spruce_sign: #4, 158(8%)
minecraft.broken.iron_hoe: #3, 2(12%)
minecraft.used.pink_tulip: #3, 7(8%)
minecraft.crafted.spruce_wood: #3, 324(4%)
minecraft.picked_up.dead_bubble_coral_block: #3, 54(8%)
minecraft.mined.netherrack: #4, 94108(7%)
minecraft.picked_up.rabbit_foot: #3, 2(11%)
minecraft.mined.dark_oak_pressure_plate: #3, 5(6%)
minecraft.mined.brown_mushroom: #4, 114(8%)
minecraft.mined.wall_torch: #4, 1242(6%)
minecraft.crafted.acacia_slab: #4, 306(14%)
minecraft.picked_up.sugar_cane: #4, 13045(7%)
minecraft.mined.nether_brick_stairs: #3, 87(4%)
minecraft.picked_up.dead_fire_coral_block: #3, 69(5%)
minecraft.picked_up.light_gray_glazed_terracotta: #3, 159(6%)
minecraft.used.lime_glazed_terracotta: #3, 18(8%)
minecraft.crafted.golden_boots: #4, 11(10%)
minecraft.used.white_terracotta: #4, 658(7%)
minecraft.crafted.hay_block: #3, 186(2%)
minecraft.picked_up.music_disc_blocks: #3, 7(6%)
minecraft.dropped.blue_banner: #3, 2(9%)
minecraft.crafted.leather_helmet: #4, 16(10%)
minecraft.used.cobblestone_slab: #4, 2153(7%)
minecraft.picked_up.dead_bubble_coral: #3, 10(11%)
minecraft.picked_up.allium: #4, 143(9%)
minecraft.mined.potatoes: #4, 1224(6%)
minecraft.picked_up.music_disc_mellohi: #3, 6(6%)
minecraft.crafted.sponge: #4, 945(8%)
minecraft.picked_up.clock: #4, 7(8%)
minecraft.mined.cactus: #4, 177(6%)
minecraft.picked_up.music_disc_stal: #3, 5(5%)
minecraft.mined.birch_wall_sign: #4, 23(6%)
minecraft.mined.oak_sign: #4, 49(5%)
minecraft.crafted.orange_stained_glass: #4, 728(9%)
minecraft.used.black_terracotta: #4, 1546(9%)
minecraft.picked_up.music_disc_strad: #3, 4(4%)
minecraft.crafted.purple_terracotta: #3, 200(3%)
minecraft.used.pumpkin: #4, 824(6%)
minecraft.mined.black_bed: #3, 7(2%)
minecraft.used.stone_axe: #4, 555(5%)
minecraft.crafted.wooden_pickaxe: #4, 11(5%)
minecraft.used.light_blue_terracotta: #4, 1238(7%)
minecraft.used.light_blue_glazed_terracotta: #3, 164(1%)
minecraft.used.vine: #4, 165(6%)
minecraft.crafted.chainmail_chestplate: #3, 1(3%)
minecraft.used.jungle_stairs: #4, 269(9%)
minecraft.picked_up.light_blue_dye: #4, 93(9%)
minecraft.dropped.magenta_wool: #3, 2(3%)
minecraft.picked_up.red_sandstone_stairs: #3, 1(3%)
minecraft.mined.red_sandstone_stairs: #3, 1(2%)
minecraft.crafted.stone: #4, 7437(4%)
minecraft.crafted.black_terracotta: #4, 1608(7%)
minecraft.broken.iron_boots: #4, 1(12%)
minecraft.broken.flint_and_steel: #4, 4(14%)
minecraft.mined.yellow_terracotta: #4, 1405(5%)
minecraft.picked_up.dead_fire_coral_fan: #4, 64(10%)
minecraft.picked_up.green_banner: #4, 3(9%)
minecraft.picked_up.yellow_terracotta: #4, 1350(5%)
minecraft.crafted.bow: #4, 239(4%)
minecraft.used.red_sand: #4, 513(9%)
minecraft.mined.obsidian: #5, 2274(7%)
minecraft.used.black_glazed_terracotta: #4, 83(10%)
minecraft.picked_up.wooden_axe: #4, 2(13%)
minecraft.picked_up.light_blue_banner: #4, 11(7%)
minecraft.picked_up.rabbit_hide: #4, 8(6%)
minecraft.crafted.wheat: #4, 1397(7%)
minecraft.used.music_disc_blocks: #4, 4(11%)
minecraft.picked_up.pumpkin: #4, 1243(4%)
minecraft.broken.leather_boots: #4, 1(12%)
minecraft.used.light_blue_bed: #4, 24(5%)
minecraft.custom.interact_with_blast_furnace: #4, 22(4%)
minecraft.custom.eat_cake_slice: #4, 69(3%)
minecraft.used.mossy_cobblestone_stairs: #4, 38(9%)
minecraft.picked_up.pink_tulip: #5, 99(9%)
minecraft.mined.light_gray_bed: #4, 8(8%)
minecraft.used.stone_shovel: #4, 736(3%)
minecraft.picked_up.yellow_banner: #4, 27(4%)
minecraft.mined.blue_orchid: #4, 60(5%)
minecraft.mined.light_blue_banner: #4, 7(12%)
minecraft.crafted.light_blue_terracotta: #4, 1816(6%)
minecraft.used.spruce_wood: #4, 247(3%)
minecraft.crafted.gray_bed: #4, 11(6%)
minecraft.picked_up.light_blue_bed: #4, 19(5%)
minecraft.used.iron_pickaxe: #5, 6327(6%)
