stat, rank, value, (percentage) 
minecraft.used.birch_sign: #3, 261(11%)
minecraft.dropped.oak_sign: #4, 146(9%)
minecraft.mined.jungle_sapling: #4, 27(11%)
minecraft.crafted.birch_sign: #6, 150(7%)
minecraft.used.jungle_sapling: #7, 167(4%)
minecraft.mined.tall_grass: #7, 1(5%)
minecraft.mined.birch_wall_sign: #8, 9(3%)
minecraft.mined.birch_sign: #9, 7(3%)
minecraft.picked_up.jungle_sapling: #11, 28(1%)
minecraft.used.apple: #11, 7(0%)
minecraft.crafted.oak_sign: #12, 320(3%)
minecraft.mined.oak_sapling: #12, 15(1%)
minecraft.picked_up.birch_sign: #13, 16(1%)
minecraft.used.oak_sapling: #14, 234(1%)
minecraft.mined.cornflower: #14, 2(0%)
minecraft.used.bone_meal: #15, 1948(1%)
minecraft.picked_up.cornflower: #16, 3(0%)
minecraft.used.oak_sign: #21, 77(1%)
minecraft.mined.oak_sign: #21, 3(0%)
minecraft.used.golden_carrot: #21, 29(0%)
minecraft.mined.jungle_log: #21, 14(0%)
minecraft.mined.jungle_leaves: #21, 3(0%)
minecraft.crafted.birch_planks: #22, 280(0%)
minecraft.crafted.bone_meal: #22, 1875(0%)
minecraft.mined.azure_bluet: #22, 3(0%)
minecraft.picked_up.jungle_log: #22, 14(0%)
minecraft.picked_up.azure_bluet: #22, 1(0%)
minecraft.mined.oak_wall_sign: #23, 5(0%)
minecraft.used.jungle_log: #23, 3(0%)
minecraft.crafted.oak_planks: #24, 732(0%)
minecraft.mined.oxeye_daisy: #24, 1(0%)
minecraft.crafted.jungle_planks: #24, 16(0%)
minecraft.mined.grass: #25, 261(0%)
minecraft.picked_up.oak_sign: #25, 9(0%)
minecraft.mined.oak_leaves: #25, 118(0%)
minecraft.custom.open_shulker_box: #25, 168(0%)
minecraft.mined.vine: #25, 3(0%)
minecraft.mined.poppy: #26, 4(0%)
minecraft.custom.sprint_one_cm: #27, 1003795(0%)
minecraft.picked_up.wheat_seeds: #27, 72(0%)
minecraft.crafted.crafting_table: #27, 1(0%)
minecraft.crafted.stick: #27, 108(0%)
minecraft.mined.dandelion: #27, 1(0%)
minecraft.mined.crafting_table: #27, 1(0%)
minecraft.used.crafting_table: #27, 1(0%)
minecraft.picked_up.dandelion: #27, 1(0%)
minecraft.picked_up.oak_planks: #27, 2(0%)
minecraft.custom.talked_to_villager: #27, 1(0%)
minecraft.custom.time_since_rest: #28, 64987(0%)
minecraft.custom.jump: #28, 3138(0%)
minecraft.picked_up.oak_sapling: #28, 18(0%)
minecraft.custom.fall_one_cm: #28, 61162(0%)
minecraft.custom.open_chest: #28, 125(0%)
minecraft.picked_up.egg: #28, 4(0%)
minecraft.picked_up.crafting_table: #28, 1(0%)
minecraft.picked_up.poppy: #28, 3(0%)
minecraft.custom.crouch_one_cm: #28, 6097(0%)
minecraft.used.dirt: #28, 23(0%)
minecraft.picked_up.dirt: #28, 35(0%)
minecraft.mined.oak_log: #28, 4(0%)
minecraft.killed.skeleton: #28, 3(0%)
minecraft.mined.grass_block: #28, 19(0%)
minecraft.mined.dirt: #28, 16(0%)
minecraft.custom.damage_taken: #29, 587(0%)
minecraft.custom.interact_with_crafting_table: #29, 7(0%)
minecraft.picked_up.oak_log: #29, 4(0%)
minecraft.custom.sleep_in_bed: #30, 2(0%)
minecraft.picked_up.stick: #30, 2(0%)
minecraft.picked_up.bone: #30, 3(0%)
minecraft.picked_up.arrow: #30, 2(0%)
minecraft.custom.open_enderchest: #30, 2(0%)
minecraft.custom.walk_one_cm: #31, 418443(0%)
minecraft.used.diamond_sword: #31, 14(0%)
minecraft.custom.swim_one_cm: #31, 314(0%)
minecraft.custom.damage_dealt: #32, 726(0%)
minecraft.custom.mob_kills: #32, 4(0%)
minecraft.killed.zombie: #33, 1(0%)
minecraft.custom.drop: #34, 10(0%)
minecraft.custom.climb_one_cm: #34, 135(0%)
minecraft.custom.time_since_death: #39, 230921(0%)
minecraft.custom.walk_on_water_one_cm: #44, 5559(0%)
minecraft.custom.sneak_time: #45, 2097(0%)
minecraft.custom.fly_one_cm: #47, 549933(0%)
minecraft.custom.walk_under_water_one_cm: #47, 441(0%)
minecraft.custom.play_one_minute: #48, 230921(0%)
minecraft.custom.leave_game: #51, 1(0%)
