stat, rank, value, (percentage) 
minecraft.crafted.cactus_green: #1, 51(76%)
minecraft.mined.sign: #3, 1(11%)
minecraft.picked_up.sign: #3, 7(8%)
minecraft.used.sign: #3, 10(10%)
minecraft.mined.wall_sign: #3, 2(8%)
minecraft.crafted.sign: #3, 9(10%)
minecraft.broken.bow: #4, 1(12%)
minecraft.crafted.terracotta: #4, 42(4%)
minecraft.crafted.brown_bed: #4, 1(2%)
minecraft.used.polished_diorite: #5, 1050(6%)
minecraft.crafted.polished_diorite: #5, 928(5%)
minecraft.mined.polished_diorite: #6, 242(5%)
minecraft.crafted.cyan_stained_glass_pane: #6, 160(6%)
minecraft.used.cyan_stained_glass_pane: #6, 127(6%)
minecraft.used.dark_oak_leaves: #6, 192(5%)
minecraft.picked_up.polished_diorite: #6, 242(4%)
minecraft.crafted.clay: #6, 42(2%)
minecraft.used.prismarine_brick_stairs: #6, 85(3%)
minecraft.crafted.prismarine_brick_stairs: #6, 72(3%)
minecraft.used.brown_bed: #6, 2(1%)
minecraft.crafted.prismarine_bricks: #6, 48(0%)
minecraft.crafted.cooked_cod: #7, 256(4%)
minecraft.dropped.redstone_ore: #7, 51(2%)
minecraft.picked_up.cyan_dye: #7, 64(3%)
minecraft.mined.prismarine_brick_stairs: #7, 23(4%)
minecraft.picked_up.prismarine_brick_stairs: #7, 23(3%)
minecraft.mined.prismarine_brick_slab: #7, 15(1%)
minecraft.picked_up.brown_bed: #7, 1(1%)
minecraft.crafted.prismarine: #7, 51(0%)
minecraft.mined.bubble_coral_fan: #7, 1(0%)
minecraft.used.acacia_leaves: #8, 83(2%)
minecraft.dropped.gold_ore: #8, 41(1%)
minecraft.crafted.black_stained_glass_pane: #8, 48(1%)
minecraft.used.prismarine_brick_slab: #8, 16(0%)
minecraft.used.red_sand: #8, 1(0%)
minecraft.used.dark_oak_door: #9, 12(3%)
minecraft.used.bubble_coral_fan: #9, 10(1%)
minecraft.used.black_stained_glass_pane: #9, 31(0%)
minecraft.mined.cyan_stained_glass: #9, 18(0%)
minecraft.mined.black_stained_glass_pane: #9, 4(0%)
minecraft.mined.fire_coral: #9, 1(0%)
minecraft.mined.bubble_coral_wall_fan: #9, 2(0%)
minecraft.used.cooked_chicken: #10, 288(2%)
minecraft.used.stripped_spruce_log: #10, 25(3%)
minecraft.crafted.dark_oak_door: #10, 12(3%)
