stat, rank, value, (percentage) 
minecraft.used.music_disc_strad: #3, 1(10%)
minecraft.dropped.dark_prismarine: #6, 176(11%)
minecraft.picked_up.music_disc_strad: #5, 1(3%)
minecraft.dropped.soul_lantern: #8, 27(3%)
minecraft.picked_up.dark_prismarine: #9, 134(2%)
minecraft.used.dark_prismarine: #9, 165(0%)
minecraft.dropped.emerald_block: #9, 1(1%)
minecraft.mined.spruce_door: #11, 2(2%)
minecraft.dropped.spruce_door: #11, 4(2%)
minecraft.dropped.cooked_porkchop: #11, 43(0%)
minecraft.used.jukebox: #12, 2(2%)
minecraft.used.gray_wool: #13, 57(0%)
minecraft.mined.jukebox: #14, 1(1%)
minecraft.picked_up.jukebox: #14, 1(1%)
minecraft.dropped.end_rod: #14, 10(0%)
minecraft.picked_up.cooked_porkchop: #15, 158(1%)
minecraft.picked_up.soul_lantern: #15, 28(1%)
minecraft.dropped.totem_of_undying: #15, 1(1%)
minecraft.mined.dark_prismarine: #15, 14(0%)
minecraft.dropped.elytra: #17, 3(2%)
minecraft.custom.play_record: #17, 1(0%)
minecraft.used.rotten_flesh: #17, 1(0%)
minecraft.dropped.spruce_sign: #17, 1(0%)
minecraft.picked_up.spruce_door: #18, 6(1%)
minecraft.dropped.diamond_helmet: #18, 1(1%)
minecraft.dropped.water_bucket: #18, 1(0%)
minecraft.used.cooked_porkchop: #18, 28(0%)
minecraft.dropped.diamond_leggings: #19, 1(1%)
minecraft.dropped.diamond_boots: #19, 1(1%)
minecraft.dropped.spruce_planks: #19, 21(0%)
minecraft.used.crossbow: #19, 9(0%)
minecraft.picked_up.gray_concrete_powder: #19, 85(0%)
minecraft.used.sweet_berries: #19, 4(0%)
minecraft.mined.yellow_concrete: #19, 2(0%)
minecraft.used.yellow_concrete: #19, 2(0%)
minecraft.mined.gray_concrete_powder: #20, 7(0%)
minecraft.mined.fern: #20, 4(0%)
minecraft.mined.emerald_block: #20, 2(0%)
minecraft.dropped.stone_bricks: #20, 2(0%)
minecraft.picked_up.yellow_concrete: #20, 2(0%)
minecraft.dropped.gravel: #21, 197(1%)
minecraft.dropped.firework_rocket: #21, 134(0%)
minecraft.picked_up.campfire: #21, 3(0%)
minecraft.used.gray_concrete_powder: #21, 77(0%)
minecraft.mined.gray_carpet: #21, 1(0%)
minecraft.dropped.gunpowder: #21, 6(0%)
minecraft.picked_up.gray_carpet: #21, 2(0%)
minecraft.used.gray_carpet: #21, 2(0%)
minecraft.picked_up.sweet_berries: #21, 3(0%)
minecraft.picked_up.diamond_helmet: #22, 3(1%)
minecraft.mined.spruce_wall_sign: #22, 1(0%)
minecraft.used.painting: #22, 8(0%)
minecraft.picked_up.spruce_sign: #22, 5(0%)
minecraft.picked_up.end_rod: #22, 20(0%)
minecraft.mined.oak_stairs: #22, 2(0%)
minecraft.picked_up.oak_stairs: #22, 2(0%)
minecraft.dropped.crossbow: #22, 1(0%)
minecraft.used.soul_lantern: #22, 1(0%)
minecraft.mined.slime_block: #22, 1(0%)
minecraft.picked_up.gray_concrete: #22, 17(0%)
minecraft.picked_up.slime_block: #22, 1(0%)
minecraft.mined.gray_concrete: #22, 11(0%)
minecraft.used.gray_concrete: #22, 7(0%)
minecraft.picked_up.totem_of_undying: #23, 3(0%)
minecraft.picked_up.diamond_boots: #23, 4(0%)
minecraft.dropped.diamond_pickaxe: #23, 1(0%)
minecraft.used.firework_rocket: #23, 50(0%)
minecraft.picked_up.crossbow: #23, 2(0%)
minecraft.dropped.andesite: #23, 64(0%)
minecraft.picked_up.painting: #23, 5(0%)
minecraft.mined.player_wall_head: #23, 1(0%)
minecraft.picked_up.scaffolding: #23, 101(0%)
minecraft.mined.scaffolding: #23, 13(0%)
minecraft.used.scaffolding: #23, 31(0%)
minecraft.picked_up.stone_brick_stairs: #23, 1(0%)
minecraft.dropped.ender_pearl: #23, 24(0%)
minecraft.used.slime_block: #23, 1(0%)
minecraft.used.basalt: #23, 2(0%)
minecraft.used.spruce_planks: #23, 2(0%)
minecraft.picked_up.elytra: #24, 7(0%)
minecraft.picked_up.firework_rocket: #24, 499(0%)
minecraft.picked_up.diamond_leggings: #24, 2(0%)
minecraft.dropped.diamond_sword: #24, 1(0%)
minecraft.used.spruce_sign: #24, 4(0%)
minecraft.mined.spruce_stairs: #24, 7(0%)
minecraft.killed_by.player: #24, 2(0%)
minecraft.mined.oak_sign: #24, 1(0%)
minecraft.picked_up.spruce_stairs: #24, 7(0%)
minecraft.used.spruce_stairs: #24, 15(0%)
minecraft.picked_up.spruce_planks: #24, 23(0%)
minecraft.picked_up.spruce_slab: #24, 12(0%)
minecraft.used.oak_stairs: #24, 2(0%)
minecraft.mined.tripwire: #24, 1(0%)
minecraft.custom.drop: #24, 70(0%)
minecraft.used.ender_pearl: #24, 5(0%)
minecraft.used.oak_sign: #24, 2(0%)
minecraft.picked_up.oak_sign: #24, 1(0%)
minecraft.picked_up.lectern: #24, 1(0%)
minecraft.used.lectern: #24, 1(0%)
minecraft.picked_up.ender_pearl: #24, 52(0%)
minecraft.custom.damage_resisted: #24, 38(0%)
minecraft.mined.spruce_planks: #24, 2(0%)
minecraft.used.string: #24, 1(0%)
minecraft.dropped.string: #24, 1(0%)
minecraft.picked_up.basalt: #24, 6(0%)
minecraft.used.golden_carrot: #24, 3(0%)
minecraft.picked_up.pumpkin: #24, 1(0%)
minecraft.mined.basalt: #24, 1(0%)
minecraft.killed.enderman: #24, 1(0%)
minecraft.picked_up.water_bucket: #25, 2(0%)
minecraft.picked_up.diamond_sword: #25, 2(0%)
minecraft.picked_up.diamond_pickaxe: #25, 2(0%)
minecraft.picked_up.item_frame: #25, 8(0%)
minecraft.used.item_frame: #25, 7(0%)
minecraft.custom.damage_taken: #25, 3976(0%)
minecraft.custom.fall_one_cm: #25, 97319(0%)
minecraft.dropped.player_head: #25, 1(0%)
minecraft.killed.piglin: #25, 1(0%)
minecraft.custom.aviate_one_cm: #25, 7574204(0%)
minecraft.custom.jump: #25, 1978(0%)
minecraft.custom.walk_one_cm: #25, 677848(0%)
minecraft.mined.white_bed: #25, 1(0%)
minecraft.picked_up.white_bed: #25, 1(0%)
minecraft.used.white_bed: #25, 1(0%)
minecraft.custom.sprint_one_cm: #25, 350311(0%)
minecraft.picked_up.bow: #25, 1(0%)
minecraft.custom.open_barrel: #25, 19(0%)
minecraft.killed.creeper: #25, 1(0%)
minecraft.picked_up.gravel: #25, 77(0%)
minecraft.picked_up.emerald_block: #25, 1(0%)
minecraft.custom.open_shulker_box: #25, 61(0%)
minecraft.picked_up.golden_carrot: #25, 3(0%)
minecraft.dropped.dirt: #25, 6(0%)
minecraft.used.diamond_sword: #25, 17(0%)
minecraft.used.dirt: #25, 27(0%)
minecraft.custom.open_enderchest: #25, 3(0%)
minecraft.used.water_bucket: #25, 2(0%)
minecraft.picked_up.stone_bricks: #25, 2(0%)
minecraft.used.grass_block: #25, 8(0%)
minecraft.used.bucket: #25, 2(0%)
minecraft.picked_up.grass_block: #25, 10(0%)
minecraft.used.diamond_pickaxe: #25, 33(0%)
minecraft.custom.deaths: #26, 3(0%)
minecraft.custom.climb_one_cm: #26, 16012(0%)
minecraft.picked_up.gunpowder: #26, 15(0%)
minecraft.picked_up.arrow: #26, 8(0%)
minecraft.custom.swim_one_cm: #26, 8933(0%)
minecraft.picked_up.bone: #26, 8(0%)
minecraft.killed.zombie: #26, 2(0%)
minecraft.custom.interact_with_furnace: #26, 3(0%)
minecraft.picked_up.string: #26, 2(0%)
minecraft.picked_up.dirt: #26, 37(0%)
minecraft.killed.skeleton: #26, 4(0%)
minecraft.custom.crouch_one_cm: #26, 5628(0%)
minecraft.custom.interact_with_crafting_table: #26, 2(0%)
minecraft.custom.damage_dealt: #26, 1195(0%)
minecraft.picked_up.rotten_flesh: #26, 4(0%)
minecraft.custom.talked_to_villager: #26, 1(0%)
minecraft.mined.dirt: #26, 7(0%)
minecraft.custom.mob_kills: #26, 9(0%)
minecraft.mined.grass_block: #26, 2(0%)
minecraft.picked_up.player_head: #27, 3(0%)
minecraft.custom.open_chest: #27, 58(0%)
minecraft.custom.sleep_in_bed: #27, 1(0%)
minecraft.custom.inspect_hopper: #27, 1(0%)
minecraft.picked_up.cobblestone: #27, 1(0%)
minecraft.custom.interact_with_anvil: #28, 2(0%)
minecraft.custom.time_since_rest: #43, 7329(0%)
minecraft.custom.walk_under_water_one_cm: #44, 48143(0%)
minecraft.custom.walk_on_water_one_cm: #45, 21913(0%)
minecraft.custom.play_one_minute: #45, 188717(0%)
minecraft.custom.fly_one_cm: #47, 286874(0%)
minecraft.custom.leave_game: #49, 1(0%)
minecraft.custom.sneak_time: #49, 2102(0%)
minecraft.custom.time_since_death: #49, 7292(0%)
