stat, rank, value, (percentage) 
minecraft.mined.melon: #1, 7993(76%)
minecraft.mined.pumpkin: #1, 6218(54%)
minecraft.dropped.stone_pickaxe: #1, 324(57%)
minecraft.picked_up.melon: #1, 7990(51%)
minecraft.crafted.stone_pickaxe: #1, 324(39%)
minecraft.used.spider_eye: #1, 1000(94%)
minecraft.dropped.cooked_chicken: #1, 325(34%)
minecraft.crafted.iron_helmet: #1, 56(24%)
minecraft.used.cooked_chicken: #1, 1362(32%)
minecraft.dropped.rabbit_stew: #1, 169(72%)
minecraft.picked_up.rabbit_stew: #1, 25(71%)
minecraft.crafted.ender_pearl: #1, 92(62%)
minecraft.used.cobblestone_wall: #1, 2174(21%)
minecraft.crafted.iron_axe: #1, 58(20%)
minecraft.mined.attached_melon_stem: #1, 39(59%)
minecraft.picked_up.pumpkin: #1, 6277(19%)
minecraft.dropped.stone_shovel: #1, 156(38%)
minecraft.used.dead_horn_coral_fan: #1, 28(56%)
minecraft.used.detector_rail: #1, 91(18%)
minecraft.mined.attached_pumpkin_stem: #1, 21(47%)
minecraft.used.wooden_hoe: #1, 187(28%)
minecraft.picked_up.powered_rail: #1, 2420(14%)
minecraft.picked_up.dead_horn_coral_fan: #1, 31(49%)
minecraft.used.lime_stained_glass_pane: #2, 1303(23%)
minecraft.used.slime_block: #2, 2966(17%)
minecraft.used.potion: #2, 394(16%)
minecraft.crafted.chainmail_boots: #1, 30(38%)
minecraft.crafted.wooden_hoe: #1, 7(24%)
minecraft.used.horn_coral_fan: #1, 32(22%)
minecraft.picked_up.dead_fire_coral_fan: #1, 11(50%)
minecraft.mined.brown_concrete: #2, 912(22%)
minecraft.used.dead_fire_coral_fan: #1, 9(56%)
minecraft.crafted.lime_stained_glass_pane: #2, 1200(18%)
minecraft.crafted.rabbit_stew: #1, 158(54%)
minecraft.mined.lectern: #3, 1240(17%)
minecraft.mined.respawn_anchor: #1, 19(27%)
minecraft.picked_up.lectern: #3, 1247(17%)
minecraft.mined.dead_fire_coral_fan: #1, 9(69%)
minecraft.dropped.crimson_roots: #2, 343(14%)
minecraft.used.lectern: #3, 1264(17%)
minecraft.picked_up.stone_shovel: #2, 23(24%)
minecraft.dropped.wooden_hoe: #1, 5(24%)
minecraft.mined.dead_horn_coral_fan: #1, 31(91%)
minecraft.picked_up.wooden_hoe: #1, 3(20%)
minecraft.killed_by.iron_golem: #2, 12(21%)
minecraft.mined.dead_bubble_coral_fan: #1, 5(38%)
minecraft.crafted.cooked_chicken: #2, 1740(16%)
minecraft.killed.zombie_villager: #2, 50(10%)
minecraft.dropped.smoker: #1, 2(15%)
minecraft.crafted.stone_shovel: #3, 133(19%)
minecraft.picked_up.smoker: #2, 64(14%)
minecraft.mined.infested_cobblestone: #1, 2(29%)
minecraft.dropped.diamond_hoe: #2, 7(15%)
minecraft.picked_up.respawn_anchor: #2, 21(20%)
minecraft.dropped.bee_nest: #1, 1(20%)
minecraft.broken.diamond_chestplate: #1, 1(100%)
minecraft.killed.silverfish: #3, 128(15%)
minecraft.used.magenta_stained_glass: #2, 198(12%)
minecraft.crafted.cooked_porkchop: #2, 885(9%)
minecraft.dropped.sweet_berries: #2, 205(10%)
minecraft.mined.lime_stained_glass_pane: #2, 146(10%)
minecraft.crafted.chainmail_helmet: #2, 16(40%)
minecraft.used.poppy: #3, 58(14%)
minecraft.mined.powered_rail: #3, 1018(11%)
minecraft.crafted.netherite_leggings: #2, 2(11%)
minecraft.mined.smoker: #3, 61(15%)
minecraft.dropped.mutton: #3, 91(12%)
minecraft.dropped.brain_coral_fan: #2, 4(27%)
minecraft.crafted.air: #1, 0(0%)
minecraft.custom.boat_one_cm: #4, 30024036(11%)
minecraft.mined.slime_block: #3, 663(8%)
