stat, rank, value, (percentage) 
minecraft.mined.packed_ice: #1, 95899(63%)
minecraft.picked_up.pink_tulip: #1, 4213(77%)
minecraft.picked_up.packed_ice: #1, 98840(62%)
minecraft.crafted.wooden_sword: #1, 175(74%)
minecraft.mined.cyan_bed: #1, 957(83%)
minecraft.crafted.brewing_stand: #1, 843(63%)
minecraft.picked_up.cyan_bed: #1, 999(82%)
minecraft.crafted.cartography_table: #1, 733(79%)
minecraft.picked_up.stone_sword: #1, 675(59%)
minecraft.crafted.smooth_stone: #1, 39489(51%)
minecraft.used.cyan_bed: #1, 987(82%)
minecraft.picked_up.crimson_roots: #1, 12543(53%)
minecraft.dropped.wooden_sword: #1, 160(81%)
minecraft.picked_up.wooden_sword: #1, 130(81%)
minecraft.crafted.lectern: #1, 677(53%)
minecraft.mined.tube_coral_fan: #1, 379(82%)
minecraft.crafted.glass_bottle: #1, 15928(50%)
minecraft.picked_up.enchanted_book: #1, 1066(48%)
minecraft.picked_up.warped_roots: #1, 18632(52%)
minecraft.dropped.stone_sword: #1, 900(54%)
minecraft.mined.brain_coral_fan: #1, 387(80%)
minecraft.picked_up.blue_ice: #1, 5255(77%)
minecraft.crafted.smoker: #1, 752(61%)
minecraft.picked_up.white_tulip: #1, 1296(55%)
minecraft.crafted.leather_helmet: #1, 523(65%)
minecraft.picked_up.blue_orchid: #1, 3036(48%)
minecraft.mined.horn_coral_fan: #1, 344(78%)
minecraft.mined.twisting_vines_plant: #1, 583(53%)
minecraft.killed_by.skeleton: #1, 56(50%)
minecraft.crafted.light_gray_stained_glass_pane: #1, 16456(59%)
minecraft.crafted.stonecutter: #1, 770(45%)
minecraft.mined.tall_seagrass: #1, 5187(47%)
minecraft.used.spruce_fence_gate: #1, 1121(47%)
minecraft.mined.brain_coral: #1, 374(74%)
minecraft.mined.seagrass: #1, 12228(42%)
minecraft.crafted.detector_rail: #1, 606(53%)
minecraft.picked_up.azure_bluet: #1, 10346(43%)
minecraft.picked_up.lily_of_the_valley: #1, 2924(52%)
minecraft.used.brown_mushroom_block: #1, 6535(49%)
minecraft.mined.horn_coral: #1, 401(66%)
minecraft.dropped.leather_helmet: #1, 323(46%)
minecraft.mined.bee_nest: #1, 235(40%)
minecraft.crafted.bell: #1, 781(84%)
minecraft.crafted.fletching_table: #1, 477(71%)
minecraft.mined.tube_coral: #1, 349(70%)
minecraft.picked_up.magenta_wool: #1, 4103(57%)
minecraft.picked_up.oxeye_daisy: #1, 7653(41%)
minecraft.picked_up.cyan_wool: #1, 3510(48%)
minecraft.crafted.bookshelf: #1, 9031(41%)
